partition,tf,week,week_start,signal_ts,signal_idx,side,eligible,net_positive,sr_dist,sr_sweep,sr_room,pw_dist,pw_sweep,pw_pos,orb_near,orb_state,orb_reclaim,fvg_dist,fvg_touch,fib_dist,fib_touch,body_align,reject_wick,entry_ts,exit_ts,entry,sl,tp,risk_frac,net_ret,reason,prob,route,threshold
external,H4,2020-W42,2020-10-12 00:00:00+00:00,2020-10-16 12:00:00+00:00,1717,SHORT,False,0,2.1665201679851496,0.0,1.0773122375231936,9.0,0.0,0.5,0.921574372497308,1.1661197382556854,0.0,0.6864635218283016,0.0,0.7359900771559689,0.0,0.24058013477879014,0.16565094247484785,2020-10-16 16:00:00+00:00,2020-10-17 12:00:00+00:00,11332.57,11478.841428571428,11152.30086142857,0.01290717185699526,-0.0017947257329979358,TIME,0.4461938757025102,FORCED_FALLBACK,0.4999535863744016
external,H4,2020-W43,2020-10-19 00:00:00+00:00,2020-10-19 16:00:00+00:00,1736,SHORT,True,0,1.2515673534975211,1.0,4.186564095426694,9.0,0.0,0.5,1.2815036471414452,-1.8970133296218732,0.0,9.0,0.0,9.0,0.0,1.004637215393282,0.2557870297148648,2020-10-19 20:00:00+00:00,2020-10-20 04:00:00+00:00,11687.68,11800.586428571429,11539.710531428573,0.00966029430746122,-0.011160294307461292,SL,0.522749570050813,MODEL_TRIGGER,0.4999535863744016
external,H4,2020-W44,2020-10-26 00:00:00+00:00,2020-10-30 12:00:00+00:00,1801,SHORT,False,0,1.0963573236609088,0.0,2.253915683098798,9.0,0.0,0.5,0.4264724423194403,-0.15167877336074548,0.0,9.0,0.0,9.0,0.0,-0.6823423301102712,0.023353473441240225,2020-10-30 16:00:00+00:00,2020-10-31 08:00:00+00:00,13540.01,13834.612857142858,13204.787112857144,0.021757949746186084,-0.02325794974618617,SL,0.45834656222192666,FORCED_FALLBACK,0.4999535863744016
external,H4,2020-W45,2020-11-02 00:00:00+00:00,2020-11-03 20:00:00+00:00,1827,LONG,True,0,3.641656930631938,0.0,-0.3515104310134627,9.0,0.0,0.5,1.7013016207727387,2.430209253507348,0.0,1.6979106311166765,1.0,9.0,0.0,1.3497468630971043,0.33258294626658186,2020-11-04 00:00:00+00:00,2020-11-04 00:00:00+00:00,14016.55,13790.952142857142,14284.197507142855,0.016095105938541018,-0.017595105938541022,SL,0.5122340985021315,MODEL_TRIGGER,0.4999535863744016
external,H4,2020-W46,2020-11-09 00:00:00+00:00,2020-11-12 16:00:00+00:00,1880,SHORT,True,0,0.39287208232242815,1.0,4.138944198109259,9.0,0.0,0.5,1.1427424077637394,-1.6106416799129897,0.0,9.0,0.0,9.0,0.0,0.2180875094118633,0.2837446666108955,2020-11-12 20:00:00+00:00,2020-11-13 00:00:00+00:00,16058.82,16357.645,15711.818539999998,0.018608154272854425,-0.02010815427285445,SL,0.5103005672006716,MODEL_TRIGGER,0.4999535863744016
external,H4,2020-W47,2020-11-16 00:00:00+00:00,2020-11-16 12:00:00+00:00,1903,SHORT,True,0,0.019427318888400633,1.0,2.9537454228273825,9.0,0.0,0.5,1.5864190013904942,-1.948936736606897,0.0,9.0,0.0,9.0,0.0,-0.8473879318401277,0.12532603062493325,2020-11-16 16:00:00+00:00,2020-11-16 16:00:00+00:00,16445.0,16697.222142857143,16143.442857142858,0.015337314859053992,-0.016837314859054098,SL,0.5135245311670673,MODEL_TRIGGER,0.4999535863744016
external,H4,2020-W48,2020-11-23 00:00:00+00:00,2020-11-24 16:00:00+00:00,1952,SHORT,True,1,0.5963823443925956,1.0,3.745688522393237,9.0,0.0,0.5,1.518586910930073,-1.923220977042013,0.0,9.0,0.0,9.0,0.0,0.4530858675429079,0.17253568314447112,2020-11-24 20:00:00+00:00,2020-11-25 04:00:00+00:00,19183.24,19593.64785714286,18715.282422857144,0.02139408447910034,0.022894084479100407,TP,0.521626232051371,MODEL_TRIGGER,0.4999535863744016
external,H4,2020-W49,2020-11-30 00:00:00+00:00,2020-12-04 12:00:00+00:00,2011,LONG,True,0,2.2937742234390965,0.0,2.5639298541997015,9.0,0.0,0.5,0.42052527429716774,-0.9584917888344217,0.0,9.0,0.0,-0.4683479437042245,1.0,0.28544745891686535,0.43038850345795326,2020-12-04 16:00:00+00:00,2020-12-05 00:00:00+00:00,18950.0,18557.63357142857,19399.216428571428,0.020705352431209943,-0.022205352431209968,SL,0.42585809384190354,FORCED_FALLBACK,0.4999535863744016
external,H4,2020-W50,2020-12-07 00:00:00+00:00,2020-12-08 12:00:00+00:00,2035,LONG,True,0,0.45585048957600616,1.0,2.258772665903503,9.0,0.0,0.5,1.1660851203462592,-1.3563121363247936,0.0,9.0,0.0,9.0,0.0,0.13697607602768813,0.5800968381080305,2020-12-08 16:00:00+00:00,2020-12-08 20:00:00+00:00,18805.0,18519.840714285714,19146.574285714283,0.015164014129980655,-0.016664014129980587,SL,0.5131575470995023,MODEL_TRIGGER,0.4999535863744016
external,H4,2020-W51,2020-12-14 00:00:00+00:00,2020-12-18 12:00:00+00:00,2095,SHORT,True,0,1.587824296593707,0.0,4.225585044244451,9.0,0.0,0.5,0.10589891778376874,0.3752265322832081,0.0,9.0,0.0,9.0,0.0,0.41511848195107115,0.23497521419933595,2020-12-18 16:00:00+00:00,2020-12-19 12:00:00+00:00,22563.79,23397.79285714286,21662.09577285714,0.036962002267476236,-0.03846200226747637,SL,0.44632923464121127,FORCED_FALLBACK,0.4999535863744016
