feature,n23,n24,eligible,type,orientation,rule_value,auc23_raw,auc23_oriented,auc24_raw,auc24_oriented,auc24_6h_oriented,auc24_12h_oriented,fav_n23,fav_hit23,fav_lift23,fav_n24,fav_hit24,fav_lift24,positive_blocks,tier
SIDE:aligned_move_since_break_atr,8700,8737,True,CONTINUOUS,LOW,-2.365015791485669,0.49440852488394377,0.5055914751160562,0.5087665834200027,0.4912334165799973,0.49488203911036655,0.4909831553603655,1740,0.5126436781609195,-0.003766695949707133,2017,0.48834903321765,-0.020177921114500674,1,NO_EDGE
SIDE:aligned_move_since_impulse_atr,8705,8737,True,CONTINUOUS,HIGH,0.506586013345469,0.5119700364247901,0.5119700364247901,0.49877970936735155,0.49877970936735155,0.5005792980926796,0.4999281361144515,1741,0.5462377943710511,0.02982742026042451,1727,0.4950781702374059,-0.013448784094744759,3,NO_EDGE
SIDE:aligned_ret24_pct168,8691,8737,True,CONTINUOUS,HIGH,0.9047619047619048,0.5010166150150247,0.5010166150150247,0.5058771662504333,0.5058771662504333,0.5066165798685222,0.5054443537523153,1810,0.532596685082873,0.01618631097224632,1796,0.5094654788418709,0.0009385245097202066,3,NO_EDGE
SIDE:aligned_ret_12h,8714,8737,True,CONTINUOUS,LOW,0.0011954879474876203,0.49856834361651636,0.5014316563834836,0.51164667058946,0.48835332941054,0.48812172851482816,0.4882220300654684,1743,0.51061388410786,-0.005796490002766608,1711,0.47691408533021623,-0.03161286900193444,1,NO_EDGE
SIDE:aligned_ret_24h,8714,8737,True,CONTINUOUS,LOW,-0.005937112797826837,0.4927485366239519,0.5072514633760481,0.4993852945150816,0.5006147054849184,0.5017314793114074,0.5007911140092904,1743,0.5381526104417671,0.021742236331140474,1646,0.4945321992709599,-0.013994755061190745,3,NO_EDGE
SIDE:aligned_ret_3h,8714,8737,True,CONTINUOUS,HIGH,0.015659294830536706,0.5067362495385751,0.5067362495385751,0.49054273449304187,0.49054273449304187,0.493103349191998,0.49137388866115456,1743,0.5238095238095238,0.007399149698897212,1840,0.49184782608695654,-0.01667912824519413,1,NO_EDGE
SIDE:aligned_ret_6h,8714,8737,True,CONTINUOUS,HIGH,0.024736969410175492,0.5022168169593418,0.5022168169593418,0.4953494142699312,0.4953494142699312,0.4968032477113646,0.4955208388258887,1743,0.5111876075731497,-0.005222766537476886,1769,0.5132843414358395,0.004757387103688782,2,NO_EDGE
SIDE:aligned_return_since_break,8700,8737,True,CONTINUOUS,LOW,-0.03008742030553976,0.49591618175877233,0.5040838182412277,0.5089553324672158,0.4910446675327842,0.49429310378671043,0.4909152780069296,1740,0.506896551724138,-0.00951382238648868,2022,0.4930761622156281,-0.01545079211652256,0,NO_EDGE
SIDE:aligned_return_since_impulse,8705,8737,True,CONTINUOUS,HIGH,0.006380951379150941,0.5111029342755754,0.5111029342755754,0.4992486729123155,0.4992486729123155,0.5005790320341558,0.5001646171993666,1741,0.5295807007466973,0.01317032663607065,1763,0.49177538287010775,-0.016751571462042925,2,NO_EDGE
SIDE:break_event,8714,8737,True,BINARY,HIGH,1.0,0.503985445340927,0.503985445340927,0.5011584924858381,0.5011584924858381,0.5024449891483597,0.5013625435222999,2325,0.5238709677419355,0.007460593631308909,2749,0.5103674063295743,0.0018404519974236644,2,NO_EDGE
SIDE:distance_ema20_atr,8714,8737,True,CONTINUOUS,HIGH,1.4785016924656857,0.5114391182829721,0.5114391182829721,0.5102706528201079,0.5102706528201079,0.5123494906930364,0.5105264114662443,1743,0.5226620768789444,0.006251702768317768,1951,0.5094823167606356,0.0009553624284849294,2,NO_EDGE
SIDE:distance_protected_atr,8714,8737,True,CONTINUOUS,HIGH,5.8087888586689775,0.5034026261667458,0.5034026261667458,0.5124126216660844,0.5124126216660844,0.5106943701779849,0.5130697658002745,1743,0.5381526104417671,0.021742236331140474,1396,0.5114613180515759,0.002934363719425237,3,NO_EDGE
SIDE:eff_decay_6v24,8690,8737,True,CONTINUOUS,HIGH,0.5233614001985478,0.5105117053658403,0.5105117053658403,0.49266053968704243,0.49266053968704243,0.4951529458118013,0.49275338823337306,1738,0.5207134637514385,0.00430308964081183,1686,0.49347568208778175,-0.015051272244368918,1,NO_EDGE
SIDE:ema20_slope_atr,8714,8737,True,CONTINUOUS,HIGH,0.4462847477683902,0.5041877340083321,0.5041877340083321,0.5116233980049105,0.5116233980049105,0.5130308961347727,0.5115960777626773,1743,0.5295467584624212,0.013136384351794539,1946,0.5092497430626927,0.00072278873054199,3,NO_EDGE
SIDE:ema_spread_atr,8714,8737,True,CONTINUOUS,LOW,-0.024138303499293457,0.4999309708379476,0.5000690291620524,0.5130198579093399,0.4869801420906601,0.48637425612992924,0.4871425834769194,1743,0.5203671830177854,0.003956808907158771,1706,0.4695193434935522,-0.039007610838598494,1,NO_EDGE
SIDE:failed_fresh_break,8714,8737,True,BINARY,HIGH,1.0,0.5048995939461056,0.5048995939461056,0.5008200965267136,0.5008200965267136,0.5010688753386925,0.5006984404261146,681,0.5477239353891337,0.03131356127850704,870,0.5126436781609195,0.00411672382876882,3,NO_EDGE
SIDE:failed_fresh_break_count_24h,8691,8737,True,CONTINUOUS,LOW,0.0,0.4946159432591506,0.5053840567408494,0.4822950143938839,0.5177049856061161,0.5175984410625976,0.518337197257436,3567,0.5231286795626577,0.006718305452031115,3151,0.5255474452554745,0.017020490923323806,4,NO_EDGE
SIDE:failed_fresh_break_count_6h,8709,8737,True,CONTINUOUS,HIGH,1.0,0.5001507592872314,0.5001507592872314,0.49329110093057843,0.49329110093057843,0.49452117506579923,0.49271572879335007,2625,0.5139047619047619,-0.00250561220586476,3169,0.4976333228147681,-0.010893631517382596,2,NO_EDGE
SIDE:failed_reclaim_count24,8691,8737,True,CONTINUOUS,LOW,0.0,0.4961483942996607,0.5038516057003393,0.4986408600960193,0.5013591399039807,0.5031219011572481,0.5028564831430287,7306,0.5187517109225295,0.00234133681190285,7272,0.5086633663366337,0.00013641200448299973,3,NO_EDGE
SIDE:failed_reclaim_event,8714,8737,True,BINARY,LOW,0.0,0.4998662658861994,0.5001337341138006,0.4998796534816992,0.5001203465183008,0.5001291861943769,0.5001208716536518,8709,0.5164772074865082,6.683337588153648e-05,8734,0.5085871307533776,6.017642122690958e-05,3,NO_EDGE
SIDE:favorable_excursion_12h,8702,8737,True,CONTINUOUS,LOW,0.011775877899540921,0.49214059207657795,0.507859407923422,0.5104558375976151,0.48954416240238485,0.49062711294811057,0.4894256969946438,1741,0.5336013785180931,0.01719100440746646,1619,0.4823965410747375,-0.026130413257413165,2,NO_EDGE
SIDE:favorable_excursion_1h,8714,8737,True,CONTINUOUS,HIGH,0.013519582755565602,0.5095183778937932,0.5095183778937932,0.496039362536653,0.496039362536653,0.4952128681037926,0.4971140696731001,1743,0.5117613310384395,-0.0046490430721871645,1637,0.5045815516188149,-0.003945402713335766,2,NO_EDGE
SIDE:favorable_excursion_3h,8711,8737,True,CONTINUOUS,LOW,0.0053022794846382,0.4977933190849363,0.5022066809150637,0.48687402644331695,0.5131259735566831,0.5122067946380575,0.5124453419870492,1743,0.5083189902467011,-0.008091383863925494,1530,0.534640522875817,0.02611356854366631,3,NO_EDGE
SIDE:favorable_excursion_6h,8708,8737,True,CONTINUOUS,LOW,0.01013601605586754,0.49236733876972505,0.507632661230275,0.49865189360738793,0.5013481063926121,0.5021520291515004,0.5014301285300475,1742,0.5223880597014925,0.005977685590865867,1473,0.5118805159538357,0.003353561621684986,4,NO_EDGE
SIDE:fresh_extreme_count_12h,8703,8737,True,CONTINUOUS,LOW,0.0,0.4996180684095309,0.5003819315904692,0.5001233080071005,0.4998766919928995,0.49858202631590776,0.5003053683598195,4116,0.5199222546161322,0.003511880505505549,3500,0.5068571428571429,-0.0016698114750077764,3,NO_EDGE
SIDE:fresh_extreme_count_24h,8691,8737,True,CONTINUOUS,LOW,0.0,0.49193412080217525,0.5080658791978248,0.4894233441425054,0.5105766558574947,0.5116313987370615,0.5109293435552977,2694,0.5337787676317743,0.017368393521147718,2371,0.5158161113454238,0.007289157013273151,3,NO_EDGE
SIDE:fresh_extreme_count_6h,8709,8737,True,CONTINUOUS,LOW,0.0,0.4985737395325116,0.5014262604674884,0.5015931499348839,0.4984068500651161,0.4971826767284876,0.4988583900873763,5188,0.5200462606013878,0.0036358864907611865,4544,0.5063820422535211,-0.002144912078629546,2,NO_EDGE
SIDE:hours_since_break,8700,8737,True,CONTINUOUS,HIGH,43.0,0.5077391977137516,0.5077391977137516,0.49808873899387585,0.49808873899387585,0.49969154948463873,0.4984896358669676,1764,0.5379818594104309,0.02157148529980424,1667,0.5062987402519497,-0.0022282140802010186,3,NO_EDGE
SIDE:hours_since_fresh_extreme24,8677,8737,True,CONTINUOUS,HIGH,34.0,0.5055653472222887,0.5055653472222887,0.5015508504399934,0.5015508504399934,0.5010258625439972,0.501821260484048,1794,0.5222965440356745,0.005886169925047868,1668,0.5077937649880095,-0.0007331893441411275,2,NO_EDGE
SIDE:hours_since_impulse,8705,8737,True,CONTINUOUS,HIGH,28.0,0.5084214888506152,0.5084214888506152,0.5016733197953983,0.5016733197953983,0.5018649224421665,0.501150832090244,1750,0.5297142857142857,0.013303911603659069,1434,0.49442119944211993,-0.014105754890030742,2,NO_EDGE
SIDE:hours_since_raw_switch,8665,8737,True,CONTINUOUS,HIGH,59.0,0.5154435145649128,0.5154435145649128,0.495944149361351,0.495944149361351,0.4992935259329017,0.49620027678226686,1742,0.5327210103329506,0.016310636222323982,1954,0.5255885363357216,0.017061582003570885,4,NO_EDGE
SIDE:hours_since_renewal,8650,8737,True,CONTINUOUS,HIGH,63.0,0.5138304588792324,0.5138304588792324,0.4977266511243541,0.4977266511243541,0.49809271512841874,0.49777718942469773,1768,0.5503393665158371,0.03392899240521052,1322,0.5075642965204236,-0.0009626578117271078,3,NO_EDGE
SIDE:impulse_event,8714,8737,True,BINARY,HIGH,1.0,0.5022002847650688,0.5022002847650688,0.49912743532658826,0.49912743532658826,0.49912602731108485,0.49957338791019823,818,0.5281173594132029,0.0117069853025763,916,0.5043668122270742,-0.004160142105076425,3,NO_EDGE
SIDE:latest_pullback_duration_h,8699,8737,True,CONTINUOUS,HIGH,3.0,0.5012634293945382,0.5012634293945382,0.49259315926488406,0.49259315926488406,0.4958209596411686,0.49340537227193637,2252,0.5146536412078153,-0.0017567329028113088,2206,0.49501359927470534,-0.013513355057445331,0,NO_EDGE
SIDE:latest_pullback_max_depth_atr,8699,8737,True,CONTINUOUS,HIGH,2.720059913982234,0.5027319973879424,0.5027319973879424,0.4881650258970402,0.4881650258970402,0.48888874567714025,0.48897790313088413,1740,0.5172413793103449,0.0008310051997182377,1614,0.49380421313506817,-0.0147227411970825,2,NO_EDGE
SIDE:latest_reclaim_body_frac,8699,8737,True,CONTINUOUS,HIGH,0.7330173775671395,0.5108071236779633,0.5108071236779633,0.5138019268232367,0.5138019268232367,0.5157466441742762,0.5148525961147576,1742,0.5373134328358209,0.020903058725194268,2355,0.5282377919320594,0.01971083759990877,3,NO_EDGE
SIDE:latest_reclaim_clv,8699,8737,True,CONTINUOUS,HIGH,0.8947368421052674,0.5049623008544223,0.5049623008544223,0.5038712424341824,0.5038712424341824,0.5042514969635036,0.5042734295402242,1741,0.5226881102814475,0.006277736170820836,2490,0.516867469879518,0.008340515547367366,3,NO_EDGE
SIDE:mae_since_break,8700,8737,True,CONTINUOUS,LOW,0.007788629627615382,0.49980530320216976,0.5001946967978302,0.49151664498227876,0.5084833550177212,0.5069017946061305,0.5079354047850292,1740,0.5022988505747127,-0.014111523535913939,1913,0.5232618923157345,0.014734937983583829,2,NO_EDGE
SIDE:mae_since_impulse,8705,8737,True,CONTINUOUS,LOW,0.0102917410904141,0.49630097716179183,0.5036990228382081,0.5043120325237515,0.49568796747624855,0.49666270968663506,0.49672857201781884,1745,0.5472779369627507,0.03086756285212411,1724,0.5145011600928074,0.00597420576065677,3,NO_EDGE
SIDE:marginal_progress_ratio_3v12,8694,8729,True,CONTINUOUS,HIGH,1.0451624456826638,0.5054653505548291,0.5054653505548291,0.48200513990325133,0.48200513990325133,0.48383395807756496,0.48270797770750246,1739,0.520414031052329,0.004003656941702349,1805,0.48642659279778394,-0.02210036153436673,1,NO_EDGE
SIDE:mfe_since_break,8700,8737,True,CONTINUOUS,HIGH,0.0202774813233725,0.5049714345937271,0.5049714345937271,0.500522506214147,0.500522506214147,0.5012965031869081,0.5018207289464329,1751,0.5288406624785836,0.01243028836795701,1116,0.5098566308243727,0.0013296764922220428,2,NO_EDGE
SIDE:mfe_since_break_atr,8700,8737,True,CONTINUOUS,HIGH,1.4523727616870443,0.5085213973897085,0.5085213973897085,0.5038576143441309,0.5038576143441309,0.5051021451884913,0.504703762393331,1740,0.5160919540229885,-0.00031842008763816043,1328,0.5075301204819277,-0.0009968338502229779,2,NO_EDGE
SIDE:mfe_since_impulse,8705,8737,True,CONTINUOUS,HIGH,0.0268155849503319,0.5061122550225711,0.5061122550225711,0.4929755320222901,0.4929755320222901,0.4920513242264851,0.4933520856260322,1745,0.5449856733524355,0.028575299241808905,1410,0.5078014184397163,-0.0007255358924344035,3,NO_EDGE
SIDE:mfe_since_impulse_atr,8705,8737,True,CONTINUOUS,HIGH,1.9635204359725036,0.5134523829151838,0.5134523829151838,0.4978342344121644,0.4978342344121644,0.49770648683790747,0.49787087292934207,1741,0.5548535324526135,0.03844315834198686,1195,0.5205020920502093,0.011975137718058582,4,NO_EDGE
SIDE:post_reclaim_progress_1h,2245,2208,True,CONTINUOUS,LOW,-0.00311608059215024,0.4984200929806306,0.5015799070193694,0.4780116181755526,0.5219883818244474,0.5188245626875503,0.5216210191506634,449,0.5055679287305123,-0.010842445380114363,488,0.5122950819672131,0.0037681276350624016,3,NO_EDGE
SIDE:post_reclaim_progress_3h,2226,2222,True,CONTINUOUS,HIGH,0.0135773317591501,0.5070624661276251,0.5070624661276251,0.500357596948506,0.500357596948506,0.505904168520991,0.5011005250817344,446,0.5403587443946188,0.023948370283992215,458,0.519650655021834,0.01112370068968338,3,NO_EDGE
SIDE:progress_path_12h,8702,8737,True,CONTINUOUS,HIGH,0.45796208152764595,0.5046951105202385,0.5046951105202385,0.5106338414199799,0.5106338414199799,0.5124116301393934,0.5108083390172422,1741,0.5290063182079264,0.012595944097299805,1658,0.4927623642943305,-0.01576459003782016,2,NO_EDGE
SIDE:progress_path_24h,8690,8737,True,CONTINUOUS,LOW,-0.045544720244536804,0.49467744837613337,0.5053225516238666,0.5020897365700676,0.4979102634299324,0.4985512522133113,0.49837538185662267,1738,0.5322209436133487,0.015810569502722083,1631,0.49540159411404044,-0.013125360218110227,2,NO_EDGE
SIDE:progress_path_6h,8708,8737,True,CONTINUOUS,HIGH,0.640111984410184,0.5041496933448384,0.5041496933448384,0.4928815768245313,0.4928815768245313,0.49571069316404603,0.49276981274567666,1742,0.5252583237657864,0.008847949655159781,1671,0.5044883303411131,-0.004038623991037604,2,NO_EDGE
SIDE:pullback_active,8714,8737,True,BINARY,LOW,0.0,0.48581738121605234,0.5141826187839477,0.49710756892589997,0.5028924310741001,0.5016013471311678,0.5028184250497945,4983,0.5287979129038731,0.0123875387932465,5086,0.511010617381046,0.002483663048895357,4,NO_EDGE
SIDE:pullback_age_h,3731,3651,True,CONTINUOUS,LOW,0.0,0.49316152743176184,0.5068384725682382,0.515900294948423,0.48409970505157696,0.4842270049892444,0.4847029912497042,2221,0.5051778478162989,-0.011232526294327694,2184,0.49221611721611724,-0.016310837116033428,2,NO_EDGE
SIDE:pullback_depth_atr,3731,3651,True,CONTINUOUS,LOW,1.0749829568666067,0.49331597746035305,0.506684022539647,0.5017005751314183,0.4982994248685817,0.5017922578148277,0.49824664759019244,747,0.5180722891566265,0.0016619150459998844,769,0.4967490247074122,-0.011777929624738448,2,NO_EDGE
SIDE:pullback_depth_trend,8691,8737,True,CONTINUOUS,LOW,-1.263500323473235,0.49543434312159723,0.5045656568784027,0.48802198336723057,0.5119780166327694,0.5102170020620127,0.5112625113323819,1741,0.5324526134405514,0.016042239329924768,1654,0.5187424425634825,0.010215488231331782,3,NO_EDGE
SIDE:pullback_reclaim_event,8714,8737,True,BINARY,HIGH,1.0,0.5101634762432105,0.5101634762432105,0.49960853311327114,0.49960853311327114,0.4986940960785812,0.4995720059123992,2606,0.533384497313891,0.016974123203264413,2546,0.5078554595443834,-0.0006714947877672905,3,NO_EDGE
SIDE:raw_switch_event,8714,8737,True,BINARY,HIGH,1.0,0.5013263724094289,0.5013263724094289,0.4995143682525885,0.4995143682525885,0.4987631826086175,0.49943997196883233,349,0.5329512893982808,0.016540915287654223,366,0.5027322404371585,-0.005794713894992198,1,NO_EDGE
SIDE:renewal_count24,8691,8737,True,CONTINUOUS,LOW,0.0,0.49151114533464635,0.5084888546653537,0.499602348057017,0.500397651942983,0.501656036938856,0.5002039775597575,4209,0.531480161558565,0.01506978744793841,3455,0.5053545586107091,-0.0031723957214415677,3,NO_EDGE
SIDE:renewal_count72,8643,8737,True,CONTINUOUS,LOW,1.0,0.48703786091257695,0.512962139087423,0.49187094911575185,0.5081290508842482,0.510229861557334,0.5082837479610217,3423,0.5354951796669588,0.019084805556332185,2121,0.5087223008015087,0.00019534646935803757,3,NO_EDGE
SIDE:renewal_event,8714,8737,True,BINARY,LOW,0.0,0.4984611612086695,0.5015388387913304,0.4980002874478686,0.5019997125521314,0.5015412474668273,0.5017020897507641,8184,0.5172287390029325,0.0008183648923059117,8006,0.509617786660005,0.0010908323278543408,4,NO_EDGE
SIDE:signed_eff_12h,8702,8737,True,CONTINUOUS,HIGH,0.45862016598029226,0.5048061635488529,0.5048061635488529,0.5105789097339262,0.5105789097339262,0.512351560037111,0.5107459365012408,1741,0.5290063182079264,0.012595944097299805,1634,0.496328029375765,-0.012198924956385693,2,NO_EDGE
SIDE:signed_eff_24h,8690,8737,True,CONTINUOUS,LOW,-0.045390032164381415,0.4946978120361003,0.5053021879638997,0.5021038888174287,0.49789611118257127,0.4985239959956418,0.498364272720469,1738,0.5339470655926352,0.017536691482008537,1635,0.4954128440366973,-0.013114110295453396,2,NO_EDGE
SIDE:signed_eff_6h,8708,8737,True,CONTINUOUS,HIGH,0.6397187002720617,0.5041500101919143,0.5041500101919143,0.49282190151482513,0.49282190151482513,0.4956513916752771,0.492703290813159,1742,0.5229621125143513,0.006551738403724694,1684,0.504750593824228,-0.003776360507922627,2,NO_EDGE
SHARED:h1_atr_norm,8714,8737,True,CONTINUOUS,LOW,0.00916298030224498,0.4834310499393556,0.5165689500606444,0.4855045868482012,0.5144954131517988,0.5172126857650177,0.5138581955446092,1743,0.5358577165806081,0.019447342469981477,1006,0.5268389662027833,0.018312011870632583,3,NO_EDGE
SHARED:h1_atr_vs_med72,8714,8737,True,CONTINUOUS,HIGH,1.2249180188298976,0.510405790223066,0.510405790223066,0.49307310390548564,0.49307310390548564,0.49232911888748276,0.493198072602085,1743,0.5266781411359724,0.01026776702534582,1626,0.5092250922509225,0.000698137918771824,2,NO_EDGE
SHARED:h1_atr_pct168,8714,8737,True,CONTINUOUS,HIGH,0.8273809523809523,0.502109898222855,0.502109898222855,0.5033882576811847,0.5033882576811847,0.5028330798485382,0.5040636847973439,1772,0.5287810383747178,0.012370664264091169,1813,0.5201323772752344,0.011605422943083754,2,NO_EDGE
SHARED:h1_mean_cross_12,8714,8737,True,CONTINUOUS,HIGH,3.0,0.5023956916099773,0.5023956916099773,0.5107936045679681,0.5107936045679681,0.5104959496432806,0.510388264840105,2221,0.5141828005402972,-0.002227573570329433,2388,0.5175879396984925,0.009060985366341812,3,NO_EDGE
SHARED:h1_mean_cross_24,8714,8737,True,CONTINUOUS,HIGH,5.0,0.5182157622739018,0.5182157622739018,0.5183003234784421,0.5183003234784421,0.5188996741788192,0.518260071149499,2283,0.5431449846692948,0.026734610558668215,2451,0.5161158710730314,0.007588916740880691,3,NO_EDGE
SHARED:h1_overlap_12,8714,8724,True,CONTINUOUS,LOW,0.7069716247558211,0.4985994304698624,0.5014005695301376,0.4974621703110911,0.5025378296889089,0.5040874662178181,0.5036617408419293,1743,0.5450372920252439,0.028626917914617245,2492,0.5164526484751204,0.00792569414296973,4,NO_EDGE
SHARED:h1_overlap_24,8714,8712,True,CONTINUOUS,LOW,0.722094781441751,0.4978984337921215,0.5021015662078785,0.49554682063031164,0.5044531793696884,0.5066401557769875,0.5062019993483988,1743,0.5111876075731497,-0.005222766537476886,2661,0.5084554678692221,-7.148646292853833e-05,2,NO_EDGE
SHARED:h1_range_path_12,8714,8737,True,CONTINUOUS,LOW,0.5237337349695061,0.4963024837842114,0.5036975162157886,0.5060181383588698,0.4939818616411302,0.49338475042409724,0.4936660648952148,1743,0.519219736087206,0.0028093619765793276,2559,0.4935521688159437,-0.014974785516206957,1,NO_EDGE
SHARED:h1_range_path_24,8714,8737,True,CONTINUOUS,HIGH,0.5810599359784344,0.5072726625533934,0.5072726625533934,0.500330402560152,0.500330402560152,0.5021051437271795,0.5005589915328184,1743,0.5289730349971313,0.012562660886504706,1049,0.5138226882745471,0.005295733942396463,3,NO_EDGE
SHARED:atr_slope6,8708,8737,True,CONTINUOUS,HIGH,0.001197545926585021,0.5153106315923994,0.5153106315923994,0.5028768898098682,0.5028768898098682,0.502444190972788,0.5019641377949609,1742,0.5430539609644087,0.026643586853782097,1737,0.5060449050086355,-0.0024820493235151453,2,NO_EDGE
SHARED:range24_atr,8691,8737,True,CONTINUOUS,HIGH,6.328321624840752,0.5050885359015406,0.5050885359015406,0.5027298636845051,0.5027298636845051,0.5048903330414178,0.5033029215858701,1739,0.5359401955146637,0.01952982140403703,1311,0.5041952707856598,-0.004331683546490828,3,NO_EDGE
SHARED:compression_6v24,8691,8737,True,CONTINUOUS,HIGH,0.679048171793383,0.503376460784321,0.503376460784321,0.5032746203764477,0.5032746203764477,0.5019487900013079,0.502523474827229,1742,0.5321469575200919,0.015736583409465266,1848,0.5319264069264069,0.023399452594256243,3,NO_EDGE
SHARED:boundary_touch_count12,8703,8737,True,CONTINUOUS,HIGH,4.0,0.5056501978230111,0.5056501978230111,0.49588636101795963,0.49588636101795963,0.4985696398135178,0.4952883176962054,1772,0.5259593679458239,0.00954899383519725,2791,0.5120028663561448,0.00347591202399411,2,NO_EDGE
SHARED:failed_escape_count24,8691,8737,True,CONTINUOUS,HIGH,3.0,0.5031163027723926,0.5031163027723926,0.4792249201996704,0.4792249201996704,0.4800715366334208,0.4783521207075148,2665,0.5200750469043152,0.0036646727936885393,3687,0.49498237049091404,-0.013544583841236635,1,NO_EDGE
SHARED:range_atr,8714,8737,True,CONTINUOUS,HIGH,1.2573496988338324,0.5112903021673786,0.5112903021673786,0.496226591527668,0.496226591527668,0.4949821953635814,0.4963188894010549,1743,0.5232358003442341,0.00682542623360749,1807,0.5124515771997786,0.003924622867627958,2,NO_EDGE
SHARED:volume_vs_med24,8691,8737,True,CONTINUOUS,HIGH,1.6642908081632324,0.5164887798043158,0.5164887798043158,0.49845331661061854,0.49845331661061854,0.49900044768780955,0.49877868602200653,1739,0.5422656699252444,0.025855295814617762,1694,0.5147579693034239,0.006231014971273208,3,NO_EDGE
SHARED:v1_regime_duration_hours,8714,8737,True,CONTINUOUS,HIGH,94.0,0.5097112271265095,0.5097112271265095,0.5132761184180388,0.5132761184180388,0.5128124325246022,0.5123112350467838,1752,0.5325342465753424,0.016123872464715805,2221,0.5240882485366952,0.015561294204544551,4,NO_EDGE
SIDE:post_reclaim_progress_1h__present,8714,8737,True,BINARY,HIGH,1.0,0.5040573221536677,0.5040573221536677,0.49431504223502354,0.49431504223502354,0.49337724166131197,0.494190825405627,2245,0.5242761692650334,0.007865795154406774,2208,0.49728260869565216,-0.01124434563649851,2,NO_EDGE
SIDE:post_reclaim_progress_3h__present,8714,8737,True,BINARY,HIGH,1.0,0.5067712387280494,0.5067712387280494,0.5032178541398101,0.5032178541398101,0.5022871573195774,0.503051451140212,2226,0.5296495956873315,0.013239221576704874,2222,0.5148514851485149,0.006324530816364193,4,NO_EDGE
SIDE:pullback_age_h__present,8714,8737,True,BINARY,LOW,0.0,0.48581738121605234,0.5141826187839477,0.49710756892589997,0.5028924310741001,0.5016013471311678,0.5028184250497945,4983,0.5287979129038731,0.0123875387932465,5086,0.511010617381046,0.002483663048895357,4,NO_EDGE
