local_date,duration_regime,entry_ts,entry_px,H,L,R,entry_depth_R,shallow,b27eo_h2,exit_type,exit_ts,gross_rr,gross_return,net_return,net_win,pnl_usd_500,same_bar_collision,hit_H_strict_before_exit,sl_before_H
2020-10-15,NORMAL_6H30,2020-10-15 14:55:00+00:00,30.963,31.036,30.332,0.7040000000000006,0.1036931818181823,True,True,TP,2020-10-15 15:10:00+00:00,1.3456439393939386,0.00917869715466857,0.00767869715466857,True,3.8393485773342846,False,True,False
2020-11-20,NORMAL_6H30,2020-11-20 14:55:00+00:00,29.177,29.322,28.135,1.1869999999999976,0.12215669755686594,True,False,SL,2020-11-20 18:30:00+00:00,1.4071889918562215,-0.012204818864173794,-0.013704818864173794,False,-6.852409432086897,False,False,True
2020-12-09,NORMAL_6H30,2020-12-09 15:20:00+00:00,28.061,28.21,26.932,1.2780000000000022,0.11658841940532132,True,True,SESSION_CLOSE,2020-12-09 20:55:00+00:00,1.3886280646844034,0.00520295071451482,0.00370295071451482,True,1.85147535725741,False,True,False
2020-12-30,NORMAL_6H30,2020-12-30 20:20:00+00:00,37.832,37.907,36.852,1.0549999999999997,0.0710900473933609,True,False,SESSION_CLOSE,2020-12-30 20:55:00+00:00,1.236966824644538,0.0005286529921757488,-0.0009713470078242512,False,-0.4856735039121256,False,False,False
2021-01-13,NORMAL_6H30,2021-01-13 14:50:00+00:00,38.758,38.85,38.004,0.8460000000000036,0.10874704491725573,True,True,SL,2021-01-13 14:55:00+00:00,1.36249014972419,-0.006548325506992025,-0.008048325506992025,False,-4.024162753496013,False,False,True
2021-01-14,NORMAL_6H30,2021-01-14 15:20:00+00:00,41.57,41.885,40.418,1.4669999999999987,0.21472392638036672,True,True,SL,2021-01-14 20:55:00+00:00,1.7157464212678868,-0.010586961751262947,-0.012086961751262946,False,-6.043480875631473,False,True,False
2021-02-04,NORMAL_6H30,2021-02-04 15:35:00+00:00,52.811,54.42,51.008,3.411999999999999,0.47157092614302526,False,True,TP,2021-02-04 19:35:00+00:00,2.571903087143414,0.04984946318001948,0.04834946318001948,True,24.174731590009742,False,True,False
2021-03-10,NORMAL_6H30,2021-03-10 17:00:00+00:00,288.842,290.0,275.0,15.0,0.07720000000000103,True,False,SL,2021-03-10 18:25:00+00:00,1.2573333333333367,-0.015579451741782657,-0.01707945174178266,False,-8.53972587089133,False,False,True
2021-03-23,DST_MISMATCH_5H30,2021-03-23 14:00:00+00:00,261.161,262.88,255.3,7.579999999999984,0.22678100263852213,True,False,SL,2021-03-23 14:20:00+00:00,1.7559366754617385,-0.008707272525377063,-0.010207272525377063,False,-5.103636262688531,False,False,True
2021-04-08,NORMAL_6H30,2021-04-08 14:00:00+00:00,411.102,412.499,391.0,21.499000000000024,0.06497976650076964,True,True,TP,2021-04-08 14:40:00+00:00,1.216599221669232,0.019086990576548057,0.017586990576548056,True,8.793495288274029,False,True,False
2021-04-13,NORMAL_6H30,2021-04-13 14:05:00+00:00,573.366,581.0,533.5,47.5,0.1607157894736845,True,False,SL,2021-04-13 16:15:00+00:00,1.5357192982456151,-0.02485323510637183,-0.02635323510637183,False,-13.176617553185915,False,False,True
2021-05-11,NORMAL_6H30,2021-05-11 16:25:00+00:00,665.1,667.55,642.13,25.41999999999996,0.09638080251770006,True,True,SL,2021-05-11 16:45:00+00:00,1.3212693417256673,-0.011465944970681097,-0.012965944970681096,False,-6.482972485340548,False,False,True
2021-05-27,NORMAL_6H30,2021-05-27 13:50:00+00:00,383.4,385.0,355.48,29.519999999999982,0.054200542005420856,True,True,SL,2021-05-27 15:20:00+00:00,1.1806684733514028,-0.02309859154929572,-0.024598591549295723,False,-12.299295774647861,False,True,False
2021-06-01,NORMAL_6H30,2021-06-01 14:30:00+00:00,353.9,357.36,339.1,18.25999999999999,0.1894852135816012,True,False,SL,2021-06-01 15:00:00+00:00,1.631617378605336,-0.015478948855608965,-0.016978948855608966,False,-8.489474427804483,False,False,True
2021-07-02,NORMAL_6H30,2021-07-02 15:35:00+00:00,282.89,284.44,275.93,8.509999999999991,0.1821386603995315,True,True,SESSION_CLOSE,2021-07-02 19:55:00+00:00,1.6071288679984383,0.0003181448619606897,-0.0011818551380393103,False,-0.5909275690196552,False,True,False
2021-07-22,NORMAL_6H30,2021-07-22 16:30:00+00:00,295.14,297.61,289.14,8.470000000000027,0.2916174734356575,True,False,SESSION_CLOSE,2021-07-22 19:55:00+00:00,1.9720582447855295,-0.001626346818458857,-0.003126346818458857,False,-1.5631734092294285,False,False,False
2021-07-27,NORMAL_6H30,2021-07-27 14:20:00+00:00,312.33,317.9,301.83,16.069999999999993,0.3466085874299935,False,False,SL,2021-07-27 16:20:00+00:00,2.1553619580999968,-0.015435596964748721,-0.016935596964748723,False,-8.467798482374361,False,False,True
2021-08-03,NORMAL_6H30,2021-08-03 15:00:00+00:00,322.16,324.43,317.08,7.350000000000023,0.30884353741496257,True,False,SL,2021-08-03 15:25:00+00:00,2.0294784580498857,-0.00684442513036998,-0.00834442513036998,False,-4.1722125651849895,False,False,True
2021-08-06,NORMAL_6H30,2021-08-06 14:10:00+00:00,336.7,337.3,330.95,6.350000000000023,0.0944881889763812,True,True,TP,2021-08-06 15:25:00+00:00,1.3149606299212668,0.0074398574398575334,0.005939857439857534,True,2.9699287199287667,False,True,False
2021-08-10,NORMAL_6H30,2021-08-10 14:00:00+00:00,368.4,375.35,350.97,24.379999999999995,0.28506972928630214,True,False,SESSION_CLOSE,2021-08-10 19:55:00+00:00,1.9502324309543375,0.007763300760043501,0.0062633007600435015,True,3.1316503800217506,False,False,False
2021-08-18,NORMAL_6H30,2021-08-18 15:40:00+00:00,403.16,405.07,389.57,15.5,0.12322580645161085,True,True,TP,2021-08-18 16:00:00+00:00,1.4107526881720382,0.016271455501537746,0.014771455501537746,True,7.385727750768873,False,True,False
2021-09-03,NORMAL_6H30,2021-09-03 14:20:00+00:00,493.72,494.5,482.8,11.699999999999989,0.0666666666666644,True,True,SL,2021-09-03 18:05:00+00:00,1.222222222222215,-0.0071092927165195,-0.0086092927165195,False,-4.30464635825975,False,True,False
2021-09-08,NORMAL_6H30,2021-09-08 14:00:00+00:00,413.68,416.5,381.8,34.69999999999999,0.08126801152737735,True,True,SESSION_CLOSE,2021-09-08 19:55:00+00:00,1.2708933717579183,0.013633726551924186,0.012133726551924186,True,6.066863275962093,False,True,False
2021-10-06,NORMAL_6H30,2021-10-06 14:10:00+00:00,435.8,441.94,414.5,27.439999999999998,0.22376093294460594,True,False,SESSION_CLOSE,2021-10-06 19:55:00+00:00,1.7458697764820172,0.0006883891693436617,-0.0008116108306563384,False,-0.40580541532816916,False,False,False
2021-11-09,NORMAL_6H30,2021-11-09 15:15:00+00:00,644.4,650.0,638.6,11.399999999999977,0.49122807017544157,False,False,SL,2021-11-09 15:50:00+00:00,2.6374269005848214,-0.005307262569832383,-0.006807262569832382,False,-3.4036312849161914,False,False,True
2021-11-23,NORMAL_6H30,2021-11-23 14:50:00+00:00,594.23,596.85,560.28,36.57000000000005,0.07164342357123328,True,True,SESSION_CLOSE,2021-11-23 20:55:00+00:00,1.2388114119041111,0.013950827120811748,0.012450827120811749,True,6.225413560405874,False,True,False
