timeframe,partition,side,signal_ts,entry_ts,range_high_ts,range_low_ts,range_high,range_low,target_side_visits_at_entry,opposite_visits_at_entry,entry_px,stop_px,target_px,risk_pct,target_boundary,target_wick_before_stop,target_break_before_stop,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
1h,development,LONG,2022-01-18 12:00:00+00:00,2022-01-18 13:00:00+00:00,2022-01-17 22:00:00+00:00,2022-01-17 22:00:00+00:00,42368.0,41523.68,2,2,41793.31,41600.0,42179.92999999999,0.004625381430664326,42368.0,False,False,True,2022-01-18 13:15:00+00:00,41600.0,-0.004625381430664377,-2.7126907153321884,SL,15.0
1h,development,SHORT,2022-02-01 08:00:00+00:00,2022-02-01 09:00:00+00:00,2022-01-31 17:00:00+00:00,2022-01-31 20:00:00+00:00,38599.86,38220.0,1,3,38576.48,38589.95,38549.540000000015,0.000349176493033939,38220.0,False,False,True,2022-02-01 09:00:00+00:00,38589.95,-0.0003491764930338981,-0.5745882465169491,SL_SAME_5M_CONSERVATIVE,0.0
1h,development,LONG,2022-02-05 16:00:00+00:00,2022-02-05 17:00:00+00:00,2022-02-05 00:00:00+00:00,2022-02-05 02:00:00+00:00,41922.0,41155.45,1,2,41276.9,41220.0,41390.700000000004,0.001378494993567866,41922.0,False,False,True,2022-02-05 17:00:00+00:00,41220.0,-0.0013784949935679025,-1.0892474967839512,SL,0.0
1h,development,SHORT,2022-02-12 09:00:00+00:00,2022-02-12 10:00:00+00:00,2022-02-12 01:00:00+00:00,2022-02-11 23:00:00+00:00,42491.19,41914.23,1,2,42375.92,42440.73,42246.29999999999,0.0015294063232138666,41914.23,True,False,True,2022-02-12 10:15:00+00:00,42246.29999999999,0.003058812646427711,1.1294063232138556,TP_2R,15.0
1h,development,LONG,2022-02-18 14:00:00+00:00,2022-02-18 15:00:00+00:00,2022-02-18 01:00:00+00:00,2022-02-17 21:00:00+00:00,40944.1,40020.1,1,2,40461.0,39622.0,42139.0,0.020736017399471094,40944.1,False,False,True,2022-02-18 15:45:00+00:00,39622.0,-0.020736017399471063,-10.768008699735532,SL,45.0
1h,development,LONG,2022-03-03 08:00:00+00:00,2022-03-03 09:00:00+00:00,2022-03-01 13:00:00+00:00,2022-03-01 16:00:00+00:00,44935.0,43202.1,1,2,43457.0,43262.0,43847.0,0.004487194237982373,44935.0,False,False,True,2022-03-03 09:05:00+00:00,43262.0,-0.004487194237982384,-2.6435971189911918,SL,5.0
1h,development,SHORT,2022-03-19 23:00:00+00:00,2022-03-20 00:00:00+00:00,2022-03-18 20:00:00+00:00,2022-03-19 03:00:00+00:00,42322.8,41500.0,2,2,42188.2,42285.9,41992.79999999999,0.0023158134265032493,41500.0,True,True,True,2022-03-20 00:30:00+00:00,41992.79999999999,0.004631626853006443,1.9158134265032216,TP_2R,30.0
1h,development,LONG,2022-03-21 16:00:00+00:00,2022-03-21 17:00:00+00:00,2022-03-21 11:00:00+00:00,2022-03-21 06:00:00+00:00,41481.1,40738.4,1,2,40768.5,40751.0,40803.5,0.000429252977176006,41481.1,False,False,True,2022-03-21 17:00:00+00:00,40751.0,-0.00042925297717599786,-0.614626488587999,SL_SAME_5M_CONSERVATIVE,0.0
1h,development,LONG,2022-03-24 13:00:00+00:00,2022-03-24 14:00:00+00:00,2022-03-24 00:00:00+00:00,2022-03-24 02:00:00+00:00,43296.0,42622.2,1,2,42968.4,42525.0,43855.200000000004,0.010319211327394119,43296.0,True,True,True,2022-03-24 15:35:00+00:00,43855.200000000004,0.020638422654788213,9.919211327394107,TP_2R,95.0
1h,development,SHORT,2022-03-25 06:00:00+00:00,2022-03-25 07:00:00+00:00,2022-03-24 17:00:00+00:00,2022-03-24 18:00:00+00:00,44200.0,43741.8,1,2,44083.6,44195.0,43860.799999999996,0.002527016849803588,43741.8,True,False,True,2022-03-25 08:00:00+00:00,43860.799999999996,0.005054033699607219,2.1270168498036095,TP_2R,60.0
1h,reference_validation,SHORT,2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,2025-01-02 14:00:00+00:00,2025-01-02 14:00:00+00:00,97440.0,95910.8,1,2,96970.4,97321.0,96269.19999999998,0.003615536287361977,95910.8,False,False,True,2025-01-03 15:10:00+00:00,97321.0,-0.003615536287361998,-2.207768143680999,SL,10.0
1h,august,LONG,2026-08-05 10:00:00+00:00,2026-08-05 11:00:00+00:00,2026-08-04 20:00:00+00:00,2026-08-04 20:00:00+00:00,64397.6,63918.2,1,2,64033.0,63982.2,64134.600000000006,0.0007933409335811677,64397.6,True,False,True,2026-08-05 12:05:00+00:00,64134.600000000006,0.0015866818671623761,0.39334093358118805,TP_2R,65.0
1h,august,SHORT,2026-08-06 07:00:00+00:00,2026-08-06 08:00:00+00:00,2026-08-05 20:00:00+00:00,2026-08-06 02:00:00+00:00,65022.0,64386.3,1,2,64789.3,64944.3,64479.3,0.002392370345103281,64386.3,False,False,True,2026-08-06 08:50:00+00:00,64944.3,-0.002392370345103201,-1.5961851725516003,SL,50.0
1h,august,LONG,2026-08-11 05:00:00+00:00,2026-08-11 06:00:00+00:00,2026-08-10 20:00:00+00:00,2026-08-10 16:00:00+00:00,64189.3,63808.9,1,2,63965.0,63929.2,64036.600000000006,0.0005596810755882578,64189.3,False,False,True,2026-08-11 06:25:00+00:00,63929.2,-0.0005596810755882364,-0.6798405377941182,SL,25.0
