role,partition,dev_block,execution_start,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,signal_ts,confirm_ts,reentry_ts,reentry_price,reentry_R,exit_ts,exit_price,exit_reason,floor_close_ts,recovery_pnl,recovery_pnl_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps,loss_class,parent_loss_R,parent_mfe_R,parent_mae_R,parent_hold_min,ref_width_pct,exit_to_signal_min,signal_to_confirm_min,signal_close_R,confirm_close_R,confirm_body_R,max_close_R_to_confirm,running_mfe_R_to_confirm,running_mae_R_to_confirm,above_H_frac_to_confirm,closes_above_H_to_confirm,preconfirm_30m_return_R,preexit_60m_return_R,preexit_60m_range_R,stress_outcome,raw_outcome
CLOCK_SUPPORT,development,0,2022-05-30 16:00:00+00:00,46.71,44.92,1.7899999999999991,2022-05-30 20:25:00+00:00,2022-05-30 20:35:00+00:00,-0.5352172982231451,-0.7852172982231451,2022-05-30 20:55:00+00:00,2022-05-30 21:05:00+00:00,2022-05-30 21:10:00+00:00,46.98,0.15083798882681348,2022-05-30 21:15:00+00:00,47.426,TARGET,,4.746700723712305,4.496700723712305,4.21148342548916,3.7114834254891598,True,True,L2_BREAK_FAST_FAIL_5M,0.027932960893858234,0.15642458100558732,0.2402234636871508,10.0,0.03832155855277241,20.0,10.0,0.3072625698324008,0.15083798882681348,-0.07262569832402381,0.3072625698324008,0.3631284916201111,0.19553072625698412,0.5714285714285714,4,0.2569832402234603,0.36312849162011507,0.9050279329608968,WIN,WIN
CLOCK_SUPPORT,development,1,2022-08-21 16:00:00+00:00,36.27,35.55,0.720000000000006,2022-08-21 16:45:00+00:00,2022-08-21 17:00:00+00:00,0.0,-0.25,2022-08-21 17:05:00+00:00,2022-08-21 17:15:00+00:00,2022-08-21 17:20:00+00:00,36.4,0.18055555555554775,2022-08-21 17:45:00+00:00,36.28,E10_FLOOR,2022-08-21 17:40:00+00:00,-1.648351648351587,-1.898351648351587,-1.648351648351587,-2.148351648351587,False,False,L2_BREAK_FAST_FAIL_5M,0.0,0.37499999999999134,0.1666666666666716,15.0,0.019851116625310337,5.0,10.0,0.26388888888888357,0.18055555555554775,-0.09722222222222181,0.26388888888888357,0.3194444444444375,0.0833333333333358,1.0,4,0.26388888888888357,0.3194444444444473,1.0138888888888762,FAIL,FAIL
CLOCK_SUPPORT,development,1,2022-09-26 16:00:00+00:00,33.41,32.1,1.3099999999999952,2022-09-26 18:05:00+00:00,2022-09-26 18:30:00+00:00,-0.5986231667165498,-0.8486231667165498,2022-09-26 18:45:00+00:00,2022-09-26 18:55:00+00:00,2022-09-26 19:00:00+00:00,33.63,0.1679389312977151,2022-09-26 20:35:00+00:00,33.5,E10_FLOOR,2022-09-26 20:30:00+00:00,-1.9327980969373049,-2.1827980969373053,-2.5314212636538547,-3.031421263653855,False,False,L3_BREAK_FAST_FAIL_10M,0.030534351145038167,0.16030534351145162,0.1603053435114462,25.0,0.03920981741993401,15.0,10.0,0.21374045801526884,0.16030534351145162,-0.05343511450381721,0.21374045801526884,0.2519083969465699,0.06870229007633331,0.6666666666666666,4,0.1832061068702258,0.3587786259541989,0.5496183206106882,FAIL,FAIL
CLOCK_SUPPORT,development,1,2022-10-05 16:00:00+00:00,33.78,33.15,0.6300000000000026,2022-10-05 16:05:00+00:00,2022-10-05 16:25:00+00:00,0.0,-0.25,2022-10-05 16:50:00+00:00,2022-10-05 17:00:00+00:00,2022-10-05 17:05:00+00:00,33.87,0.1428571428571364,2022-10-05 17:20:00+00:00,34.032000000000004,TARGET,,2.3914968999114716,2.1414968999114716,2.3914968999114716,1.8914968999114716,True,True,L3_BREAK_FAST_FAIL_10M,0.0,0.17460317460317298,0.2857142857142841,20.0,0.01865008880994679,25.0,10.0,0.2222222222222222,0.15873015873016033,0.04761904761904923,0.3174603174603094,0.3333333333333333,0.23809523809523486,0.5,4,0.3650793650793699,0.2539682539682588,0.6031746031746048,WIN,WIN
CLOCK_SUPPORT,development,1,2022-10-17 16:00:00+00:00,31.19,30.39,0.8000000000000007,2022-10-17 23:35:00+00:00,2022-10-17 23:55:00+00:00,0.0,-0.25,2022-10-18 00:20:00+00:00,2022-10-18 00:30:00+00:00,2022-10-18 00:35:00+00:00,31.45,0.32499999999999724,2022-10-18 00:50:00+00:00,31.27,E10_FLOOR,2022-10-18 00:45:00+00:00,-2.861685214626375,-3.111685214626375,-2.861685214626375,-3.361685214626375,False,False,L4_BREAK_FAIL_30M,0.0,0.11249999999999973,0.07500000000000277,20.0,0.025649246553382517,25.0,10.0,0.18749999999999806,0.3374999999999992,0.12500000000000167,0.3374999999999992,0.34999999999999665,0.11249999999999973,0.5,4,0.4125000000000019,0.22499999999999945,0.37500000000000056,FAIL,FAIL
CLOCK_SUPPORT,development,2,2023-01-02 16:00:00+00:00,11.234,10.832,0.40199999999999925,2023-01-02 19:45:00+00:00,2023-01-02 20:05:00+00:00,-1.8248175182482007,-2.074817518248201,2023-01-02 20:30:00+00:00,2023-01-02 20:40:00+00:00,2023-01-02 20:45:00+00:00,11.325,0.2263681592039788,2023-01-02 21:55:00+00:00,11.3948,TARGET,,3.081677704194319,2.831677704194319,1.2568601859461181,0.7568601859461177,True,True,L4_BREAK_FAIL_30M,0.10199004975124538,0.6616915422885585,0.21144278606965425,20.0,0.035784226455403176,25.0,10.0,0.04975124378109356,0.2263681592039788,0.10447761194029824,0.2263681592039788,0.24129353233830775,0.1542288557213918,0.5,4,0.30597014925373023,0.22139303482587208,0.9900497512437821,WIN,WIN
CLOCK_SUPPORT,development,2,2023-01-27 16:00:00+00:00,24.219,23.31,0.9090000000000025,2023-01-27 17:00:00+00:00,2023-01-27 17:35:00+00:00,-0.3922540154424614,-0.6422540154424614,2023-01-27 17:40:00+00:00,2023-01-27 17:50:00+00:00,2023-01-27 17:55:00+00:00,24.529,0.3410341034103387,2023-01-27 18:00:00+00:00,24.582600000000003,TARGET,,1.092584287985754,0.8425842879857539,0.7003302725432925,0.2003302725432925,True,True,L4_BREAK_FAIL_30M,0.020902090209022988,0.19031903190318789,0.08030803080308052,35.0,0.03753251579338546,5.0,10.0,0.10451045104510298,0.3410341034103387,0.1276127612761269,0.3410341034103387,0.3751375137513714,0.02090209020902294,1.0,4,0.19581958195819618,0.3509350935093489,0.3784378437843787,WIN,WIN
CLOCK_SUPPORT,development,2,2023-04-22 16:00:00+00:00,21.721,21.2,0.5210000000000008,2023-04-22 16:00:00+00:00,2023-04-22 16:55:00+00:00,-0.046038396022241024,-0.296038396022241,2023-04-22 17:10:00+00:00,2023-04-22 17:20:00+00:00,2023-04-22 17:25:00+00:00,21.837,0.22264875239923126,2023-04-22 17:50:00+00:00,21.766,E10_FLOOR,2023-04-22 17:45:00+00:00,-1.6256811833127438,-1.8756811833127438,-1.6717195793349848,-2.171719579334985,False,False,L5_BREAK_FAIL_LATE,0.0038387715930867402,0.39731285988483767,0.13435700575815773,55.0,0.02398600432760926,15.0,10.0,0.10748560460652755,0.2245681381957787,0.049904030710172284,0.2245681381957787,0.28023032629558653,0.11708253358925115,0.6666666666666666,4,0.23032629558541423,-0.019193857965447206,0.5316698656429953,FAIL,FAIL
CLOCK_SUPPORT,development,2,2023-04-25 16:00:00+00:00,21.163,20.726,0.43700000000000117,2023-04-25 17:55:00+00:00,2023-04-25 18:05:00+00:00,-1.1576808581014175,-1.4076808581014175,2023-04-25 18:15:00+00:00,2023-04-25 18:25:00+00:00,2023-04-25 18:30:00+00:00,21.219,0.12814645308924666,2023-04-25 18:45:00+00:00,21.142,E10_FLOOR,2023-04-25 18:40:00+00:00,-1.8144116122343346,-2.064411612234335,-2.972092470335752,-3.4720924703357525,False,False,L2_BREAK_FAST_FAIL_5M,0.11212814645309031,0.23798627002288084,0.19908466819221857,10.0,0.020649246326135292,10.0,10.0,0.06407322654461926,0.12814645308924666,0.08924485125858438,0.12814645308924666,0.27231121281464404,0.11212814645308777,0.8,4,0.0503432494279221,0.3569794050343294,1.0,FAIL,FAIL
CLOCK_SUPPORT,development,2,2023-06-16 16:00:00+00:00,15.094,14.315,0.7789999999999999,2023-06-16 17:05:00+00:00,2023-06-16 17:15:00+00:00,-1.358155558499996,-1.608155558499996,2023-06-16 17:20:00+00:00,2023-06-16 17:30:00+00:00,2023-06-16 17:35:00+00:00,15.231,0.17586649550706093,2023-06-16 18:05:00+00:00,15.4056,TARGET,,5.731731337404011,5.481731337404011,4.373575778904016,3.8735757789040153,True,True,L2_BREAK_FAST_FAIL_5M,0.052631578947365705,0.16431322207958937,0.08857509627727737,10.0,0.051609911223002514,5.0,10.0,0.18100128369704754,0.17586649550706093,0.010269576379973196,0.18100128369704754,0.24646983311938406,0.05263157894736662,1.0,4,0.24646983311938406,0.17458279845956487,0.4364569961489087,WIN,WIN
