cohort,horizon_min,threshold_pct,n,tp_hit_rate,up_touch_rate,down_touch_rate,symmetric_first_touch_wr,median_mfe_pct,p75_mfe_pct,median_mae_pct
5M_ON_WHILE_4H_BULL,60,0.2,5562,0.4394102840704782,0.4394102840704782,0.45145631067961167,0.4932391523713421,0.25124890850538595,0.5554519544253955,-0.2540649837519504
5M_ON_WHILE_4H_BULL,60,0.25,5562,0.41172240201366417,0.41172240201366417,0.40632865875584323,0.5032967032967033,0.25124890850538595,0.5554519544253955,-0.2540649837519504
5M_ON_WHILE_4H_BULL,60,0.3,5562,0.3825961884214311,0.3825961884214311,0.36533620999640415,0.5115384615384615,0.25124890850538595,0.5554519544253955,-0.2540649837519504
5M_ON_WHILE_4H_BULL,60,0.4,5562,0.319848975188781,0.319848975188781,0.2885652642934196,0.525709219858156,0.25124890850538595,0.5554519544253955,-0.2540649837519504
5M_ON_WHILE_4H_BULL,60,0.5,5562,0.26591154261057176,0.26591154261057176,0.22707659115426107,0.5393873085339168,0.25124890850538595,0.5554519544253955,-0.2540649837519504
5M_ON_WHILE_1H_4H_BULL,5,0.1,3841,0.2806560791460557,0.2806560791460557,0.36865399635511586,0.4322373696872494,0.06501237705942575,0.1474558781858315,-0.07014705882352201
5M_ON_WHILE_1H_4H_BULL,5,0.15,3841,0.20958083832335328,0.20958083832335328,0.22884665451705286,0.47802850356294535,0.06501237705942575,0.1474558781858315,-0.07014705882352201
5M_ON_WHILE_1H_4H_BULL,5,0.2,3841,0.1476178078625358,0.1476178078625358,0.1455350169226764,0.5035523978685613,0.06501237705942575,0.1474558781858315,-0.07014705882352201
5M_ON_WHILE_1H_4H_BULL,5,0.25,3841,0.10596198906534757,0.10596198906534757,0.09919291851080447,0.516497461928934,0.06501237705942575,0.1474558781858315,-0.07014705882352201
5M_ON_WHILE_1H_4H_BULL,5,0.3,3841,0.07628221817235095,0.07628221817235095,0.07081489195521999,0.5185840707964602,0.06501237705942575,0.1474558781858315,-0.07014705882352201
5M_ON_WHILE_1H_4H_BULL,5,0.4,3841,0.04451965633949492,0.04451965633949492,0.03566779484509242,0.5551948051948052,0.06501237705942575,0.1474558781858315,-0.07014705882352201
5M_ON_WHILE_1H_4H_BULL,5,0.5,3841,0.02863837542306691,0.02863837542306691,0.019526165061181985,0.5945945945945946,0.06501237705942575,0.1474558781858315,-0.07014705882352201
5M_ON_WHILE_1H_4H_BULL,15,0.1,3841,0.3933871387659464,0.3933871387659464,0.5001301744337412,0.4402680652680653,0.12728582005536726,0.2636881029917548,-0.12603836058617812
5M_ON_WHILE_1H_4H_BULL,15,0.15,3841,0.36396771674043216,0.36396771674043216,0.38609737047643844,0.4852481777160708,0.12728582005536726,0.2636881029917548,-0.12603836058617812
5M_ON_WHILE_1H_4H_BULL,15,0.2,3841,0.3022650351470971,0.3022650351470971,0.2910700338453528,0.5094339622641509,0.12728582005536726,0.2636881029917548,-0.12603836058617812
5M_ON_WHILE_1H_4H_BULL,15,0.25,3841,0.24394688883103358,0.24394688883103358,0.2272845613121583,0.5176795580110497,0.12728582005536726,0.2636881029917548,-0.12603836058617812
