n,wr,pf,expectancy,total_pnl,early_cut_n,cut_baseline_winner_n,cut_baseline_e20_n,early_cut_total_pnl,same_as_baseline_n,candidate,family,horizon_minutes,threshold,partition,pnl_delta_vs_baseline,at_risk_n
79,0.5189873417721519,0.8275914891414149,-0.2946298493095921,-23.275758095457775,5,2,2,-11.609228159994654,74,AC_H05_T20,adverse_close_r,5,0.2,development,-1.7916218434737,61
34,0.5,0.471405199015706,-0.980881108896732,-33.34995770248889,2,0,0,-6.508199390947688,32,AC_H05_T20,adverse_close_r,5,0.2,reference_validation,5.6137244389545815,28
163,0.5214723926380368,0.9732558419538498,-0.04440984611475199,-7.238804916704574,10,2,2,-27.22576981350688,153,AC_H05_T20,adverse_close_r,5,0.2,POOLED_MAJOR,7.819611000284389,125
50,0.54,1.5979890029580839,0.9127836872827868,45.63918436413934,2,0,0,-6.084430415079089,48,AC_H05_T25,adverse_close_r,5,0.25,external,0.24978188770075072,36
79,0.5316455696202531,0.835749358544845,-0.281577696259818,-22.24463800452562,3,1,1,-7.731545623807644,76,AC_H05_T25,adverse_close_r,5,0.25,development,-0.7605017525415532,61
34,0.5,0.471405199015706,-0.980881108896732,-33.34995770248889,2,0,0,-6.508199390947688,32,AC_H05_T25,adverse_close_r,5,0.25,reference_validation,5.6137244389545815,28
163,0.5276073619631901,0.9637779421588808,-0.061076143207823196,-9.95541134287518,7,1,1,-20.324175429834423,156,AC_H05_T25,adverse_close_r,5,0.25,POOLED_MAJOR,5.103004574113779,125
50,0.4,1.3783343403744581,0.45520568085947555,22.760284042973776,20,7,9,-32.62579064642611,30,AC_H10_T05,adverse_close_r,10,0.05,external,-22.629118433464825,33
79,0.3924050632911392,0.5466253669162416,-0.6075337349684107,-47.99516506250444,33,13,14,-49.46812077845576,46,AC_H10_T05,adverse_close_r,10,0.05,development,-26.51102881052037,49
34,0.29411764705882354,0.34586887554369283,-0.9165460113965929,-31.162564387484156,18,7,8,-27.398327303655837,16,AC_H10_T05,adverse_close_r,10,0.05,reference_validation,7.801117753959314,25
163,0.37423312883435583,0.7360422163759481,-0.34599659758904794,-56.397445407014814,71,27,31,-109.49223872853771,92,AC_H10_T05,adverse_close_r,10,0.05,POOLED_MAJOR,-41.339029490025865,107
50,0.5,1.8029976218195827,0.9192322770547192,45.96161385273596,11,2,2,-23.349810417698944,39,AC_H10_T10,adverse_close_r,10,0.1,external,0.5722113762973744,33
79,0.4050632911392405,0.4968547224128595,-0.7696910784750848,-60.8055951995317,26,12,12,-42.93213757763862,53,AC_H10_T10,adverse_close_r,10,0.1,development,-39.32145894754764,49
34,0.38235294117647056,0.5628001660152713,-0.5673015643182624,-19.28825318682092,15,4,5,-23.876402580492666,19,AC_H10_T10,adverse_close_r,10,0.1,reference_validation,19.675428954622546,25
163,0.4294478527607362,0.8463938848770509,-0.20940021186267885,-34.13223453361665,52,18,19,-90.15835057583021,111,AC_H10_T10,adverse_close_r,10,0.1,POOLED_MAJOR,-19.073818616627705,107
50,0.52,1.8637615388193114,1.037140134094864,51.8570067047432,9,1,1,-19.837251790402917,41,AC_H10_T15,adverse_close_r,10,0.15,external,6.467604228304612,33
79,0.43037974683544306,0.5394219971555397,-0.703093862673547,-55.54441515121021,21,10,10,-35.747270864149236,58,AC_H10_T15,adverse_close_r,10,0.15,development,-34.06027889922615,49
34,0.4117647058823529,0.45005730320166515,-0.9399460460901925,-31.958165567066544,11,3,4,-20.188602142820297,23,AC_H10_T15,adverse_close_r,10,0.15,reference_validation,7.005516574376925,25
163,0.4539877300613497,0.8506962012787568,-0.21868450315051252,-35.64557401353354,41,14,15,-75.77312479737245,122,AC_H10_T15,adverse_close_r,10,0.15,POOLED_MAJOR,-20.587158096544595,107
50,0.54,1.696305348780927,1.001253757034636,50.0626878517318,4,0,0,-11.579720533462964,46,AC_H10_T20,adverse_close_r,10,0.2,external,4.673285375293213,33
79,0.4936708860759494,0.5958620389959934,-0.702375233909343,-55.487643478838095,8,4,4,-14.277683079999012,71,AC_H10_T20,adverse_close_r,10,0.2,development,-34.003507226854026,49
34,0.47058823529411764,0.47554759867470536,-0.9476222347156465,-32.21915598033198,5,1,1,-10.921648203102928,29,AC_H10_T20,adverse_close_r,10,0.2,reference_validation,6.7445261611114855,25
163,0.5030674846625767,0.8609020663471615,-0.23094546998428386,-37.64411160743827,17,5,5,-36.7790518165649,146,AC_H10_T20,adverse_close_r,10,0.2,POOLED_MAJOR,-22.585695690449327,107
50,0.54,1.5866463424125543,0.901871558751405,45.09357793757025,2,0,0,-6.630036841648178,48,AC_H10_T25,adverse_close_r,10,0.25,external,-0.2958245388683389,33
79,0.5189873417721519,0.6259454620879692,-0.6441190051482254,-50.88540140670981,4,2,2,-8.24416932027767,75,AC_H10_T25,adverse_close_r,10,0.25,development,-29.40126515472575,49
34,0.5,0.4848052391022255,-0.9295911588328186,-31.606099400315834,3,0,0,-8.150353921557183,31,AC_H10_T25,adverse_close_r,10,0.25,reference_validation,7.357582741127633,25
163,0.5214723926380368,0.8636366291200404,-0.2294351096285607,-37.39792286945539,9,2,2,-23.02456008348303,154,AC_H10_T25,adverse_close_r,10,0.25,POOLED_MAJOR,-22.339506952466454,107
50,0.44,1.2871991737861863,0.3742866522377657,18.714332611888285,21,7,8,-38.751498468271286,29,AC_H15_T05,adverse_close_r,15,0.05,external,-26.675069864550313,28
79,0.379746835443038,0.5229505946479517,-0.642512499561537,-50.75848746536142,32,13,14,-46.80418669749555,47,AC_H15_T05,adverse_close_r,15,0.05,development,-29.27435121337735,42
34,0.3235294117647059,0.3325918031830166,-0.9772164554936947,-33.22535948678562,16,6,7,-28.027556341971774,18,AC_H15_T05,adverse_close_r,15,0.05,reference_validation,5.738322654657848,19
163,0.38650306748466257,0.705123268155454,-0.4004264683451457,-65.26951434025875,69,26,29,-113.58324150773862,94,AC_H15_T05,adverse_close_r,15,0.05,POOLED_MAJOR,-50.21109842326982,89
50,0.52,1.63858839615646,0.8103206191647431,40.51603095823715,13,2,2,-32.61776234856042,37,AC_H15_T10,adverse_close_r,15,0.1,external,-4.873371518201439,28
79,0.3924050632911392,0.5170562136390167,-0.7024723402406601,-55.49531487901214,27,12,12,-42.50207947521269,52,AC_H15_T10,adverse_close_r,15,0.1,development,-34.01117862702807,42
34,0.4117647058823529,0.5173216583028403,-0.6835756946372105,-23.241573617665157,13,3,4,-26.396156950351372,21,AC_H15_T10,adverse_close_r,15,0.1,reference_validation,15.722108523778315,19
163,0.43558282208588955,0.8312604596102167,-0.23448378857938734,-38.220857538440136,53,17,18,-101.51599877412448,110,AC_H15_T10,adverse_close_r,15,0.1,POOLED_MAJOR,-23.162441621451197,89
50,0.52,1.5361103239390987,0.7256672190433037,36.28336095216518,10,2,2,-26.716797862300076,40,AC_H15_T15,adverse_close_r,15,0.15,external,-9.106041524273408,28
79,0.4177215189873418,0.5472683246593735,-0.6746083219173237,-53.29405743146857,21,10,10,-34.72842816817133,58,AC_H15_T15,adverse_close_r,15,0.15,development,-31.809921179484505,42
34,0.4117647058823529,0.4035728567442635,-1.082741822474905,-36.81322196414677,10,3,4,-22.285899487399448,24,AC_H15_T15,adverse_close_r,15,0.15,reference_validation,2.1504601772966994,19
163,0.44785276073619634,0.7821938712813774,-0.3302080886101236,-53.82391844345015,41,15,16,-83.73112551787085,122,AC_H15_T15,adverse_close_r,15,0.15,POOLED_MAJOR,-38.76550252646122,89
50,0.52,1.4796062548355524,0.7342923181936869,36.71461590968435,6,1,1,-23.290262629727042,44,AC_H15_T20,adverse_close_r,15,0.2,external,-8.674786566754243,28
79,0.4810126582278481,0.6334427838203686,-0.5833085266191972,-46.08137360291658,12,5,5,-19.177656008392525,67,AC_H15_T20,adverse_close_r,15,0.2,development,-24.59723735093251,42
34,0.5,0.49580969819608517,-0.8895437676913884,-30.24448810150721,5,0,0,-15.175652417728891,29,AC_H15_T20,adverse_close_r,15,0.2,reference_validation,8.719194039936264,19
163,0.49693251533742333,0.8489572204786694,-0.24301377788183706,-39.61124579473944,23,6,6,-57.643571055848454,140,AC_H15_T20,adverse_close_r,15,0.2,POOLED_MAJOR,-24.55282987775049,89
50,0.52,1.4796062548355524,0.7342923181936869,36.71461590968435,6,1,1,-23.290262629727042,44,AC_H15_T25,adverse_close_r,15,0.25,external,-8.674786566754243,28
79,0.4936708860759494,0.6158186207669586,-0.6403693018024162,-50.58917484239088,8,4,4,-15.307475379166622,71,AC_H15_T25,adverse_close_r,15,0.25,development,-29.105038590406817,42
34,0.5,0.4780290961763092,-0.955168109911222,-32.47571573698155,4,0,0,-13.18088198481988,30,AC_H15_T25,adverse_close_r,15,0.25,reference_validation,6.487966404461922,19
163,0.5030674846625767,0.8286176397703815,-0.2843575133109698,-46.35027466968808,18,5,5,-51.77861999371354,145,AC_H15_T25,adverse_close_r,15,0.25,POOLED_MAJOR,-31.291858752699138,89
50,0.46,1.5877928828361705,0.7483881183341502,37.41940591670751,13,4,5,-21.936115453258978,37,WI_H05_T05,wick_imbalance_r,5,0.05,external,-7.9699965597310705,36
79,0.31645569620253167,0.4321004082267671,-0.6731141114765508,-53.17601480664751,41,19,21,-55.84930867763163,38,WI_H05_T05,wick_imbalance_r,5,0.05,development,-31.691878554663433,61
34,0.3235294117647059,0.3101327801712918,-1.0938018684698472,-37.1892635279748,13,6,6,-19.432512226614254,21,WI_H05_T05,wick_imbalance_r,5,0.05,reference_validation,1.774418613468665,28
163,0.3619631901840491,0.7493152787708092,-0.3248213031773914,-52.9458724179148,67,29,32,-97.21793635750487,96,WI_H05_T05,wick_imbalance_r,5,0.05,POOLED_MAJOR,-37.887456500925836,125
50,0.52,1.8215965667044163,1.0093466368867978,50.46733184433989,8,1,1,-18.079771409418097,42,WI_H05_T10,wick_imbalance_r,5,0.1,external,5.077929367901303,36
79,0.3670886075949367,0.43067156883680424,-0.8356044188454487,-66.01274908879044,30,14,15,-45.72556944084686,49,WI_H05_T10,wick_imbalance_r,5,0.1,development,-44.528612836806374,61
34,0.3235294117647059,0.28951583759870053,-1.2067099652063513,-41.02813881701594,11,6,6,-17.888725488845385,23,WI_H05_T10,wick_imbalance_r,5,0.1,reference_validation,-2.0644566755724796,28
163,0.4049079754601227,0.7593854677994503,-0.34707703105194176,-56.573556061466505,49,21,22,-81.69406633911035,114,WI_H05_T10,wick_imbalance_r,5,0.1,POOLED_MAJOR,-41.51514014447755,125
50,0.52,1.6707522934290004,0.8984295421188029,44.92147710594014,7,1,1,-16.56905631292036,43,WI_H05_T15,wick_imbalance_r,5,0.15,external,-0.46792537049844407,36
79,0.4177215189873418,0.528642402858465,-0.7451711434278007,-58.86852033079625,19,10,10,-34.123374552138266,60,WI_H05_T15,wick_imbalance_r,5,0.15,development,-37.38438407881217,61
34,0.38235294117647056,0.4362695697513166,-0.9266567424549468,-31.50632924346819,9,4,4,-16.030991695085213,25,WI_H05_T15,wick_imbalance_r,5,0.15,reference_validation,7.457352897975278,28
163,0.44171779141104295,0.8165369595866585,-0.2788550458179404,-45.45337246832428,35,15,15,-66.72342256014385,128,WI_H05_T15,wick_imbalance_r,5,0.15,POOLED_MAJOR,-30.394956551335344,125
50,0.54,1.5772727593046014,0.8927353259889438,44.63676629944719,3,0,0,-7.787573899178856,47,WI_H05_T20,wick_imbalance_r,5,0.2,external,-0.7526361769913947,36
79,0.4936708860759494,0.8146405423454756,-0.29598011815326425,-23.382429334107876,11,4,4,-21.963535655767625,68,WI_H05_T20,wick_imbalance_r,5,0.2,development,-1.898293082123803,61
34,0.4117647058823529,0.3857704557922863,-1.2247714034142336,-41.642227716083944,6,3,3,-8.683102066468315,28,WI_H05_T20,wick_imbalance_r,5,0.2,reference_validation,-2.678545574640478,28
163,0.49079754601226994,0.9248416486098792,-0.12507908436039653,-20.38789075074463,20,7,7,-38.434211621414796,143,WI_H05_T20,wick_imbalance_r,5,0.2,POOLED_MAJOR,-5.329474833755675,125
50,0.54,1.5979890029580839,0.9127836872827868,45.63918436413934,2,0,0,-6.084430415079089,48,WI_H05_T25,wick_imbalance_r,5,0.25,external,0.24978188770075072,36
79,0.5189873417721519,0.8721940732532244,-0.20723920675986474,-16.371897334029313,8,2,2,-14.98668945366601,71,WI_H05_T25,wick_imbalance_r,5,0.25,development,5.112238917954758,61
34,0.4117647058823529,0.3730290897315426,-1.2928793251651287,-43.957897055614374,5,3,3,-7.612758573216192,29,WI_H05_T25,wick_imbalance_r,5,0.25,reference_validation,-4.994214914170902,28
163,0.5030674846625767,0.9464885962175992,-0.0901264418742598,-14.690610025504348,15,5,5,-28.683878441961287,148,WI_H05_T25,wick_imbalance_r,5,0.25,POOLED_MAJOR,0.36780589148460674,125
50,0.48,1.7155187273181665,0.8767412406867696,43.83706203433848,12,3,3,-23.918228468851247,38,WI_H10_T05,wick_imbalance_r,10,0.05,external,-1.5523404421001197,33
79,0.379746835443038,0.5564705500302695,-0.5457617638595603,-43.115179344905265,34,14,15,-48.67203520397945,45,WI_H10_T05,wick_imbalance_r,10,0.05,development,-21.631043092921185,49
34,0.29411764705882354,0.32005092577809785,-0.9855670924417119,-33.50928114301821,17,7,8,-26.021674214756125,17,WI_H10_T05,wick_imbalance_r,10,0.05,reference_validation,5.45440099842526,25
163,0.39263803680981596,0.8421842509549002,-0.2011496837643251,-32.78739845358499,63,24,26,-98.6119378875868,100,WI_H10_T05,wick_imbalance_r,10,0.05,POOLED_MAJOR,-17.728982536596043,107
50,0.52,1.9057676950088216,1.0636060275822525,53.18030137911263,10,1,1,-21.365059150736492,40,WI_H10_T10,wick_imbalance_r,10,0.1,external,7.790898902674037,33
79,0.4050632911392405,0.5569833990853882,-0.6178188603385955,-48.807689966749045,28,12,13,-42.5662443103574,51,WI_H10_T10,wick_imbalance_r,10,0.1,development,-27.323553714764966,49
34,0.35294117647058826,0.375971307682395,-0.9196744713220331,-31.268932024949123,14,5,6,-23.127393016626534,20,WI_H10_T10,wick_imbalance_r,10,0.1,reference_validation,7.6947501164943475,25
163,0.4294478527607362,0.8771814697107672,-0.16500810191770265,-26.896320612585534,52,18,20,-87.05869647772042,111,WI_H10_T10,wick_imbalance_r,10,0.1,POOLED_MAJOR,-11.837904695596585,107
50,0.52,1.8637615388193114,1.037140134094864,51.8570067047432,9,1,1,-19.837251790402917,41,WI_H10_T15,wick_imbalance_r,10,0.15,external,6.467604228304612,33
79,0.43037974683544306,0.5256858516594733,-0.7348696422113642,-58.05470173469777,21,10,11,-34.02970459420966,58,WI_H10_T15,wick_imbalance_r,10,0.15,development,-36.570565482713704,49
34,0.38235294117647056,0.4707938520530825,-0.8061139390085609,-27.40787392629107,12,4,5,-20.334319283795782,22,WI_H10_T15,wick_imbalance_r,10,0.15,reference_validation,11.5558082151524,25
163,0.44785276073619634,0.856523771895116,-0.20616913470089346,-33.605568956245634,42,15,17,-74.20127566840836,121,WI_H10_T15,wick_imbalance_r,10,0.15,POOLED_MAJOR,-18.547153039256692,107
50,0.54,1.664772450569541,0.9740171229678865,48.70085614839432,5,0,0,-12.974326910994202,45,WI_H10_T20,wick_imbalance_r,10,0.2,external,3.3114536719557335,33
79,0.43037974683544306,0.4950488330346515,-0.8524504931978655,-67.34358896263137,18,9,10,-30.321879413122048,61,WI_H10_T20,wick_imbalance_r,10,0.2,development,-45.85945271064729,49
34,0.4117647058823529,0.41635844963200025,-1.0782814142055535,-36.661568082988815,9,3,4,-17.108270844449166,25,WI_H10_T20,wick_imbalance_r,10,0.2,reference_validation,2.3021140584546522,25
163,0.4601226993865031,0.7947444442817171,-0.3392901895535328,-55.30430089722584,32,12,14,-60.40447716856542,131,WI_H10_T20,wick_imbalance_r,10,0.2,POOLED_MAJOR,-40.2458849802369,107
50,0.54,1.6721369183706756,0.9804701444471,49.023507222355,3,0,0,-8.80379517623777,47,WI_H10_T25,wick_imbalance_r,10,0.25,external,3.6341047459164115,33
79,0.4810126582278481,0.5860111458394525,-0.7135228517381267,-56.368305287312005,9,5,5,-15.656250281472724,70,WI_H10_T25,wick_imbalance_r,10,0.25,development,-34.884169035327936,49
34,0.4117647058823529,0.4129186043154724,-1.0936721853345808,-37.18485430137574,7,3,3,-13.293108218201263,27,WI_H10_T25,wick_imbalance_r,10,0.25,reference_validation,1.7788278400677209,25
163,0.48466257668711654,0.836549010482657,-0.2731880513271947,-44.52965236633274,19,8,8,-37.75315367591177,144,WI_H10_T25,wick_imbalance_r,10,0.25,POOLED_MAJOR,-29.471236449343806,107
50,0.48,1.5045004539983888,0.651690307226103,32.58451536130515,17,4,5,-36.30518095322363,33,WI_H15_T05,wick_imbalance_r,15,0.05,external,-12.804887115133441,28
79,0.379746835443038,0.5229505946479517,-0.642512499561537,-50.75848746536142,32,13,14,-46.80418669749555,47,WI_H15_T05,wick_imbalance_r,15,0.05,development,-29.27435121337735,42
34,0.35294117647058826,0.35590352058246394,-0.9380883479970629,-31.895003831900137,15,5,6,-27.763875023605493,19,WI_H15_T05,wick_imbalance_r,15,0.05,reference_validation,7.068678309543333,19
163,0.4049079754601227,0.772937610402643,-0.30717163150893495,-50.068975935956395,64,22,25,-110.87324267432467,99,WI_H15_T05,wick_imbalance_r,15,0.05,POOLED_MAJOR,-35.01056001896746,89
50,0.52,1.51540924897534,0.7071768193600616,35.35884096800308,12,2,2,-31.463686882824835,38,WI_H15_T10,wick_imbalance_r,15,0.1,external,-10.030561508435504,28
79,0.3924050632911392,0.5520420089822814,-0.610289036318281,-48.2128338691442,29,12,13,-42.86481910297035,50,WI_H15_T10,wick_imbalance_r,15,0.1,development,-26.728697617160122,42
34,0.38235294117647056,0.3647549975944493,-0.9919887607815414,-33.72761786657241,12,4,5,-24.599294961642453,22,WI_H15_T10,wick_imbalance_r,15,0.1,reference_validation,5.236064274871058,19
163,0.4294478527607362,0.7968754189381547,-0.28577675317615664,-46.58161076771353,53,18,20,-98.92780094743765,110,WI_H15_T10,wick_imbalance_r,15,0.1,POOLED_MAJOR,-31.523194850724575,89
50,0.5,1.4032579844234612,0.5931323523899947,29.656617619499738,10,2,2,-29.936742013078383,40,WI_H15_T15,wick_imbalance_r,15,0.15,external,-15.73278485693885,28
79,0.4177215189873418,0.5420893513546582,-0.6812489383309592,-53.81866612814578,23,10,11,-35.48842210142429,56,WI_H15_T15,wick_imbalance_r,15,0.15,development,-32.3345298761617,42
34,0.4117647058823529,0.4491229751980613,-0.8986257292775902,-30.553274795438067,10,3,4,-22.492936256335415,24,WI_H15_T15,wick_imbalance_r,15,0.15,reference_validation,8.4104073460054,19
163,0.44171779141104295,0.7780639557216391,-0.3356768300864055,-54.715323304084095,43,15,17,-87.91810037083809,120,WI_H15_T15,wick_imbalance_r,15,0.15,POOLED_MAJOR,-39.65690738709515,89
50,0.52,1.5641666165405252,0.8170613672997442,40.85306836498721,9,1,1,-28.80732524790914,41,WI_H15_T20,wick_imbalance_r,15,0.2,external,-4.536334111451375,28
79,0.43037974683544306,0.5055637761469454,-0.8126530871681631,-64.19959388628489,18,9,9,-28.07983291228762,61,WI_H15_T20,wick_imbalance_r,15,0.2,development,-42.715457634300805,42
34,0.47058823529411764,0.435077814967307,-1.065408820357752,-36.22389989216357,6,1,2,-16.73851488857796,28,WI_H15_T20,wick_imbalance_r,15,0.2,reference_validation,2.7397822492799,19
163,0.4662576687116564,0.7763697378324969,-0.36546273259792156,-59.570425413461216,33,11,12,-73.62567304877473,130,WI_H15_T20,wick_imbalance_r,15,0.2,POOLED_MAJOR,-44.51200949647228,89
50,0.54,1.8089795922497607,1.0908181549426779,54.54090774713389,6,0,0,-20.261758092332702,44,WI_H15_T25,wick_imbalance_r,15,0.25,external,9.151505270695305,28
79,0.46835443037974683,0.5762490615124952,-0.6984427658929757,-55.17697850554508,11,6,6,-17.511295355579477,68,WI_H15_T25,wick_imbalance_r,15,0.25,development,-33.69284225356101,42
34,0.47058823529411764,0.4255579813450464,-1.1075977275261073,-37.65832273588765,4,1,1,-12.456416341061605,30,WI_H15_T25,wick_imbalance_r,15,0.25,reference_validation,1.305359405555817,19
163,0.49079754601226994,0.8544971805913998,-0.23493492941287628,-38.29439349429883,21,7,7,-50.22946978897379,142,WI_H15_T25,wick_imbalance_r,15,0.25,POOLED_MAJOR,-23.23597757730989,89
