hour_wib,component_rank,character_rule,raw_component_id,component_size,halo_cell_count,halo_economic_support_count,halo_economic_support_ratio,component_min_half_exp_floor,component_min_half_exp_mean,component_exp_floor,component_exp_mean,component_pf_median,component_dd_max,component_wr_min,component_wr_mean,component_trade_sum,component_ls_max,min_lb,max_lb,min_hold,max_hold,component_cells
16,3,DRIVE_UP__RV_MID,1,3,6,3,0.5,0.43317112628833704,0.9704238573524867,1.2461744627679654,1.4446128535510478,1.661911607885909,154.20290193337487,0.5316455696202531,0.5443037974683544,474,10,240,360,240,360,LB240/H240;LB360/H240;LB360/H360
17,1,EFF_MID__RANGE_HIGH,2,9,19,9,0.47368421052631576,0.29909004775192066,1.3635770305275525,1.4238112629226225,2.9398506672275078,1.8945454223964497,112.82830187603028,0.5277777777777778,0.5786518149531847,668,7,120,240,240,960,LB180/H240;LB240/H240;LB180/H360;LB240/H360;LB240/H480;LB180/H720;LB240/H720;LB120/H960;LB180/H960
17,2,EFF_MID__RV_HIGH,1,6,11,6,0.5454545454545454,0.2595591302176419,2.4123271687381567,2.312340736736199,4.421082182465288,2.4703174325845625,100.63336756651809,0.532608695652174,0.5679710144927536,535,9,240,360,240,960,LB240/H240;LB360/H240;LB360/H360;LB360/H480;LB360/H720;LB360/H960
17,3,DRIVE_UP__STR_B80_100,1,5,11,5,0.45454545454545453,0.5333766875186696,2.099094962211476,1.2591441361630311,2.832409535613903,1.631706272903132,127.7626917532501,0.5412844036697247,0.6119457186544344,506,9,240,360,480,960,LB240/H480;LB360/H480;LB240/H720;LB240/H960;LB360/H960
18,1,RV_HIGH__RANGE_MID,1,2,5,2,0.4,0.5206633745417112,0.7612894279241003,1.7791894679709523,1.964917399205983,1.6018996465208124,140.68583834152798,0.5370370370370371,0.5555555555555556,108,10,360,360,720,960,LB360/H720;LB360/H960
18,2,RV_MID__RANGE_HIGH,1,2,6,2,0.3333333333333333,0.29802392188387383,0.7654102843369054,0.4842571016917473,1.354845840173201,1.5207492878113036,109.46393145984683,0.5633802816901409,0.5733568075117371,143,5,180,240,240,240,LB180/H240;LB240/H240
18,3,DRIVE_DOWN__STR_B60_80,1,2,7,2,0.2857142857142857,1.015563314806154,1.2926713820138227,1.12662227971872,1.9215347327159495,1.4891312086201856,84.98460032917257,0.5652173913043478,0.5815217391304348,184,5,240,240,720,960,LB240/H720;LB240/H960
19,1,EFF_LOW__RANGE_HIGH,2,4,9,4,0.4444444444444444,1.1307762406237465,3.7591077008378377,2.736077501638245,6.252141193701665,2.6421191001509268,109.30133877181677,0.5636363636363636,0.6181818181818182,220,7,360,360,360,960,LB360/H360;LB360/H480;LB360/H720;LB360/H960
19,2,RV_MID__RANGE_HIGH,2,3,9,3,0.3333333333333333,1.015139127038954,1.7272526748823305,1.7686565808900319,2.4988830398698068,1.8037622610329274,72.98529512328194,0.5507246376811594,0.5954286538322878,205,6,60,120,720,960,LB60/H720;LB120/H720;LB120/H960
19,3,RV_MID__RANGE_HIGH,1,3,10,3,0.3,1.3170031331213445,2.122250542383047,3.32183312705936,4.2616024087924975,2.8257676727632495,82.8440004706081,0.6111111111111112,0.6666666666666666,162,6,240,240,480,960,LB240/H480;LB240/H720;LB240/H960
20,1,RV_MID__RANGE_HIGH,1,13,23,13,0.5652173913043478,0.7130309334111269,2.133373906223987,1.0243389551608422,3.015446896576572,2.3778919548910205,91.46219871147851,0.532258064516129,0.6177389905942788,745,7,120,360,240,960,LB180/H240;LB240/H240;LB240/H360;LB120/H480;LB180/H480;LB240/H480;LB360/H480;LB120/H720;LB180/H720;LB240/H720;LB120/H960;LB180/H960;LB240/H960
20,2,DRIVE_DOWN__STR_B80_100,1,5,11,5,0.45454545454545453,0.4986397316841776,0.9989455731501232,1.5421654085434255,2.978292900273382,2.1903959144281226,156.1838254974051,0.5555555555555556,0.6070661920501738,503,8,30,240,240,240,LB30/H240;LB60/H240;LB120/H240;LB180/H240;LB240/H240
20,3,EFF_MID__RANGE_MID,2,5,12,5,0.4166666666666667,0.25191583111176374,0.8391652138649734,0.7935755660707857,1.295308273725523,1.4120448511516674,149.71503786976365,0.54,0.5676009139375476,509,11,180,360,480,960,LB180/H480;LB180/H720;LB240/H720;LB360/H720;LB240/H960
21,1,DRIVE_UP__RV_MID,1,5,14,5,0.35714285714285715,0.13017574461142303,0.7709622029110719,1.0778422703925163,1.5503568710426185,1.5186589020679668,124.00485257990687,0.5289855072463768,0.5577207798978209,692,10,120,180,360,960,LB180/H360;LB120/H480;LB180/H480;LB120/H720;LB120/H960
21,2,RV_MID__RANGE_MID,1,4,9,4,0.4444444444444444,0.40000694237154755,0.5008084273146642,0.6866129223485603,1.2112550131618378,1.2504094836541502,140.02349713691487,0.5390070921985816,0.5780141843971631,564,9,30,30,360,960,LB30/H360;LB30/H480;LB30/H720;LB30/H960
21,3,DRIVE_UP__STR_B60_80,1,4,10,4,0.4,0.6724841310107009,1.731755207683615,1.467459621179606,2.6738233420631126,1.6163068912507659,158.9625045207084,0.5425531914893617,0.5658380373425966,380,8,30,60,480,960,LB60/H480;LB60/H720;LB30/H960;LB60/H960
22,1,RV_MID__RANGE_LOW,1,7,13,7,0.5384615384615384,0.21353748822698432,0.8185261502815576,0.6919995856259371,1.6369193537285356,1.6142747906984922,84.49734703529758,0.5454545454545454,0.5775494071146244,459,9,180,360,360,960,LB360/H360;LB240/H480;LB360/H480;LB180/H720;LB240/H720;LB240/H960;LB360/H960
22,2,DRIVE_UP__STR_B40_60,1,7,15,7,0.4666666666666667,0.5815193530072769,1.3417494171048088,0.7372759885264669,1.5965839194822742,1.351189139533815,134.08640126474316,0.5339805825242718,0.5943267897151392,725,8,120,240,480,960,LB120/H480;LB180/H480;LB120/H720;LB180/H720;LB120/H960;LB180/H960;LB240/H960
22,3,RV_HIGH__RANGE_MID,1,7,16,7,0.4375,0.268944634301047,1.2636922320837125,1.408649944463251,2.6437170598316215,1.9255862810143567,130.98294167750316,0.6071428571428571,0.6830019187162044,626,9,180,360,360,960,LB180/H360;LB180/H480;LB180/H720;LB240/H720;LB360/H720;LB180/H960;LB240/H960
23,1,DRIVE_UP__RV_MID,2,12,20,12,0.6,0.20619711807967128,1.166994815564944,0.8047685056993716,1.7191135085102391,1.5831116989895881,154.9870602611494,0.5507246376811594,0.6173324402224658,1592,13,180,360,240,960,LB180/H240;LB240/H240;LB180/H360;LB240/H360;LB360/H360;LB180/H480;LB240/H480;LB360/H480;LB180/H720;LB240/H720;LB180/H960;LB240/H960
23,2,EFF_MID__RV_MID,1,10,18,10,0.5555555555555556,0.2697257556738261,1.4784854212471916,0.9144316992105385,1.9939269815473484,1.782323402302147,81.61022901178902,0.5760869565217391,0.6230614343990796,880,9,180,360,240,960,LB180/H240;LB240/H240;LB180/H360;LB240/H360;LB360/H360;LB180/H480;LB240/H480;LB360/H480;LB240/H720;LB240/H960
23,3,RV_MID__RANGE_LOW,1,10,18,10,0.5555555555555556,0.01591557843675256,1.6021226025596813,0.6197594821199089,2.5296918790987997,2.0147013967867897,140.102433791331,0.5733333333333334,0.6701891833656539,838,7,180,360,360,960,LB180/H360;LB240/H360;LB360/H360;LB180/H480;LB240/H480;LB360/H480;LB180/H720;LB240/H720;LB360/H720;LB240/H960
