symbol,partition,side,source,entry_ts,entry_px,confirmation_bar_start,H,L,R,entry_level,stop_level,target_level,touch_elapsed_min,outcome,outcome_bar_start,minutes_entry_to_h2
BTCUSDT,external,LONG,LONDON,2020-03-18 13:50:00+00:00,5240.89,2020-03-18 13:45:00+00:00,5249.18,4982.75,266.4300000000003,5209.2155,5076.0005,5302.466,15.0,H2,2020-03-18 13:50:00+00:00,0.0
BTCUSDT,external,SHORT,SHORT_2000,2020-03-25 02:10:00+00:00,6625.95,2020-03-25 02:05:00+00:00,6790.75,6600.0,190.75,6628.6125,6723.9875,6561.85,35.0,H2,2020-03-25 02:30:00+00:00,20.0
BTCUSDT,external,SHORT,SHORT_2000,2020-03-27 05:30:00+00:00,6662.99,2020-03-27 05:25:00+00:00,6840.0,6644.0,196.0,6673.4,6771.4,6604.8,235.0,H2,2020-03-27 05:45:00+00:00,15.0
BTCUSDT,external,LONG,ALT_0330,2020-04-02 11:25:00+00:00,6660.72,2020-04-02 11:20:00+00:00,6675.54,6558.93,116.60999999999967,6658.0485,6599.7435000000005,6698.862,140.0,H2,2020-04-02 11:35:00+00:00,10.0
BTCUSDT,external,LONG,RAW_2330,2020-04-06 05:20:00+00:00,6929.99,2020-04-06 05:15:00+00:00,6957.78,6760.0,197.77999999999975,6928.112999999999,6829.223,6997.335999999999,15.0,H2,2020-04-06 05:35:00+00:00,15.0
BTCUSDT,external,LONG,ALT_0330,2020-04-22 09:25:00+00:00,6942.01,2020-04-22 09:20:00+00:00,6959.0,6837.87,121.13000000000011,6940.8305,6880.2654999999995,6983.226,20.0,H2,2020-04-22 12:00:00+00:00,155.0
BTCUSDT,external,LONG,LONDON,2020-04-22 14:00:00+00:00,7056.24,2020-04-22 13:55:00+00:00,7075.0,6915.0,160.0,7051.0,6971.0,7107.0,25.0,H2,2020-04-22 14:25:00+00:00,25.0
BTCUSDT,external,LONG,RAW_0530,2020-04-29 11:35:00+00:00,8128.74,2020-04-29 11:30:00+00:00,8165.0,7840.0,325.0,8116.25,7953.75,8230.0,30.0,H2,2020-04-29 12:30:00+00:00,55.0
BTCUSDT,external,LONG,LONDON,2020-05-13 14:40:00+00:00,9080.62,2020-05-13 14:35:00+00:00,9115.0,8828.0,287.0,9071.95,8928.45,9172.4,65.0,H2,2020-05-13 15:10:00+00:00,30.0
BTCUSDT,external,SHORT,SHORT_2000,2020-05-19 02:45:00+00:00,9586.05,2020-05-19 02:40:00+00:00,9753.18,9570.0,183.1800000000003,9597.477,9689.067000000001,9533.364,70.0,H2,2020-05-19 02:45:00+00:00,0.0
BTCUSDT,external,SHORT,SHORT_2000,2020-05-22 04:30:00+00:00,8988.0,2020-05-22 04:25:00+00:00,9159.87,8962.22,197.65000000000146,8991.8675,9090.692500000001,8922.689999999999,175.0,H2,2020-05-22 04:35:00+00:00,5.0
BTCUSDT,external,LONG,LONDON,2020-06-04 14:25:00+00:00,9757.08,2020-06-04 14:20:00+00:00,9777.0,9440.0,337.0,9726.45,9557.95,9844.4,50.0,H2,2020-06-04 15:55:00+00:00,90.0
BTCUSDT,external,LONG,ALT_0330,2020-06-08 09:35:00+00:00,9750.65,2020-06-08 09:30:00+00:00,9757.09,9631.0,126.09000000000015,9738.1765,9675.1315,9782.308,30.0,H2,2020-06-08 09:40:00+00:00,5.0
BTCUSDT,external,LONG,LONDON,2020-06-10 16:10:00+00:00,9768.22,2020-06-10 16:05:00+00:00,9774.0,9706.0,68.0,9763.8,9729.8,9787.6,155.0,H2,2020-06-10 16:45:00+00:00,35.0
BTCUSDT,external,SHORT,SHORT_2000,2020-06-19 03:15:00+00:00,9289.43,2020-06-19 03:10:00+00:00,9410.0,9272.41,137.59000000000015,9293.0485,9361.843499999999,9244.892,100.0,H2,2020-06-19 03:15:00+00:00,0.0
BTCUSDT,external,LONG,RAW_2330,2020-06-25 09:25:00+00:00,9289.77,2020-06-25 09:20:00+00:00,9320.0,9005.0,315.0,9272.75,9115.25,9383.0,260.0,NO_H2_BY_END,,
BTCUSDT,external,SHORT,SHORT_2000,2020-07-07 06:50:00+00:00,9271.07,2020-07-07 06:45:00+00:00,9380.0,9255.1,124.89999999999964,9273.835000000001,9336.285,9230.12,315.0,H2,2020-07-07 07:05:00+00:00,15.0
BTCUSDT,external,SHORT,SHORT_2000,2020-07-09 02:15:00+00:00,9392.73,2020-07-09 02:10:00+00:00,9466.0,9385.01,80.98999999999978,9397.1585,9437.6535,9368.812,40.0,H2,2020-07-09 02:35:00+00:00,20.0
BTCUSDT,external,SHORT,SHORT_2000,2020-07-22 04:35:00+00:00,9354.47,2020-07-22 04:30:00+00:00,9389.94,9350.17,39.77000000000044,9356.1355,9376.0205,9342.216,180.0,H2,2020-07-22 04:40:00+00:00,5.0
BTCUSDT,external,LONG,LONDON,2020-07-22 15:40:00+00:00,9346.31,2020-07-22 15:35:00+00:00,9355.0,9292.56,62.44000000000051,9345.634,9314.413999999999,9367.488,125.0,H2,2020-07-22 17:25:00+00:00,105.0
BTCUSDT,external,LONG,RAW_0530,2020-07-24 16:00:00+00:00,9554.76,2020-07-24 15:55:00+00:00,9565.0,9470.0,95.0,9550.75,9503.25,9584.0,295.0,H2,2020-07-24 16:50:00+00:00,50.0
BTCUSDT,external,LONG,LONDON,2020-07-24 16:00:00+00:00,9554.76,2020-07-24 15:55:00+00:00,9565.0,9490.0,75.0,9553.75,9516.25,9580.0,145.0,H2,2020-07-24 16:50:00+00:00,50.0
BTCUSDT,external,SHORT,SHORT_2000,2020-07-30 03:15:00+00:00,11026.26,2020-07-30 03:10:00+00:00,11364.8,10978.64,386.15999999999985,11036.563999999998,11229.644,10901.408,100.0,H2,2020-07-30 05:40:00+00:00,145.0
BTCUSDT,external,SHORT,SHORT_2000,2020-08-17 05:55:00+00:00,11813.14,2020-08-17 05:50:00+00:00,11947.0,11791.81,155.1900000000005,11815.0885,11892.6835,11760.771999999999,260.0,NO_H2_BY_END,,
BTCUSDT,external,LONG,ALT_0330,2020-08-26 10:20:00+00:00,11393.78,2020-08-26 10:15:00+00:00,11400.0,11303.81,96.19000000000051,11385.5715,11337.476499999999,11419.238,75.0,H2,2020-08-26 10:20:00+00:00,0.0
BTCUSDT,external,LONG,ALT_0330,2020-09-09 10:30:00+00:00,10176.38,2020-09-09 10:25:00+00:00,10208.06,9996.45,211.60999999999876,10176.3185,10070.513500000001,10250.382,85.0,H2,2020-09-09 11:15:00+00:00,45.0
BTCUSDT,external,LONG,RAW_0530,2020-09-11 16:30:00+00:00,10331.99,2020-09-11 16:25:00+00:00,10334.99,10239.0,95.98999999999978,10320.5915,10272.5965,10354.188,325.0,H2,2020-09-11 16:30:00+00:00,0.0
BTCUSDT,external,LONG,LONDON,2020-09-11 16:30:00+00:00,10331.99,2020-09-11 16:25:00+00:00,10334.99,10251.32,83.67000000000007,10322.4395,10280.6045,10351.724,175.0,H2,2020-09-11 16:30:00+00:00,0.0
BTCUSDT,external,LONG,RAW_2330,2020-09-16 05:25:00+00:00,10793.23,2020-09-16 05:20:00+00:00,10815.0,10661.9,153.10000000000036,10792.035,10715.485,10845.62,20.0,H2,2020-09-16 06:45:00+00:00,80.0
BTCUSDT,external,SHORT,SHORT_2000,2020-09-23 04:45:00+00:00,10461.01,2020-09-23 04:40:00+00:00,10574.08,10449.9,124.18000000000029,10468.527,10530.617,10425.064,190.0,H2,2020-09-23 04:45:00+00:00,0.0
BTCUSDT,external,SHORT,SHORT_2000,2020-09-25 06:35:00+00:00,10641.0,2020-09-25 06:30:00+00:00,10837.27,10614.05,223.22000000000116,10647.533,10759.143,10569.405999999999,300.0,NO_H2_BY_END,,
BTCUSDT,external,LONG,LONDON,2020-10-05 14:20:00+00:00,10723.0,2020-10-05 14:15:00+00:00,10729.96,10650.0,79.95999999999913,10717.965999999999,10677.985999999999,10745.952,45.0,H2,2020-10-05 14:30:00+00:00,10.0
BTCUSDT,external,SHORT,SHORT_2000,2020-10-13 03:20:00+00:00,11463.6,2020-10-13 03:15:00+00:00,11732.0,11430.66,301.34000000000015,11475.861,11626.530999999999,11370.392,105.0,H2,2020-10-13 07:05:00+00:00,225.0
BTCUSDT,external,LONG,LONDON,2020-10-15 14:15:00+00:00,11381.01,2020-10-15 14:10:00+00:00,11402.11,11250.0,152.11000000000058,11379.2935,11303.2385,11432.532000000001,40.0,H2,2020-10-15 15:15:00+00:00,60.0
BTCUSDT,external,LONG,LONDON,2020-10-19 15:35:00+00:00,11672.11,2020-10-19 15:30:00+00:00,11700.0,11442.62,257.3799999999992,11661.393,11532.703000000001,11751.476,120.0,H2,2020-10-19 15:40:00+00:00,5.0
BTCUSDT,external,LONG,RAW_0530,2020-10-27 11:15:00+00:00,13271.97,2020-10-27 11:10:00+00:00,13297.71,13055.0,242.70999999999913,13261.3035,13139.9485,13346.251999999999,10.0,H2,2020-10-27 11:15:00+00:00,0.0
BTCUSDT,external,LONG,RAW_0530,2020-11-05 11:15:00+00:00,14595.01,2020-11-05 11:10:00+00:00,14650.0,14262.8,387.2000000000007,14591.92,14398.32,14727.44,10.0,H2,2020-11-05 11:30:00+00:00,15.0
BTCUSDT,external,LONG,LONDON,2020-11-12 17:15:00+00:00,16122.34,2020-11-12 17:10:00+00:00,16176.22,15609.0,567.2199999999993,16091.136999999999,15807.527,16289.663999999999,220.0,NO_H2_BY_END,,
BTCUSDT,external,LONG,RAW_0530,2020-11-16 11:15:00+00:00,16346.67,2020-11-16 11:10:00+00:00,16386.0,16081.0,305.0,16340.25,16187.75,16447.0,10.0,H2,2020-11-16 14:05:00+00:00,170.0
BTCUSDT,external,SHORT,SHORT_2000,2020-11-17 03:40:00+00:00,16610.49,2020-11-17 03:35:00+00:00,16882.0,16586.01,295.9900000000016,16630.408499999998,16778.4035,16526.811999999998,125.0,H2,2020-11-17 03:55:00+00:00,15.0
BTCUSDT,external,SHORT,SHORT_2000,2020-11-26 02:45:00+00:00,18527.24,2020-11-26 02:40:00+00:00,19112.0,18509.12,602.880000000001,18599.552,18900.992,18388.543999999998,70.0,H2,2020-11-26 02:45:00+00:00,0.0
BTCUSDT,external,LONG,RAW_2330,2020-12-02 07:15:00+00:00,18888.61,2020-12-02 07:10:00+00:00,18979.11,18329.58,649.5299999999988,18881.680500000002,18556.915500000003,19109.016,130.0,H2,2020-12-02 07:50:00+00:00,35.0
BTCUSDT,external,SHORT,SHORT_2000,2020-12-11 01:50:00+00:00,17866.33,2020-12-11 01:45:00+00:00,18436.0,17826.31,609.6899999999987,17917.7635,18222.608500000002,17704.372000000003,15.0,H2,2020-12-11 01:50:00+00:00,0.0
BTCUSDT,external,LONG,RAW_2330,2020-12-16 09:30:00+00:00,19464.84,2020-12-16 09:25:00+00:00,19488.0,19274.55,213.45000000000073,19455.9825,19349.2575,19530.69,265.0,H2,2020-12-16 09:55:00+00:00,25.0
BTCUSDT,external,LONG,ALT_0330,2020-12-16 09:30:00+00:00,19464.84,2020-12-16 09:25:00+00:00,19487.5,19294.82,192.6800000000003,19458.597999999998,19362.258,19526.036,25.0,H2,2020-12-16 09:55:00+00:00,25.0
BTCUSDT,external,LONG,RAW_0530,2021-01-14 13:45:00+00:00,38732.91,2021-01-14 13:40:00+00:00,38850.0,37422.35,1427.6500000000015,38635.8525,37922.0275,39135.53,160.0,H2,2021-01-14 13:45:00+00:00,0.0
BTCUSDT,external,LONG,LONDON,2021-01-14 13:45:00+00:00,38732.91,2021-01-14 13:40:00+00:00,38850.0,37760.0,1090.0,38686.5,38141.5,39068.0,10.0,H2,2021-01-14 13:45:00+00:00,0.0
BTCUSDT,external,LONG,LONDON,2021-02-03 14:15:00+00:00,36610.01,2021-02-03 14:10:00+00:00,36776.89,35598.79,1178.0999999999985,36600.175,36011.125,37012.51,40.0,H2,2021-02-03 15:20:00+00:00,65.0
BTCUSDT,external,LONG,RAW_2330,2021-02-08 07:00:00+00:00,39067.83,2021-02-08 06:55:00+00:00,39185.93,38037.0,1148.9300000000003,39013.5905,38439.1255,39415.716,115.0,H2,2021-02-08 07:30:00+00:00,30.0
BTCUSDT,external,LONG,ALT_0330,2021-02-12 11:45:00+00:00,47815.99,2021-02-12 11:40:00+00:00,47990.0,46817.47,1172.5299999999988,47814.1205,47227.8555,48224.506,160.0,H2,2021-02-12 12:30:00+00:00,45.0
BTCUSDT,external,LONG,LONDON,2021-03-01 14:55:00+00:00,48185.0,2021-03-01 14:50:00+00:00,48448.63,46287.32,2161.3099999999977,48124.4335,47043.7785,48880.892,80.0,H2,2021-03-01 15:05:00+00:00,10.0
BTCUSDT,external,SHORT,SHORT_2000,2021-03-17 02:50:00+00:00,55924.28,2021-03-17 02:45:00+00:00,57238.0,55732.15,1505.8499999999985,55958.027500000004,56710.9525,55430.98,75.0,H2,2021-03-17 03:00:00+00:00,10.0
BTCUSDT,external,LONG,RAW_2330,2021-03-22 06:25:00+00:00,57749.99,2021-03-22 06:20:00+00:00,57887.0,56329.98,1557.0199999999968,57653.447,56874.937000000005,58198.404,80.0,H2,2021-03-22 06:30:00+00:00,5.0
BTCUSDT,external,SHORT,SHORT_2000,2021-03-25 02:15:00+00:00,51882.6,2021-03-25 02:10:00+00:00,54795.84,51666.0,3129.8399999999965,52135.476,53700.396,51040.032,40.0,NO_H2_BY_END,,
BTCUSDT,external,LONG,RAW_0530,2021-03-29 13:15:00+00:00,57943.57,2021-03-29 13:10:00+00:00,58383.18,54931.15,3452.029999999999,57865.3755,56139.3605,59073.586,130.0,NO_H2_BY_END,,
BTCUSDT,external,LONG,RAW_0530,2021-04-05 11:15:00+00:00,57637.52,2021-04-05 11:10:00+00:00,57768.41,56808.94,959.4700000000012,57624.4895,57144.7545,57960.304000000004,10.0,H2,2021-04-05 11:15:00+00:00,0.0
BTCUSDT,external,LONG,RAW_0530,2021-04-09 11:20:00+00:00,58616.17,2021-04-09 11:15:00+00:00,58709.0,57700.0,1009.0,58557.65,58053.15,58910.8,15.0,H2,2021-04-09 11:25:00+00:00,5.0
BTCUSDT,external,LONG,LONDON,2021-04-16 16:15:00+00:00,61500.0,2021-04-16 16:10:00+00:00,61737.97,60100.0,1637.9700000000012,61492.2745,60673.2895,62065.564,160.0,H2,2021-04-16 16:45:00+00:00,30.0
BTCUSDT,external,LONG,RAW_2330,2021-04-19 07:25:00+00:00,57085.01,2021-04-19 07:20:00+00:00,57260.0,55677.9,1582.0999999999985,57022.685,56231.635,57576.42,140.0,H2,2021-04-19 07:30:00+00:00,5.0
BTCUSDT,external,LONG,ALT_0330,2021-04-20 09:30:00+00:00,55270.38,2021-04-20 09:25:00+00:00,55458.32,53330.82,2127.5,55139.195,54075.445,55883.82,25.0,H2,2021-04-20 10:15:00+00:00,45.0
BTCUSDT,external,LONG,LONDON,2021-04-20 14:20:00+00:00,56124.34,2021-04-20 14:15:00+00:00,56450.0,54248.41,2201.5899999999965,56119.7615,55018.9665,56890.318,45.0,H2,2021-04-20 19:00:00+00:00,280.0
BTCUSDT,external,SHORT,SHORT_2000,2021-04-28 05:05:00+00:00,54856.7,2021-04-28 05:00:00+00:00,55733.0,54745.36,987.6399999999994,54893.506,55387.326,54547.832,210.0,H2,2021-04-28 05:05:00+00:00,0.0
BTCUSDT,external,LONG,ALT_0330,2021-05-04 09:35:00+00:00,56215.58,2021-05-04 09:30:00+00:00,56383.28,55249.0,1134.2799999999988,56213.138,55645.998,56610.136,30.0,H2,2021-05-04 10:10:00+00:00,35.0
BTCUSDT,external,LONG,RAW_2330,2021-05-27 09:40:00+00:00,39153.81,2021-05-27 09:35:00+00:00,39430.98,37133.22,2297.760000000002,39086.316000000006,37937.436,39890.53200000001,275.0,H2,2021-05-27 10:10:00+00:00,30.0
BTCUSDT,external,LONG,LONDON,2021-06-02 13:45:00+00:00,37656.99,2021-06-02 13:40:00+00:00,37770.0,36851.0,919.0,37632.15,37172.65,37953.8,10.0,H2,2021-06-02 14:25:00+00:00,40.0
BTCUSDT,external,LONG,LONDON,2021-06-04 18:10:00+00:00,36990.24,2021-06-04 18:05:00+00:00,37191.0,35552.51,1638.489999999998,36945.2265,36125.9815,37518.698,275.0,H2,2021-06-04 19:00:00+00:00,50.0
BTCUSDT,external,LONG,RAW_0530,2021-06-09 11:35:00+00:00,34584.66,2021-06-09 11:30:00+00:00,34699.0,33373.26,1325.739999999998,34500.139,33837.269,34964.148,30.0,H2,2021-06-09 11:40:00+00:00,5.0
BTCUSDT,external,LONG,LONDON,2021-06-14 14:00:00+00:00,40520.33,2021-06-14 13:55:00+00:00,40700.0,38790.0,1910.0,40413.5,39458.5,41082.0,25.0,H2,2021-06-14 14:10:00+00:00,10.0
BTCUSDT,external,SHORT,SHORT_2000,2021-06-21 01:55:00+00:00,35325.04,2021-06-21 01:50:00+00:00,36155.0,35205.0,950.0,35347.5,35822.5,35015.0,20.0,H2,2021-06-21 02:15:00+00:00,20.0
BTCUSDT,external,LONG,ALT_0330,2021-06-24 09:15:00+00:00,33265.58,2021-06-24 09:10:00+00:00,33388.99,32300.0,1088.989999999998,33225.6415,32681.1465,33606.788,10.0,H2,2021-06-24 09:35:00+00:00,20.0
BTCUSDT,external,LONG,RAW_0530,2021-06-29 12:20:00+00:00,35630.89,2021-06-29 12:15:00+00:00,35760.0,34533.64,1226.3600000000006,35576.046,34962.866,36005.272,75.0,H2,2021-06-29 12:25:00+00:00,5.0
BTCUSDT,external,LONG,RAW_0530,2021-07-02 14:50:00+00:00,33480.47,2021-07-02 14:45:00+00:00,33600.0,32684.0,916.0,33462.6,33004.6,33783.2,225.0,H2,2021-07-02 14:55:00+00:00,5.0
BTCUSDT,external,LONG,LONDON,2021-07-02 14:45:00+00:00,33510.0,2021-07-02 14:40:00+00:00,33600.0,32751.0,849.0,33472.65,33048.15,33769.8,70.0,H2,2021-07-02 14:55:00+00:00,10.0
BTCUSDT,external,LONG,ALT_0330,2021-07-05 10:10:00+00:00,34390.03,2021-07-05 10:05:00+00:00,34429.0,34000.0,429.0,34364.65,34150.15,34514.8,65.0,H2,2021-07-05 10:20:00+00:00,10.0
BTCUSDT,external,LONG,ALT_0330,2021-07-21 09:15:00+00:00,30786.44,2021-07-21 09:10:00+00:00,30933.19,29789.02,1144.1699999999983,30761.5645,30189.4795,31162.023999999998,10.0,H2,2021-07-21 09:55:00+00:00,40.0
BTCUSDT,external,LONG,LONDON,2021-07-22 14:55:00+00:00,32186.42,2021-07-22 14:50:00+00:00,32240.0,31700.0,540.0,32159.0,31889.0,32348.0,80.0,H2,2021-07-22 14:55:00+00:00,0.0
BTCUSDT,external,LONG,RAW_2330,2021-07-28 11:10:00+00:00,40307.01,2021-07-28 11:05:00+00:00,40388.0,38861.61,1526.3899999999994,40159.0415,39395.8465,40693.278,365.0,H2,2021-07-28 11:10:00+00:00,0.0
BTCUSDT,external,LONG,ALT_0330,2021-07-28 11:10:00+00:00,40307.01,2021-07-28 11:05:00+00:00,40388.0,39222.39,1165.6100000000006,40213.1585,39630.3535,40621.122,125.0,H2,2021-07-28 11:10:00+00:00,0.0
BTCUSDT,external,LONG,LONDON,2021-08-04 14:00:00+00:00,38985.01,2021-08-04 13:55:00+00:00,39155.0,37500.0,1655.0,38906.75,38079.25,39486.0,25.0,H2,2021-08-04 14:15:00+00:00,15.0
BTCUSDT,external,LONG,RAW_2330,2021-08-23 10:30:00+00:00,50331.24,2021-08-23 10:25:00+00:00,50476.0,49100.0,1376.0,50269.6,49581.6,50751.2,325.0,NO_H2_BY_END,,
BTCUSDT,external,SHORT,SHORT_2000,2021-09-03 01:45:00+00:00,48583.01,2021-09-03 01:40:00+00:00,49893.19,48415.49,1477.7000000000044,48637.145,49375.995,48119.95,10.0,NO_H2_BY_END,,
BTCUSDT,external,LONG,ALT_0330,2021-09-03 09:15:00+00:00,50024.44,2021-09-03 09:10:00+00:00,50097.57,49012.85,1084.7200000000012,49934.862,49392.502,50314.514,10.0,H2,2021-09-03 09:15:00+00:00,0.0
BTCUSDT,external,LONG,RAW_2330,2021-09-06 09:45:00+00:00,51887.55,2021-09-06 09:40:00+00:00,51961.46,51450.0,511.4599999999991,51884.741,51629.011,52063.752,280.0,H2,2021-09-06 11:10:00+00:00,85.0
BTCUSDT,external,LONG,RAW_0530,2021-09-08 12:00:00+00:00,46406.56,2021-09-08 11:55:00+00:00,46714.1,44431.0,2283.0999999999985,46371.635,45230.085,47170.72,55.0,H2,2021-09-08 13:30:00+00:00,90.0
BTCUSDT,external,LONG,LONDON,2021-09-08 13:45:00+00:00,46533.06,2021-09-08 13:40:00+00:00,46800.0,44431.0,2369.0,46444.65,45260.15,47273.8,10.0,NO_H2_BY_END,,
BTCUSDT,external,SHORT,SHORT_2000,2021-09-13 02:45:00+00:00,45089.99,2021-09-13 02:40:00+00:00,46512.2,44901.53,1610.6699999999983,45143.1305,45948.4655,44579.396,70.0,H2,2021-09-13 02:55:00+00:00,10.0
BTCUSDT,external,LONG,RAW_2330,2021-09-16 07:35:00+00:00,48357.22,2021-09-16 07:30:00+00:00,48480.0,47330.0,1150.0,48307.5,47732.5,48710.0,150.0,NO_H2_BY_END,,
BTCUSDT,external,LONG,RAW_2330,2021-10-01 07:15:00+00:00,43977.99,2021-10-01 07:10:00+00:00,44043.22,43260.01,783.2099999999991,43925.7385,43534.1335,44199.862,130.0,H2,2021-10-01 07:15:00+00:00,0.0
BTCUSDT,external,LONG,ALT_0330,2021-10-05 09:15:00+00:00,49860.03,2021-10-05 09:10:00+00:00,49950.0,49061.0,889.0,49816.65,49372.15,50127.8,10.0,H2,2021-10-05 09:15:00+00:00,0.0
BTCUSDT,external,LONG,RAW_0530,2021-10-20 12:35:00+00:00,64226.69,2021-10-20 12:30:00+00:00,64293.66,63518.81,774.8500000000058,64177.4325,63790.0075,64448.630000000005,90.0,H2,2021-10-20 12:35:00+00:00,0.0
BTCUSDT,external,LONG,ALT_0330,2021-10-22 09:20:00+00:00,63550.0,2021-10-22 09:15:00+00:00,63688.74,62511.0,1177.739999999998,63512.079,62923.209,63924.288,15.0,H2,2021-10-22 12:55:00+00:00,215.0
BTCUSDT,external,SHORT,SHORT_2000,2021-11-04 01:45:00+00:00,62578.38,2021-11-04 01:40:00+00:00,63277.12,62483.0,794.1200000000026,62602.118,62999.178,62324.176,10.0,H2,2021-11-04 01:50:00+00:00,5.0
BTCUSDT,external,LONG,ALT_0330,2021-11-08 09:20:00+00:00,66291.57,2021-11-08 09:15:00+00:00,66485.05,65085.14,1399.9100000000035,66275.0635,65575.1085,66765.032,15.0,NO_H2_BY_END,,
BTCUSDT,external,LONG,LONDON,2021-11-16 15:05:00+00:00,61013.89,2021-11-16 15:00:00+00:00,61320.58,58397.14,2923.4400000000023,60882.064,59420.344,61905.268000000004,90.0,NO_H2_BY_END,,
BTCUSDT,external,SHORT,SHORT_2000,2021-11-17 02:15:00+00:00,59412.91,2021-11-17 02:10:00+00:00,61171.76,59143.03,2028.7300000000032,59447.3395,60461.7045,58737.284,40.0,H2,2021-11-17 03:05:00+00:00,50.0
BTCUSDT,external,LONG,LONDON,2021-11-25 15:25:00+00:00,58687.05,2021-11-25 15:20:00+00:00,58888.0,57375.38,1512.6200000000026,58661.106999999996,57904.797,59190.524,110.0,H2,2021-11-25 15:45:00+00:00,20.0
BTCUSDT,external,LONG,ALT_0330,2021-12-07 09:20:00+00:00,51256.3,2021-12-07 09:15:00+00:00,51324.53,50731.58,592.9499999999971,51235.5875,50939.1125,51443.119999999995,15.0,H2,2021-12-07 09:20:00+00:00,0.0
BTCUSDT,external,SHORT,SHORT_2000,2021-12-20 07:35:00+00:00,46356.39,2021-12-20 07:30:00+00:00,47549.79,46200.0,1349.7900000000009,46402.4685,47077.3635,45930.042,360.0,NO_H2_BY_END,,
BTCUSDT,development,LONG,ALT_0330,2022-01-05 09:15:00+00:00,46625.97,2022-01-05 09:10:00+00:00,46677.0,46243.1,433.90000000000146,46611.915,46394.965,46763.78,10.0,H2,2022-01-05 09:15:00+00:00,0.0
BTCUSDT,development,LONG,RAW_0530,2022-01-26 12:00:00+00:00,38045.92,2022-01-26 11:55:00+00:00,38200.0,37125.0,1075.0,38038.75,37501.25,38415.0,55.0,H2,2022-01-26 13:50:00+00:00,110.0
BTCUSDT,development,LONG,LONDON,2022-01-28 13:55:00+00:00,36791.75,2022-01-28 13:50:00+00:00,36884.88,36149.02,735.8600000000006,36774.501,36406.570999999996,37032.051999999996,20.0,H2,2022-01-28 13:55:00+00:00,0.0
BTCUSDT,development,LONG,RAW_0530,2022-01-31 13:45:00+00:00,37279.52,2022-01-31 13:40:00+00:00,37338.33,36852.0,486.33000000000175,37265.3805,37022.2155,37435.596000000005,160.0,H2,2022-01-31 14:10:00+00:00,25.0
BTCUSDT,development,LONG,RAW_0530,2022-02-01 17:15:00+00:00,38930.17,2022-02-01 17:10:00+00:00,39100.0,37969.0,1131.0,38930.35,38364.85,39326.2,370.0,NO_H2_BY_END,,
BTCUSDT,development,LONG,LONDON,2022-02-01 17:15:00+00:00,38930.17,2022-02-01 17:10:00+00:00,39100.0,37969.0,1131.0,38930.35,38364.85,39326.2,220.0,NO_H2_BY_END,,
