hour_wib,component_rank,character_rule,raw_component_id,component_size,halo_cell_count,halo_economic_support_count,halo_economic_support_ratio,component_min_half_exp_floor,component_min_half_exp_mean,component_exp_floor,component_exp_mean,component_pf_median,component_dd_max,component_wr_min,component_wr_mean,component_trade_sum,min_lb,max_lb,min_hold,max_hold,component_cells
3,2,EFF_MID__RV_MID,1,2,5,2,0.4,0.9442345585702178,1.4634567075902294,2.0001744445094016,2.146284870299323,1.8967470472426298,56.40204868761069,0.5974025974025974,0.5974025974025974,154,60,60,360,480,LB60/H360;LB60/H480
3,3,RV_LOW__RANGE_MID,1,1,5,3,0.6,1.0207621792807666,1.0207621792807666,1.0751673914653688,1.0751673914653688,1.461002109062562,57.314107316519305,0.6027397260273972,0.6027397260273972,73,240,240,240,240,LB240/H240
4,1,DRIVE_DOWN__STR_B80_100,1,5,14,6,0.42857142857142855,0.3386937431052583,0.996743012964299,2.802867284432801,3.462103464442619,2.3598101927475224,84.77008842427014,0.5571428571428572,0.5799525922659243,357,120,240,240,360,LB120/H240;LB180/H240;LB240/H240;LB180/H360;LB240/H360
4,2,EFF_MID__EXT_LOW,1,1,4,1,0.25,0.6388181878841104,0.6388181878841104,1.961016611257173,1.961016611257173,1.6877524155997363,108.7202121988864,0.5982905982905983,0.5982905982905983,117,120,120,480,480,LB120/H480
4,3,RV_LOW__RANGE_MID,1,1,4,1,0.25,0.3156435637502697,0.3156435637502697,0.617234129984762,0.617234129984762,1.2372129925491582,113.65614886825152,0.5540540540540541,0.5540540540540541,74,360,360,360,360,LB360/H360
5,1,DRIVE_DOWN__EFF_HIGH,1,4,12,6,0.5,0.3883288128934001,1.0375223615226161,1.3207629595082009,1.8158091852889906,1.6882316169595173,119.27603112765064,0.5897435897435898,0.6323983034509351,516,180,240,240,480,LB180/H240;LB240/H240;LB180/H360;LB180/H480
5,2,RV_LOW__RANGE_MID,2,3,10,4,0.4,1.16522331000772,2.0697547814898893,2.668039878570289,3.3587157950576105,2.9605159758803508,68.38357952578872,0.7051282051282052,0.7264957264957266,234,240,240,240,480,LB240/H240;LB240/H360;LB240/H480
5,3,EFF_HIGH__RV_LOW,2,2,7,3,0.42857142857142855,0.886876108318321,0.9301518307975676,1.2355710494338756,1.3304068334371548,1.5638134274188196,85.5674792980869,0.5543478260869565,0.5923913043478262,184,240,240,360,480,LB240/H360;LB240/H480
6,1,DRIVE_DOWN__STR_B60_80,1,3,10,4,0.4,0.1066244190700454,0.8278503860553549,0.8679696831148854,1.4791440376661562,1.6754846071733045,66.00810773818958,0.6438356164383562,0.6575342465753424,219,180,180,120,360,LB180/H120;LB180/H240;LB180/H360
6,2,RV_LOW__RANGE_MID,1,3,10,3,0.3,1.6064364904411643,1.8044560852608857,1.9915766360963767,2.0684468989042286,1.8334038987680368,103.77000231403976,0.5540540540540541,0.5720720720720721,222,120,120,240,480,LB120/H240;LB120/H360;LB120/H480
6,3,DRIVE_DOWN__RV_LOW,1,2,8,5,0.625,0.8610692599228834,1.3087559697807944,1.1735893606482215,1.57391469661165,1.9505642516253068,92.05962707404456,0.576271186440678,0.5903954802259888,354,180,180,240,360,LB180/H240;LB180/H360
7,1,DRIVE_DOWN__STR_B40_60,1,3,10,4,0.4,2.162122421439247,2.7112117962595175,2.6540658963539,3.232121188457937,2.391559228615406,82.29357656431264,0.5697674418604651,0.6046511627906976,258,240,240,240,480,LB240/H240;LB240/H360;LB240/H480
7,2,DRIVE_DOWN__STR_B20_40,1,3,7,3,0.42857142857142855,0.5495834230363501,1.1530496745575574,1.5902255341431115,2.1096355850740856,1.8123499638777136,85.68340310523602,0.5697674418604651,0.5813953488372093,258,360,360,240,480,LB360/H240;LB360/H360;LB360/H480
7,3,DRIVE_DOWN__EFF_MID,1,3,9,3,0.3333333333333333,1.0847982324279524,1.5847614439833044,1.7470956328960925,2.000470578029412,1.7416708348995962,124.49264792112992,0.5503355704697986,0.5629001167813374,467,180,240,360,480,LB180/H360;LB240/H360;LB180/H480
8,1,EFF_LOW__RANGE_MID,1,2,5,3,0.6,0.9613391679104314,1.365826529255492,1.1595619008336162,1.6289505530435682,2.2534690261618473,40.95895717607314,0.5588235294117647,0.5882352941176471,136,360,360,120,240,LB360/H120;LB360/H240
8,2,RV_MID__RANGE_MID,1,2,6,3,0.5,0.4566557371390938,0.5130065307102017,1.324803810584203,1.3360695172330184,1.6095506318110657,123.28783940784903,0.5563380281690141,0.5633802816901409,284,360,360,240,360,LB360/H240;LB360/H360
8,3,DRIVE_DOWN__STR_B0_20,2,2,7,3,0.42857142857142855,0.1888225430356468,0.3036045235245365,1.2912153348404063,1.5491601529615742,1.894757515196433,37.99805315357818,0.5555555555555556,0.5626614987080103,176,240,360,240,240,LB240/H240;LB360/H240
9,1,EFF_MID__EXT_HIGH,1,3,7,3,0.42857142857142855,0.5440519003064993,1.8543346785019217,1.6802930313342888,2.620348243193907,2.080374358773708,60.75671552947972,0.6025641025641025,0.6111111111111112,234,360,360,240,480,LB360/H240;LB360/H360;LB360/H480
9,2,EFF_MID__RANGE_LOW,1,1,3,2,0.6666666666666666,1.3927928989634928,1.3927928989634928,1.5856178264903054,1.5856178264903054,1.6393801006268098,82.18957046389758,0.5625,0.5625,144,360,360,480,480,LB360/H480
9,3,DRIVE_DOWN__STR_B80_100,1,1,3,2,0.6666666666666666,1.20101617148155,1.20101617148155,2.222724796438481,2.222724796438481,2.338257080749402,46.766033032703206,0.6236559139784946,0.6236559139784946,93,360,360,120,120,LB360/H120
10,1,DRIVE_UP__RV_HIGH,1,5,11,7,0.6363636363636364,0.919427961540264,2.2267600073997773,1.4550755120494108,2.6550334960005526,1.9261931737758724,124.93898559703835,0.5636363636363636,0.6146463026414911,581,60,180,240,480,LB180/H240;LB120/H360;LB180/H360;LB60/H480;LB120/H480
10,2,EFF_LOW__RV_HIGH,1,2,6,4,0.6666666666666666,0.9935996290588898,1.2535803457757573,1.0508899788848602,1.4793275404043,1.37424239069091,102.90229073106497,0.5833333333333334,0.5972222222222223,144,60,60,240,360,LB60/H240;LB60/H360
10,3,DRIVE_UP__STR_B60_80,1,2,5,3,0.6,2.064794531297954,2.189169794737815,2.08094781048385,2.361308738383104,1.8697105742709996,75.29042817838248,0.5662650602409639,0.5908248378127896,187,60,120,480,480,LB60/H480;LB120/H480
11,1,DRIVE_UP__RANGE_HIGH,1,7,11,9,0.8181818181818182,0.3724688628648131,1.8716979207254028,1.0359934560519184,2.3212412536103897,1.813444905093017,122.19924091544792,0.5655737704918032,0.602720230589083,878,240,360,120,480,LB240/H120;LB360/H120;LB360/H240;LB240/H360;LB360/H360;LB240/H480;LB360/H480
11,2,DRIVE_UP__STR_B80_100,2,4,8,4,0.5,1.7654756996057404,3.0150118117956364,2.271914433283804,3.344123501094864,3.0725182091498504,58.34901140100135,0.5675675675675675,0.6399247348614436,306,240,360,360,480,LB240/H360;LB360/H360;LB240/H480;LB360/H480
11,3,DRIVE_UP__RV_HIGH,2,3,7,6,0.8571428571428571,1.5354469918929294,2.095500974745803,2.619840901724961,2.9833560083582307,2.085927538585959,123.2498656430952,0.5504587155963303,0.6062841038556095,320,240,360,360,480,LB240/H360;LB240/H480;LB360/H480
12,1,DRIVE_UP__STR_B80_100,1,5,11,6,0.5454545454545454,0.5491650521287748,1.2576639585191787,0.9775053098915188,1.8719825995905222,1.8374817126568144,94.30559973046456,0.6233766233766234,0.6470219435736677,417,180,360,360,480,LB180/H360;LB240/H360;LB360/H360;LB180/H480;LB360/H480
12,2,DRIVE_UP__RV_HIGH,1,3,8,4,0.5,0.9216189237767995,1.021165551589765,1.2916753620132897,1.5903104091866151,1.682200169355326,120.59111413914545,0.5714285714285714,0.6327380952380953,329,240,360,240,360,LB360/H240;LB240/H360;LB360/H360
12,3,DRIVE_UP__EXT_HIGH,1,3,9,4,0.4444444444444444,0.327687880819318,0.6067763493544248,1.205405876694788,1.655346289495778,1.7523990066487294,118.9750727260024,0.5823529411764706,0.6045343137254903,490,120,180,360,480,LB120/H360;LB180/H360;LB120/H480
13,1,DRIVE_UP__STR_B60_80,1,8,14,9,0.6428571428571429,0.4495264591544342,1.5121736247173552,1.2723515611397394,2.1037872416910974,1.9559497435411304,78.01282789318029,0.5925925925925926,0.6524386107719441,651,60,180,240,480,LB120/H240;LB180/H240;LB60/H360;LB120/H360;LB180/H360;LB60/H480;LB120/H480;LB180/H480
13,2,DRIVE_UP__RANGE_MID,1,7,14,9,0.6428571428571429,0.4053928840969486,0.7418853053701818,0.5706464718212659,1.1786938724663967,1.5255232866675743,116.29569916593708,0.5555555555555556,0.5860034474625213,1012,60,240,240,480,LB180/H240;LB60/H360;LB120/H360;LB180/H360;LB240/H360;LB60/H480;LB120/H480
13,3,EFF_MID__RV_HIGH,1,7,15,8,0.5333333333333333,0.5501370064536758,2.0208238160927103,0.8570655202302829,2.9769531112404417,1.876561007637676,111.54402028150568,0.5694444444444444,0.6150793650793652,456,120,180,120,480,LB120/H120;LB180/H120;LB180/H240;LB120/H360;LB180/H360;LB120/H480;LB180/H480
14,1,EFF_HIGH__RANGE_MID,1,4,11,6,0.5454545454545454,0.3101701653182788,0.7058692060157201,1.0662476231012468,1.1737719980041512,1.4136025503419116,99.621771736964,0.5698924731182796,0.5858353116417633,375,60,180,240,360,LB120/H240;LB60/H360;LB120/H360;LB180/H360
14,2,EFF_HIGH__RV_LOW,1,3,7,5,0.7142857142857143,0.5712261822535362,1.1093675427275198,0.7988200389647345,1.2703873975222661,1.3438606444789336,115.76185446251208,0.5700934579439252,0.6012815066553384,302,60,120,360,480,LB60/H360;LB120/H360;LB60/H480
14,3,RV_LOW__RANGE_MID,1,3,7,4,0.5714285714285714,0.4664956454976193,1.160728944477485,0.5158191954565844,1.3578828750484915,1.4933238897393295,65.79235387393175,0.5921052631578947,0.6403508771929824,228,60,60,240,480,LB60/H240;LB60/H360;LB60/H480
15,1,EFF_LOW__RV_HIGH,1,3,10,3,0.3,0.4804947408245276,1.0857731139920332,1.4447986913975988,2.6977096491185684,1.7080272814426691,83.52574706827536,0.581081081081081,0.602969166349448,219,180,240,240,360,LB180/H240;LB180/H360;LB240/H360
15,2,RV_MID__RANGE_HIGH,1,2,7,4,0.5714285714285714,0.2388824915361085,0.4510595985065968,1.0725477909726249,1.183721588091891,1.7616518672788102,66.83966288094001,0.5753424657534246,0.5890410958904109,146,240,240,120,240,LB240/H120;LB240/H240
15,3,EFF_LOW__RANGE_MID,1,2,8,2,0.25,1.897828532976192,1.9671053889395118,2.1539762162311216,2.982327802548167,2.7205069158650144,58.47372524807084,0.575,0.575,160,240,240,240,360,LB240/H240;LB240/H360
16,1,EFF_LOW__RV_MID,1,4,11,5,0.45454545454545453,0.4007295807781166,1.4144811682351162,1.047259034409997,1.9146492453392683,1.7911557283098813,118.92267987846908,0.5633802816901409,0.6120274277242402,294,120,180,120,360,LB180/H120;LB120/H240;LB180/H240;LB120/H360
16,2,EFF_LOW__RANGE_MID,2,4,8,4,0.5,0.8483093868677566,1.5381353426440496,1.634058304409315,2.662822446875867,2.0726475283814856,119.82171260477224,0.5571428571428572,0.5964285714285715,280,360,360,120,480,LB360/H120;LB360/H240;LB360/H360;LB360/H480
16,3,RV_MID__RANGE_LOW,1,3,7,3,0.42857142857142855,0.5179435744799477,0.7342280843905371,0.9595900940384976,1.7722319892113205,1.9781034615565287,84.86631484959682,0.5909090909090909,0.6212121212121212,198,60,60,120,360,LB60/H120;LB60/H240;LB60/H360
17,1,DRIVE_UP__EXT_LOW,1,3,7,3,0.42857142857142855,0.6448016370597315,1.8984214276484817,2.342596504408934,2.914582067696958,2.24154835211505,88.76506459168286,0.5555555555555556,0.5604938271604939,405,360,360,240,480,LB360/H240;LB360/H360;LB360/H480
17,2,EFF_LOW__EXT_MID,1,2,7,2,0.2857142857142857,1.7948386331513044,1.923558433097866,2.791079968272243,3.1990820320526177,1.8800203333224816,88.96148170003951,0.5662650602409639,0.5783132530120483,166,120,120,360,480,LB120/H360;LB120/H480
17,3,EFF_LOW__RANGE_HIGH,1,2,7,2,0.2857142857142857,0.147220310589347,1.5972849998095235,1.899786017102426,3.6969809700000447,2.4661944038793715,48.71141350137383,0.55,0.575,120,120,120,120,240,LB120/H120;LB120/H240
18,1,DRIVE_DOWN__STR_B80_100,1,4,8,4,0.5,0.1390865960714092,1.292048521319137,1.371327717296505,2.079510980274928,1.922386459483786,124.0894139530682,0.575,0.5880142405063291,318,60,120,120,240,LB60/H120;LB120/H120;LB60/H240;LB120/H240
18,2,DRIVE_DOWN__EXT_HIGH,1,3,9,6,0.6666666666666666,0.5799281498492781,0.9547169782589943,1.022917930986773,1.4282639964427404,1.5790754543990804,82.4329089682823,0.5555555555555556,0.5633364456893869,371,120,180,120,240,LB120/H120;LB120/H240;LB180/H240
18,3,RV_HIGH__RANGE_MID,1,2,5,3,0.6,0.2492851533513576,0.8896044113759237,1.2548634545134392,2.08746287542722,1.5640458151776322,82.84591816837269,0.5901639344262295,0.6065573770491803,122,360,360,360,480,LB360/H360;LB360/H480
19,1,RV_LOW__RANGE_MID,1,3,7,4,0.5714285714285714,1.5307551910227928,2.0601288090713936,2.909255240684532,3.3087621808123724,1.9570371418562047,79.90544447027781,0.5657894736842105,0.5745614035087719,228,60,60,240,480,LB60/H240;LB60/H360;LB60/H480
19,2,DRIVE_DOWN__STR_B60_80,1,3,7,3,0.42857142857142855,1.3375392652483071,1.7180286690425692,1.5387660239640597,2.177433608974735,1.7661820422259225,58.24345509887532,0.5573770491803278,0.5846994535519126,183,60,60,240,480,LB60/H240;LB60/H360;LB60/H480
19,3,DRIVE_DOWN__STR_B80_100,1,2,7,2,0.2857142857142857,1.131160962199623,1.322552089862624,2.6090961952816265,2.614766482348262,1.990885011250466,53.3608269745863,0.5692307692307692,0.5923076923076923,130,120,120,120,240,LB120/H120;LB120/H240
20,1,DRIVE_DOWN__RANGE_HIGH,1,5,10,6,0.6,0.0222057813490158,2.5892610328382104,2.652944458197829,3.2907431866871293,2.707093985352933,105.29210507967328,0.5818181818181818,0.6010294746868695,576,60,240,120,240,LB60/H120;LB120/H120;LB180/H120;LB240/H120;LB120/H240
20,2,DRIVE_DOWN__STR_B80_100,1,5,10,5,0.5,0.5774402609262657,3.034815554472199,2.0224651494730304,3.62442040040548,2.8863168773050387,81.52889392166716,0.5606060606060606,0.6070492619163004,369,60,240,120,240,LB60/H120;LB120/H120;LB180/H120;LB240/H120;LB60/H240
20,3,DRIVE_DOWN__RV_HIGH,1,5,10,5,0.5,0.4718578129840441,2.8453051845026067,2.842300121224722,3.474374309002596,2.7294686251590994,96.42829796837884,0.5957446808510638,0.6045127648020685,539,60,240,120,240,LB60/H120;LB120/H120;LB180/H120;LB240/H120;LB120/H240
21,1,DRIVE_UP__STR_B60_80,1,1,3,2,0.6666666666666666,3.210455896361847,3.210455896361847,3.472131861254047,3.472131861254047,1.9483174420566136,66.99923633080162,0.5555555555555556,0.5555555555555556,72,60,60,480,480,LB60/H480
21,2,DRIVE_UP__RANGE_MID,1,1,3,1,0.3333333333333333,1.0883201973967478,1.0883201973967478,2.049894222409758,2.049894222409758,1.5022409795870346,110.35041152353804,0.5528455284552846,0.5528455284552846,123,60,60,480,480,LB60/H480
21,3,DRIVE_UP__STR_B20_40,1,1,3,1,0.3333333333333333,0.8496983689455939,0.8496983689455939,3.1200925890468443,3.1200925890468443,1.7933222550868717,69.24743800163621,0.573170731707317,0.573170731707317,82,60,60,480,480,LB60/H480
22,1,DRIVE_UP__EFF_HIGH,1,3,6,3,0.5,1.6321128285881434,3.0212450553350116,3.5929952801957405,4.177847617941317,2.1708773418458667,106.33390061722729,0.5882352941176471,0.5930110086713126,457,240,360,360,480,LB360/H360;LB240/H480;LB360/H480
22,2,EFF_HIGH__RANGE_MID,1,3,10,3,0.3,2.0458770164378643,2.4170614157997306,2.472748529552785,3.69877023534065,2.3532466058111425,84.29206581619155,0.5714285714285714,0.5787545787545788,273,240,240,240,480,LB240/H240;LB240/H360;LB240/H480
22,3,RV_HIGH__RANGE_MID,1,2,5,2,0.4,2.365847943662492,2.6663241699954403,2.876761145241484,2.9389770539290963,2.4903105982891818,43.68135259235297,0.6031746031746031,0.6111111111111112,126,360,360,360,480,LB360/H360;LB360/H480
23,1,DRIVE_UP__RV_MID,1,3,10,4,0.4,1.2147012596397049,1.557433669775315,1.808425825046772,2.189287793698632,1.8903958914729968,100.03466863438317,0.6237623762376238,0.6435643564356436,303,120,120,240,480,LB120/H240;LB120/H360;LB120/H480
23,2,DRIVE_UP__STR_B40_60,1,3,7,3,0.42857142857142855,0.8067099092442984,1.1147429129934225,1.4512892834375029,1.7624505284150302,1.5977314757835253,92.7647042485955,0.5568181818181818,0.5795454545454546,264,60,60,240,480,LB60/H240;LB60/H360;LB60/H480
23,3,DRIVE_UP__RANGE_MID,1,2,6,5,0.8333333333333334,0.4177242146344317,0.6040529494981204,0.9495964395438858,1.3292432695196434,1.381995680009122,99.981791855851,0.6052631578947368,0.6075096277278562,237,180,240,480,480,LB180/H480;LB240/H480
