hour_wib,component_rank,character_rule,raw_component_id,component_size,lookback_min,hold_min,dev_n,dev_wr,dev_net,dev_exp,dev_pf,dev_dd,dev_ls,dev_H1_exp,dev_H1_pf,dev_H2_exp,dev_H2_pf,dev_min_half_exp,dev_positive_anchors
2,3,RV_LOW__RANGE_MID,1,6,180,120,67,0.582089552238806,90.25671062743028,1.3471150839914967,1.9965644053579643,35.47618589268792,8,0.795532227741959,1.7646790199896618,2.3353677014385847,2.222894891472365,0.795532227741959,4
2,3,RV_LOW__RANGE_MID,1,6,180,240,67,0.6716417910447762,207.5849916111084,3.098283456882215,2.9677790702267086,40.40433816876629,7,2.7152795335066795,3.144667974315383,3.784498819596719,2.779146916732781,2.7152795335066795,4
2,3,RV_LOW__RANGE_MID,1,6,180,360,67,0.7014925373134329,231.74847451711423,3.458932455479317,3.113452163089594,35.162465034097664,5,2.090695259597712,2.446362512953133,5.910357431433861,3.9864026465844815,2.090695259597712,4
2,3,RV_LOW__RANGE_MID,1,6,240,360,82,0.5975609756097561,174.2130373552614,2.124549236039773,2.238508722561924,48.2591221884092,5,1.4035504453348358,1.6544586210796957,3.142429881740863,3.832303929472173,1.4035504453348358,4
2,3,RV_LOW__RANGE_MID,1,6,180,480,67,0.7014925373134329,267.4307102477097,3.9915031380255184,3.0027358455506508,45.52851858639946,7,2.2073024251145528,2.158583838556324,7.188196081990998,4.342682238029179,2.2073024251145528,4
2,3,RV_LOW__RANGE_MID,1,6,240,480,82,0.6829268292682927,274.55201974731307,3.3481953627721106,2.8419361625080333,29.110128522059775,5,1.9513968456910176,1.8755629220774168,5.320146210416007,5.298906112683876,1.9513968456910176,4
3,1,DRIVE_DOWN__EXT_HIGH,1,2,180,360,110,0.5636363636363636,143.8332804097859,1.3075752764525992,1.4183456839150312,94.47042799005268,8,1.0195882492759707,1.4252433456816718,0.8899720201458581,1.2234082275148328,0.8899720201458581,3
3,1,DRIVE_DOWN__EXT_HIGH,1,2,240,360,111,0.5585585585585585,118.74211013803944,1.069748739982337,1.3382635830139635,95.18065534193444,6,0.5268679631502575,1.1598162463106518,0.9625501884163824,1.3145695743185348,0.5268679631502575,3
3,2,EFF_MID__RV_MID,1,2,60,360,77,0.5974025974025974,154.01343222722392,2.0001744445094016,1.9386249763277532,29.76547894480092,4,0.9442345585702178,1.5923135927565326,2.603568665046077,2.0680368456006617,0.9442345585702178,4
3,2,EFF_MID__RV_MID,1,2,60,480,77,0.5974025974025974,176.51443779887174,2.2923952960892438,1.8548691181575063,56.40204868761069,5,1.982678856610241,1.9310137217863412,2.4693761186486736,1.8239511054069644,1.982678856610241,4
3,3,RV_LOW__RANGE_MID,1,1,240,240,73,0.6027397260273972,78.48721957697192,1.0751673914653688,1.461002109062562,57.314107316519305,6,1.1252774553196077,1.5292231097432416,1.0207621792807666,1.3993825027815054,1.0207621792807666,3
4,1,DRIVE_DOWN__STR_B80_100,1,5,120,240,71,0.6056338028169014,269.39136819649343,3.794244622485823,2.98944083282238,54.46837250467604,7,7.134418020440758,4.982198082215123,0.8935677242617969,1.4450941125239265,0.8935677242617969,4
4,1,DRIVE_DOWN__STR_B80_100,1,5,180,240,70,0.6,265.6827174036971,3.7954673914813872,2.7168048729005423,59.6828586912483,6,5.396417557653991,3.4692931376436063,0.6298750899634472,1.2722982785474208,0.6298750899634472,4
4,1,DRIVE_DOWN__STR_B80_100,1,5,240,240,73,0.5616438356164384,257.9952808544798,3.534181929513422,2.3598101927475224,84.77008842427014,8,5.76359229212377,2.94485259034438,0.3386937431052583,1.163100363372923,0.3386937431052583,4
4,1,DRIVE_DOWN__STR_B80_100,1,5,180,360,70,0.5571428571428572,196.20070991029607,2.802867284432801,1.7983167255847374,56.04167013698243,6,2.888056743817885,1.93895321846586,1.51292150923597,1.3638901212911558,1.51292150923597,4
4,1,DRIVE_DOWN__STR_B80_100,1,5,240,360,73,0.5753424657534246,247.0141948838752,3.38375609429966,1.9071331125750643,83.12681055814758,7,4.622197324098246,2.252450889016545,1.6086569982550225,1.4247854943491485,1.6086569982550225,4
4,2,EFF_MID__EXT_LOW,1,1,120,480,117,0.5982905982905983,229.43894351708923,1.961016611257173,1.6877524155997363,108.7202121988864,5,0.6388181878841104,1.1794982881154263,2.7873906258653367,2.1570206698390613,0.6388181878841104,3
4,3,RV_LOW__RANGE_MID,1,1,360,360,74,0.5540540540540541,45.67532561887239,0.617234129984762,1.2372129925491582,113.65614886825152,7,1.112704345941428,1.6453918022305989,0.3156435637502697,1.100637884208333,0.3156435637502697,3
5,1,DRIVE_DOWN__EFF_HIGH,1,4,180,240,133,0.6165413533834586,287.3675984910294,2.160658635270898,2.279462173318616,56.67258444384882,7,2.4384657421031384,2.8552221159261157,2.0453982398830526,2.1091956645676078,2.0453982398830526,4
5,1,DRIVE_DOWN__EFF_HIGH,1,4,240,240,117,0.5897435897435898,154.52926626245952,1.3207629595082009,1.520028224434674,51.758476906491445,7,2.7599547945006107,2.2927005491289263,0.3883288128934001,1.1385883748479069,0.3883288128934001,4
5,1,DRIVE_DOWN__EFF_HIGH,1,4,180,360,133,0.6616541353383458,242.89460939392296,1.8262752586009243,1.7140205698392492,106.27339544784256,4,0.5737710606356722,1.2892926455550062,2.345931255629061,1.8390192606998392,0.5737710606356722,4
5,1,DRIVE_DOWN__EFF_HIGH,1,4,180,480,133,0.6616541353383458,260.08680507419984,1.955539887775939,1.6624426640797856,119.27603112765064,5,1.14259133267834,1.468938616659541,2.2928270542526024,1.7242311630167235,1.14259133267834,4
