exec_min,execution_utc,filter,partition,raw_n,n,retention,wins,wr,pf,expectancy,net,max_ls
600,10:00,A__B__C,reference_validation,41,24,0.5853658536585366,16,0.6666666666666666,2.0974301619651627,1.827408949618153,43.85781479083567,3
960,16:00,BASE,external,49,49,1.0,30,0.6122448979591837,1.6453786481457868,1.2118715660847894,59.381706738154676,7
960,16:00,A__B,external,49,30,0.6122448979591837,17,0.5666666666666667,1.5919239101968383,1.3673804914888972,41.02141474466691,7
960,16:00,A__C,external,49,26,0.5306122448979592,15,0.5769230769230769,1.78036183478968,1.6286514330760098,42.344937259976255,5
960,16:00,A__B__C,external,49,24,0.4897959183673469,14,0.5833333333333334,1.8886979968429998,1.8828210323679713,45.18770477683131,5
960,16:00,BASE,development,50,50,1.0,28,0.56,0.8860182269496798,-0.34899639511085534,-17.449819755542766,3
960,16:00,A__B,development,50,34,0.68,20,0.5882352941176471,0.8141860674575752,-0.6167479885081063,-20.969431609275613,4
960,16:00,A__C,development,50,33,0.66,18,0.5454545454545454,0.7539233709786674,-0.8570620060004678,-28.283046198015438,4
960,16:00,A__B__C,development,50,30,0.6,17,0.5666666666666667,0.7281230446779203,-1.0178210438449684,-30.53463131534905,4
960,16:00,BASE,reference_validation,24,24,1.0,14,0.5833333333333334,1.4010272664192651,0.886947629107811,21.286743098587465,5
960,16:00,A__B,reference_validation,24,13,0.5416666666666666,9,0.6923076923076923,2.276965226089498,2.6384646392315623,34.30004031001031,3
960,16:00,A__C,reference_validation,24,14,0.5833333333333334,9,0.6428571428571429,3.9157630322364643,3.0717204019372653,43.00408562712171,2
960,16:00,A__B__C,reference_validation,24,11,0.4583333333333333,8,0.7272727272727273,5.618238629642587,4.196335799942831,46.15969379937114,2
