clock_min,clock,partition,windows,k1,executed,wr,pf,exp,net,tp_rate,time_rate
120,02:00,august,14,3,3,0.6666666666666666,0.33255985325626436,-1.2590581474597722,-3.7771744423793163,0.6666666666666666,0.0
150,02:30,external,523,122,48,0.6875,1.0043817607816472,0.010622072544595648,0.5098594821405911,0.6875,0.125
150,02:30,development,782,206,87,0.6436781609195402,1.0036430967998866,0.0048326991914772865,0.4204448296585239,0.6436781609195402,0.13793103448275862
150,02:30,reference_validation,411,106,30,0.8,1.4753886792981894,0.5358192049587025,16.074576148761075,0.7666666666666667,0.13333333333333333
150,02:30,august,14,3,2,0.5,0.2347131102913304,-2.1654541571990595,-4.330908314398119,0.5,0.0
180,03:00,external,523,127,42,0.5952380952380952,0.5555781027991261,-1.414093111500641,-59.39191068302692,0.5714285714285714,0.14285714285714285
180,03:00,development,782,209,82,0.7317073170731707,1.3152248121871903,0.37259014553121556,30.552391933559676,0.6829268292682927,0.14634146341463414
180,03:00,reference_validation,411,95,31,0.8064516129032258,1.4322657608307012,0.5950634412762774,18.4469666795646,0.7419354838709677,0.0967741935483871
180,03:00,august,14,2,2,0.5,0.2347131102913304,-2.1654541571990595,-4.330908314398119,0.5,0.0
210,03:30,external,523,125,44,0.7272727272727273,1.3918263279312275,0.6975596718478343,30.69262556130471,0.6818181818181818,0.09090909090909091
210,03:30,development,782,214,81,0.7407407407407407,1.5204133606843029,0.5855594863320904,47.43031839289932,0.7160493827160493,0.1111111111111111
210,03:30,reference_validation,411,105,28,0.8571428571428571,2.989790664127801,1.3835747325529388,38.74009251148229,0.8571428571428571,0.10714285714285714
210,03:30,august,14,2,1,1.0,inf,1.3282874364226154,1.3282874364226154,1.0,0.0
240,04:00,external,523,111,33,0.8181818181818182,2.9088983486119244,2.111485753634594,69.6790298699416,0.7575757575757576,0.12121212121212122
240,04:00,development,782,200,79,0.8354430379746836,2.2212384895445396,0.9862550368043796,77.914147907546,0.7721518987341772,0.08860759493670886
240,04:00,reference_validation,411,109,32,0.75,1.5637119937118296,0.6919412783714151,22.142120907885282,0.71875,0.1875
240,04:00,august,14,4,1,1.0,inf,1.3282874364226154,1.3282874364226154,1.0,0.0
270,04:30,external,523,114,34,0.7647058823529411,2.5169426913798767,1.5225762255568196,51.767591668931864,0.7352941176470589,0.11764705882352941
270,04:30,development,782,219,86,0.7906976744186046,1.9080181667682479,0.8008894004001088,68.87648843440935,0.7674418604651163,0.10465116279069768
270,04:30,reference_validation,411,101,38,0.7894736842105263,1.7741840954243218,0.9135368392212171,34.71439989040625,0.7631578947368421,0.13157894736842105
270,04:30,august,14,3,1,1.0,inf,1.3282874364226154,1.3282874364226154,1.0,0.0
300,05:00,external,523,120,36,0.6666666666666666,0.8798933208398237,-0.2828918652378449,-10.184107148562415,0.6388888888888888,0.2222222222222222
300,05:00,development,782,220,82,0.7560975609756098,1.8290897830728927,0.8865457793670195,72.6967539080956,0.7439024390243902,0.0975609756097561
300,05:00,reference_validation,411,97,36,0.75,1.1980185749595458,0.303810505441276,10.937178195885936,0.7222222222222222,0.1111111111111111
300,05:00,august,14,3,1,1.0,inf,0.6697935908762224,0.6697935908762224,1.0,0.0
330,05:30,external,523,124,40,0.625,0.8827909326025891,-0.28455918151004783,-11.382367260401914,0.6,0.2
330,05:30,development,782,199,72,0.7638888888888888,1.9468617136379944,0.9280729635441097,66.8212533751759,0.7638888888888888,0.09722222222222222
330,05:30,reference_validation,411,102,38,0.7105263157894737,0.9128874835090406,-0.15659899163819335,-5.950761682251347,0.6842105263157895,0.13157894736842105
330,05:30,august,14,3,0,,,,0.0,,
360,06:00,external,523,105,35,0.6285714285714286,1.3416920983494671,0.5068594834969913,17.740081922394694,0.6285714285714286,0.2857142857142857
360,06:00,development,782,187,59,0.6779661016949152,1.039337616062058,0.06897194861997898,4.0693449685787595,0.6440677966101694,0.13559322033898305
360,06:00,reference_validation,411,97,38,0.7368421052631579,0.8892606222090824,-0.18422379957572696,-7.000504383877624,0.7105263157894737,0.18421052631578946
360,06:00,august,14,3,0,,,,0.0,,
390,06:30,external,523,117,39,0.717948717948718,0.9688299151427207,-0.07195100549020682,-2.806089214118066,0.6923076923076923,0.2564102564102564
390,06:30,development,782,194,58,0.7068965517241379,0.9522730962543987,-0.09077543422356489,-5.264975184966763,0.7068965517241379,0.10344827586206896
390,06:30,reference_validation,411,95,33,0.5757575757575758,0.42751540972964536,-1.5260625062287927,-50.360062705550156,0.5757575757575758,0.18181818181818182
390,06:30,august,14,2,0,,,,0.0,,
420,07:00,external,523,115,34,0.6764705882352942,1.3835690883218121,0.6872100412873597,23.36514140377023,0.5882352941176471,0.38235294117647056
420,07:00,development,782,164,53,0.7169811320754716,0.9123247811015801,-0.1644943771328579,-8.718201988041468,0.7169811320754716,0.07547169811320754
420,07:00,reference_validation,411,90,31,0.5806451612903226,0.504463762307411,-1.3408223662006997,-41.565493352221694,0.5806451612903226,0.1935483870967742
420,07:00,august,14,4,2,0.0,0.0,-6.231475071145315,-12.46295014229063,0.0,0.0
450,07:30,external,523,118,39,0.717948717948718,1.6338461472965495,1.084687790600638,42.30282383342488,0.6666666666666666,0.3333333333333333
450,07:30,development,782,164,56,0.6785714285714286,0.701654160382651,-0.7404199620924994,-41.46351787717997,0.6785714285714286,0.10714285714285714
450,07:30,reference_validation,411,83,26,0.6538461538461539,0.6234889904003053,-1.076637949049631,-27.992586675290404,0.6153846153846154,0.07692307692307693
450,07:30,august,14,2,0,,,,0.0,,
480,08:00,external,523,120,40,0.725,1.2116646147944852,0.5004729391637559,20.018917566550236,0.7,0.25
480,08:00,development,782,173,54,0.7407407407407407,1.0730780510290252,0.14813544003341195,7.999313761804245,0.7037037037037037,0.07407407407407407
480,08:00,reference_validation,411,85,28,0.7142857142857143,1.0236900427665696,0.06244981143424693,1.748594720158914,0.7142857142857143,0.0
480,08:00,august,14,3,2,0.5,0.7603038570493219,-0.7350128170782066,-1.4700256341564133,0.5,0.0
510,08:30,external,523,121,41,0.6585365853658537,0.8335534511584656,-0.46507669289136494,-19.06814440854596,0.5121951219512195,0.34146341463414637
510,08:30,development,782,181,61,0.7213114754098361,1.0075125737852415,0.016531282835655057,1.0084082529749585,0.6885245901639344,0.09836065573770492
510,08:30,reference_validation,411,84,32,0.5625,0.7643990724031767,-0.562720670721029,-18.00706146307293,0.5625,0.1875
510,08:30,august,14,4,0,,,,0.0,,
540,09:00,external,523,106,36,0.6388888888888888,0.7129499496647295,-0.7234743878752669,-26.045077963509605,0.5277777777777778,0.4166666666666667
540,09:00,development,782,165,52,0.4807692307692308,0.3791692349974277,-2.0928037697587603,-108.82579602745554,0.4230769230769231,0.2692307692307692
540,09:00,reference_validation,411,76,22,0.7272727272727273,1.2928060551103981,0.44350445000139715,9.757097900030738,0.6818181818181818,0.13636363636363635
540,09:00,august,14,6,2,0.5,1.9793327402269,0.3686168079753253,0.7372336159506506,0.5,0.5
570,09:30,external,523,107,36,0.6388888888888888,1.4642255234362112,0.6301041783020311,22.68375041887312,0.5277777777777778,0.4166666666666667
570,09:30,development,782,145,49,0.6530612244897959,0.9117782361461987,-0.17847813469392812,-8.745428600002478,0.6122448979591837,0.22448979591836735
