role,partition,dev_block,execution_start,loss_class,episode_class_before_a8,lane,window_min,H,L,R,parent_pnl,parent_pnl_5bps,h2_recovery_pnl,h2_recovery_pnl_5bps,episode_pnl_before_a8,episode_pnl_before_a8_5bps,h2_exit_ts,reclaim_signal_ts,reclaim_signal_close,reentry_ts,reentry_price,a8_exit_ts,a8_exit_price,a8_exit_reason,a8_invalidation_close_ts,a8_pnl,a8_pnl_5bps,a8_won,a8_won_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps,selection_scope
CENTRAL,development,1.0,2022-07-04 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,35.14,33.75,1.3900000000000006,-0.7114399544678185,-0.9614399544678184,-1.4228799089356925,-1.6728799089356925,-2.134319863403511,-2.634319863403511,2022-07-04 21:30:00+00:00,2022-07-04 21:30:00+00:00,35.15,2022-07-04 21:35:00+00:00,35.16,2022-07-04 21:40:00+00:00,35.696,TARGET,,7.622298065984134,7.372298065984134,True,True,5.487978202580623,4.737978202580623,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-07-08 18:00:00+00:00,L4_BREAK_FAIL_30M,RESIDUAL_TRUE_FAILURE_PROXY,RC30,30,38.99,36.44,2.5500000000000043,-2.692998204667896,-2.942998204667896,-0.2564760194921911,-0.5064760194921911,-2.9494742241600873,-3.4494742241600873,2022-07-08 19:25:00+00:00,2022-07-08 19:25:00+00:00,39.01,2022-07-08 19:30:00+00:00,39.0,2022-07-08 19:40:00+00:00,38.97,FAILED_RECLAIM,2022-07-08 19:35:00+00:00,-0.38461538461537215,-0.6346153846153721,False,False,-3.3340896087754595,-4.084089608775459,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-07-13 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,34.14,32.32,1.8200000000000005,-1.611013473930889,-1.861013473930889,-1.7574692442882123,-2.0074692442882123,-3.3684827182191013,-3.8684827182191013,2022-07-13 22:40:00+00:00,2022-07-13 22:50:00+00:00,34.16,2022-07-13 22:55:00+00:00,34.16,2022-07-13 23:15:00+00:00,34.868,TARGET,,10.362997658079687,10.112997658079687,True,True,6.9945149398605855,6.2445149398605855,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-07-14 18:00:00+00:00,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,36.62,33.69,2.93,-1.2288367012561197,-1.4788367012561197,0.0,-0.25,-1.2288367012561197,-1.7288367012561197,2022-07-14 21:30:00+00:00,2022-07-14 21:30:00+00:00,37.05,2022-07-14 21:35:00+00:00,37.04,2022-07-14 21:55:00+00:00,36.47,FAILED_RECLAIM,2022-07-14 21:50:00+00:00,-7.694384449244085,-7.944384449244085,False,False,-8.923221150500204,-9.673221150500204,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-07-26 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,35.74,34.87,0.8700000000000045,-2.518186905428099,-2.7681869054281,-0.2797985450476159,-0.5297985450476159,-2.797985450475715,-3.297985450475716,2022-07-26 23:35:00+00:00,2022-07-26 23:35:00+00:00,36.09,2022-07-26 23:40:00+00:00,36.09,2022-07-26 23:45:00+00:00,36.088,TARGET,,-0.027708506511514575,-0.2777085065115146,False,False,-2.8256939569872297,-3.5756939569872306,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-09-05 18:00:00+00:00,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,32.01,31.37,0.639999999999997,-0.3124023742580584,-0.5624023742580584,-0.4686035613870043,-0.7186035613870043,-0.7810059356450627,-1.2810059356450627,2022-09-05 21:50:00+00:00,2022-09-05 21:50:00+00:00,32.09,2022-09-05 21:55:00+00:00,32.09,2022-09-05 22:10:00+00:00,31.99,FAILED_RECLAIM,2022-09-05 22:05:00+00:00,-1.5581177937052937,-1.8081177937052937,False,False,-2.3391237293503564,-3.0891237293503564,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-09-26 18:00:00+00:00,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,33.41,32.67,0.7399999999999949,-0.5986231667165498,-0.8486231667165498,0.0,-0.25,-0.5986231667165498,-1.0986231667165498,2022-09-26 21:25:00+00:00,2022-09-26 21:25:00+00:00,33.47,2022-09-26 21:30:00+00:00,33.47,2022-09-26 21:50:00+00:00,33.37,FAILED_RECLAIM,2022-09-26 21:45:00+00:00,-1.4938751120406324,-1.7438751120406324,False,False,-2.092498278757182,-2.842498278757182,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-10-05 18:00:00+00:00,L5_BREAK_FAIL_LATE,RESIDUAL_LATENT_RECOVERABLE,RC30,30,34.04,33.15,0.8900000000000006,0.0,-0.25,-0.440658049353726,-0.690658049353726,-0.440658049353726,-0.940658049353726,2022-10-06 00:00:00+00:00,2022-10-06 00:00:00+00:00,34.1,2022-10-06 00:05:00+00:00,34.1,2022-10-06 00:10:00+00:00,34.396,TARGET,,4.340175953079117,4.090175953079117,True,True,3.8995179037253913,3.1495179037253913,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-10-21 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_TRUE_FAILURE_PROXY,RC30,30,28.0,27.1,0.8999999999999986,-1.0714285714285563,-1.3214285714285563,-0.8928571428571397,-1.1428571428571397,-1.964285714285696,-2.4642857142856958,2022-10-21 21:40:00+00:00,2022-10-21 21:45:00+00:00,28.04,2022-10-21 21:50:00+00:00,28.03,2022-10-21 22:00:00+00:00,27.96,FAILED_RECLAIM,2022-10-21 21:55:00+00:00,-1.2486621476989201,-1.4986621476989201,False,False,-3.212947861984616,-3.962947861984616,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-10-28 18:00:00+00:00,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,32.29,30.68,1.6099999999999994,-1.0839269123567583,-1.3339269123567583,0.0,-0.25,-1.0839269123567583,-1.5839269123567583,2022-10-28 21:05:00+00:00,2022-10-28 21:10:00+00:00,32.3,2022-10-28 21:15:00+00:00,32.3,2022-10-28 21:25:00+00:00,32.25,FAILED_RECLAIM,2022-10-28 21:20:00+00:00,-0.773993808049489,-1.023993808049489,False,False,-1.8579207204062473,-2.6079207204062476,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,1.0,2022-12-22 18:00:00+00:00,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_TRUE_FAILURE_PROXY,RC30,30,12.032,11.709,0.3230000000000004,-14.170545212765951,-14.420545212765951,-0.0831117021277139,-0.3331117021277139,-14.253656914893664,-14.753656914893664,2022-12-23 03:35:00+00:00,2022-12-23 03:35:00+00:00,12.039,2022-12-23 03:40:00+00:00,12.039,2022-12-23 03:50:00+00:00,12.014,FAILED_RECLAIM,2022-12-23 03:45:00+00:00,-1.038292216961556,-1.288292216961556,False,False,-15.29194913185522,-16.04194913185522,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-01-03 18:00:00+00:00,L1_NEVER_BREAK_TIME,RESIDUAL_TRUE_FAILURE_PROXY,RC30,30,13.879,11.947,1.9320000000000004,-9.186540817061717,-9.436540817061717,-3.314359824194757,-3.5643598241947574,-12.500900641256473,-13.000900641256475,2023-01-04 07:10:00+00:00,2023-01-04 07:30:00+00:00,13.884,2023-01-04 07:35:00+00:00,13.884,2023-01-04 08:10:00+00:00,13.864,FAILED_RECLAIM,2023-01-04 08:05:00+00:00,-0.7202535292422652,-0.9702535292422652,False,False,-13.221154170498739,-13.97115417049874,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-01-05 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,13.395,13.027,0.3680000000000003,-0.261291526689078,-0.5112915266890781,-2.7995520716684874,-3.0495520716684874,-3.0608435983575655,-3.5608435983575655,2023-01-06 00:05:00+00:00,2023-01-06 00:30:00+00:00,13.437,2023-01-06 00:35:00+00:00,13.437,2023-01-06 00:45:00+00:00,13.5422,TARGET,,3.9145642628563015,3.6645642628563015,True,True,0.8537206644987361,0.10372066449873607,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-01-06 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,13.3,12.89,0.4100000000000001,-0.8270676691729539,-1.077067669172954,-0.4887218045112607,-0.7387218045112607,-1.3157894736842146,-1.8157894736842146,2023-01-06 19:30:00+00:00,2023-01-06 19:35:00+00:00,13.371,2023-01-06 19:40:00+00:00,13.369,2023-01-06 20:05:00+00:00,13.301,FAILED_RECLAIM,2023-01-06 20:00:00+00:00,-2.5431969481636285,-2.7931969481636285,False,False,-3.858986421847843,-4.608986421847844,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-02-07 18:00:00+00:00,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_LATENT_RECOVERABLE,RC30,30,23.7,22.742,0.9579999999999984,-21.43459915611812,-21.68459915611812,-1.1392405063290756,-1.3892405063290756,-22.5738396624472,-23.0738396624472,2023-02-07 23:00:00+00:00,2023-02-07 23:00:00+00:00,23.747,2023-02-07 23:05:00+00:00,23.748,2023-02-08 00:35:00+00:00,24.083199999999998,TARGET,,7.057436415698115,6.807436415698115,True,True,-15.516403246749084,-16.266403246749086,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-03-11 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,17.708,16.97,0.7379999999999995,-1.2988479783148654,-1.5488479783148654,-0.8470747684661828,-1.0970747684661828,-2.145922746781048,-2.645922746781048,2023-03-11 19:10:00+00:00,2023-03-11 19:25:00+00:00,17.765,2023-03-11 19:30:00+00:00,17.767,2023-03-11 20:00:00+00:00,18.0032,TARGET,,6.64715483762035,6.39715483762035,True,True,4.501232090839302,3.751232090839302,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-03-31 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,21.008,20.635,0.3729999999999975,-1.0472201066260567,-1.2972201066260567,-0.7378141660319693,-0.9878141660319693,-1.785034272658026,-2.285034272658026,2023-04-01 03:40:00+00:00,2023-04-01 03:40:00+00:00,21.029,2023-04-01 03:45:00+00:00,21.029,2023-04-01 04:35:00+00:00,21.1572,TARGET,,3.048171572590186,2.798171572590186,True,True,1.26313729993216,0.51313729993216,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-04-12 18:00:00+00:00,L1_NEVER_BREAK_TIME,RESIDUAL_LATENT_RECOVERABLE,RC30,30,24.386,23.239,1.1469999999999985,-8.796030509308606,-9.046030509308606,-0.6561141638645185,-0.9061141638645185,-9.452144673173125,-9.952144673173125,2023-04-13 12:35:00+00:00,2023-04-13 12:35:00+00:00,24.424,2023-04-13 12:40:00+00:00,24.423,2023-04-13 12:45:00+00:00,24.8448,TARGET,,8.635302788355226,8.385302788355226,True,True,-0.8168418848178991,-1.566841884817899,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-04-14 18:00:00+00:00,L3_BREAK_FAST_FAIL_10M,RESIDUAL_TRUE_FAILURE_PROXY,RC30,30,24.793,23.725,1.0679999999999978,-0.484007582785495,-0.734007582785495,-0.826846287258487,-1.076846287258487,-1.310853870043982,-1.810853870043982,2023-04-14 23:35:00+00:00,2023-04-14 23:35:00+00:00,24.794,2023-04-14 23:40:00+00:00,24.795,2023-04-14 23:50:00+00:00,24.726,FAILED_RECLAIM,2023-04-14 23:45:00+00:00,-1.3914095583787423,-1.6414095583787423,False,False,-2.7022634284227243,-3.4522634284227243,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-05-25 18:00:00+00:00,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_LATENT_RECOVERABLE,RC30,30,19.414,19.178,0.2360000000000006,-6.284124858349616,-6.534124858349616,-0.6696198619552951,-0.9196198619552951,-6.953744720304911,-7.453744720304911,2023-05-26 14:15:00+00:00,2023-05-26 14:15:00+00:00,19.42,2023-05-26 14:20:00+00:00,19.421,2023-05-26 14:25:00+00:00,19.5084,TARGET,,2.2501415992998153,2.0001415992998153,True,True,-4.703603121005096,-5.453603121005096,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-05-31 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,20.693,20.32,0.3730000000000011,-0.7007200502585631,-0.9507200502585632,-0.07248828106121152,-0.3224882810612115,-0.7732083313197746,-1.2732083313197746,2023-05-31 20:50:00+00:00,2023-05-31 20:50:00+00:00,20.695,2023-05-31 20:55:00+00:00,20.695,2023-05-31 21:10:00+00:00,20.677,FAILED_RECLAIM,2023-05-31 21:05:00+00:00,-0.4348876540227198,-0.6848876540227198,False,False,-1.2080959853424944,-1.9580959853424944,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-06-03 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,21.34,21.08,0.2600000000000015,-0.3983130271790203,-0.6483130271790203,-0.8200562324273686,-1.0700562324273686,-1.2183692596063889,-1.7183692596063889,2023-06-04 06:25:00+00:00,2023-06-04 06:40:00+00:00,21.346,2023-06-04 06:45:00+00:00,21.346,2023-06-04 06:50:00+00:00,21.444,TARGET,,2.295512039726444,2.045512039726444,True,True,1.077142780120055,0.32714278012005504,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-06-16 18:00:00+00:00,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,15.286,14.315,0.971,-0.6541933795629618,-0.9041933795629618,-1.3410964281041493,-1.5910964281041493,-1.995289807667111,-2.495289807667111,2023-06-16 20:15:00+00:00,2023-06-16 20:30:00+00:00,15.301,2023-06-16 20:35:00+00:00,15.301,2023-06-16 21:25:00+00:00,15.27,FAILED_RECLAIM,2023-06-16 21:20:00+00:00,-1.0130056859029013,-1.2630056859029013,False,False,-3.0082954935700124,-3.7582954935700124,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-06-19 18:00:00+00:00,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,15.827,15.419,0.4079999999999995,-0.0947747520060882,-0.3447747520060882,-1.2952549440828909,-1.5452549440828909,-1.390029696088979,-1.890029696088979,2023-06-19 21:15:00+00:00,2023-06-19 21:15:00+00:00,15.835,2023-06-19 21:20:00+00:00,15.836,2023-06-19 22:40:00+00:00,15.9902,TARGET,,4.868653700429437,4.618653700429437,True,True,3.478624004340458,2.728624004340458,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,2.0,2023-06-23 18:00:00+00:00,L5_BREAK_FAIL_LATE,RESIDUAL_TRUE_FAILURE_PROXY,RC30,30,17.29,16.196,1.0939999999999976,-0.1156737998842527,-0.3656737998842527,-2.834008097165941,-3.084008097165941,-2.9496818970501937,-3.4496818970501937,2023-06-24 00:40:00+00:00,2023-06-24 00:50:00+00:00,17.363,2023-06-24 00:55:00+00:00,17.362,2023-06-24 01:10:00+00:00,17.29,FAILED_RECLAIM,2023-06-24 01:05:00+00:00,-2.0734938371155254,-2.3234938371155254,False,False,-5.023175734165719,-5.773175734165719,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,3.0,2023-07-06 18:00:00+00:00,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,20.066,18.803,1.262999999999998,-0.2242599421907742,-0.4742599421907743,-0.2740954848998167,-0.5240954848998167,-0.4983554270905909,-0.998355427090591,2023-07-07 00:25:00+00:00,2023-07-07 00:40:00+00:00,20.137,2023-07-07 00:45:00+00:00,20.138,2023-07-07 00:55:00+00:00,20.053,FAILED_RECLAIM,2023-07-07 00:50:00+00:00,-2.1104379779521287,-2.360437977952129,False,False,-2.6087934050427197,-3.35879340504272,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,3.0,2023-07-10 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,21.3,20.764,0.5360000000000014,-1.220657276995274,-1.470657276995274,-1.1267605633803468,-1.3767605633803468,-2.3474178403756207,-2.8474178403756207,2023-07-10 22:40:00+00:00,2023-07-10 23:00:00+00:00,21.358,2023-07-10 23:05:00+00:00,21.357,2023-07-10 23:35:00+00:00,21.258,FAILED_RECLAIM,2023-07-10 23:30:00+00:00,-2.31774125579437,-2.5677412557943704,False,False,-4.66515909616999,-5.415159096169991,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,3.0,2023-07-18 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,25.7,24.8,0.8999999999999986,-1.2062256809338143,-1.4562256809338143,0.0,-0.25,-1.2062256809338143,-1.7062256809338143,2023-07-19 00:40:00+00:00,2023-07-19 00:40:00+00:00,25.717,2023-07-19 00:45:00+00:00,25.715,2023-07-19 00:50:00+00:00,26.06,TARGET,,6.708146995916708,6.458146995916708,True,True,5.501921314982894,4.751921314982894,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,3.0,2023-07-25 18:00:00+00:00,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,23.58,23.063,0.5169999999999995,-0.5301102629346466,-0.7801102629346466,-0.7633587786259333,-1.0133587786259333,-1.2934690415605798,-1.7934690415605798,2023-07-26 03:35:00+00:00,2023-07-26 03:40:00+00:00,23.588,2023-07-26 03:45:00+00:00,23.589,2023-07-26 03:55:00+00:00,23.516,FAILED_RECLAIM,2023-07-26 03:50:00+00:00,-1.5473313832718993,-1.7973313832718993,False,False,-2.840800424832479,-3.590800424832479,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,3.0,2023-09-19 18:00:00+00:00,L1_NEVER_BREAK_TIME,RESIDUAL_LATENT_RECOVERABLE,RC30,30,20.162,19.804,0.3580000000000005,-7.166947723440065,-7.416947723440065,-0.5207816684852928,-0.7707816684852928,-7.687729391925357,-8.187729391925357,2023-09-20 14:20:00+00:00,2023-09-20 14:20:00+00:00,20.235,2023-09-20 14:25:00+00:00,20.235,2023-09-20 14:30:00+00:00,20.3052,TARGET,,1.7346182357301787,1.4846182357301787,True,True,-5.953111156195178,-6.703111156195178,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,3.0,2023-09-23 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,19.449,19.28,0.1690000000000004,-0.2056661010849669,-0.4556661010849669,-0.30849915162733943,-0.5584991516273394,-0.5141652527123064,-1.0141652527123064,2023-09-23 19:15:00+00:00,2023-09-23 19:15:00+00:00,19.466,2023-09-23 19:20:00+00:00,19.467,2023-09-23 19:30:00+00:00,19.448,FAILED_RECLAIM,2023-09-23 19:25:00+00:00,-0.48800534237425364,-0.7380053423742536,False,False,-1.00217059508656,-1.75217059508656,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,3.0,2023-09-27 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_TRUE_FAILURE_PROXY,RC30,30,19.284,18.755,0.5289999999999999,-1.1667703795892326,-1.4167703795892326,-0.103712922630117,-0.353712922630117,-1.2704833022193496,-1.7704833022193496,2023-09-28 01:05:00+00:00,2023-09-28 01:20:00+00:00,19.327,2023-09-28 01:25:00+00:00,19.327,2023-09-28 01:40:00+00:00,19.274,FAILED_RECLAIM,2023-09-28 01:35:00+00:00,-1.371138821338047,-1.621138821338047,False,False,-2.6416221235573967,-3.3916221235573967,False,False,DEVELOPMENT_FROZEN_WINNER
