clock,window,start,end,completed_gate_window,short_n,short_wins,short_wr,short_pf,short_expectancy,short_net,window_pass,long_only_n,long_only_wr,long_only_pf,long_only_net,portfolio_n,portfolio_wr,portfolio_pf,portfolio_net,accepted_short_n,accepted_short_wr,accepted_short_net,delta_vs_long,displaced_long_n
SHORT_0330,W4,2024-07-01,2026-01-01,True,15,10,0.6666666666666666,0.7595671295185792,-0.40696030837935937,-6.104404625690391,False,54,0.8333333333333334,3.079344644937799,72.984045774655,69,0.7971014492753623,2.1056538618215064,66.87964114896461,15,0.6666666666666666,-6.104404625690391,-6.1044046256903925,0
SHORT_0330,W5_YTD,2026-01-01,2027-01-01,False,13,9,0.6923076923076923,1.067918899966559,0.08851891801423509,1.150745934185056,False,13,0.7692307692307693,1.8666072638739093,8.578594791540809,26,0.7307692307692307,1.3624670780963404,9.729340725725866,13,0.6923076923076923,1.150745934185056,1.150745934185057,0
SHORT_0430,W1,2020-01-01,2021-07-01,True,13,9,0.6923076923076923,0.8838693952756458,-0.22040927358828866,-2.8653205566477524,False,55,0.8,4.103491593944991,133.44236940124964,68,0.7794117647058824,2.9295934626531035,130.57704884460188,13,0.6923076923076923,-2.8653205566477524,-2.8653205566477595,0
SHORT_0430,W2,2021-07-01,2023-01-01,True,21,15,0.7142857142857143,0.9431257263328056,-0.11338424728396428,-2.38106919296325,False,60,0.5833333333333334,1.0573307465474628,5.992630743784159,81,0.6172839506172839,1.0246703440362834,3.61156155082091,21,0.7142857142857143,-2.38106919296325,-2.381069192963249,0
SHORT_0430,W3,2023-01-01,2024-07-01,True,17,13,0.7647058823529411,3.03546571146438,0.6142105231995547,10.44157889439243,True,45,0.6666666666666666,2.781717203046739,68.76207242406124,62,0.6935483870967742,2.8114883958037056,79.2036513184537,17,0.7647058823529411,10.44157889439243,10.44157889439245,0
SHORT_0430,W4,2024-07-01,2026-01-01,True,14,12,0.8571428571428571,3.3823535172540833,0.9168780666723995,12.836292933413592,True,54,0.8333333333333334,3.079344644937799,72.984045774655,68,0.8382352941176471,3.1196689197095924,85.82033870806858,14,0.8571428571428571,12.836292933413592,12.836292933413574,0
SHORT_0430,W5_YTD,2026-01-01,2027-01-01,False,8,5,0.625,0.6657701699058448,-0.5860468030697172,-4.688374424557738,False,13,0.7692307692307693,1.8666072638739093,8.578594791540809,21,0.7142857142857143,1.1625907622833733,3.8902203669830717,8,0.625,-4.688374424557738,-4.688374424557737,0
SHORT_2100,W1,2020-01-01,2021-07-01,True,21,13,0.6190476190476191,0.9661560706291066,-0.044951150690622534,-0.9439741645030733,False,55,0.8,4.103491593944991,133.44236940124964,76,0.75,2.8690841508338103,132.49839523674655,21,0.6190476190476191,-0.9439741645030733,-0.9439741645030892,0
SHORT_2100,W2,2021-07-01,2023-01-01,True,15,11,0.7333333333333333,3.9659806213327893,1.5269848209858254,22.904772314787383,True,60,0.5833333333333334,1.0573307465474628,5.992630743784159,75,0.6133333333333333,1.2574382539114999,28.89740305857155,15,0.7333333333333333,22.904772314787383,22.90477231478739,0
SHORT_2100,W3,2023-01-01,2024-07-01,True,14,7,0.5,0.47867771757049715,-1.0239737046108137,-14.335631864551393,False,45,0.6666666666666666,2.781717203046739,68.76207242406124,59,0.6271186440677966,1.8234983244679972,54.42644055950986,14,0.5,-14.335631864551393,-14.335631864551388,0
SHORT_2100,W4,2024-07-01,2026-01-01,True,13,12,0.9230769230769231,8.695730515135722,3.214283935676494,41.785691163794425,True,54,0.8333333333333334,3.079344644937799,72.984045774655,67,0.8507462686567164,3.8317743535685036,114.76973693844943,13,0.9230769230769231,41.785691163794425,41.785691163794425,0
SHORT_2100,W5_YTD,2026-01-01,2027-01-01,False,6,2,0.3333333333333333,0.3206377819012659,-1.125129162272418,-6.750774973634508,False,13,0.7692307692307693,1.8666072638739093,8.578594791540809,19,0.631578947368421,1.0921466517195029,1.8278198179063034,6,0.3333333333333333,-6.750774973634508,-6.750774973634505,0
