local_date,action,baseline_win,baseline_failed_before_H,baseline_exit_type,baseline_net_return,transition,entry_ts,entry_px,H,R,ext_R,stop_R,target_px,stop_px,gross_rr,exit_type,exit_ts,exit_px,same_bar_collision,gross_return,net_return,gross_win,net_win,pnl_usd_500,executed,trade_legs,triggered,repair_reentered,trigger_ts,trigger_r,first_leg_exit_ts,first_leg_exit_px,repair_entry_ts,repair_entry_px,repair_signal_ts
2023-06-15,BASELINE,False,True,SESSION_CLOSE,-0.002302466528698753,L_TO_L,2023-06-15 19:30:00+00:00,236.77,237.75,7.449999999999989,0.3,0.3,239.98499999999999,234.53500000000003,1.4384787472035778,SESSION_CLOSE,2023-06-15 19:55:00+00:00,236.58,False,-0.0008024665286987531,-0.002302466528698753,False,False,-1.1512332643493766,True,1,False,False,,,,,,,
2023-06-21,BASELINE,True,False,TP,0.011807602621316362,W_TO_W,2023-06-21 15:55:00+00:00,248.73,250.45,5.299999999999983,0.3,0.3,252.04,247.14,2.0817610062893053,TP,2023-06-21 16:20:00+00:00,252.04,False,0.013307602621316361,0.011807602621316362,True,True,5.903801310658181,True,1,False,False,,,,,,,
2023-07-10,BASELINE,True,False,SESSION_CLOSE,0.005338096797969096,W_TO_W,2023-07-10 15:20:00+00:00,244.22,244.85,13.699999999999989,0.3,0.3,248.95999999999998,240.11,1.1532846715328462,SESSION_CLOSE,2023-07-10 19:55:00+00:00,245.89,False,0.006838096797969095,0.005338096797969096,True,True,2.6690483989845477,True,1,False,False,,,,,,,
2023-08-10,BASELINE,False,True,SL,-0.0032979664379598193,L_TO_L,2023-08-10 14:55:00+00:00,241.94,242.95,1.4499999999999886,0.3,0.3,243.385,241.505,3.321839080459737,SL,2023-08-10 17:00:00+00:00,241.505,False,-0.0017979664379598193,-0.0032979664379598193,False,False,-1.6489832189799096,True,1,False,False,,,,,,,
2023-10-19,BASELINE,False,False,SESSION_CLOSE,-0.0014051008303676547,L_TO_L,2023-10-19 14:10:00+00:00,210.75,211.4,1.8600000000000136,0.3,0.3,211.958,210.192,2.1648745519713515,SESSION_CLOSE,2023-10-19 19:55:00+00:00,210.77,False,9.489916963234535e-05,-0.0014051008303676547,True,False,-0.7025504151838273,True,1,False,False,,,,,,,
2023-10-25,BASELINE,True,False,TP,0.004458217393224663,W_TO_W,2023-10-25 15:30:00+00:00,226.41,226.85,3.030000000000001,0.3,0.3,227.759,225.501,1.4840484048404858,TP,2023-10-25 15:45:00+00:00,227.759,False,0.005958217393224663,0.004458217393224663,True,True,2.2291086966123315,True,1,False,False,,,,,,,
2023-11-02,BASELINE,False,True,SL,-0.008357586474596777,L_TO_L,2023-11-02 13:50:00+00:00,231.86,233.8,5.300000000000011,0.3,0.3,235.39000000000001,230.27,2.2201257861635177,SL,2023-11-02 14:15:00+00:00,230.27,False,-0.006857586474596777,-0.008357586474596777,False,False,-4.178793237298389,True,1,False,False,,,,,,,
2023-12-05,BASELINE,True,False,TP,0.00723370012563357,W_TO_W,2023-12-05 15:00:00+00:00,230.83,231.82,3.4199999999999875,0.3,0.3,232.846,229.80400000000003,1.96491228070178,TP,2023-12-05 16:40:00+00:00,232.846,False,0.00873370012563357,0.00723370012563357,True,True,3.616850062816785,True,1,False,False,,,,,,,
2023-12-21,BASELINE,False,False,SL,-0.01661004051242737,L_TO_L,2023-12-21 15:25:00+00:00,273.99,274.34,13.799999999999955,0.3,0.3,278.47999999999996,269.85,1.0845410628019243,SL,2023-12-21 17:50:00+00:00,269.85,False,-0.01511004051242737,-0.01661004051242737,False,False,-8.305020256213686,True,1,False,False,,,,,,,
2024-03-29,BASELINE,False,True,SL,-0.008282820097244846,L_TO_L,2024-03-29 15:10:00+00:00,617.0,620.45,13.950000000000045,0.3,0.3,624.6350000000001,612.8149999999999,1.82437275985663,SL,2024-03-29 15:20:00+00:00,612.8149999999999,False,-0.006782820097244846,-0.008282820097244846,False,False,-4.141410048622423,True,1,False,False,,,,,,,
2024-04-01,BASELINE,False,True,SL,-0.008164598521275988,L_TO_L,2024-04-01 15:00:00+00:00,580.23,592.9,12.889999999999986,0.3,0.3,596.7669999999999,576.363,4.276441686061569,SL,2024-04-01 15:05:00+00:00,576.363,False,-0.006664598521275988,-0.008164598521275988,False,False,-4.082299260637994,True,1,False,False,,,,,,,
2024-04-04,BASELINE,True,False,TP,0.005485200845666118,W_TO_W,2024-04-04 14:35:00+00:00,591.25,591.69,12.300000000000068,0.3,0.3,595.3800000000001,587.56,1.1192411924119372,TP,2024-04-04 17:45:00+00:00,595.3800000000001,False,0.006985200845666117,0.005485200845666118,True,True,2.7426004228330587,True,1,False,False,,,,,,,
2024-05-09,BASELINE,False,True,SL,-0.008407927789128187,L_TO_L,2024-05-09 15:55:00+00:00,597.14,602.75,13.75,0.3,0.3,606.875,593.015,2.3600000000000034,SL,2024-05-09 16:40:00+00:00,593.015,False,-0.006907927789128188,-0.008407927789128187,False,False,-4.203963894564094,True,1,False,False,,,,,,,
2024-05-24,BASELINE,True,False,TP,0.007690794108766554,W_TO_W,2024-05-24 14:15:00+00:00,596.14,598.61,10.029999999999973,0.3,0.3,601.619,593.131,1.820870721169829,TP,2024-05-24 18:05:00+00:00,601.619,False,0.009190794108766553,0.007690794108766554,True,True,3.8453970543832767,True,1,False,False,,,,,,,
2024-06-25,BASELINE,True,False,TP,0.0033057794995290947,W_TO_W,2024-06-25 14:10:00+00:00,573.06,573.72,6.980000000000018,0.3,0.3,575.8140000000001,570.9659999999999,1.3151862464183695,TP,2024-06-25 14:20:00+00:00,575.8140000000001,False,0.004805779499529095,0.0033057794995290947,True,True,1.6528897497645474,True,1,False,False,,,,,,,
2024-07-02,BASELINE,False,True,SL,-0.0036856602731211705,L_TO_L,2024-07-02 14:05:00+00:00,579.23,581.85,4.220000000000027,0.3,0.3,583.116,577.964,3.069510268562466,SL,2024-07-02 14:10:00+00:00,577.964,False,-0.0021856602731211705,-0.0036856602731211705,False,False,-1.8428301365605853,True,1,False,False,,,,,,,
2024-07-09,BASELINE,False,True,SL,-0.005992319582649062,L_TO_L,2024-07-09 14:35:00+00:00,517.55,519.02,7.75,0.3,0.3,521.345,515.2249999999999,1.6322580645161284,SL,2024-07-09 14:50:00+00:00,515.2249999999999,False,-0.0044923195826490625,-0.005992319582649062,False,False,-2.9961597913245313,True,1,False,False,,,,,,,
