partition,reference_start,execution_start,breakout_ts,entry_ts,H,L,R,E20,F35,eligible,skip_reason,entry_price,exit_ts,exit_price,exit_reason,net_pnl,win,net_pnl_5bps,win_5bps
external,2021-03-05 08:00:00+00:00,2021-03-05 13:30:00+00:00,2021-03-05 14:00:00+00:00,2021-03-05 14:05:00+00:00,1497.8,1441.57,56.23000000000002,1509.046,1461.2504999999999,True,,1499.01,2021-03-05 14:20:00+00:00,1509.046,TARGET_E20,2.947542711522933,True,2.444446716808835,True
external,2021-03-09 08:00:00+00:00,2021-03-09 13:30:00+00:00,2021-03-09 16:00:00+00:00,2021-03-09 16:05:00+00:00,1843.6,1801.0,42.59999999999991,1852.12,1815.9099999999999,True,,1847.01,2021-03-09 20:00:00+00:00,1829.67,SESSION_END,-5.094073123588938,False,-5.589131521266433,False
external,2021-04-08 08:00:00+00:00,2021-04-08 13:30:00+00:00,2021-04-08 14:15:00+00:00,2021-04-08 14:20:00+00:00,2039.1,1985.64,53.45999999999981,2049.792,2004.351,True,,2045.0,2021-04-08 14:20:00+00:00,2049.792,TARGET_E20,0.7716381418093169,True,0.27071696425635705,True
external,2021-04-26 08:00:00+00:00,2021-04-26 13:30:00+00:00,2021-04-26 17:20:00+00:00,2021-04-26 17:25:00+00:00,2527.36,2423.41,103.95000000000027,2548.15,2459.7925,True,,2528.76,2021-04-26 20:00:00+00:00,2491.92,SESSION_END,-7.684202534048323,False,-8.176672096732885,False
external,2021-04-28 08:00:00+00:00,2021-04-28 13:30:00+00:00,2021-04-28 19:25:00+00:00,2021-04-28 19:30:00+00:00,2737.64,2580.0,157.63999999999987,2769.1679999999997,2635.174,True,,2742.46,2021-04-28 20:00:00+00:00,2738.05,SESSION_END,-1.2040226657817783,False,-1.7029691698638878,False
external,2021-05-24 08:00:00+00:00,2021-05-24 13:30:00+00:00,2021-05-24 15:20:00+00:00,2021-05-24 15:25:00+00:00,2468.09,2222.29,245.80000000000018,2517.25,2308.32,True,,2492.79,2021-05-24 15:30:00+00:00,2517.25,TARGET_E20,4.506149334681253,True,4.00149551225788,True
external,2021-06-02 08:00:00+00:00,2021-06-02 13:30:00+00:00,2021-06-02 14:30:00+00:00,2021-06-02 14:35:00+00:00,2749.44,2661.0,88.44000000000005,2767.128,2691.954,True,,2758.47,2021-06-02 14:35:00+00:00,2767.128,TARGET_E20,1.169348225646916,True,0.6680295367657688,True
external,2021-07-09 08:00:00+00:00,2021-07-09 13:30:00+00:00,2021-07-09 14:15:00+00:00,2021-07-09 14:20:00+00:00,2143.0,2063.3,79.69999999999982,2158.94,2091.195,True,,2144.31,2021-07-09 14:20:00+00:00,2158.94,TARGET_E20,3.0113537688114094,True,2.5081939949296976,True
external,2021-07-16 08:00:00+00:00,2021-07-16 13:30:00+00:00,2021-07-16 15:30:00+00:00,2021-07-16 15:35:00+00:00,1913.62,1846.0,67.61999999999989,1927.1439999999998,1869.667,True,,1924.99,2021-07-16 15:40:00+00:00,1927.1439999999998,TARGET_E20,0.15948342588785225,True,-0.34082590287358683,False
external,2021-07-20 08:00:00+00:00,2021-07-20 13:30:00+00:00,2021-07-20 14:55:00+00:00,2021-07-20 15:00:00+00:00,1763.03,1716.0,47.02999999999997,1772.436,1732.4605,True,,1766.65,2021-07-20 15:10:00+00:00,1772.436,TARGET_E20,1.2375626185152204,True,0.7361757493313362,True
external,2021-07-29 08:00:00+00:00,2021-07-29 13:30:00+00:00,2021-07-29 16:15:00+00:00,2021-07-29 16:20:00+00:00,2328.0,2280.54,47.460000000000036,2337.492,2297.151,True,,2333.07,2021-07-29 16:20:00+00:00,2337.492,TARGET_E20,0.5476783808458622,True,0.04698105112994655,True
external,2021-09-01 08:00:00+00:00,2021-09-01 13:30:00+00:00,2021-09-01 15:45:00+00:00,2021-09-01 15:50:00+00:00,3564.0,3514.01,49.98999999999978,3573.998,3531.5065,True,,3571.0,2021-09-01 15:55:00+00:00,3573.998,TARGET_E20,0.01977037244467217,True,-0.48039931308495565,False
external,2021-09-02 08:00:00+00:00,2021-09-02 13:30:00+00:00,2021-09-02 14:05:00+00:00,2021-09-02 14:10:00+00:00,3800.0,3730.03,69.9699999999998,3813.994,3754.5195000000003,False,ENTRY_OPEN_AT_OR_ABOVE_TARGET,3827.45,,,,,False,,False
external,2021-09-15 08:00:00+00:00,2021-09-15 13:30:00+00:00,2021-09-15 15:00:00+00:00,2021-09-15 15:05:00+00:00,3445.0,3379.45,65.55000000000018,3458.11,3402.3925,True,,3450.32,2021-09-15 15:05:00+00:00,3458.11,TARGET_E20,0.7288807994620509,True,0.22800235788340595,True
external,2021-10-05 08:00:00+00:00,2021-10-05 13:30:00+00:00,2021-10-05 19:50:00+00:00,2021-10-05 19:55:00+00:00,3475.79,3381.0,94.78999999999996,3494.748,3414.1765,True,,3487.29,2021-10-05 19:55:00+00:00,3494.748,TARGET_E20,0.6693117004895169,True,0.16849279824022767,True
external,2021-10-06 08:00:00+00:00,2021-10-06 13:30:00+00:00,2021-10-06 14:55:00+00:00,2021-10-06 15:00:00+00:00,3598.19,3339.67,258.52,3649.8940000000002,3430.152,True,,3601.96,2021-10-06 20:00:00+00:00,3590.9,SESSION_END,-1.9352752390365153,False,-2.433490855988973,False
external,2021-10-25 08:00:00+00:00,2021-10-25 13:30:00+00:00,2021-10-25 15:40:00+00:00,2021-10-25 15:45:00+00:00,4166.19,4110.0,56.1899999999996,4177.428,4129.6665,True,,4166.79,2021-10-25 15:50:00+00:00,4177.428,TARGET_E20,0.8765222149424549,True,0.37549620573214015,True
external,2021-10-28 08:00:00+00:00,2021-10-28 13:30:00+00:00,2021-10-28 17:00:00+00:00,2021-10-28 17:05:00+00:00,4199.32,4011.59,187.72999999999956,4236.866,4077.2955,True,,4206.2,2021-10-28 19:40:00+00:00,4236.866,TARGET_E20,3.2453330797394657,True,2.741939443477959,True
external,2021-12-16 08:00:00+00:00,2021-12-16 13:30:00+00:00,2021-12-16 15:45:00+00:00,2021-12-16 15:50:00+00:00,4083.9,4006.11,77.78999999999996,4099.4580000000005,4033.3365000000003,True,,4089.05,2021-12-16 15:50:00+00:00,4099.4580000000005,TARGET_E20,0.8726672454482779,True,0.37164508928095896,True
external,2021-12-23 08:00:00+00:00,2021-12-23 13:30:00+00:00,2021-12-23 16:40:00+00:00,2021-12-23 16:45:00+00:00,3964.47,3888.87,75.59999999999991,3979.5899999999997,3915.33,True,,3965.87,2021-12-23 16:45:00+00:00,3979.5899999999997,TARGET_E20,1.329759170118972,True,0.828280150458727,True
external,2021-12-27 08:00:00+00:00,2021-12-27 13:30:00+00:00,2021-12-27 14:40:00+00:00,2021-12-27 14:45:00+00:00,4095.03,4033.0,62.0300000000002,4107.436000000001,4054.7105,True,,4095.18,2021-12-27 15:00:00+00:00,4107.436000000001,TARGET_E20,1.0963933209285464,True,0.595147550492903,True
development,2022-01-25 08:00:00+00:00,2022-01-25 13:30:00+00:00,2022-01-25 17:20:00+00:00,2022-01-25 17:25:00+00:00,2460.7,2371.63,89.06999999999971,2478.5139999999997,2402.8045,True,,2467.47,2022-01-25 17:40:00+00:00,2478.5139999999997,TARGET_E20,1.8379198126015743,True,1.3359328862521784,True
development,2022-02-09 08:00:00+00:00,2022-02-09 13:30:00+00:00,2022-02-09 16:45:00+00:00,2022-02-09 16:50:00+00:00,3208.26,3066.48,141.7800000000002,3236.6160000000004,3116.103,True,,3210.24,2022-02-09 19:05:00+00:00,3236.6160000000004,TARGET_E20,3.708104066985696,True,3.2042478910068843,True
development,2022-02-14 08:00:00+00:00,2022-02-14 13:30:00+00:00,2022-02-14 14:10:00+00:00,2022-02-14 14:15:00+00:00,2943.33,2845.07,98.25999999999976,2962.982,2879.4610000000002,True,,2951.37,2022-02-14 14:25:00+00:00,2962.982,TARGET_E20,1.5672220019855136,True,1.0655056381654986,True
development,2022-02-22 08:00:00+00:00,2022-02-22 13:30:00+00:00,2022-02-22 14:50:00+00:00,2022-02-22 14:55:00+00:00,2622.62,2512.67,109.94999999999982,2644.6099999999997,2551.1525,False,ENTRY_OPEN_AT_OR_ABOVE_TARGET,2652.99,,,,,False,,False
development,2022-03-21 08:00:00+00:00,2022-03-21 13:30:00+00:00,2022-03-21 15:20:00+00:00,2022-03-21 15:25:00+00:00,2938.5,2873.0,65.5,2951.6,2895.925,True,,2947.38,2022-03-21 15:25:00+00:00,2951.6,TARGET_E20,0.3158900447176153,True,-0.18457561249833854,False
development,2022-04-18 08:00:00+00:00,2022-04-18 13:30:00+00:00,2022-04-18 17:10:00+00:00,2022-04-18 17:15:00+00:00,2947.0,2887.0,60.0,2959.0,2908.0,True,,2958.47,2022-04-18 17:15:00+00:00,2959.0,TARGET_E20,-0.31042667324658846,False,-0.8102663267465667,False
development,2022-05-19 08:00:00+00:00,2022-05-19 13:30:00+00:00,2022-05-19 15:10:00+00:00,2022-05-19 15:15:00+00:00,1985.99,1912.39,73.59999999999991,2000.71,1938.15,True,,1986.17,2022-05-19 15:20:00+00:00,2000.71,TARGET_E20,3.260311050917131,True,2.7569024441695515,True
development,2022-07-15 08:00:00+00:00,2022-07-15 13:30:00+00:00,2022-07-15 15:05:00+00:00,2022-07-15 15:10:00+00:00,1235.35,1202.75,32.59999999999991,1241.87,1214.1599999999999,True,,1235.75,2022-07-15 16:15:00+00:00,1213.82,CLOSE_BELOW_F35,-9.273153955088032,False,-9.764035360430235,False
development,2022-07-19 08:00:00+00:00,2022-07-19 13:30:00+00:00,2022-07-19 16:30:00+00:00,2022-07-19 16:35:00+00:00,1574.53,1505.2,69.32999999999993,1588.396,1529.4655,True,,1580.43,2022-07-19 19:10:00+00:00,1588.396,TARGET_E20,2.120200198680045,True,1.6179311330142947,True
development,2022-07-28 08:00:00+00:00,2022-07-28 13:30:00+00:00,2022-07-28 15:15:00+00:00,2022-07-28 15:20:00+00:00,1659.0,1595.0,64.0,1671.8,1617.4,True,,1661.45,2022-07-28 15:20:00+00:00,1671.8,TARGET_E20,2.714749164886077,True,2.2118858473800356,True
development,2022-08-12 08:00:00+00:00,2022-08-12 13:30:00+00:00,2022-08-12 16:00:00+00:00,2022-08-12 16:05:00+00:00,1903.13,1852.0,51.13000000000011,1913.3560000000002,1869.8955,True,,1904.0,2022-08-12 18:40:00+00:00,1913.3560000000002,TARGET_E20,2.0569327731093217,True,1.5547269432511617,True
development,2022-08-22 08:00:00+00:00,2022-08-22 13:30:00+00:00,2022-08-22 15:40:00+00:00,2022-08-22 15:45:00+00:00,1580.0,1528.0,52.0,1590.4,1546.2,True,,1580.46,2022-08-22 15:50:00+00:00,1590.4,TARGET_E20,2.744654088050314,True,2.241760880566113,True
development,2022-08-24 08:00:00+00:00,2022-08-24 13:30:00+00:00,2022-08-24 15:20:00+00:00,2022-08-24 15:25:00+00:00,1660.25,1625.18,35.069999999999936,1667.264,1637.4545,False,ENTRY_OPEN_AT_OR_ABOVE_TARGET,1668.0,,,,,False,,False
development,2022-09-08 08:00:00+00:00,2022-09-08 13:30:00+00:00,2022-09-08 19:55:00+00:00,2022-09-08 20:00:00+00:00,1646.6,1597.0,49.59999999999991,1656.52,1614.36,False,NO_NEXT_BAR_INSIDE_SESSION,,,,,,False,,False
development,2022-09-20 08:00:00+00:00,2022-09-20 13:30:00+00:00,2022-09-20 15:50:00+00:00,2022-09-20 15:55:00+00:00,1366.4,1328.76,37.6400000000001,1373.928,1341.934,True,,1370.09,2022-09-20 15:55:00+00:00,1373.928,TARGET_E20,1.0006379142976756,True,0.4994878514148041,True
development,2022-09-26 08:00:00+00:00,2022-09-26 13:30:00+00:00,2022-09-26 14:10:00+00:00,2022-09-26 14:15:00+00:00,1324.61,1288.16,36.44999999999982,1331.8999999999999,1300.9175,True,,1325.43,2022-09-26 14:15:00+00:00,1331.8999999999999,TARGET_E20,2.0407173521044935,True,1.5385277295638216,True
development,2022-11-30 08:00:00+00:00,2022-11-30 13:30:00+00:00,2022-11-30 18:35:00+00:00,2022-11-30 18:40:00+00:00,1276.93,1253.37,23.560000000000173,1281.642,1261.616,True,,1279.48,2022-11-30 19:00:00+00:00,1281.642,TARGET_E20,0.4448744802576069,True,-0.05572009693393076,False
development,2022-12-07 08:00:00+00:00,2022-12-07 13:30:00+00:00,2022-12-07 13:50:00+00:00,2022-12-07 13:55:00+00:00,1233.33,1217.02,16.309999999999945,1236.5919999999999,1222.7285,True,,1234.25,2022-12-07 14:30:00+00:00,1236.5919999999999,TARGET_E20,0.5487543042332458,True,0.04805589913166075,True
development,2022-12-08 08:00:00+00:00,2022-12-08 13:30:00+00:00,2022-12-08 15:05:00+00:00,2022-12-08 15:10:00+00:00,1247.33,1227.36,19.970000000000027,1251.3239999999998,1234.3494999999998,True,,1249.37,2022-12-08 15:30:00+00:00,1251.3239999999998,TARGET_E20,0.3819941250389872,True,-0.11853760322182405,False
development,2022-12-29 08:00:00+00:00,2022-12-29 13:30:00+00:00,2022-12-29 15:05:00+00:00,2022-12-29 15:10:00+00:00,1203.85,1189.58,14.269999999999982,1206.704,1194.5745,True,,1205.05,2022-12-29 20:00:00+00:00,1198.46,SESSION_END,-3.134326376498841,False,-3.631343541539866,False
development,2023-01-09 08:00:00+00:00,2023-01-09 13:30:00+00:00,2023-01-09 15:40:00+00:00,2023-01-09 15:45:00+00:00,1328.0,1307.5,20.5,1332.1,1314.675,True,,1331.83,2023-01-09 15:45:00+00:00,1332.1,TARGET_E20,-0.2986357117650714,False,-0.7984871503338594,False
development,2023-01-10 08:00:00+00:00,2023-01-10 13:30:00+00:00,2023-01-10 15:10:00+00:00,2023-01-10 15:15:00+00:00,1336.27,1321.27,15.0,1339.27,1326.52,True,,1337.57,2023-01-10 15:15:00+00:00,1339.27,TARGET_E20,0.23548075988550943,True,-0.26490452823029165,False
development,2023-03-22 08:00:00+00:00,2023-03-22 13:30:00+00:00,2023-03-22 14:40:00+00:00,2023-03-22 14:45:00+00:00,1802.55,1780.02,22.529999999999973,1807.056,1787.9055,True,,1803.76,2023-03-22 14:45:00+00:00,1807.056,TARGET_E20,0.5136470483878112,True,0.012983732997251862,True
development,2023-04-20 08:00:00+00:00,2023-04-20 13:30:00+00:00,2023-04-20 14:10:00+00:00,2023-04-20 14:15:00+00:00,1975.98,1935.17,40.809999999999945,1984.142,1949.4535,True,,1977.55,2023-04-20 15:55:00+00:00,1944.92,CLOSE_BELOW_F35,-8.650107456195755,False,-9.141611596669252,False
development,2023-04-25 08:00:00+00:00,2023-04-25 13:30:00+00:00,2023-04-25 17:40:00+00:00,2023-04-25 17:45:00+00:00,1831.22,1804.44,26.779999999999973,1836.576,1813.813,False,ENTRY_OPEN_AT_OR_ABOVE_TARGET,1836.65,,,,,False,,False
development,2023-04-27 08:00:00+00:00,2023-04-27 13:30:00+00:00,2023-04-27 15:20:00+00:00,2023-04-27 15:25:00+00:00,1895.0,1858.55,36.450000000000045,1902.29,1871.3075,False,ENTRY_OPEN_AT_OR_ABOVE_TARGET,1909.34,,,,,False,,False
development,2023-05-12 08:00:00+00:00,2023-05-12 13:30:00+00:00,2023-05-12 14:10:00+00:00,2023-05-12 14:15:00+00:00,1776.68,1754.26,22.420000000000073,1781.164,1762.107,True,,1779.23,2023-05-12 14:15:00+00:00,1781.164,TARGET_E20,0.14349353371963003,True,-0.3567998131405622,False
development,2023-05-26 08:00:00+00:00,2023-05-26 13:30:00+00:00,2023-05-26 14:20:00+00:00,2023-05-26 14:25:00+00:00,1826.0,1807.81,18.190000000000055,1829.638,1814.1765,True,,1826.58,2023-05-26 14:25:00+00:00,1829.638,TARGET_E20,0.4370835112614383,True,-0.06350327885467044,False
development,2023-06-01 08:00:00+00:00,2023-06-01 13:30:00+00:00,2023-06-01 16:50:00+00:00,2023-06-01 16:55:00+00:00,1866.01,1851.21,14.799999999999955,1868.97,1856.39,False,ENTRY_OPEN_AT_OR_ABOVE_TARGET,1872.92,,,,,False,,False
development,2023-06-08 08:00:00+00:00,2023-06-08 13:30:00+00:00,2023-06-08 15:40:00+00:00,2023-06-08 15:45:00+00:00,1857.0,1836.68,20.319999999999936,1861.064,1843.7920000000001,True,,1857.1,2023-06-08 16:45:00+00:00,1842.45,CLOSE_BELOW_F35,-4.344321792041295,False,-4.8401295663620285,False
development,2023-06-26 08:00:00+00:00,2023-06-26 13:30:00+00:00,2023-06-26 13:55:00+00:00,2023-06-26 14:00:00+00:00,1893.65,1871.27,22.38000000000011,1898.1260000000002,1879.103,False,ENTRY_OPEN_AT_OR_ABOVE_TARGET,1904.78,,,,,False,,False
development,2023-07-26 08:00:00+00:00,2023-07-26 13:30:00+00:00,2023-07-26 14:25:00+00:00,2023-07-26 14:30:00+00:00,1858.52,1846.9,11.61999999999989,1860.844,1850.967,True,,1859.24,2023-07-26 16:05:00+00:00,1860.844,TARGET_E20,0.031359049934409966,True,-0.46882221848125705,False
development,2023-08-03 08:00:00+00:00,2023-08-03 13:30:00+00:00,2023-08-03 13:55:00+00:00,2023-08-03 14:00:00+00:00,1838.5,1825.0,13.5,1841.2,1829.725,True,,1838.52,2023-08-03 14:35:00+00:00,1841.2,TARGET_E20,0.32884711615861517,True,-0.17163149165348968,False
development,2023-09-14 08:00:00+00:00,2023-09-14 13:30:00+00:00,2023-09-14 17:05:00+00:00,2023-09-14 17:10:00+00:00,1635.8,1615.85,19.950000000000045,1639.79,1622.8325,True,,1636.48,2023-09-14 18:35:00+00:00,1639.79,TARGET_E20,0.6113169730152638,True,0.11055603651051216,True
development,2023-10-19 08:00:00+00:00,2023-10-19 13:30:00+00:00,2023-10-19 14:55:00+00:00,2023-10-19 15:00:00+00:00,1558.67,1540.53,18.1400000000001,1562.298,1546.879,True,,1560.48,2023-10-19 15:00:00+00:00,1562.298,TARGET_E20,0.18251307290069219,True,-0.31781927399869814,False
development,2023-10-23 08:00:00+00:00,2023-10-23 13:30:00+00:00,2023-10-23 16:45:00+00:00,2023-10-23 16:50:00+00:00,1683.72,1661.2,22.519999999999982,1688.224,1669.082,True,,1684.36,2023-10-23 16:55:00+00:00,1688.224,TARGET_E20,0.747023201690911,True,0.2461266267766552,True
development,2023-11-06 08:00:00+00:00,2023-11-06 13:30:00+00:00,2023-11-06 14:55:00+00:00,2023-11-06 15:00:00+00:00,1912.7,1873.43,39.26999999999998,1920.554,1887.1745,True,,1913.96,2023-11-06 18:15:00+00:00,1886.62,CLOSE_BELOW_F35,-7.542260026332892,False,-8.034871460589388,False
development,2023-11-15 08:00:00+00:00,2023-11-15 13:30:00+00:00,2023-11-15 18:10:00+00:00,2023-11-15 18:15:00+00:00,2024.68,1982.01,42.67000000000007,2033.2140000000002,1996.9445,False,ENTRY_OPEN_AT_OR_ABOVE_TARGET,2033.69,,,,,False,,False
development,2024-01-12 08:00:00+00:00,2024-01-12 13:30:00+00:00,2024-01-12 14:25:00+00:00,2024-01-12 14:30:00+00:00,2686.0,2585.01,100.98999999999978,2706.198,2620.3565000000003,True,,2696.82,2024-01-12 14:55:00+00:00,2706.198,TARGET_E20,1.3387144859500881,True,0.83722651544933,True
development,2024-01-15 08:00:00+00:00,2024-01-15 13:30:00+00:00,2024-01-15 18:30:00+00:00,2024-01-15 18:35:00+00:00,2548.8,2507.93,40.870000000000346,2556.974,2522.2345,True,,2552.9,2024-01-15 20:00:00+00:00,2535.22,SESSION_END,-3.862728661522252,False,-4.35901778829727,False
development,2024-02-05 08:00:00+00:00,2024-02-05 13:30:00+00:00,2024-02-05 14:05:00+00:00,2024-02-05 14:10:00+00:00,2332.62,2309.73,22.889999999999873,2337.198,2317.7415,True,,2332.76,2024-02-05 15:00:00+00:00,2312.31,CLOSE_BELOW_F35,-4.7832198768841145,False,-5.278588972459297,False
development,2024-02-06 08:00:00+00:00,2024-02-06 13:30:00+00:00,2024-02-06 14:35:00+00:00,2024-02-06 14:40:00+00:00,2344.45,2308.16,36.289999999999964,2351.7079999999996,2320.8615,True,,2345.8,2024-02-06 16:20:00+00:00,2351.7079999999996,TARGET_E20,0.8592718901865973,True,0.35826312268012506,True
development,2024-02-07 08:00:00+00:00,2024-02-07 13:30:00+00:00,2024-02-07 14:45:00+00:00,2024-02-07 14:50:00+00:00,2377.11,2352.06,25.050000000000182,2382.1200000000003,2360.8275,True,,2380.24,2024-02-07 14:50:00+00:00,2382.1200000000003,TARGET_E20,-0.005081840486575673,False,-0.5052266862230922,False
development,2024-03-28 08:00:00+00:00,2024-03-28 13:30:00+00:00,2024-03-28 14:30:00+00:00,2024-03-28 14:35:00+00:00,3597.61,3554.95,42.66000000000031,3606.1420000000003,3569.881,True,,3601.79,2024-03-28 14:35:00+00:00,3606.1420000000003,TARGET_E20,0.2041440505970552,True,-0.29620991646988026,False
