partition,zone,reference_start,check,actual,expected,pass
external,RAW_0530,2020-11-16 05:30:00+00:00,H,16386.0,16386.0,True
external,RAW_0530,2020-11-16 05:30:00+00:00,L,16081.0,16081.0,True
external,RAW_2330,2020-11-22 23:30:00+00:00,H,18565.1,18565.1,True
external,RAW_2330,2020-11-22 23:30:00+00:00,L,18013.97,18013.97,True
external,RAW_2330,2020-12-01 23:30:00+00:00,H,18979.11,18979.11,True
external,RAW_2330,2020-12-01 23:30:00+00:00,L,18329.58,18329.58,True
external,RAW_2330,2020-12-15 23:30:00+00:00,H,19488.0,19488.0,True
external,RAW_2330,2020-12-15 23:30:00+00:00,L,19274.55,19274.55,True
external,ALT_0330,2020-12-16 03:30:00+00:00,H,19487.5,19487.5,True
external,ALT_0330,2020-12-16 03:30:00+00:00,L,19294.82,19294.82,True
external,ALT_0330,2021-01-13 03:30:00+00:00,H,35200.0,35200.0,True
external,ALT_0330,2021-01-13 03:30:00+00:00,L,32827.5,32827.5,True
external,RAW_0530,2021-01-13 05:30:00+00:00,H,35200.0,35200.0,True
external,RAW_0530,2021-01-13 05:30:00+00:00,L,32827.5,32827.5,True
external,RAW_0530,2021-01-14 05:30:00+00:00,H,38850.0,38850.0,True
external,RAW_0530,2021-01-14 05:30:00+00:00,L,37422.35,37422.35,True
external,LONDON,2021-01-14 08:00:00+00:00,H,38850.0,38850.0,True
external,LONDON,2021-01-14 08:00:00+00:00,L,37760.0,37760.0,True
external,LONDON,2021-02-03 08:00:00+00:00,H,36776.89,36776.89,True
external,LONDON,2021-02-03 08:00:00+00:00,L,35598.79,35598.79,True
external,RAW_2330,2021-02-07 23:30:00+00:00,H,39185.93,39185.93,True
external,RAW_2330,2021-02-07 23:30:00+00:00,L,38037.0,38037.0,True
external,ALT_0330,2021-02-12 03:30:00+00:00,H,47990.0,47990.0,True
external,ALT_0330,2021-02-12 03:30:00+00:00,L,46817.47,46817.47,True
external,ALT_0330,2021-02-24 03:30:00+00:00,H,51380.0,51380.0,True
external,ALT_0330,2021-02-24 03:30:00+00:00,L,49519.33,49519.33,True
external,LONDON,2021-03-01 08:00:00+00:00,H,48448.63,48448.63,True
external,LONDON,2021-03-01 08:00:00+00:00,L,46287.32,46287.32,True
external,RAW_2330,2021-03-21 23:30:00+00:00,H,57887.0,57887.0,True
external,RAW_2330,2021-03-21 23:30:00+00:00,L,56329.98,56329.98,True
external,RAW_0530,2021-03-29 05:30:00+00:00,H,58383.18,58383.18,True
external,RAW_0530,2021-03-29 05:30:00+00:00,L,54931.15,54931.15,True
external,RAW_0530,2021-04-05 05:30:00+00:00,H,57768.41,57768.41,True
external,RAW_0530,2021-04-05 05:30:00+00:00,L,56808.94,56808.94,True
external,RAW_0530,2021-04-09 05:30:00+00:00,H,58709.0,58709.0,True
external,RAW_0530,2021-04-09 05:30:00+00:00,L,57700.0,57700.0,True
external,LONDON,2021-04-16 08:00:00+00:00,H,61737.97,61737.97,True
external,LONDON,2021-04-16 08:00:00+00:00,L,60100.0,60100.0,True
external,RAW_2330,2021-04-18 23:30:00+00:00,H,57260.0,57260.0,True
external,RAW_2330,2021-04-18 23:30:00+00:00,L,55677.9,55677.9,True
external,ALT_0330,2021-04-20 03:30:00+00:00,H,55458.32,55458.32,True
external,ALT_0330,2021-04-20 03:30:00+00:00,L,53330.82,53330.82,True
external,LONDON,2021-04-20 08:00:00+00:00,H,56450.0,56450.0,True
external,LONDON,2021-04-20 08:00:00+00:00,L,54248.41,54248.41,True
external,ALT_0330,2021-05-04 03:30:00+00:00,H,56383.28,56383.28,True
external,ALT_0330,2021-05-04 03:30:00+00:00,L,55249.0,55249.0,True
external,RAW_2330,2021-05-26 23:30:00+00:00,H,39430.98,39430.98,True
external,RAW_2330,2021-05-26 23:30:00+00:00,L,37133.22,37133.22,True
external,LONDON,2021-06-02 08:00:00+00:00,H,37770.0,37770.0,True
external,LONDON,2021-06-02 08:00:00+00:00,L,36851.0,36851.0,True
external,LONDON,2021-06-04 08:00:00+00:00,H,37191.0,37191.0,True
external,LONDON,2021-06-04 08:00:00+00:00,L,35552.51,35552.51,True
external,RAW_0530,2021-06-09 05:30:00+00:00,H,34699.0,34699.0,True
external,RAW_0530,2021-06-09 05:30:00+00:00,L,33373.26,33373.26,True
external,LONDON,2021-06-14 08:00:00+00:00,H,40700.0,40700.0,True
external,LONDON,2021-06-14 08:00:00+00:00,L,38790.0,38790.0,True
external,ALT_0330,2021-06-24 03:30:00+00:00,H,33388.99,33388.99,True
external,ALT_0330,2021-06-24 03:30:00+00:00,L,32300.0,32300.0,True
external,RAW_0530,2021-06-29 05:30:00+00:00,H,35760.0,35760.0,True
external,RAW_0530,2021-06-29 05:30:00+00:00,L,34533.64,34533.64,True
external,ALT_0330,2021-07-02 03:30:00+00:00,H,33600.0,33600.0,True
external,ALT_0330,2021-07-02 03:30:00+00:00,L,32684.0,32684.0,True
external,RAW_0530,2021-07-02 05:30:00+00:00,H,33600.0,33600.0,True
external,RAW_0530,2021-07-02 05:30:00+00:00,L,32684.0,32684.0,True
external,LONDON,2021-07-02 08:00:00+00:00,H,33600.0,33600.0,True
external,LONDON,2021-07-02 08:00:00+00:00,L,32751.0,32751.0,True
external,ALT_0330,2021-07-05 03:30:00+00:00,H,34429.0,34429.0,True
external,ALT_0330,2021-07-05 03:30:00+00:00,L,34000.0,34000.0,True
external,ALT_0330,2021-07-21 03:30:00+00:00,H,30933.19,30933.19,True
external,ALT_0330,2021-07-21 03:30:00+00:00,L,29789.02,29789.02,True
external,LONDON,2021-07-22 08:00:00+00:00,H,32240.0,32240.0,True
external,LONDON,2021-07-22 08:00:00+00:00,L,31700.0,31700.0,True
external,RAW_2330,2021-07-27 23:30:00+00:00,H,40388.0,40388.0,True
external,RAW_2330,2021-07-27 23:30:00+00:00,L,38861.61,38861.61,True
external,ALT_0330,2021-07-28 03:30:00+00:00,H,40388.0,40388.0,True
external,ALT_0330,2021-07-28 03:30:00+00:00,L,39222.39,39222.39,True
external,LONDON,2021-08-04 08:00:00+00:00,H,39155.0,39155.0,True
external,LONDON,2021-08-04 08:00:00+00:00,L,37500.0,37500.0,True
external,ALT_0330,2021-08-11 03:30:00+00:00,H,46643.13,46643.13,True
external,ALT_0330,2021-08-11 03:30:00+00:00,L,45450.0,45450.0,True
external,RAW_2330,2021-08-22 23:30:00+00:00,H,50476.0,50476.0,True
external,RAW_2330,2021-08-22 23:30:00+00:00,L,49100.0,49100.0,True
external,RAW_2330,2021-08-31 23:30:00+00:00,H,47410.0,47410.0,True
external,RAW_2330,2021-08-31 23:30:00+00:00,L,46550.99,46550.99,True
external,ALT_0330,2021-09-03 03:30:00+00:00,H,50097.57,50097.57,True
external,ALT_0330,2021-09-03 03:30:00+00:00,L,49012.85,49012.85,True
external,RAW_2330,2021-09-05 23:30:00+00:00,H,51961.46,51961.46,True
external,RAW_2330,2021-09-05 23:30:00+00:00,L,51450.0,51450.0,True
external,RAW_0530,2021-09-08 05:30:00+00:00,H,46714.1,46714.1,True
external,RAW_0530,2021-09-08 05:30:00+00:00,L,44431.0,44431.0,True
external,LONDON,2021-09-08 08:00:00+00:00,H,46800.0,46800.0,True
external,LONDON,2021-09-08 08:00:00+00:00,L,44431.0,44431.0,True
external,RAW_2330,2021-09-15 23:30:00+00:00,H,48480.0,48480.0,True
external,RAW_2330,2021-09-15 23:30:00+00:00,L,47330.0,47330.0,True
external,RAW_2330,2021-09-30 23:30:00+00:00,H,44043.22,44043.22,True
external,RAW_2330,2021-09-30 23:30:00+00:00,L,43260.01,43260.01,True
external,ALT_0330,2021-10-05 03:30:00+00:00,H,49950.0,49950.0,True
external,ALT_0330,2021-10-05 03:30:00+00:00,L,49061.0,49061.0,True
external,ALT_0330,2021-10-20 03:30:00+00:00,H,64293.66,64293.66,True
external,ALT_0330,2021-10-20 03:30:00+00:00,L,63518.81,63518.81,True
external,RAW_0530,2021-10-20 05:30:00+00:00,H,64293.66,64293.66,True
external,RAW_0530,2021-10-20 05:30:00+00:00,L,63518.81,63518.81,True
external,ALT_0330,2021-10-22 03:30:00+00:00,H,63688.74,63688.74,True
external,ALT_0330,2021-10-22 03:30:00+00:00,L,62511.0,62511.0,True
external,ALT_0330,2021-11-08 03:30:00+00:00,H,66485.05,66485.05,True
external,ALT_0330,2021-11-08 03:30:00+00:00,L,65085.14,65085.14,True
external,LONDON,2021-11-16 08:00:00+00:00,H,61320.58,61320.58,True
external,LONDON,2021-11-16 08:00:00+00:00,L,58397.14,58397.14,True
external,LONDON,2021-11-25 08:00:00+00:00,H,58888.0,58888.0,True
external,LONDON,2021-11-25 08:00:00+00:00,L,57375.38,57375.38,True
external,ALT_0330,2021-12-07 03:30:00+00:00,H,51324.53,51324.53,True
external,ALT_0330,2021-12-07 03:30:00+00:00,L,50731.58,50731.58,True
external,RAW_2330,2021-12-13 23:30:00+00:00,H,47200.0,47200.0,True
external,RAW_2330,2021-12-13 23:30:00+00:00,L,46255.6,46255.6,True
development,ALT_0330,2022-01-05 03:30:00+00:00,H,46677.0,46677.0,True
development,ALT_0330,2022-01-05 03:30:00+00:00,L,46243.1,46243.1,True
development,RAW_0530,2022-01-26 05:30:00+00:00,H,38200.0,38200.0,True
development,RAW_0530,2022-01-26 05:30:00+00:00,L,37125.0,37125.0,True
development,LONDON,2022-01-28 08:00:00+00:00,H,36884.88,36884.88,True
development,LONDON,2022-01-28 08:00:00+00:00,L,36149.02,36149.02,True
development,RAW_0530,2022-01-31 05:30:00+00:00,H,37338.33,37338.33,True
development,RAW_0530,2022-01-31 05:30:00+00:00,L,36852.0,36852.0,True
development,RAW_0530,2022-02-01 05:30:00+00:00,H,39100.0,39100.0,True
development,RAW_0530,2022-02-01 05:30:00+00:00,L,37969.0,37969.0,True
development,LONDON,2022-02-01 08:00:00+00:00,H,39100.0,39100.0,True
development,LONDON,2022-02-01 08:00:00+00:00,L,37969.0,37969.0,True
development,ALT_0330,2022-02-02 03:30:00+00:00,H,38660.0,38660.0,True
development,ALT_0330,2022-02-02 03:30:00+00:00,L,38173.3,38173.3,True
development,RAW_2330,2022-02-07 23:30:00+00:00,H,44350.0,44350.0,True
development,RAW_2330,2022-02-07 23:30:00+00:00,L,43550.0,43550.0,True
development,RAW_0530,2022-03-04 05:30:00+00:00,H,41850.0,41850.0,True
development,RAW_0530,2022-03-04 05:30:00+00:00,L,40800.0,40800.0,True
development,ALT_0330,2022-03-09 03:30:00+00:00,H,42450.0,42450.0,True
development,ALT_0330,2022-03-09 03:30:00+00:00,L,40224.4,40224.4,True
development,ALT_0330,2022-03-14 03:30:00+00:00,H,39225.7,39225.7,True
development,ALT_0330,2022-03-14 03:30:00+00:00,L,38035.0,38035.0,True
development,RAW_0530,2022-03-16 05:30:00+00:00,H,40760.0,40760.0,True
development,RAW_0530,2022-03-16 05:30:00+00:00,L,38984.9,38984.9,True
development,LONDON,2022-03-16 08:00:00+00:00,H,40760.0,40760.0,True
development,LONDON,2022-03-16 08:00:00+00:00,L,39538.0,39538.0,True
development,RAW_0530,2022-03-22 05:30:00+00:00,H,43014.7,43014.7,True
development,RAW_0530,2022-03-22 05:30:00+00:00,L,41995.3,41995.3,True
development,RAW_2330,2022-03-23 23:30:00+00:00,H,43296.0,43296.0,True
development,RAW_2330,2022-03-23 23:30:00+00:00,L,42492.7,42492.7,True
development,ALT_0330,2022-03-28 03:30:00+00:00,H,47400.0,47400.0,True
development,ALT_0330,2022-03-28 03:30:00+00:00,L,46755.2,46755.2,True
development,RAW_0530,2022-03-28 05:30:00+00:00,H,47288.0,47288.0,True
development,RAW_0530,2022-03-28 05:30:00+00:00,L,46755.2,46755.2,True
development,RAW_2330,2022-03-29 23:30:00+00:00,H,47515.0,47515.0,True
development,RAW_2330,2022-03-29 23:30:00+00:00,L,46535.0,46535.0,True
development,ALT_0330,2022-04-01 03:30:00+00:00,H,45307.9,45307.9,True
development,ALT_0330,2022-04-01 03:30:00+00:00,L,44397.4,44397.4,True
development,RAW_0530,2022-04-01 05:30:00+00:00,H,45307.9,45307.9,True
development,RAW_0530,2022-04-01 05:30:00+00:00,L,44549.4,44549.4,True
development,LONDON,2022-04-18 08:00:00+00:00,H,39489.0,39489.0,True
development,LONDON,2022-04-18 08:00:00+00:00,L,38780.0,38780.0,True
development,RAW_2330,2022-04-26 23:30:00+00:00,H,38460.8,38460.8,True
development,RAW_2330,2022-04-26 23:30:00+00:00,L,37844.5,37844.5,True
development,ALT_0330,2022-04-28 03:30:00+00:00,H,39800.0,39800.0,True
development,ALT_0330,2022-04-28 03:30:00+00:00,L,39200.5,39200.5,True
development,RAW_2330,2022-05-18 23:30:00+00:00,H,29339.5,29339.5,True
development,RAW_2330,2022-05-18 23:30:00+00:00,L,28629.6,28629.6,True
development,ALT_0330,2022-06-02 03:30:00+00:00,H,30113.5,30113.5,True
development,ALT_0330,2022-06-02 03:30:00+00:00,L,29633.2,29633.2,True
development,ALT_0330,2022-06-06 03:30:00+00:00,H,31483.8,31483.8,True
development,ALT_0330,2022-06-06 03:30:00+00:00,L,31015.4,31015.4,True
development,ALT_0330,2022-06-21 03:30:00+00:00,H,21456.6,21456.6,True
development,ALT_0330,2022-06-21 03:30:00+00:00,L,20381.3,20381.3,True
development,ALT_0330,2022-06-23 03:30:00+00:00,H,20666.0,20666.0,True
development,ALT_0330,2022-06-23 03:30:00+00:00,L,20152.0,20152.0,True
development,RAW_2330,2022-06-27 23:30:00+00:00,H,20868.2,20868.2,True
development,RAW_2330,2022-06-27 23:30:00+00:00,L,20510.0,20510.0,True
development,RAW_0530,2022-07-04 05:30:00+00:00,H,19554.4,19554.4,True
development,RAW_0530,2022-07-04 05:30:00+00:00,L,19071.6,19071.6,True
development,ALT_0330,2022-07-06 03:30:00+00:00,H,20316.3,20316.3,True
development,ALT_0330,2022-07-06 03:30:00+00:00,L,19850.0,19850.0,True
development,LONDON,2022-07-06 08:00:00+00:00,H,20295.0,20295.0,True
development,LONDON,2022-07-06 08:00:00+00:00,L,19950.0,19950.0,True
development,LONDON,2022-07-08 08:00:00+00:00,H,21814.1,21814.1,True
development,LONDON,2022-07-08 08:00:00+00:00,L,21175.2,21175.2,True
development,ALT_0330,2022-07-20 03:30:00+00:00,H,23861.0,23861.0,True
development,ALT_0330,2022-07-20 03:30:00+00:00,L,23298.5,23298.5,True
development,LONDON,2022-07-22 08:00:00+00:00,H,23690.0,23690.0,True
development,LONDON,2022-07-22 08:00:00+00:00,L,23060.0,23060.0,True
development,ALT_0330,2022-07-25 03:30:00+00:00,H,22088.8,22088.8,True
development,ALT_0330,2022-07-25 03:30:00+00:00,L,21734.1,21734.1,True
development,LONDON,2022-07-28 08:00:00+00:00,H,23210.2,23210.2,True
development,LONDON,2022-07-28 08:00:00+00:00,L,22583.1,22583.1,True
development,ALT_0330,2022-08-05 03:30:00+00:00,H,23430.3,23430.3,True
development,ALT_0330,2022-08-05 03:30:00+00:00,L,23055.0,23055.0,True
development,RAW_0530,2022-08-05 05:30:00+00:00,H,23430.3,23430.3,True
development,RAW_0530,2022-08-05 05:30:00+00:00,L,23056.0,23056.0,True
development,ALT_0330,2022-08-18 03:30:00+00:00,H,23474.8,23474.8,True
development,ALT_0330,2022-08-18 03:30:00+00:00,L,23318.9,23318.9,True
development,RAW_0530,2022-08-23 05:30:00+00:00,H,21546.5,21546.5,True
development,RAW_0530,2022-08-23 05:30:00+00:00,L,20874.8,20874.8,True
development,ALT_0330,2022-08-24 03:30:00+00:00,H,21495.6,21495.6,True
development,ALT_0330,2022-08-24 03:30:00+00:00,L,21218.2,21218.2,True
development,RAW_0530,2022-08-24 05:30:00+00:00,H,21495.6,21495.6,True
development,RAW_0530,2022-08-24 05:30:00+00:00,L,21231.0,21231.0,True
development,LONDON,2022-09-02 08:00:00+00:00,H,20396.0,20396.0,True
development,LONDON,2022-09-02 08:00:00+00:00,L,19978.0,19978.0,True
development,LONDON,2022-09-12 08:00:00+00:00,H,22450.0,22450.0,True
development,LONDON,2022-09-12 08:00:00+00:00,L,21961.1,21961.1,True
development,ALT_0330,2022-09-21 03:30:00+00:00,H,19123.0,19123.0,True
development,ALT_0330,2022-09-21 03:30:00+00:00,L,18784.2,18784.2,True
development,LONDON,2022-09-28 08:00:00+00:00,H,19175.0,19175.0,True
development,LONDON,2022-09-28 08:00:00+00:00,L,18558.6,18558.6,True
development,RAW_2330,2022-10-26 23:30:00+00:00,H,20858.0,20858.0,True
development,RAW_2330,2022-10-26 23:30:00+00:00,L,20561.5,20561.5,True
development,ALT_0330,2022-11-01 03:30:00+00:00,H,20649.0,20649.0,True
development,ALT_0330,2022-11-01 03:30:00+00:00,L,20455.8,20455.8,True
development,RAW_0530,2022-11-02 05:30:00+00:00,H,20529.9,20529.9,True
development,RAW_0530,2022-11-02 05:30:00+00:00,L,20323.0,20323.0,True
development,LONDON,2022-11-02 08:00:00+00:00,H,20529.9,20529.9,True
development,LONDON,2022-11-02 08:00:00+00:00,L,20323.0,20323.0,True
development,LONDON,2022-12-07 08:00:00+00:00,H,16859.9,16859.9,True
development,LONDON,2022-12-07 08:00:00+00:00,L,16655.0,16655.0,True
development,RAW_0530,2022-12-09 05:30:00+00:00,H,17260.6,17260.6,True
development,RAW_0530,2022-12-09 05:30:00+00:00,L,17184.2,17184.2,True
development,RAW_0530,2022-12-12 05:30:00+00:00,H,16998.9,16998.9,True
development,RAW_0530,2022-12-12 05:30:00+00:00,L,16894.3,16894.3,True
development,ALT_0330,2022-12-19 03:30:00+00:00,H,16752.8,16752.8,True
development,ALT_0330,2022-12-19 03:30:00+00:00,L,16620.4,16620.4,True
development,RAW_2330,2022-12-21 23:30:00+00:00,H,16852.8,16852.8,True
development,RAW_2330,2022-12-21 23:30:00+00:00,L,16772.0,16772.0,True
development,ALT_0330,2022-12-22 03:30:00+00:00,H,16850.0,16850.0,True
development,ALT_0330,2022-12-22 03:30:00+00:00,L,16778.0,16778.0,True
development,ALT_0330,2023-01-09 03:30:00+00:00,H,17248.0,17248.0,True
development,ALT_0330,2023-01-09 03:30:00+00:00,L,17171.7,17171.7,True
development,RAW_0530,2023-01-12 05:30:00+00:00,H,18211.5,18211.5,True
development,RAW_0530,2023-01-12 05:30:00+00:00,L,18062.0,18062.0,True
development,LONDON,2023-01-19 08:00:00+00:00,H,20848.0,20848.0,True
development,LONDON,2023-01-19 08:00:00+00:00,L,20661.0,20661.0,True
development,RAW_2330,2023-01-24 23:30:00+00:00,H,22699.0,22699.0,True
development,RAW_2330,2023-01-24 23:30:00+00:00,L,22310.5,22310.5,True
development,RAW_2330,2023-01-26 23:30:00+00:00,H,23068.7,23068.7,True
development,RAW_2330,2023-01-26 23:30:00+00:00,L,22516.6,22516.6,True
development,RAW_0530,2023-01-27 05:30:00+00:00,H,23098.0,23098.0,True
development,RAW_0530,2023-01-27 05:30:00+00:00,L,22826.9,22826.9,True
development,RAW_0530,2023-02-14 05:30:00+00:00,H,21880.0,21880.0,True
development,RAW_0530,2023-02-14 05:30:00+00:00,L,21659.1,21659.1,True
development,LONDON,2023-02-15 08:00:00+00:00,H,22924.9,22924.9,True
development,LONDON,2023-02-15 08:00:00+00:00,L,22075.9,22075.9,True
development,RAW_0530,2023-02-22 05:30:00+00:00,H,24195.0,24195.0,True
development,RAW_0530,2023-02-22 05:30:00+00:00,L,23855.3,23855.3,True
development,RAW_0530,2023-02-28 05:30:00+00:00,H,23416.3,23416.3,True
development,RAW_0530,2023-02-28 05:30:00+00:00,L,23190.2,23190.2,True
development,ALT_0330,2023-03-06 03:30:00+00:00,H,22443.9,22443.9,True
development,ALT_0330,2023-03-06 03:30:00+00:00,L,22306.0,22306.0,True
development,RAW_0530,2023-03-06 05:30:00+00:00,H,22443.9,22443.9,True
development,RAW_0530,2023-03-06 05:30:00+00:00,L,22320.0,22320.0,True
development,LONDON,2023-03-06 08:00:00+00:00,H,22443.9,22443.9,True
development,LONDON,2023-03-06 08:00:00+00:00,L,22345.3,22345.3,True
development,LONDON,2023-03-13 08:00:00+00:00,H,22572.0,22572.0,True
development,LONDON,2023-03-13 08:00:00+00:00,L,21804.0,21804.0,True
development,ALT_0330,2023-03-21 03:30:00+00:00,H,27960.7,27960.7,True
development,ALT_0330,2023-03-21 03:30:00+00:00,L,27288.0,27288.0,True
development,RAW_0530,2023-03-21 05:30:00+00:00,H,28172.5,28172.5,True
development,RAW_0530,2023-03-21 05:30:00+00:00,L,27288.0,27288.0,True
development,LONDON,2023-03-22 08:00:00+00:00,H,28379.4,28379.4,True
development,LONDON,2023-03-22 08:00:00+00:00,L,27962.1,27962.1,True
development,RAW_0530,2023-03-27 05:30:00+00:00,H,27968.0,27968.0,True
development,RAW_0530,2023-03-27 05:30:00+00:00,L,27650.0,27650.0,True
development,RAW_0530,2023-04-07 05:30:00+00:00,H,27973.9,27973.9,True
development,RAW_0530,2023-04-07 05:30:00+00:00,L,27755.0,27755.0,True
development,RAW_2330,2023-04-25 23:30:00+00:00,H,28473.0,28473.0,True
development,RAW_2330,2023-04-25 23:30:00+00:00,L,28232.8,28232.8,True
development,ALT_0330,2023-04-26 03:30:00+00:00,H,28777.0,28777.0,True
development,ALT_0330,2023-04-26 03:30:00+00:00,L,28285.9,28285.9,True
development,RAW_0530,2023-04-26 05:30:00+00:00,H,29099.0,29099.0,True
development,RAW_0530,2023-04-26 05:30:00+00:00,L,28300.0,28300.0,True
development,RAW_2330,2023-05-18 23:30:00+00:00,H,26922.5,26922.5,True
development,RAW_2330,2023-05-18 23:30:00+00:00,L,26733.4,26733.4,True
development,RAW_2330,2023-05-21 23:30:00+00:00,H,26777.1,26777.1,True
development,RAW_2330,2023-05-21 23:30:00+00:00,L,26500.0,26500.0,True
development,ALT_0330,2023-05-30 03:30:00+00:00,H,27865.9,27865.9,True
