partition,mechanism,warning,loss_n,loss_hit_n,loss_hit_rate,winner_n,winner_hit_n,winner_hit_rate,gap,hit_rate_ratio,median_loss_lead_min,median_warning_from_break_min,dev_same_direction_blocks,dev_candidate,replicated
development,M0_REFERENCE_INVALIDATION,NO_BREAK_180M,37,24,0.6486486486486487,244,45,0.18442622950819673,0.4642224191404519,3.517117117117117,,,6,True,True
external,M0_REFERENCE_INVALIDATION,NO_BREAK_180M,13,11,0.8461538461538461,115,12,0.10434782608695652,0.7418060200668897,8.10897435897436,,,6,True,True
reference_validation,M0_REFERENCE_INVALIDATION,NO_BREAK_180M,26,15,0.5769230769230769,150,31,0.20666666666666667,0.3702564102564102,2.791563275434243,,,6,True,True
development,M0_REFERENCE_INVALIDATION,NO_BREAK_240M,37,18,0.4864864864864865,244,38,0.1557377049180328,0.3307487815684537,3.12375533428165,,,6,False,False
external,M0_REFERENCE_INVALIDATION,NO_BREAK_240M,13,8,0.6153846153846154,115,12,0.10434782608695652,0.5110367892976589,5.897435897435898,,,6,False,False
reference_validation,M0_REFERENCE_INVALIDATION,NO_BREAK_240M,26,13,0.5,150,23,0.15333333333333332,0.3466666666666667,3.2608695652173916,,,6,False,False
development,M0_REFERENCE_INVALIDATION,NO_BREAK_360M,37,9,0.24324324324324326,244,24,0.09836065573770492,0.14488258750553834,2.4729729729729732,,,5,False,False
external,M0_REFERENCE_INVALIDATION,NO_BREAK_360M,13,4,0.3076923076923077,115,8,0.06956521739130435,0.23812709030100337,4.423076923076923,,,5,False,False
reference_validation,M0_REFERENCE_INVALIDATION,NO_BREAK_360M,26,6,0.23076923076923078,150,19,0.12666666666666668,0.1041025641025641,1.8218623481781375,,,5,False,False
development,M1_TIME_NO_STRUCTURAL_FAIL,PRE_L25,58,10,0.1724137931034483,244,9,0.036885245901639344,0.13552854720180896,4.674329501915709,,,5,False,False
external,M1_TIME_NO_STRUCTURAL_FAIL,PRE_L25,16,2,0.125,115,4,0.034782608695652174,0.09021739130434783,3.59375,,,5,False,False
reference_validation,M1_TIME_NO_STRUCTURAL_FAIL,PRE_L25,21,5,0.23809523809523808,150,6,0.04,0.19809523809523807,5.952380952380952,,,5,False,False
development,M1_TIME_NO_STRUCTURAL_FAIL,PRE_L10,58,3,0.05172413793103448,244,3,0.012295081967213115,0.03942905596382137,4.206896551724138,,,3,False,False
external,M1_TIME_NO_STRUCTURAL_FAIL,PRE_L10,16,1,0.0625,115,0,0.0,0.0625,inf,,,3,False,False
reference_validation,M1_TIME_NO_STRUCTURAL_FAIL,PRE_L10,21,1,0.047619047619047616,150,3,0.02,0.027619047619047616,2.380952380952381,,,3,False,False
development,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_30M,58,57,0.9827586206896551,244,87,0.35655737704918034,0.6262012436404748,2.7562425683709866,,,6,True,True
external,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_30M,16,15,0.9375,115,26,0.22608695652173913,0.7114130434782608,4.146634615384615,,,6,True,True
reference_validation,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_30M,21,20,0.9523809523809523,150,57,0.38,0.5723809523809523,2.506265664160401,,,6,True,True
development,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_60M,58,55,0.9482758620689655,244,75,0.3073770491803279,0.6408988128886377,3.085057471264368,,,6,True,True
external,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_60M,16,14,0.875,115,22,0.19130434782608696,0.683695652173913,4.573863636363636,,,6,True,True
reference_validation,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_60M,21,20,0.9523809523809523,150,49,0.32666666666666666,0.6257142857142857,2.9154518950437316,,,6,True,True
development,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_120M,58,51,0.8793103448275862,244,58,0.23770491803278687,0.6416054267947993,3.699167657550535,,,6,True,True
external,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_120M,16,13,0.8125,115,16,0.1391304347826087,0.6733695652173913,5.83984375,,,6,True,True
reference_validation,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_120M,21,18,0.8571428571428571,150,41,0.2733333333333333,0.5838095238095238,3.1358885017421603,,,6,True,True
development,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_180M,58,44,0.7586206896551724,244,45,0.18442622950819673,0.5741944601469756,4.113409961685823,,,6,True,True
external,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_180M,16,13,0.8125,115,12,0.10434782608695652,0.7081521739130435,7.786458333333334,,,6,True,True
reference_validation,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_180M,21,16,0.7619047619047619,150,31,0.20666666666666667,0.5552380952380952,3.686635944700461,,,6,True,True
development,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_240M,58,42,0.7241379310344828,244,38,0.1557377049180328,0.56840022611645,4.6497277676951,,,6,True,True
external,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_240M,16,12,0.75,115,12,0.10434782608695652,0.6456521739130435,7.1875,,,6,True,True
reference_validation,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_240M,21,16,0.7619047619047619,150,23,0.15333333333333332,0.6085714285714285,4.9689440993788825,,,6,True,True
development,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_360M,58,34,0.5862068965517241,244,24,0.09836065573770492,0.48784624081401917,5.959770114942528,,,6,True,True
external,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_360M,16,11,0.6875,115,8,0.06956521739130435,0.6179347826086956,9.8828125,,,6,True,True
reference_validation,M1_TIME_NO_STRUCTURAL_FAIL,NO_BREAK_360M,21,15,0.7142857142857143,150,19,0.12666666666666668,0.5876190476190476,5.639097744360902,,,6,True,True
