clock,side,partition,reference_start,execution_start,H,L,k1,clean,leave_bar,eligible_start,terminal,terminal_bar
LONDON,LONG,external,2020-01-27 08:00:00+00:00,2020-01-27 13:30:00+00:00,170.3,165.28,2020-01-27 13:30:00+00:00,False,,,BREAK_DURING_K1,2020-01-27 13:35:00+00:00
RAW_2330,LONG,external,2020-01-29 23:30:00+00:00,2020-01-30 05:00:00+00:00,175.84,171.07,2020-01-30 07:25:00+00:00,False,,,BREAK_DURING_K1,2020-01-30 07:30:00+00:00
SHORT_2000,SHORT,external,2020-01-30 20:00:00+00:00,2020-01-31 01:30:00+00:00,187.4,181.79,2020-01-31 05:40:00+00:00,False,,,BREAK_DURING_K1,2020-01-31 05:45:00+00:00
LONDON,LONG,external,2020-02-04 08:00:00+00:00,2020-02-04 13:30:00+00:00,188.6,184.71,2020-02-04 15:15:00+00:00,True,2020-02-04 15:20:00+00:00,2020-02-04 15:25:00+00:00,H2,2020-02-04 15:40:00+00:00
LONDON,LONG,external,2020-02-05 08:00:00+00:00,2020-02-05 13:30:00+00:00,199.0,190.53,2020-02-05 15:45:00+00:00,False,,,BREAK_DURING_K1,2020-02-05 15:50:00+00:00
SHORT_2000,SHORT,external,2020-02-10 20:00:00+00:00,2020-02-11 01:30:00+00:00,225.48,218.97,2020-02-11 03:05:00+00:00,True,2020-02-11 03:10:00+00:00,2020-02-11 03:15:00+00:00,H2,2020-02-11 04:05:00+00:00
RAW_0530,LONG,external,2020-02-11 05:30:00+00:00,2020-02-11 11:00:00+00:00,222.85,218.64,2020-02-11 11:40:00+00:00,True,2020-02-11 11:45:00+00:00,2020-02-11 11:50:00+00:00,H2,2020-02-11 11:55:00+00:00
ALT_0330,LONG,external,2020-02-14 03:30:00+00:00,2020-02-14 09:00:00+00:00,269.1,260.53,2020-02-14 09:30:00+00:00,True,2020-02-14 09:35:00+00:00,2020-02-14 09:40:00+00:00,H2,2020-02-14 10:00:00+00:00
RAW_0530,LONG,external,2020-02-14 05:30:00+00:00,2020-02-14 11:00:00+00:00,273.72,260.53,2020-02-14 14:10:00+00:00,False,,,BREAK_DURING_K1,2020-02-14 14:15:00+00:00
LONDON,LONG,external,2020-02-14 08:00:00+00:00,2020-02-14 13:30:00+00:00,273.72,262.67,2020-02-14 14:10:00+00:00,False,,,BREAK_DURING_K1,2020-02-14 14:15:00+00:00
ALT_0330,LONG,external,2020-02-17 03:30:00+00:00,2020-02-17 09:00:00+00:00,254.0,242.32,2020-02-17 09:00:00+00:00,True,2020-02-17 09:05:00+00:00,2020-02-17 09:10:00+00:00,H2,2020-02-17 14:50:00+00:00
LONDON,LONG,external,2020-02-17 08:00:00+00:00,2020-02-17 13:30:00+00:00,254.0,243.0,2020-02-17 14:50:00+00:00,True,2020-02-17 14:55:00+00:00,2020-02-17 15:00:00+00:00,H2,2020-02-17 15:00:00+00:00
LONDON,LONG,external,2020-02-18 08:00:00+00:00,2020-02-18 13:30:00+00:00,269.17,258.78,2020-02-18 15:00:00+00:00,False,,,BREAK_DURING_K1,2020-02-18 15:05:00+00:00
SHORT_2000,SHORT,external,2020-02-18 20:00:00+00:00,2020-02-19 01:30:00+00:00,286.48,276.89,2020-02-19 06:55:00+00:00,False,,,BREAK_DURING_K1,2020-02-19 07:00:00+00:00
RAW_0530,LONG,external,2020-02-19 05:30:00+00:00,2020-02-19 11:00:00+00:00,283.46,274.54,2020-02-19 16:15:00+00:00,True,2020-02-19 16:20:00+00:00,2020-02-19 16:25:00+00:00,H2,2020-02-19 17:05:00+00:00
LONDON,LONG,external,2020-02-19 08:00:00+00:00,2020-02-19 13:30:00+00:00,283.46,274.54,2020-02-19 16:15:00+00:00,True,2020-02-19 16:20:00+00:00,2020-02-19 16:25:00+00:00,H2,2020-02-19 17:05:00+00:00
ALT_0330,LONG,external,2020-02-24 03:30:00+00:00,2020-02-24 09:00:00+00:00,269.27,263.88,2020-02-24 11:25:00+00:00,False,,,BREAK_DURING_K1,2020-02-24 11:35:00+00:00
RAW_0530,LONG,external,2020-02-24 05:30:00+00:00,2020-02-24 11:00:00+00:00,268.99,263.88,2020-02-24 11:20:00+00:00,False,,,BREAK_DURING_K1,2020-02-24 11:25:00+00:00
SHORT_2000,SHORT,external,2020-02-24 20:00:00+00:00,2020-02-25 01:30:00+00:00,266.84,259.83,2020-02-25 05:30:00+00:00,True,2020-02-25 05:35:00+00:00,2020-02-25 05:40:00+00:00,H2,2020-02-25 05:40:00+00:00
ALT_0330,LONG,external,2020-02-25 03:30:00+00:00,2020-02-25 09:00:00+00:00,263.33,255.55,2020-02-25 11:55:00+00:00,False,,,BREAK_DURING_K1,2020-02-25 12:00:00+00:00
RAW_2330,LONG,external,2020-02-26 23:30:00+00:00,2020-02-27 05:00:00+00:00,228.64,210.01,2020-02-27 08:15:00+00:00,False,,,BREAK_DURING_K1,2020-02-27 08:20:00+00:00
SHORT_2000,SHORT,external,2020-02-27 20:00:00+00:00,2020-02-28 01:30:00+00:00,235.2,222.83,2020-02-28 07:30:00+00:00,True,2020-02-28 07:35:00+00:00,2020-02-28 07:40:00+00:00,NO_H2,
ALT_0330,LONG,external,2020-03-02 03:30:00+00:00,2020-03-02 09:00:00+00:00,223.0,218.88,2020-03-02 09:35:00+00:00,True,2020-03-02 09:45:00+00:00,2020-03-02 09:50:00+00:00,H2,2020-03-02 09:55:00+00:00
LONDON,LONG,external,2020-03-02 08:00:00+00:00,2020-03-02 13:30:00+00:00,228.0,219.83,2020-03-02 13:35:00+00:00,True,2020-03-02 13:40:00+00:00,2020-03-02 13:45:00+00:00,H2,2020-03-02 14:00:00+00:00
ALT_0330,LONG,external,2020-03-03 03:30:00+00:00,2020-03-03 09:00:00+00:00,232.22,226.04,2020-03-03 12:00:00+00:00,True,2020-03-03 12:20:00+00:00,2020-03-03 12:25:00+00:00,OPPOSITE,2020-03-03 14:30:00+00:00
RAW_0530,LONG,external,2020-03-03 05:30:00+00:00,2020-03-03 11:00:00+00:00,230.94,226.04,2020-03-03 11:20:00+00:00,False,,,BREAK_DURING_K1,2020-03-03 11:25:00+00:00
ALT_0330,LONG,external,2020-03-05 03:30:00+00:00,2020-03-05 09:00:00+00:00,229.86,226.5,2020-03-05 09:20:00+00:00,False,,,BREAK_DURING_K1,2020-03-05 09:25:00+00:00
ALT_0330,LONG,external,2020-03-06 03:30:00+00:00,2020-03-06 09:00:00+00:00,237.53,228.89,2020-03-06 10:45:00+00:00,False,,,BREAK_DURING_K1,2020-03-06 10:50:00+00:00
RAW_2330,LONG,external,2020-03-08 23:30:00+00:00,2020-03-09 05:00:00+00:00,208.03,195.35,2020-03-09 06:15:00+00:00,True,2020-03-09 06:20:00+00:00,2020-03-09 06:25:00+00:00,H2,2020-03-09 08:05:00+00:00
ALT_0330,LONG,external,2020-03-10 03:30:00+00:00,2020-03-10 09:00:00+00:00,204.0,197.51,2020-03-10 10:45:00+00:00,True,2020-03-10 10:55:00+00:00,2020-03-10 11:00:00+00:00,H2,2020-03-10 11:00:00+00:00
RAW_0530,LONG,external,2020-03-10 05:30:00+00:00,2020-03-10 11:00:00+00:00,204.66,197.51,2020-03-10 11:00:00+00:00,True,2020-03-10 11:15:00+00:00,2020-03-10 11:20:00+00:00,H2,2020-03-10 11:25:00+00:00
SHORT_2000,SHORT,external,2020-03-10 20:00:00+00:00,2020-03-11 01:30:00+00:00,204.18,200.03,2020-03-11 05:05:00+00:00,True,2020-03-11 05:10:00+00:00,2020-03-11 05:15:00+00:00,H2,2020-03-11 05:15:00+00:00
SHORT_2000,SHORT,external,2020-03-12 20:00:00+00:00,2020-03-13 01:30:00+00:00,139.1,95.0,2020-03-13 01:55:00+00:00,False,,,BREAK_DURING_K1,2020-03-13 02:05:00+00:00
LONDON,LONG,external,2020-03-16 08:00:00+00:00,2020-03-16 13:30:00+00:00,111.98,100.11,2020-03-16 14:25:00+00:00,False,,,BREAK_DURING_K1,2020-03-16 14:30:00+00:00
SHORT_2000,SHORT,external,2020-03-17 20:00:00+00:00,2020-03-18 01:30:00+00:00,119.75,114.95,2020-03-18 06:00:00+00:00,True,2020-03-18 06:05:00+00:00,2020-03-18 06:10:00+00:00,H2,2020-03-18 06:25:00+00:00
RAW_2330,LONG,external,2020-03-19 23:30:00+00:00,2020-03-20 05:00:00+00:00,140.0,133.7,2020-03-20 07:55:00+00:00,False,,,BREAK_DURING_K1,2020-03-20 08:00:00+00:00
ALT_0330,LONG,external,2020-03-20 03:30:00+00:00,2020-03-20 09:00:00+00:00,152.64,133.7,2020-03-20 10:45:00+00:00,True,2020-03-20 10:50:00+00:00,2020-03-20 10:55:00+00:00,NO_H2,
RAW_2330,LONG,external,2020-03-23 23:30:00+00:00,2020-03-24 05:00:00+00:00,137.12,132.41,2020-03-24 07:05:00+00:00,True,2020-03-24 07:15:00+00:00,2020-03-24 07:20:00+00:00,H2,2020-03-24 08:05:00+00:00
RAW_2330,LONG,external,2020-03-24 23:30:00+00:00,2020-03-25 05:00:00+00:00,141.72,134.98,2020-03-25 09:15:00+00:00,True,2020-03-25 09:25:00+00:00,2020-03-25 09:30:00+00:00,H2,2020-03-25 09:35:00+00:00
ALT_0330,LONG,external,2020-03-25 03:30:00+00:00,2020-03-25 09:00:00+00:00,140.0,134.98,2020-03-25 09:00:00+00:00,True,2020-03-25 09:05:00+00:00,2020-03-25 09:10:00+00:00,H2,2020-03-25 09:15:00+00:00
ALT_0330,LONG,external,2020-03-30 03:30:00+00:00,2020-03-30 09:00:00+00:00,131.42,126.2,2020-03-30 10:45:00+00:00,True,2020-03-30 10:50:00+00:00,2020-03-30 10:55:00+00:00,H2,2020-03-30 11:05:00+00:00
SHORT_2000,SHORT,external,2020-03-30 20:00:00+00:00,2020-03-31 01:30:00+00:00,135.13,131.7,2020-03-31 03:00:00+00:00,True,2020-03-31 03:05:00+00:00,2020-03-31 03:10:00+00:00,H2,2020-03-31 03:10:00+00:00
ALT_0330,LONG,external,2020-03-31 03:30:00+00:00,2020-03-31 09:00:00+00:00,133.26,130.33,2020-03-31 15:15:00+00:00,True,2020-03-31 15:20:00+00:00,2020-03-31 15:25:00+00:00,NO_H2,
RAW_0530,LONG,external,2020-03-31 05:30:00+00:00,2020-03-31 11:00:00+00:00,133.26,130.8,2020-03-31 15:15:00+00:00,True,2020-03-31 15:20:00+00:00,2020-03-31 15:25:00+00:00,NO_H2,
LONDON,LONG,external,2020-03-31 08:00:00+00:00,2020-03-31 13:30:00+00:00,133.26,131.0,2020-03-31 15:15:00+00:00,True,2020-03-31 15:20:00+00:00,2020-03-31 15:25:00+00:00,H2,2020-03-31 19:50:00+00:00
RAW_0530,LONG,external,2020-04-01 05:30:00+00:00,2020-04-01 11:00:00+00:00,132.72,131.3,2020-04-01 12:00:00+00:00,True,2020-04-01 12:10:00+00:00,2020-04-01 12:15:00+00:00,OPPOSITE,2020-04-01 13:10:00+00:00
ALT_0330,LONG,external,2020-04-02 03:30:00+00:00,2020-04-02 09:00:00+00:00,137.85,135.4,2020-04-02 10:10:00+00:00,True,2020-04-02 10:15:00+00:00,2020-04-02 10:20:00+00:00,H2,2020-04-02 11:45:00+00:00
RAW_0530,LONG,external,2020-04-02 05:30:00+00:00,2020-04-02 11:00:00+00:00,137.97,135.62,2020-04-02 11:45:00+00:00,True,2020-04-02 11:50:00+00:00,2020-04-02 11:55:00+00:00,H2,2020-04-02 12:00:00+00:00
RAW_0530,LONG,external,2020-04-03 05:30:00+00:00,2020-04-03 11:00:00+00:00,146.47,141.0,2020-04-03 11:00:00+00:00,True,2020-04-03 11:05:00+00:00,2020-04-03 11:10:00+00:00,H2,2020-04-03 12:10:00+00:00
LONDON,LONG,external,2020-04-06 08:00:00+00:00,2020-04-06 13:30:00+00:00,158.4,149.06,2020-04-06 13:30:00+00:00,True,2020-04-06 13:35:00+00:00,2020-04-06 13:40:00+00:00,H2,2020-04-06 15:40:00+00:00
ALT_0330,LONG,external,2020-04-07 03:30:00+00:00,2020-04-07 09:00:00+00:00,174.27,168.38,2020-04-07 10:00:00+00:00,True,2020-04-07 10:10:00+00:00,2020-04-07 10:15:00+00:00,H2,2020-04-07 10:25:00+00:00
LONDON,LONG,external,2020-04-08 08:00:00+00:00,2020-04-08 13:30:00+00:00,171.05,165.99,2020-04-08 17:05:00+00:00,False,,,BREAK_DURING_K1,2020-04-08 17:10:00+00:00
SHORT_2000,SHORT,external,2020-04-08 20:00:00+00:00,2020-04-09 01:30:00+00:00,173.72,170.32,2020-04-09 01:50:00+00:00,True,2020-04-09 01:55:00+00:00,2020-04-09 02:00:00+00:00,H2,2020-04-09 03:30:00+00:00
SHORT_2000,SHORT,external,2020-04-09 20:00:00+00:00,2020-04-10 01:30:00+00:00,170.91,168.35,2020-04-10 02:05:00+00:00,True,2020-04-10 02:10:00+00:00,2020-04-10 02:15:00+00:00,H2,2020-04-10 02:20:00+00:00
RAW_0530,LONG,external,2020-04-13 05:30:00+00:00,2020-04-13 11:00:00+00:00,153.78,150.55,2020-04-13 11:20:00+00:00,False,,,BREAK_DURING_K1,2020-04-13 11:30:00+00:00
LONDON,LONG,external,2020-04-21 08:00:00+00:00,2020-04-21 13:30:00+00:00,173.36,167.92,2020-04-21 14:30:00+00:00,True,2020-04-21 14:35:00+00:00,2020-04-21 14:40:00+00:00,NO_H2,
LONDON,LONG,external,2020-04-22 08:00:00+00:00,2020-04-22 13:30:00+00:00,179.58,174.12,2020-04-22 13:30:00+00:00,False,,,BREAK_DURING_K1,2020-04-22 13:35:00+00:00
ALT_0330,LONG,external,2020-04-23 03:30:00+00:00,2020-04-23 09:00:00+00:00,184.14,178.0,2020-04-23 11:45:00+00:00,True,2020-04-23 11:50:00+00:00,2020-04-23 11:55:00+00:00,H2,2020-04-23 12:00:00+00:00
RAW_0530,LONG,external,2020-04-23 05:30:00+00:00,2020-04-23 11:00:00+00:00,183.45,178.0,2020-04-23 11:40:00+00:00,False,,,BREAK_DURING_K1,2020-04-23 11:45:00+00:00
RAW_2330,LONG,external,2020-04-23 23:30:00+00:00,2020-04-24 05:00:00+00:00,189.45,182.44,2020-04-24 07:55:00+00:00,True,2020-04-24 08:00:00+00:00,2020-04-24 08:05:00+00:00,H2,2020-04-24 09:20:00+00:00
ALT_0330,LONG,external,2020-04-24 03:30:00+00:00,2020-04-24 09:00:00+00:00,189.67,186.41,2020-04-24 09:25:00+00:00,True,2020-04-24 09:35:00+00:00,2020-04-24 09:40:00+00:00,OPPOSITE,2020-04-24 11:25:00+00:00
SHORT_2000,SHORT,external,2020-04-26 20:00:00+00:00,2020-04-27 01:30:00+00:00,199.0,194.09,2020-04-27 07:00:00+00:00,True,2020-04-27 07:10:00+00:00,2020-04-27 07:15:00+00:00,NO_H2,
SHORT_2000,SHORT,external,2020-04-27 20:00:00+00:00,2020-04-28 01:30:00+00:00,197.08,193.19,2020-04-28 02:05:00+00:00,False,,,BREAK_DURING_K1,2020-04-28 02:10:00+00:00
ALT_0330,LONG,external,2020-04-28 03:30:00+00:00,2020-04-28 09:00:00+00:00,195.72,192.28,2020-04-28 09:30:00+00:00,True,2020-04-28 09:35:00+00:00,2020-04-28 09:40:00+00:00,H2,2020-04-28 09:40:00+00:00
RAW_0530,LONG,external,2020-04-28 05:30:00+00:00,2020-04-28 11:00:00+00:00,197.25,193.53,2020-04-28 12:30:00+00:00,True,2020-04-28 12:35:00+00:00,2020-04-28 12:40:00+00:00,H2,2020-04-28 12:45:00+00:00
ALT_0330,LONG,external,2020-04-29 03:30:00+00:00,2020-04-29 09:00:00+00:00,207.4,197.55,2020-04-29 10:10:00+00:00,False,,,BREAK_DURING_K1,2020-04-29 10:20:00+00:00
RAW_0530,LONG,external,2020-04-29 05:30:00+00:00,2020-04-29 11:00:00+00:00,208.89,198.84,2020-04-29 11:05:00+00:00,True,2020-04-29 11:30:00+00:00,2020-04-29 11:35:00+00:00,H2,2020-04-29 12:30:00+00:00
ALT_0330,LONG,external,2020-05-04 03:30:00+00:00,2020-05-04 09:00:00+00:00,204.19,195.1,2020-05-04 13:45:00+00:00,False,,,BREAK_DURING_K1,2020-05-04 13:50:00+00:00
RAW_0530,LONG,external,2020-05-04 05:30:00+00:00,2020-05-04 11:00:00+00:00,202.5,195.33,2020-05-04 12:30:00+00:00,False,,,BREAK_DURING_K1,2020-05-04 12:35:00+00:00
RAW_2330,LONG,external,2020-05-05 23:30:00+00:00,2020-05-06 05:00:00+00:00,209.07,201.94,2020-05-06 08:00:00+00:00,True,2020-05-06 08:10:00+00:00,2020-05-06 08:15:00+00:00,H2,2020-05-06 10:20:00+00:00
ALT_0330,LONG,external,2020-05-06 03:30:00+00:00,2020-05-06 09:00:00+00:00,209.6,204.94,2020-05-06 10:30:00+00:00,True,2020-05-06 10:35:00+00:00,2020-05-06 10:40:00+00:00,H2,2020-05-06 11:00:00+00:00
ALT_0330,LONG,external,2020-05-07 03:30:00+00:00,2020-05-07 09:00:00+00:00,207.0,202.89,2020-05-07 12:40:00+00:00,False,,,BREAK_DURING_K1,2020-05-07 12:45:00+00:00
RAW_0530,LONG,external,2020-05-08 05:30:00+00:00,2020-05-08 11:00:00+00:00,212.05,207.01,2020-05-08 11:30:00+00:00,True,2020-05-08 11:35:00+00:00,2020-05-08 11:40:00+00:00,H2,2020-05-08 11:40:00+00:00
RAW_2330,LONG,external,2020-05-11 23:30:00+00:00,2020-05-12 05:00:00+00:00,189.34,184.01,2020-05-12 05:35:00+00:00,True,2020-05-12 05:40:00+00:00,2020-05-12 05:45:00+00:00,H2,2020-05-12 08:45:00+00:00
RAW_0530,LONG,external,2020-05-12 05:30:00+00:00,2020-05-12 11:00:00+00:00,190.96,186.66,2020-05-12 12:00:00+00:00,True,2020-05-12 12:05:00+00:00,2020-05-12 12:10:00+00:00,H2,2020-05-12 14:00:00+00:00
SHORT_2000,SHORT,external,2020-05-13 20:00:00+00:00,2020-05-14 01:30:00+00:00,200.95,196.63,2020-05-14 02:00:00+00:00,True,2020-05-14 02:05:00+00:00,2020-05-14 02:10:00+00:00,H2,2020-05-14 05:00:00+00:00
SHORT_2000,SHORT,external,2020-05-14 20:00:00+00:00,2020-05-15 01:30:00+00:00,205.14,201.84,2020-05-15 01:35:00+00:00,True,2020-05-15 01:45:00+00:00,2020-05-15 01:50:00+00:00,H2,2020-05-15 01:50:00+00:00
LONDON,LONG,external,2020-05-20 08:00:00+00:00,2020-05-20 13:30:00+00:00,214.49,212.63,2020-05-20 13:50:00+00:00,False,,,BREAK_DURING_K1,2020-05-20 13:55:00+00:00
SHORT_2000,SHORT,external,2020-05-20 20:00:00+00:00,2020-05-21 01:30:00+00:00,211.69,209.0,2020-05-21 03:55:00+00:00,True,2020-05-21 04:00:00+00:00,2020-05-21 04:05:00+00:00,H2,2020-05-21 04:35:00+00:00
RAW_2330,LONG,external,2020-05-21 23:30:00+00:00,2020-05-22 05:00:00+00:00,199.85,195.95,2020-05-22 06:10:00+00:00,True,2020-05-22 06:20:00+00:00,2020-05-22 06:25:00+00:00,H2,2020-05-22 06:45:00+00:00
RAW_0530,LONG,external,2020-05-22 05:30:00+00:00,2020-05-22 11:00:00+00:00,204.2,197.1,2020-05-22 12:20:00+00:00,True,2020-05-22 12:25:00+00:00,2020-05-22 12:30:00+00:00,H2,2020-05-22 15:15:00+00:00
LONDON,LONG,external,2020-05-22 08:00:00+00:00,2020-05-22 13:30:00+00:00,204.4,200.7,2020-05-22 15:20:00+00:00,False,,,BREAK_DURING_K1,2020-05-22 15:25:00+00:00
RAW_2330,LONG,external,2020-05-24 23:30:00+00:00,2020-05-25 05:00:00+00:00,204.56,197.72,2020-05-25 09:20:00+00:00,False,,,BREAK_DURING_K1,2020-05-25 09:25:00+00:00
ALT_0330,LONG,external,2020-05-25 03:30:00+00:00,2020-05-25 09:00:00+00:00,204.47,201.24,2020-05-25 09:20:00+00:00,False,,,BREAK_DURING_K1,2020-05-25 09:25:00+00:00
SHORT_2000,SHORT,external,2020-05-25 20:00:00+00:00,2020-05-26 01:30:00+00:00,205.08,202.53,2020-05-26 06:30:00+00:00,False,,,BREAK_DURING_K1,2020-05-26 06:40:00+00:00
RAW_2330,LONG,external,2020-05-26 23:30:00+00:00,2020-05-27 05:00:00+00:00,202.49,200.29,2020-05-27 05:45:00+00:00,False,,,BREAK_DURING_K1,2020-05-27 05:55:00+00:00
RAW_0530,LONG,external,2020-05-27 05:30:00+00:00,2020-05-27 11:00:00+00:00,207.16,202.01,2020-05-27 12:00:00+00:00,True,2020-05-27 12:05:00+00:00,2020-05-27 12:10:00+00:00,H2,2020-05-27 12:10:00+00:00
LONDON,LONG,external,2020-06-01 08:00:00+00:00,2020-06-01 13:30:00+00:00,240.7,234.72,2020-06-01 14:45:00+00:00,True,2020-06-01 14:50:00+00:00,2020-06-01 14:55:00+00:00,NO_H2,
RAW_2330,LONG,external,2020-06-01 23:30:00+00:00,2020-06-02 05:00:00+00:00,251.72,246.21,2020-06-02 10:35:00+00:00,False,,,BREAK_DURING_K1,2020-06-02 10:40:00+00:00
SHORT_2000,SHORT,external,2020-06-02 20:00:00+00:00,2020-06-03 01:30:00+00:00,239.46,234.6,2020-06-03 02:05:00+00:00,True,2020-06-03 02:10:00+00:00,2020-06-03 02:15:00+00:00,H2,2020-06-03 05:15:00+00:00
ALT_0330,LONG,external,2020-06-08 03:30:00+00:00,2020-06-08 09:00:00+00:00,244.89,242.5,2020-06-08 09:20:00+00:00,True,2020-06-08 09:25:00+00:00,2020-06-08 09:30:00+00:00,OPPOSITE,2020-06-08 14:00:00+00:00
RAW_2330,LONG,external,2020-06-09 23:30:00+00:00,2020-06-10 05:00:00+00:00,244.92,243.1,2020-06-10 05:45:00+00:00,True,2020-06-10 05:50:00+00:00,2020-06-10 05:55:00+00:00,OPPOSITE,2020-06-10 09:05:00+00:00
LONDON,LONG,external,2020-06-10 08:00:00+00:00,2020-06-10 13:30:00+00:00,243.96,242.5,2020-06-10 13:35:00+00:00,True,2020-06-10 13:40:00+00:00,2020-06-10 13:45:00+00:00,H2,2020-06-10 18:10:00+00:00
ALT_0330,LONG,external,2020-06-12 03:30:00+00:00,2020-06-12 09:00:00+00:00,237.71,232.63,2020-06-12 11:55:00+00:00,True,2020-06-12 12:05:00+00:00,2020-06-12 12:10:00+00:00,H2,2020-06-12 13:40:00+00:00
RAW_0530,LONG,external,2020-06-12 05:30:00+00:00,2020-06-12 11:00:00+00:00,237.71,233.35,2020-06-12 11:55:00+00:00,True,2020-06-12 12:05:00+00:00,2020-06-12 12:10:00+00:00,H2,2020-06-12 13:40:00+00:00
