phase,feature,year,direction,event_median,failure_median,direction_ok
DEVELOPMENT,sweep_depth_range_units,2020,HIGHER,0.38996579247434143,0.3214890016920499,True
DEVELOPMENT,sweep_depth_range_units,2021,HIGHER,0.38068955835993024,0.3594566353186978,True
DEVELOPMENT,sweep_depth_range_units,2022,HIGHER,0.40486627591980673,0.35483870967741693,True
DEVELOPMENT,sweep_range_units,2020,LOWER,1.430523917995454,1.4790209790209756,True
DEVELOPMENT,sweep_range_units,2021,LOWER,1.388409032037079,1.4554394591272315,True
DEVELOPMENT,sweep_range_units,2022,LOWER,1.5142857142857102,1.494949494949496,False
DEVELOPMENT,sweep_body_range_units,2020,LOWER,0.7146171693735447,0.6911764705882363,False
DEVELOPMENT,sweep_body_range_units,2021,LOWER,0.6537069730681497,0.6934169278996924,True
DEVELOPMENT,sweep_body_range_units,2022,LOWER,0.6322685595977502,0.6538461538461473,True
DEVELOPMENT,sweep_rejection_wick_fraction,2020,HIGHER,0.37869822485206894,0.33409090909090733,True
DEVELOPMENT,sweep_rejection_wick_fraction,2021,HIGHER,0.34423244254704843,0.34600108322801887,False
DEVELOPMENT,sweep_rejection_wick_fraction,2022,HIGHER,0.4025316455696212,0.37037037037037623,True
DEVELOPMENT,sweep_close_inside_range_units,2020,HIGHER,0.166377816291158,0.14804063860667946,True
DEVELOPMENT,sweep_close_inside_range_units,2021,HIGHER,0.12521114500256636,0.10918253079506889,True
DEVELOPMENT,sweep_close_inside_range_units,2022,HIGHER,0.18910256410255602,0.17767653758542165,True
DEVELOPMENT,sweep_close_location_reversal,2020,HIGHER,0.4077380952380957,0.35175879396985466,True
DEVELOPMENT,sweep_close_location_reversal,2021,HIGHER,0.3867837860808889,0.36350364963504217,True
DEVELOPMENT,sweep_close_location_reversal,2022,HIGHER,0.44651898734177375,0.3855932203389817,True
DEVELOPMENT,reclaim_delay_h1_bars,2020,LOWER,0.0,0.0,False
DEVELOPMENT,reclaim_delay_h1_bars,2021,LOWER,0.0,0.0,False
DEVELOPMENT,reclaim_delay_h1_bars,2022,LOWER,0.0,0.0,False
DEVELOPMENT,reclaim_range_units,2020,HIGHER,1.3348519362186888,1.3430051813471522,False
DEVELOPMENT,reclaim_range_units,2021,HIGHER,1.311902060881076,1.3117886178861837,True
DEVELOPMENT,reclaim_range_units,2022,HIGHER,1.3857929136566862,1.3423728813559401,True
DEVELOPMENT,reclaim_body_range_units,2020,HIGHER,0.48201438848920264,0.5294642857142884,False
DEVELOPMENT,reclaim_body_range_units,2021,HIGHER,0.5606477511320394,0.5536021482817944,True
DEVELOPMENT,reclaim_body_range_units,2022,HIGHER,0.5397895872673356,0.5217391304347782,True
DEVELOPMENT,reclaim_directional_body_range_units,2020,HIGHER,0.15350877192982684,0.020719073735527553,True
DEVELOPMENT,reclaim_directional_body_range_units,2021,HIGHER,0.278858425874974,0.0,True
DEVELOPMENT,reclaim_directional_body_range_units,2022,HIGHER,0.21158958001062317,0.0,True
DEVELOPMENT,reclaim_close_inside_range_units,2020,HIGHER,0.38545454545454383,0.32996632996633785,True
DEVELOPMENT,reclaim_close_inside_range_units,2021,HIGHER,0.4038733594394516,0.2849526066350771,True
DEVELOPMENT,reclaim_close_inside_range_units,2022,HIGHER,0.4084340659340634,0.28770301624130123,True
DEVELOPMENT,reclaim_close_location_reversal,2020,HIGHER,0.719665271966528,0.6300940438871467,True
DEVELOPMENT,reclaim_close_location_reversal,2021,HIGHER,0.7680336395647123,0.6178067318132459,True
DEVELOPMENT,reclaim_close_location_reversal,2022,HIGHER,0.6896825396825367,0.5864197530864185,True
DEVELOPMENT,near_equal_prior_same_side,2020,HIGHER,0.0,0.0,False
DEVELOPMENT,near_equal_prior_same_side,2021,HIGHER,0.0,0.0,False
DEVELOPMENT,near_equal_prior_same_side,2022,HIGHER,0.0,0.0,False
CONFIRMATION,source_to_opposite_structure_range_units,2023,LOWER,2.1928242007996133,3.054852320675113,True
CONFIRMATION,source_to_opposite_structure_range_units,2024,LOWER,2.1146325016857634,3.030863505847768,True
CONFIRMATION,approach_start_distance_to_level_range_units,2023,LOWER,1.587983015933073,2.008837697148615,True
CONFIRMATION,approach_start_distance_to_level_range_units,2024,LOWER,1.5228391902207103,2.094339622641511,True
CONFIRMATION,reclaim_directional_body_range_units,2023,HIGHER,0.08132174611497336,0.0,True
CONFIRMATION,reclaim_directional_body_range_units,2024,HIGHER,0.22222222222222063,0.0,True
CONFIRMATION,reclaim_close_inside_range_units,2023,HIGHER,0.5011280403004024,0.32588916459884076,True
CONFIRMATION,reclaim_close_inside_range_units,2024,HIGHER,0.41707593502076945,0.30137898725890433,True
