feature,partition,n_loss,n_win,loss_median,win_median,auc_loss_higher,effect,directionally_replicated
ref_range_pct,POOLED_MAJOR,178,300,0.021091266929832733,0.019577786733109927,0.5226217228464419,0.045243445692883855,False
ref_close_location,external,52,92,0.79941191341024,0.7823708818702222,0.4983277591973244,-0.0033444816053511683,False
ref_close_location,development,90,143,0.6996456471283815,0.7128422425032608,0.4783216783216783,-0.043356643356643354,False
ref_close_location,reference_validation,36,65,0.7113501118786665,0.6498087547811234,0.5858974358974359,0.17179487179487185,False
ref_close_location,POOLED_MAJOR,178,300,0.7255747559771024,0.7096761769733908,0.5052996254681648,0.010599250936329518,False
range_completion_frac,external,52,92,0.825,0.8166666666666667,0.5002090301003345,0.0004180602006689238,False
range_completion_frac,development,90,143,0.825,0.6833333333333333,0.5696969696969697,0.1393939393939394,False
range_completion_frac,reference_validation,36,65,0.8,0.7166666666666667,0.5982905982905983,0.19658119658119655,False
range_completion_frac,POOLED_MAJOR,178,300,0.8166666666666667,0.7333333333333333,0.5538202247191011,0.10764044943820217,False
extreme_spacing_frac,external,52,92,0.6083333333333334,0.55,0.5581103678929766,0.11622073578595327,False
extreme_spacing_frac,development,90,143,0.48333333333333334,0.43333333333333335,0.5581585081585082,0.11631701631701641,False
extreme_spacing_frac,reference_validation,36,65,0.5333333333333333,0.4666666666666667,0.5427350427350427,0.08547008547008539,False
extreme_spacing_frac,POOLED_MAJOR,178,300,0.5333333333333333,0.475,0.554438202247191,0.10887640449438196,False
k1_start_frac,external,52,92,0.0625,0.041666666666666664,0.5197533444816054,0.039506688963210745,False
k1_start_frac,development,90,143,0.16666666666666666,0.1527777777777778,0.5244755244755245,0.04895104895104896,False
k1_start_frac,reference_validation,36,65,0.13194444444444445,0.1388888888888889,0.46260683760683763,-0.07478632478632474,False
k1_start_frac,POOLED_MAJOR,178,300,0.125,0.1388888888888889,0.5123970037453184,0.02479400749063676,False
leave_time_frac,external,52,92,0.0763888888888889,0.06944444444444445,0.5182901337792643,0.0365802675585285,False
leave_time_frac,development,90,143,0.19444444444444445,0.18055555555555555,0.5219114219114219,0.04382284382284385,False
leave_time_frac,reference_validation,36,65,0.14583333333333331,0.1527777777777778,0.46602564102564104,-0.06794871794871793,False
leave_time_frac,POOLED_MAJOR,178,300,0.1527777777777778,0.1527777777777778,0.5108333333333334,0.021666666666666723,False
k1_episode_bars,external,52,92,1.0,1.0,0.4950877926421405,-0.009824414715719043,False
k1_episode_bars,development,90,143,1.0,1.0,0.516006216006216,0.03201243201243198,False
k1_episode_bars,reference_validation,36,65,1.0,1.0,0.5557692307692308,0.11153846153846159,False
k1_episode_bars,POOLED_MAJOR,178,300,1.0,1.0,0.5185393258426966,0.03707865168539315,False
k1_overshoot_R,external,52,92,0.030206820093279126,0.039784332450495646,0.5057483277591973,0.011496655518394627,False
k1_overshoot_R,development,90,143,0.049963753882547646,0.053886545579755654,0.47886557886557884,-0.04226884226884231,False
k1_overshoot_R,reference_validation,36,65,0.052182167580232926,0.048790007806401456,0.5047008547008547,0.009401709401709368,False
k1_overshoot_R,POOLED_MAJOR,178,300,0.0468291621078087,0.04786239172342352,0.49280898876404494,-0.014382022471910116,False
leave_drop_from_H_R,external,52,92,0.18154286781229523,0.17246057286858724,0.5568561872909699,0.11371237458193972,False
leave_drop_from_H_R,development,90,143,0.16755637516378932,0.1780821917808168,0.44537684537684535,-0.10924630924630929,False
leave_drop_from_H_R,reference_validation,36,65,0.1599203173742142,0.18467635402905677,0.4256410256410256,-0.14871794871794874,False
leave_drop_from_H_R,POOLED_MAJOR,178,300,0.16249245317193134,0.17749775090255604,0.4758239700374532,-0.048352059925093616,False
k1_to_fill_frac,external,52,92,0.041666666666666664,0.041666666666666664,0.549017558528428,0.09803511705685608,False
k1_to_fill_frac,development,90,143,0.041666666666666664,0.041666666666666664,0.5374514374514374,0.07490287490287484,False
k1_to_fill_frac,reference_validation,36,65,0.05555555555555555,0.041666666666666664,0.6574786324786325,0.31495726495726495,False
k1_to_fill_frac,POOLED_MAJOR,178,300,0.048611111111111105,0.041666666666666664,0.5654868913857678,0.1309737827715356,False
post_leave_to_fill_frac,external,52,92,0.013888888888888888,0.0,0.5487040133779264,0.0974080267558528,False
post_leave_to_fill_frac,development,90,143,0.013888888888888888,0.013888888888888888,0.5590132090132091,0.11802641802641811,False
post_leave_to_fill_frac,reference_validation,36,65,0.027777777777777776,0.013888888888888888,0.6561965811965812,0.3123931623931624,False
post_leave_to_fill_frac,POOLED_MAJOR,178,300,0.013888888888888888,0.0,0.574812734082397,0.14962546816479394,False
