role,partition,ref_min,hour,parent_entry_ts,outcome_class,recovery_win,snapshot_min,close_R,running_mfe_from_entry_R,running_mae_from_entry_R,closes_above_H,closes_le_H
CENTRAL,development,360,15,2023-04-25 17:55:00+00:00,REC_FAIL,False,5,0.036613272311208686,0.07093821510297191,0.0869565217391308,1,0
CENTRAL,development,360,15,2023-04-25 17:55:00+00:00,REC_FAIL,False,10,0.12814645308924666,0.0732265446224255,0.0869565217391308,2,0
CENTRAL,development,360,15,2023-04-25 17:55:00+00:00,REC_FAIL,False,15,0.12356979405033948,0.09153318077802984,0.0869565217391308,3,0
CENTRAL,development,360,15,2023-04-25 17:55:00+00:00,REC_FAIL,False,30,0.05949656750572021,0.18993135011441234,0.11899313501144042,5,1
CENTRAL,development,360,15,2023-04-28 16:55:00+00:00,REC_TARGET,True,5,0.4343575418994406,0.17737430167597584,0.06145251396648103,1,0
CENTRAL,development,360,15,2023-04-28 16:55:00+00:00,REC_TARGET,True,10,0.6019553072625702,0.3547486033519517,0.06145251396648103,2,0
CENTRAL,development,360,15,2023-05-05 16:00:00+00:00,REC_FAIL,False,5,0.008154943934759537,0.03363914373088807,0.016309887869519073,1,0
CENTRAL,development,360,15,2023-05-05 16:00:00+00:00,REC_FAIL,False,10,0.009174311926602216,0.06422018348623723,0.016309887869519073,2,0
CENTRAL,development,360,15,2023-05-05 16:00:00+00:00,REC_FAIL,False,15,-0.053007135575946045,0.06422018348623723,0.0703363914373078,2,1
CENTRAL,development,360,15,2023-05-07 15:00:00+00:00,REC_TARGET,True,5,-0.04402515723269859,0.023060796645700682,0.15094339622641326,0,1
CENTRAL,development,360,15,2023-05-07 15:00:00+00:00,REC_TARGET,True,10,0.02096436058700536,0.023060796645700682,0.15094339622641326,1,1
CENTRAL,development,360,15,2023-05-07 15:00:00+00:00,REC_TARGET,True,15,0.029350104821808994,0.023060796645700682,0.15094339622641326,2,1
CENTRAL,development,360,15,2023-05-07 15:00:00+00:00,REC_TARGET,True,30,0.09643605870021572,0.11111111111111277,0.15094339622641326,5,1
CENTRAL,development,360,15,2023-05-12 23:45:00+00:00,REC_TARGET,True,5,0.02702702702702514,0.01351351351351257,0.039312039312039346,1,0
CENTRAL,development,360,15,2023-05-12 23:45:00+00:00,REC_TARGET,True,10,0.03194103194103169,0.024570024570024045,0.039312039312039346,2,0
CENTRAL,development,360,15,2023-05-12 23:45:00+00:00,REC_TARGET,True,15,0.13636363636363716,0.15356265356265356,0.039312039312039346,3,0
CENTRAL,development,360,15,2023-05-12 23:45:00+00:00,REC_TARGET,True,30,0.19410319410319127,0.21007371007370929,0.039312039312039346,6,0
CENTRAL,development,360,15,2023-05-12 23:45:00+00:00,REC_TARGET,True,60,0.20393120393120437,0.3255528255528262,0.039312039312039346,12,0
CENTRAL,development,360,15,2023-05-23 15:05:00+00:00,REC_FAIL,False,5,0.1706161137440835,0.09478672985781855,0.04739336492890085,1,0
CENTRAL,development,360,15,2023-05-23 15:05:00+00:00,REC_FAIL,False,10,0.004739336492896821,0.15639810426540987,0.15639810426539302,2,0
CENTRAL,development,360,15,2023-05-23 15:05:00+00:00,REC_FAIL,False,15,0.03317535545024407,0.15639810426540987,0.1895734597156371,3,0
CENTRAL,development,360,15,2023-05-31 22:45:00+00:00,REC_FAIL,False,5,-0.01333333333333386,0.004444444444449883,0.048888888888885554,0,1
CENTRAL,development,360,15,2023-05-31 22:45:00+00:00,REC_FAIL,False,10,-0.05333333333333544,0.004444444444449883,0.0666666666666614,0,2
CENTRAL,development,360,15,2023-05-31 22:45:00+00:00,REC_FAIL,False,15,0.02222222222222573,0.017777777777783742,0.0666666666666614,1,2
CENTRAL,development,360,15,2023-06-03 15:55:00+00:00,REC_TARGET,True,5,0.3032258064516145,0.18709677419356938,0.10322580645160077,1,0
CENTRAL,development,360,15,2023-06-03 15:55:00+00:00,REC_TARGET,True,10,0.4645161290322493,0.30967741935484816,0.10322580645160077,2,0
CENTRAL,development,360,15,2023-06-11 18:15:00+00:00,REC_FAIL,False,5,-0.06799336650082982,0.0,0.16915422885572198,0,1
CENTRAL,development,360,15,2023-06-11 18:15:00+00:00,REC_FAIL,False,10,-0.03316749585406527,0.0,0.16915422885572198,0,2
CENTRAL,development,360,15,2023-06-11 18:15:00+00:00,REC_FAIL,False,15,-0.17910447761194126,0.0,0.2868988391376453,0,3
CENTRAL,development,360,15,2023-06-20 16:30:00+00:00,REC_FAIL,False,5,0.056000000000002124,0.11466666666667417,0.09333333333333371,1,0
CENTRAL,development,360,15,2023-06-20 16:30:00+00:00,REC_FAIL,False,10,-0.06666666666666288,0.11466666666667417,0.18133333333332757,1,1
CENTRAL,development,360,15,2023-06-20 16:30:00+00:00,REC_FAIL,False,15,0.005333333333330377,0.11466666666667417,0.18133333333332757,2,1
CENTRAL,development,360,15,2023-06-27 21:35:00+00:00,REC_FAIL,False,5,0.23030303030303304,0.07575757575757185,0.027272727272728448,1,0
CENTRAL,development,360,15,2023-06-27 21:35:00+00:00,REC_FAIL,False,10,0.09696969696969755,0.09393939393939081,0.10606060606060703,2,0
CENTRAL,development,360,15,2023-06-27 21:35:00+00:00,REC_FAIL,False,15,0.20000000000000862,0.09393939393939081,0.15757575757575717,3,0
CENTRAL,development,360,15,2023-06-27 21:35:00+00:00,REC_FAIL,False,30,-0.015151515151512215,0.09393939393939081,0.23030303030303304,5,1
CENTRAL,development,360,15,2023-06-30 01:05:00+00:00,REC_TARGET,True,5,0.041603247082697706,0.08422120750887893,0.0010147133434817068,1,0
CENTRAL,development,360,15,2023-06-30 01:05:00+00:00,REC_TARGET,True,10,0.05733130390664614,0.08422120750887893,0.0010147133434817068,2,0
CENTRAL,development,360,15,2023-06-30 01:05:00+00:00,REC_TARGET,True,15,0.12328767123287597,0.13749365804160185,0.0010147133434817068,3,0
