partition,date_utc,signal_ts,window_status,filled,h2_after_fill,fill_bar_start,entry_px,entry_fraction,H,L,range,h2_bar_start,path_class,pre_max_frac,pre_required_d,cons_max_frac,cons_required_d,next_max_frac,next_required_d,failure_max_frac,failure_required_d
development,2022-03-14,2022-03-14 13:35:00+00:00,H2_ARRIVAL,True,True,2022-03-14 14:50:00+00:00,38728.61,0.15,39287.4,38630.0,657.4000000000015,2022-03-14 17:30:00+00:00,F15_H2_WINNER,0.7655917249771855,0.6155917249771855,0.7655917249771855,0.6155917249771855,0.7655917249771855,0.6155917249771855,,
development,2022-03-24,2022-03-24 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,True,False,2022-03-24 13:50:00+00:00,42793.854999999996,0.15,43206.7,42721.0,485.6999999999971,,F15_NON_H2_FILL,,,,,,,1.9201152975087588,1.7701152975087588
development,2022-03-29,2022-03-29 15:50:00+00:00,H2_ARRIVAL,False,False,,,0.15,48100.0,47320.0,780.0,2022-03-29 16:00:00+00:00,NO_FILL,,,,,,,,
development,2022-03-31,2022-03-31 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,47619.4,47050.0,569.4000000000015,,NO_FILL,,,,,,,,
development,2022-04-08,2022-04-08 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,43968.1,42851.3,1116.7999999999956,,NO_FILL,,,,,,,,
development,2022-04-12,2022-04-12 14:20:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,40700.0,40017.6,682.4000000000015,,NO_FILL,,,,,,,,
development,2022-04-15,2022-04-15 14:00:00+00:00,H2_ARRIVAL,True,True,2022-04-15 14:10:00+00:00,40064.76,0.15,40400.0,40005.6,394.40000000000146,2022-04-15 14:25:00+00:00,F15_H2_WINNER,0.2674949290060842,0.11749492900608419,0.2674949290060842,0.11749492900608419,0.2674949290060842,0.11749492900608419,,
development,2022-04-26,2022-04-26 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,40799.0,40072.1,726.9000000000015,,NO_FILL,,,,,,,,
development,2022-05-02,2022-05-02 13:40:00+00:00,H2_ARRIVAL,False,False,,,0.15,39073.0,38411.0,662.0,2022-05-02 17:00:00+00:00,NO_FILL,,,,,,,,
development,2022-05-03,2022-05-03 13:35:00+00:00,H2_ARRIVAL,True,True,2022-05-03 13:40:00+00:00,38311.455,0.15,38659.7,38250.0,409.6999999999971,2022-05-03 13:45:00+00:00,F15_H2_WINNER,0.30436905052476926,0.15436905052476926,0.30436905052476926,0.15436905052476926,,,,
development,2022-05-09,2022-05-09 14:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,33789.2,32620.0,1169.199999999997,,NO_FILL,,,,,,,,
development,2022-05-16,2022-05-16 13:55:00+00:00,H2_ARRIVAL,True,True,2022-05-16 14:00:00+00:00,29547.905,0.15,30288.0,29417.3,870.7000000000007,2022-05-16 15:35:00+00:00,F15_H2_WINNER,0.4826002067302175,0.3326002067302175,0.4826002067302175,0.3326002067302175,0.4826002067302175,0.3326002067302175,,
development,2022-06-06,2022-06-06 13:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,False,False,,,0.15,31594.6,31261.2,333.3999999999978,,NO_FILL,,,,,,,,
development,2022-06-10,2022-06-10 13:35:00+00:00,H2_ARRIVAL,True,True,2022-06-10 13:45:00+00:00,29418.010000000002,0.15,30177.4,29284.0,893.4000000000015,2022-06-10 14:00:00+00:00,F15_H2_WINNER,0.32348332214013825,0.17348332214013826,0.32348332214013825,0.17348332214013826,0.15782404298186678,0.007824042981866786,,
development,2022-06-13,2022-06-13 13:45:00+00:00,H2_ARRIVAL,True,True,2022-06-13 13:50:00+00:00,23579.06,0.15,24934.3,23339.9,1594.3999999999978,2022-06-13 14:10:00+00:00,F15_H2_WINNER,0.2747742097340687,0.12477420973406869,0.2747742097340687,0.12477420973406869,0.25094079277471093,0.10094079277471094,,
development,2022-06-23,2022-06-23 13:50:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,20855.0,20433.8,421.2000000000007,,NO_FILL,,,,,,,,
development,2022-06-28,2022-06-28 14:25:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,21198.0,20846.0,352.0,,NO_FILL,,,,,,,,
development,2022-07-05,2022-07-05 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,True,False,2022-07-05 13:40:00+00:00,19436.38,0.15,20209.2,19300.0,909.2000000000007,,F15_NON_H2_FILL,,,,,,,1.05983282006159,0.90983282006159
development,2022-07-07,2022-07-07 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,False,False,,,0.15,20619.1,20370.0,249.09999999999854,,NO_FILL,,,,,,,,
development,2022-07-15,2022-07-15 16:05:00+00:00,H2_ARRIVAL,True,True,2022-07-15 16:10:00+00:00,20768.105,0.15,21090.0,20711.3,378.7000000000007,2022-07-15 16:20:00+00:00,F15_H2_WINNER,0.21679429627674154,0.06679429627674155,0.21679429627674154,0.06679429627674155,0.17163982043834136,0.021639820438341367,,
development,2022-07-21,2022-07-21 14:30:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,23069.0,22444.0,625.0,,NO_FILL,,,,,,,,
development,2022-07-25,2022-07-25 13:40:00+00:00,H2_ARRIVAL,True,True,2022-07-25 13:45:00+00:00,21841.190000000002,0.15,22095.0,21796.4,298.59999999999854,2022-07-25 14:05:00+00:00,F15_H2_WINNER,0.4685197588747438,0.3185197588747438,0.4685197588747438,0.3185197588747438,0.4685197588747438,0.3185197588747438,,
development,2022-07-26,2022-07-26 15:30:00+00:00,H2_ARRIVAL,False,False,,,0.15,21181.6,20760.0,421.59999999999854,2022-07-26 15:50:00+00:00,NO_FILL,,,,,,,,
development,2022-08-11,2022-08-11 15:50:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,24972.0,24344.6,627.4000000000015,,NO_FILL,,,,,,,,
development,2022-08-16,2022-08-16 13:40:00+00:00,H2_ARRIVAL,False,False,,,0.15,24138.0,23882.0,256.0,2022-08-16 13:45:00+00:00,NO_FILL,,,,,,,,
development,2022-08-30,2022-08-30 14:00:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,20496.6,20261.0,235.59999999999854,,NO_FILL,,,,,,,,
development,2022-09-01,2022-09-01 14:20:00+00:00,H2_ARRIVAL,True,True,2022-09-01 14:35:00+00:00,19855.85,0.15,20115.1,19810.1,305.0,2022-09-01 14:45:00+00:00,F15_H2_WINNER,0.3580327868852483,0.20803278688524832,0.3580327868852483,0.20803278688524832,0.2931147540983654,0.1431147540983654,,
development,2022-09-15,2022-09-15 13:40:00+00:00,H2_ARRIVAL,False,False,,,0.15,20213.3,19974.4,238.89999999999782,2022-09-15 14:30:00+00:00,NO_FILL,,,,,,,,
development,2022-09-20,2022-09-20 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,19417.6,18843.0,574.5999999999985,,NO_FILL,,,,,,,,
development,2022-09-27,2022-09-27 14:05:00+00:00,H2_ARRIVAL,True,True,2022-09-27 14:10:00+00:00,20120.85,0.15,20375.0,20076.0,299.0,2022-09-27 15:40:00+00:00,F15_H2_WINNER,0.553846153846149,0.40384615384614897,0.553846153846149,0.40384615384614897,0.553846153846149,0.40384615384614897,,
development,2022-10-10,2022-10-10 16:25:00+00:00,NO_H2_BY_SESSION_END,True,False,2022-10-10 16:50:00+00:00,19161.145,0.15,19430.0,19113.7,316.2999999999993,,F15_NON_H2_FILL,,,,,,,0.7644641163452414,0.6144641163452413
development,2022-10-24,2022-10-24 13:45:00+00:00,H2_ARRIVAL,True,True,2022-10-24 14:00:00+00:00,19310.260000000002,0.15,19439.8,19287.4,152.39999999999782,2022-10-24 14:05:00+00:00,F15_H2_WINNER,0.3779527559055077,0.2279527559055077,0.3779527559055077,0.2279527559055077,,,,
development,2022-10-27,2022-10-27 13:55:00+00:00,NO_H2_BY_SESSION_END,True,False,2022-10-27 16:25:00+00:00,20498.465,0.15,20773.1,20450.0,323.09999999999854,,F15_NON_H2_FILL,,,,,,,0.6809037449706004,0.5309037449706003
development,2022-11-08,2022-11-08 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,19787.7,19560.0,227.70000000000073,,NO_FILL,,,,,,,,
development,2022-11-09,2022-11-09 15:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,18245.2,17229.3,1015.9000000000015,,NO_FILL,,,,,,,,
development,2022-11-16,2022-11-16 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,16840.6,16500.0,340.59999999999854,,NO_FILL,,,,,,,,
development,2022-11-18,2022-11-18 14:35:00+00:00,H2_ARRIVAL,False,False,,,0.15,16844.9,16666.7,178.20000000000073,2022-11-18 14:40:00+00:00,NO_FILL,,,,,,,,
development,2022-12-05,2022-12-05 14:00:00+00:00,H2_ARRIVAL,False,False,,,0.15,17378.3,17208.0,170.29999999999927,2022-12-05 14:20:00+00:00,NO_FILL,,,,,,,,
development,2022-12-15,2022-12-15 13:50:00+00:00,H2_ARRIVAL,True,True,2022-12-15 14:00:00+00:00,17489.989999999998,0.15,17716.6,17450.0,266.59999999999854,2022-12-15 14:55:00+00:00,F15_H2_WINNER,0.3469617404351107,0.1969617404351107,0.3469617404351107,0.1969617404351107,0.3469617404351107,0.1969617404351107,,
development,2022-12-16,2022-12-16 14:20:00+00:00,H2_ARRIVAL,True,True,2022-12-16 14:25:00+00:00,17000.075,0.15,17510.5,16910.0,600.5,2022-12-16 15:30:00+00:00,F15_H2_WINNER,0.27793505412156777,0.12793505412156778,0.27793505412156777,0.12793505412156778,0.27793505412156777,0.12793505412156778,,
development,2022-12-19,2022-12-19 13:50:00+00:00,H2_ARRIVAL,False,False,,,0.15,16776.6,16702.7,73.89999999999782,2022-12-19 13:55:00+00:00,NO_FILL,,,,,,,,
development,2022-12-22,2022-12-22 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,16861.9,16786.5,75.40000000000146,,NO_FILL,,,,,,,,
development,2022-12-26,2022-12-26 15:25:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,16863.0,16811.0,52.0,,NO_FILL,,,,,,,,
development,2022-12-28,2022-12-28 14:30:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,False,False,,,0.15,16683.9,16623.3,60.60000000000218,,NO_FILL,,,,,,,,
development,2022-12-30,2022-12-30 14:00:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,16524.9,16453.0,71.90000000000146,,NO_FILL,,,,,,,,
development,2023-01-05,2023-01-05 13:40:00+00:00,H2_ARRIVAL,True,True,2023-01-05 13:50:00+00:00,16783.335,0.15,16830.0,16775.1,54.900000000001455,2023-01-05 13:55:00+00:00,F15_H2_WINNER,0.27322404371583975,0.12322404371583975,0.27322404371583975,0.12322404371583975,,,,
development,2023-01-06,2023-01-06 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,False,False,,,0.15,16805.3,16682.0,123.29999999999927,,NO_FILL,,,,,,,,
development,2023-01-11,2023-01-11 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,17464.0,17391.3,72.70000000000073,,NO_FILL,,,,,,,,
development,2023-01-16,2023-01-16 15:15:00+00:00,OPPOSITE_BREAK_BEFORE_H2,False,False,,,0.15,21121.7,20619.0,502.7000000000007,,NO_FILL,,,,,,,,
development,2023-01-24,2023-01-24 14:35:00+00:00,H2_ARRIVAL,True,True,2023-01-24 14:45:00+00:00,22808.96,0.15,23086.4,22760.0,326.40000000000146,2023-01-24 15:05:00+00:00,F15_H2_WINNER,0.6041666666666662,0.45416666666666616,0.6041666666666662,0.45416666666666616,0.6041666666666662,0.45416666666666616,,
development,2023-01-25,2023-01-25 14:40:00+00:00,H2_ARRIVAL,True,True,2023-01-25 14:45:00+00:00,22503.745,0.15,22747.1,22460.8,286.2999999999993,2023-01-25 14:55:00+00:00,F15_H2_WINNER,0.3866573524275271,0.23665735242752708,0.3866573524275271,0.23665735242752708,0.37443241355222145,0.22443241355222146,,
development,2023-01-27,2023-01-27 14:25:00+00:00,OPPOSITE_BREAK_BEFORE_H2,True,False,2023-01-27 14:35:00+00:00,22884.5,0.15,23080.0,22850.0,230.0,,F15_NON_H2_FILL,,,,,,,1.0504347826086893,0.9004347826086893
development,2023-02-02,2023-02-02 13:45:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,23860.0,23750.4,109.59999999999854,,NO_FILL,,,,,,,,
development,2023-02-03,2023-02-03 13:35:00+00:00,H2_ARRIVAL,False,False,,,0.15,23572.9,23328.8,244.10000000000218,2023-02-03 13:45:00+00:00,NO_FILL,,,,,,,,
development,2023-02-08,2023-02-08 13:35:00+00:00,H2_ARRIVAL,True,True,2023-02-08 14:00:00+00:00,23080.73,0.15,23232.2,23054.0,178.20000000000073,2023-02-08 14:15:00+00:00,F15_H2_WINNER,0.2805836139169461,0.1305836139169461,0.2805836139169461,0.1305836139169461,0.16610549943882394,0.016105499438823945,,
development,2023-02-13,2023-02-13 16:40:00+00:00,H2_ARRIVAL,True,True,2023-02-13 16:55:00+00:00,21478.265,0.15,21865.1,21410.0,455.09999999999854,2023-02-13 17:50:00+00:00,F15_H2_WINNER,0.281476598549767,0.13147659854976698,0.281476598549767,0.13147659854976698,0.281476598549767,0.13147659854976698,,
development,2023-02-14,2023-02-14 13:35:00+00:00,H2_ARRIVAL,True,True,2023-02-14 14:00:00+00:00,21694.35,0.15,21894.1,21659.1,235.0,2023-02-14 14:05:00+00:00,F15_H2_WINNER,0.34425531914894236,0.19425531914894237,0.34425531914894236,0.19425531914894237,,,,
development,2023-02-16,2023-02-16 13:35:00+00:00,H2_ARRIVAL,False,False,,,0.15,24678.0,24468.8,209.20000000000073,2023-02-16 13:45:00+00:00,NO_FILL,,,,,,,,
development,2023-02-21,2023-02-21 15:20:00+00:00,H2_ARRIVAL,True,True,2023-02-21 15:35:00+00:00,24605.719999999998,0.15,25347.6,24474.8,872.7999999999993,2023-02-21 16:10:00+00:00,F15_H2_WINNER,0.1812557286892769,0.031255728689276896,0.1812557286892769,0.031255728689276896,0.1812557286892769,0.031255728689276896,,
development,2023-02-22,2023-02-22 15:05:00+00:00,H2_ARRIVAL,False,False,,,0.15,24231.7,23855.3,376.40000000000146,2023-02-22 15:10:00+00:00,NO_FILL,,,,,,,,
development,2023-03-02,2023-03-02 14:15:00+00:00,OPPOSITE_BREAK_BEFORE_H2,True,False,2023-03-02 14:45:00+00:00,23250.9,0.15,23460.0,23214.0,246.0,,F15_NON_H2_FILL,,,,,,,1.1414634146341434,0.9914634146341433
development,2023-03-03,2023-03-03 13:50:00+00:00,H2_ARRIVAL,False,False,,,0.15,22474.0,22300.0,174.0,2023-03-03 15:00:00+00:00,NO_FILL,,,,,,,,
development,2023-03-07,2023-03-07 14:20:00+00:00,H2_ARRIVAL,True,True,2023-03-07 14:25:00+00:00,22320.76,0.15,22419.7,22303.3,116.40000000000146,2023-03-07 14:30:00+00:00,F15_H2_WINNER,0.32646048109965226,0.17646048109965226,0.32646048109965226,0.17646048109965226,,,,
development,2023-03-08,2023-03-08 14:10:00+00:00,H2_ARRIVAL,True,True,2023-03-08 14:20:00+00:00,21963.13,0.15,22135.0,21932.8,202.20000000000073,2023-03-08 15:00:00+00:00,F15_H2_WINNER,0.4312561819980238,0.2812561819980238,0.5291790306627083,0.3791790306627083,0.4312561819980238,0.2812561819980238,,
development,2023-03-23,2023-03-23 13:50:00+00:00,OPPOSITE_BREAK_BEFORE_H2,True,False,2023-03-23 14:00:00+00:00,27339.835,0.15,27735.0,27270.1,464.90000000000146,,F15_NON_H2_FILL,,,,,,,1.9107334910733493,1.7607334910733494
development,2023-03-30,2023-03-30 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,28734.2,28469.0,265.2000000000007,,NO_FILL,,,,,,,,
development,2023-04-03,2023-04-03 14:50:00+00:00,H2_ARRIVAL,False,False,,,0.15,28540.0,27944.0,596.0,2023-04-03 15:00:00+00:00,NO_FILL,,,,,,,,
development,2023-04-10,2023-04-10 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,28383.0,28240.0,143.0,,NO_FILL,,,,,,,,
development,2023-04-14,2023-04-14 14:25:00+00:00,H2_ARRIVAL,False,False,,,0.15,30840.0,30557.5,282.5,2023-04-14 14:30:00+00:00,NO_FILL,,,,,,,,
development,2023-04-17,2023-04-17 13:35:00+00:00,H2_ARRIVAL,True,True,2023-04-17 13:45:00+00:00,29378.27,0.15,29913.6,29283.8,629.7999999999993,2023-04-17 15:35:00+00:00,F15_H2_WINNER,0.2939028262940654,0.1439028262940654,0.2939028262940654,0.1439028262940654,0.2939028262940654,0.1439028262940654,,
development,2023-04-20,2023-04-20 16:05:00+00:00,H2_ARRIVAL,True,True,2023-04-20 17:00:00+00:00,28396.0,0.15,28940.0,28300.0,640.0,2023-04-20 18:30:00+00:00,F15_H2_WINNER,0.4618749999999977,0.3118749999999977,0.4618749999999977,0.3118749999999977,0.4618749999999977,0.3118749999999977,,
development,2023-05-01,2023-05-01 14:00:00+00:00,H2_ARRIVAL,False,False,,,0.15,28659.2,28426.3,232.90000000000146,2023-05-01 14:20:00+00:00,NO_FILL,,,,,,,,
development,2023-05-02,2023-05-02 13:40:00+00:00,H2_ARRIVAL,True,True,2023-05-02 14:00:00+00:00,27970.86,0.15,28250.0,27921.6,328.40000000000146,2023-05-02 14:05:00+00:00,F15_H2_WINNER,0.41473812423873363,0.26473812423873366,0.41473812423873363,0.26473812423873366,,,,
development,2023-05-03,2023-05-03 14:55:00+00:00,NO_H2_BY_SESSION_END,True,False,2023-05-03 15:05:00+00:00,28211.925000000003,0.15,28758.9,28115.4,643.5,,F15_NON_H2_FILL,,,,,,,1.0638694638694617,0.9138694638694617
development,2023-05-11,2023-05-11 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,27630.0,27220.0,410.0,,NO_FILL,,,,,,,,
development,2023-05-16,2023-05-16 14:00:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,27274.2,26959.1,315.1000000000022,,NO_FILL,,,,,,,,
development,2023-05-17,2023-05-17 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,False,False,,,0.15,26907.5,26558.0,349.5,,NO_FILL,,,,,,,,
development,2023-05-18,2023-05-18 14:50:00+00:00,H2_ARRIVAL,True,True,2023-05-18 15:05:00+00:00,27211.485,0.15,27471.5,27165.6,305.90000000000146,2023-05-18 15:20:00+00:00,F15_H2_WINNER,0.3213468453743133,0.1713468453743133,0.3213468453743133,0.1713468453743133,0.22327558025499375,0.07327558025499376,,
development,2023-05-19,2023-05-19 14:15:00+00:00,H2_ARRIVAL,False,False,,,0.15,26985.6,26773.0,212.59999999999854,2023-05-19 14:25:00+00:00,NO_FILL,,,,,,,,
development,2023-05-23,2023-05-23 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,27383.0,27225.0,158.0,,NO_FILL,,,,,,,,
development,2023-05-29,2023-05-29 15:00:00+00:00,H2_ARRIVAL,False,False,,,0.15,27966.7,27730.0,236.70000000000073,2023-05-29 15:20:00+00:00,NO_FILL,,,,,,,,
development,2023-06-05,2023-06-05 15:05:00+00:00,H2_ARRIVAL,False,False,,,0.15,26831.2,26625.0,206.20000000000073,2023-06-05 15:15:00+00:00,NO_FILL,,,,,,,,
development,2023-06-07,2023-06-07 14:55:00+00:00,H2_ARRIVAL,True,True,2023-06-07 15:40:00+00:00,26426.38,0.15,26968.0,26330.8,637.2000000000007,2023-06-07 15:50:00+00:00,F15_H2_WINNER,0.380100439422474,0.23010043942247402,0.380100439422474,0.23010043942247402,0.18000627746390552,0.030006277463905523,,
development,2023-06-08,2023-06-08 13:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,True,False,2023-06-08 13:55:00+00:00,26344.235,0.15,26594.9,26300.0,294.90000000000146,,F15_NON_H2_FILL,,,,,,,1.271278399457442,1.121278399457442
development,2023-06-09,2023-06-09 15:50:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,26775.0,26476.8,298.2000000000007,,NO_FILL,,,,,,,,
development,2023-06-13,2023-06-13 15:05:00+00:00,H2_ARRIVAL,False,False,,,0.15,26430.5,25888.0,542.5,2023-06-13 15:15:00+00:00,NO_FILL,,,,,,,,
development,2023-07-05,2023-07-05 13:35:00+00:00,NO_H2_BY_SESSION_END,True,False,2023-07-05 13:40:00+00:00,30294.71,0.15,30797.4,30206.0,591.4000000000015,,F15_NON_H2_FILL,,,,,,,0.6317213391951262,0.48172133919512616
development,2023-07-11,2023-07-11 13:45:00+00:00,OPPOSITE_BREAK_BEFORE_H2,False,False,,,0.15,30557.8,30325.0,232.79999999999927,,NO_FILL,,,,,,,,
development,2023-07-14,2023-07-14 13:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,False,False,,,0.15,31284.9,31071.6,213.3000000000029,,NO_FILL,,,,,,,,
development,2023-07-17,2023-07-17 17:25:00+00:00,H2_ARRIVAL,True,True,2023-07-17 18:10:00+00:00,29969.91,0.15,30309.4,29910.0,399.40000000000146,2023-07-17 18:30:00+00:00,F15_H2_WINNER,0.3267401101652467,0.17674011016524668,0.3267401101652467,0.17674011016524668,0.3267401101652467,0.17674011016524668,,
development,2023-07-18,2023-07-18 16:50:00+00:00,H2_ARRIVAL,False,False,,,0.15,30098.5,29657.1,441.40000000000146,2023-07-18 17:00:00+00:00,NO_FILL,,,,,,,,
development,2023-07-24,2023-07-24 15:10:00+00:00,NO_H2_BY_SESSION_END,True,False,2023-07-24 15:20:00+00:00,29041.875,0.15,29820.9,28904.4,916.5,,F15_NON_H2_FILL,,,,,,,0.2647026732133099,0.11470267321330993
development,2023-07-31,2023-07-31 13:55:00+00:00,H2_ARRIVAL,True,True,2023-07-31 14:15:00+00:00,29339.0,0.15,29461.4,29317.4,144.0,2023-07-31 14:20:00+00:00,F15_H2_WINNER,0.261111111111101,0.11111111111110103,0.261111111111101,0.11111111111110103,,,,
development,2023-08-01,2023-08-01 15:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,False,False,,,0.15,28986.5,28715.0,271.5,,NO_FILL,,,,,,,,
development,2023-08-02,2023-08-02 13:35:00+00:00,H2_ARRIVAL,True,True,2023-08-02 13:50:00+00:00,29395.85,0.15,29599.0,29360.0,239.0,2023-08-02 14:05:00+00:00,F15_H2_WINNER,0.34309623430962344,0.19309623430962344,0.34309623430962344,0.19309623430962344,0.22510460251045722,0.07510460251045722,,
development,2023-08-09,2023-08-09 15:10:00+00:00,H2_ARRIVAL,False,False,,,0.15,30149.7,29715.6,434.1000000000022,2023-08-09 15:30:00+00:00,NO_FILL,,,,,,,,
development,2023-08-14,2023-08-14 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,True,False,2023-08-14 13:40:00+00:00,29353.4,0.15,29486.0,29330.0,156.0,,F15_NON_H2_FILL,,,,,,,1.641025641025641,1.491025641025641
development,2023-08-15,2023-08-15 14:10:00+00:00,H2_ARRIVAL,False,False,,,0.15,29446.5,29340.2,106.29999999999927,2023-08-15 15:20:00+00:00,NO_FILL,,,,,,,,
development,2023-08-18,2023-08-18 14:00:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,26595.2,26222.3,372.90000000000146,,NO_FILL,,,,,,,,
development,2023-08-22,2023-08-22 13:35:00+00:00,H2_ARRIVAL,True,True,2023-08-22 13:45:00+00:00,26007.52,0.15,26100.0,25991.2,108.79999999999927,2023-08-22 13:50:00+00:00,F15_H2_WINNER,0.4494485294117476,0.2994485294117476,0.4494485294117476,0.2994485294117476,,,,
development,2023-08-30,2023-08-30 13:40:00+00:00,H2_ARRIVAL,False,False,,,0.15,27493.6,27280.7,212.89999999999782,2023-08-30 14:15:00+00:00,NO_FILL,,,,,,,,
development,2023-08-31,2023-08-31 14:20:00+00:00,H2_ARRIVAL,True,True,2023-08-31 14:25:00+00:00,27109.645,0.15,27674.3,27010.0,664.2999999999993,2023-08-31 15:40:00+00:00,F15_H2_WINNER,0.2590696974258599,0.1090696974258599,0.2590696974258599,0.1090696974258599,0.2590696974258599,0.1090696974258599,,
development,2023-09-05,2023-09-05 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,True,False,2023-09-05 14:45:00+00:00,25667.65,0.15,25830.0,25639.0,191.0,,F15_NON_H2_FILL,,,,,,,1.3664921465968587,1.2164921465968588
development,2023-09-15,2023-09-15 14:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,26691.5,26320.0,371.5,,NO_FILL,,,,,,,,
