hour_wib,character_rule,raw_component_id,component_size,halo_cell_count,halo_economic_support_count,halo_economic_support_ratio,component_min_half_exp_floor,component_min_half_exp_mean,component_exp_floor,component_exp_mean,component_pf_median,component_dd_max,component_wr_min,component_wr_mean,component_trade_sum,min_lb,max_lb,min_hold,max_hold,component_cells
13,EFF_MID__RV_HIGH,1,7,15,8,0.5333333333333333,0.5501370064536758,2.0208238160927103,0.8570655202302829,2.9769531112404417,1.876561007637676,111.54402028150568,0.5694444444444444,0.6150793650793652,456,120,180,120,480,LB120/H120;LB180/H120;LB180/H240;LB120/H360;LB180/H360;LB120/H480;LB180/H480
13,EFF_MID__RV_MID,1,1,5,1,0.2,0.3747762533238224,0.3747762533238224,0.5887892415977404,0.5887892415977404,1.2381007085199822,50.13039042557172,0.5625,0.5625,80,120,120,360,360,LB120/H360
13,RANGE_MID,1,1,4,1,0.25,0.6328022166883578,0.6328022166883578,0.7921222428448293,0.7921222428448293,1.3086735302398869,102.792951763488,0.5748987854251012,0.5748987854251012,247,60,60,360,360,LB60/H360
13,RANGE_MID,2,1,5,3,0.6,0.5788932668679263,0.5788932668679263,0.968816246383071,0.968816246383071,1.3676530125828534,99.59374283237646,0.5932835820895522,0.5932835820895522,268,240,240,360,360,LB240/H360
13,RV_LOW__RANGE_MID,1,1,4,1,0.25,0.4747956035078388,0.4747956035078388,0.5181472173896748,0.5181472173896748,1.3574936380414304,28.7300686959684,0.5573770491803278,0.5573770491803278,61,360,360,240,240,LB360/H240
13,RV_LOW__RANGE_MID,2,1,4,2,0.5,2.1182785299816653,2.1182785299816653,2.8815723968749944,2.8815723968749944,2.2518426173071364,36.4986570193704,0.7564102564102564,0.7564102564102564,78,120,120,480,480,LB120/H480
13,RV_MID__RANGE_MID,1,2,7,3,0.42857142857142855,0.6414104391251154,1.0350778267580814,1.13343080283948,1.4753948650555375,1.52627475581389,119.4548190485861,0.5986394557823129,0.6155847881321204,313,240,360,360,360,LB240/H360;LB360/H360
13,STR_B60_80,1,1,5,2,0.4,0.8253241792975993,0.8253241792975993,0.903511174727507,0.903511174727507,1.3490562433313988,98.89716574378794,0.5961538461538461,0.5961538461538461,156,180,180,240,240,LB180/H240
13,STR_B60_80,2,1,4,2,0.5,0.0709002557617309,0.0709002557617309,1.189325382442525,1.189325382442525,1.393560353537065,93.21904028638028,0.592814371257485,0.592814371257485,167,60,60,360,360,LB60/H360
14,DRIVE_DOWN__EFF_LOW,1,1,4,1,0.25,0.4397545173756215,0.4397545173756215,2.31338188258615,2.31338188258615,1.9160780245878095,105.89739617180504,0.5733333333333334,0.5733333333333334,150,360,360,360,360,LB360/H360
14,DRIVE_DOWN__EXT_HIGH,1,1,3,1,0.3333333333333333,0.8620067792418333,0.8620067792418333,1.1242850895955454,1.1242850895955454,1.2381552884278206,96.22910050456208,0.572463768115942,0.572463768115942,138,60,60,480,480,LB60/H480
14,DRIVE_DOWN__EXT_LOW,1,1,4,1,0.25,1.1087839354954596,1.1087839354954596,1.7346483333986156,1.7346483333986156,1.7750439784498702,65.13157967874915,0.5761589403973509,0.5761589403973509,151,360,360,360,360,LB360/H360
14,DRIVE_DOWN__STR_B40_60,1,3,7,3,0.42857142857142855,0.3856403376947669,0.8828506799666643,0.9097511620856864,1.7398474970821702,1.766322659441752,89.90059416338212,0.5975609756097561,0.605691056910569,246,360,360,240,480,LB360/H240;LB360/H360;LB360/H480
14,DRIVE_DOWN__STR_B60_80,1,1,5,1,0.2,0.6382803112129648,0.6382803112129648,0.7909071482287909,0.7909071482287909,1.2030164348597028,94.72166586430872,0.6301369863013698,0.6301369863013698,73,180,180,360,360,LB180/H360
14,DRIVE_UP__EFF_HIGH,1,2,8,4,0.5,0.3430805549150346,0.5142474615127666,0.8578814439383619,1.0461946156829454,1.4253991887133661,92.49797437905502,0.5714285714285714,0.5986394557823129,294,120,120,240,360,LB120/H240;LB120/H360
14,DRIVE_UP__EFF_HIGH,2,1,4,1,0.25,0.5863668933971449,0.5863668933971449,1.2031048679708851,1.2031048679708851,1.8306393887768888,68.9372615075064,0.6447368421052632,0.6447368421052632,152,360,360,240,240,LB360/H240
14,DRIVE_UP__EFF_LOW,1,1,5,1,0.2,0.6175027605855867,0.6175027605855867,0.6440026316385951,0.6440026316385951,1.2434093167901237,86.13285740030668,0.5850340136054422,0.5850340136054422,147,120,120,360,360,LB120/H360
14,DRIVE_UP__EXT_LOW,1,2,7,2,0.2857142857142857,0.7228899728310944,1.4457645953311549,0.9477828026873492,1.774636796410587,1.5750939208887234,93.52886824454778,0.6033057851239669,0.628099173553719,242,120,120,360,480,LB120/H360;LB120/H480
14,DRIVE_UP__EXT_MID,1,2,8,3,0.375,0.3722842600143193,0.7537484827054804,0.7499529619428081,1.1172002316979193,1.4744119567323262,83.02377778831567,0.5542168674698795,0.5738826272833268,321,120,180,360,360,LB120/H360;LB180/H360
