role,partition,dev_block,execution_start,entry_ts,exit_ts,H,L,R,signal_ts,confirm_ts,confirm_close_R,eventual_E40,terminal,terminal_ts,e10_retest,e10_retest_before_E40,e10_retest_ts,e10_retest_min,e10_retest_to_E40,e05_retest,e05_retest_before_E40,e05_retest_ts,e05_retest_min,e05_retest_to_E40,H_touch,H_touch_before_E40,min_low_R,min_close_R,max_high_R,ref_min,hour
CENTRAL,external,,2021-06-20 15:00:00+00:00,2021-06-20 19:35:00+00:00,2021-06-20 19:50:00+00:00,35.123,31.241,3.881999999999998,2021-06-20 20:10:00+00:00,2021-06-20 20:20:00+00:00,0.16950025759917609,False,H_FAIL,2021-06-20 21:45:00+00:00,True,True,2021-06-20 20:35:00+00:00,15.0,False,True,True,2021-06-20 21:05:00+00:00,45.0,False,True,True,-0.03941267387944327,-0.028851107676454105,0.21303451828954295,360,15
CENTRAL,external,,2021-06-22 15:00:00+00:00,2021-06-22 15:25:00+00:00,2021-06-22 15:40:00+00:00,25.162,20.098,5.064,2021-06-22 15:50:00+00:00,2021-06-22 16:00:00+00:00,0.24960505529225896,True,E40,2021-06-22 16:05:00+00:00,False,False,,,False,False,False,,,False,False,False,0.24585308056872057,0.2946287519747237,0.41567930489731447,360,15
CENTRAL,external,,2021-07-07 15:00:00+00:00,2021-07-07 18:00:00+00:00,2021-07-07 18:35:00+00:00,37.58,34.595,2.9849999999999994,2021-07-07 18:40:00+00:00,2021-07-07 18:50:00+00:00,0.12428810720268084,False,H_FAIL,2021-07-07 19:55:00+00:00,True,True,2021-07-07 18:55:00+00:00,5.0,False,True,True,2021-07-07 19:00:00+00:00,10.0,False,True,True,-0.06465661641540968,-0.010720268006698988,0.1798994974874369,360,15
CENTRAL,external,,2021-07-22 15:00:00+00:00,2021-07-22 15:40:00+00:00,2021-07-22 15:50:00+00:00,27.558,26.299,1.2590000000000003,2021-07-22 15:55:00+00:00,2021-07-22 16:05:00+00:00,0.2589356632247819,True,E40,2021-07-22 17:35:00+00:00,True,True,2021-07-22 16:55:00+00:00,50.0,True,False,False,,,False,False,False,0.07386814932486095,0.16044479745830156,0.4487688641779199,360,15
CENTRAL,external,,2021-07-24 15:00:00+00:00,2021-07-24 16:40:00+00:00,2021-07-24 16:50:00+00:00,29.141,28.264,0.8769999999999989,2021-07-24 16:55:00+00:00,2021-07-24 17:05:00+00:00,0.1265678449258846,True,E40,2021-07-24 17:20:00+00:00,True,True,2021-07-24 17:10:00+00:00,5.0,True,True,True,2021-07-24 17:10:00+00:00,5.0,True,False,False,0.038768529076399674,0.16077537058153019,0.40250855188141615,360,15
CENTRAL,external,,2021-07-25 15:00:00+00:00,2021-07-26 00:20:00+00:00,2021-07-26 00:30:00+00:00,28.444,26.526,1.9179999999999993,2021-07-26 00:35:00+00:00,2021-07-26 00:45:00+00:00,0.29197080291970934,True,E40,2021-07-26 00:55:00+00:00,False,False,,,False,False,False,,,False,False,False,0.17518248175182596,0.30865484880083555,0.44994786235662143,360,15
CENTRAL,external,,2021-09-06 15:00:00+00:00,2021-09-06 15:10:00+00:00,2021-09-06 15:20:00+00:00,146.347,135.721,10.626000000000005,2021-09-06 15:30:00+00:00,2021-09-06 15:40:00+00:00,0.2948428383210973,True,E40,2021-09-06 15:55:00+00:00,False,False,,,False,False,False,,,False,False,False,0.18266516092603063,0.2435535479013733,0.5122341426689235,360,15
CENTRAL,external,,2021-10-28 15:00:00+00:00,2021-10-29 01:25:00+00:00,2021-10-29 01:35:00+00:00,201.55,194.043,7.507000000000005,2021-10-29 01:40:00+00:00,2021-10-29 01:50:00+00:00,0.1547888637271849,True,E40,2021-10-29 02:10:00+00:00,True,True,2021-10-29 01:55:00+00:00,5.0,True,False,False,,,False,False,False,0.08658585320367349,0.11455974423870849,0.4523777807379758,360,15
CENTRAL,external,,2021-11-13 15:00:00+00:00,2021-11-13 15:00:00+00:00,2021-11-13 15:25:00+00:00,235.16,225.144,10.015999999999991,2021-11-13 15:30:00+00:00,2021-11-13 15:40:00+00:00,0.17342252396166097,False,H_FAIL,2021-11-13 15:55:00+00:00,True,True,2021-11-13 15:50:00+00:00,10.0,False,True,True,2021-11-13 15:55:00+00:00,15.0,False,True,True,-0.39636581469648585,-0.13907747603833884,0.19918130990415397,360,15
CENTRAL,reference_validation,,2025-01-22 15:00:00+00:00,2025-01-22 19:50:00+00:00,2025-01-22 20:05:00+00:00,264.9,252.08,12.819999999999965,2025-01-22 20:10:00+00:00,2025-01-22 20:20:00+00:00,0.18096723868955197,True,E40,2025-01-22 20:30:00+00:00,False,False,,,False,False,False,,,False,False,False,0.15444617784711573,0.2932917316692713,0.45865834633385427,360,15
CENTRAL,reference_validation,,2025-04-09 15:00:00+00:00,2025-04-09 16:30:00+00:00,2025-04-09 16:40:00+00:00,107.55,102.22,5.329999999999998,2025-04-09 16:50:00+00:00,2025-04-09 17:00:00+00:00,0.3151969981238288,True,E40,2025-04-09 17:20:00+00:00,True,True,2025-04-09 17:05:00+00:00,5.0,True,True,True,2025-04-09 17:10:00+00:00,10.0,True,True,True,-0.07129455909943631,0.09005628517823717,1.2532833020637915,360,15
CENTRAL,reference_validation,,2025-05-04 15:00:00+00:00,2025-05-04 15:00:00+00:00,2025-05-04 15:45:00+00:00,146.6,144.57,2.030000000000001,2025-05-04 15:50:00+00:00,2025-05-04 16:00:00+00:00,0.2019704433497519,False,H_FAIL,2025-05-04 16:15:00+00:00,True,True,2025-05-04 16:10:00+00:00,10.0,False,True,True,2025-05-04 16:10:00+00:00,10.0,False,True,True,-0.08374384236452581,-0.01477832512315326,0.22660098522167868,360,15
CENTRAL,reference_validation,,2025-06-19 15:00:00+00:00,2025-06-19 22:05:00+00:00,2025-06-19 22:25:00+00:00,146.45,142.84,3.609999999999985,2025-06-19 22:30:00+00:00,2025-06-19 22:40:00+00:00,0.18836565096953176,False,H_FAIL,2025-06-20 01:05:00+00:00,True,True,2025-06-19 22:50:00+00:00,10.0,False,True,True,2025-06-19 22:55:00+00:00,15.0,False,True,True,-0.03324099722991042,0.0,0.27977839335180704,360,15
CENTRAL,reference_validation,,2025-07-02 15:00:00+00:00,2025-07-02 15:10:00+00:00,2025-07-02 15:30:00+00:00,150.59,147.03,3.5600000000000023,2025-07-02 15:50:00+00:00,2025-07-02 16:00:00+00:00,0.2837078651685366,True,E40,2025-07-02 16:05:00+00:00,False,False,,,False,False,False,,,False,False,False,0.28651685393258697,0.5758426966292083,0.6011235955056138,360,15
CENTRAL,reference_validation,,2025-08-09 15:00:00+00:00,2025-08-09 20:40:00+00:00,2025-08-10 02:55:00+00:00,183.26,178.79,4.469999999999999,2025-08-10 03:05:00+00:00,2025-08-10 03:15:00+00:00,0.3803131991051493,True,E40,2025-08-10 03:20:00+00:00,False,False,,,False,False,False,,,False,False,False,0.3668903803132025,0.552572706935123,0.6017897091722592,360,15
CENTRAL,reference_validation,,2025-09-26 15:00:00+00:00,2025-09-26 16:10:00+00:00,2025-09-26 16:35:00+00:00,198.18,190.72,7.460000000000008,2025-09-26 16:40:00+00:00,2025-09-26 16:50:00+00:00,0.14209115281501355,True,E40,2025-09-26 17:25:00+00:00,True,True,2025-09-26 16:55:00+00:00,5.0,True,False,False,,,False,False,False,0.08847184986595119,0.17024128686326817,0.5107238605898121,360,15
CENTRAL,reference_validation,,2025-10-12 15:00:00+00:00,2025-10-12 15:05:00+00:00,2025-10-12 15:45:00+00:00,188.82,178.02,10.799999999999983,2025-10-12 15:50:00+00:00,2025-10-12 16:00:00+00:00,0.3759259259259267,True,E40,2025-10-12 16:05:00+00:00,False,False,,,False,False,False,,,False,False,False,0.3407407407407419,0.40462962962963067,0.5638888888888901,360,15
CENTRAL,reference_validation,,2025-11-10 15:00:00+00:00,2025-11-11 01:15:00+00:00,2025-11-11 02:55:00+00:00,170.4,165.2,5.200000000000017,2025-11-11 03:05:00+00:00,2025-11-11 03:15:00+00:00,0.18846153846153588,False,H_FAIL,2025-11-11 03:35:00+00:00,True,True,2025-11-11 03:25:00+00:00,10.0,False,True,True,2025-11-11 03:30:00+00:00,15.0,False,True,True,-0.13461538461538744,-0.10384615384615198,0.2826923076923065,360,15
CENTRAL,reference_validation,,2025-12-27 15:00:00+00:00,2025-12-27 15:10:00+00:00,2025-12-27 15:20:00+00:00,123.31,122.45,0.8599999999999994,2025-12-27 15:30:00+00:00,2025-12-27 15:40:00+00:00,0.22093023255813704,False,H_FAIL,2025-12-27 15:50:00+00:00,True,True,2025-12-27 15:45:00+00:00,5.0,False,True,True,2025-12-27 15:45:00+00:00,5.0,False,True,True,-0.06976744186046781,0.0,0.3139534883720886,360,15
CENTRAL,reference_validation,,2026-04-15 15:00:00+00:00,2026-04-15 16:15:00+00:00,2026-04-15 16:40:00+00:00,84.47,82.82,1.6500000000000057,2026-04-15 17:00:00+00:00,2026-04-15 17:10:00+00:00,0.16363636363636067,True,E40,2026-04-15 19:05:00+00:00,True,True,2026-04-15 17:15:00+00:00,5.0,True,True,True,2026-04-15 17:15:00+00:00,5.0,True,True,True,-0.042424242424238146,0.006060606060609141,0.4363636363636342,360,15
CENTRAL,reference_validation,,2026-04-23 15:00:00+00:00,2026-04-23 15:15:00+00:00,2026-04-23 15:30:00+00:00,86.15,85.13,1.0200000000000102,2026-04-23 15:35:00+00:00,2026-04-23 15:45:00+00:00,0.3431372549019518,True,E40,2026-04-23 15:50:00+00:00,True,False,2026-04-23 15:50:00+00:00,5.0,False,True,False,2026-04-23 15:50:00+00:00,5.0,False,True,False,-0.03921568627451554,-0.019607843137264738,0.4509803921568521,360,15
CENTRAL,reference_validation,,2026-07-17 15:00:00+00:00,2026-07-17 16:40:00+00:00,2026-07-17 16:55:00+00:00,74.97,73.32,1.6500000000000057,2026-07-17 17:05:00+00:00,2026-07-17 17:15:00+00:00,0.13939393939394132,False,H_FAIL,2026-07-17 19:20:00+00:00,True,True,2026-07-17 17:35:00+00:00,20.0,False,True,True,2026-07-17 18:15:00+00:00,60.0,False,True,True,-0.0666666666666661,-0.05454545454545642,0.24848484848484556,360,15
CLOCK_SUPPORT,development,0.0,2022-01-01 16:00:00+00:00,2022-01-01 16:05:00+00:00,2022-01-01 16:15:00+00:00,174.24,170.52,3.719999999999999,2022-01-01 16:30:00+00:00,2022-01-01 16:40:00+00:00,0.14516129032257855,False,H_FAIL,2022-01-01 16:45:00+00:00,True,True,2022-01-01 16:45:00+00:00,5.0,False,True,True,2022-01-01 16:45:00+00:00,5.0,False,True,True,-0.05645161290322796,-0.053763440860219655,0.17204301075268455,360,16
CLOCK_SUPPORT,development,0.0,2022-01-06 16:00:00+00:00,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,151.09,146.22,4.8700000000000045,2022-01-06 17:25:00+00:00,2022-01-06 17:35:00+00:00,0.2874743326488715,True,E40,2022-01-06 18:10:00+00:00,False,False,,,False,False,False,,,False,False,False,0.14373716632443284,0.20944558521560766,0.5030800821355208,360,16
CLOCK_SUPPORT,development,0.0,2022-01-21 16:00:00+00:00,2022-01-21 16:20:00+00:00,2022-01-21 16:35:00+00:00,124.12,115.5,8.620000000000005,2022-01-21 17:00:00+00:00,2022-01-21 17:10:00+00:00,0.1264501160092794,False,H_FAIL,2022-01-21 17:20:00+00:00,True,True,2022-01-21 17:15:00+00:00,5.0,False,True,True,2022-01-21 17:15:00+00:00,5.0,False,True,True,-0.11600928074245934,-0.003480278422273912,0.22389791183294566,360,16
CLOCK_SUPPORT,development,0.0,2022-02-01 16:00:00+00:00,2022-02-01 16:30:00+00:00,2022-02-01 16:45:00+00:00,111.04,103.96,7.0800000000000125,2022-02-01 16:50:00+00:00,2022-02-01 17:00:00+00:00,0.25564971751412213,False,H_FAIL,2022-02-01 17:40:00+00:00,True,True,2022-02-01 17:10:00+00:00,10.0,False,True,True,2022-02-01 17:15:00+00:00,15.0,False,True,True,-0.060734463276837014,-0.05367231638418206,0.27542372881355726,360,16
CLOCK_SUPPORT,development,0.0,2022-02-20 16:00:00+00:00,2022-02-20 17:40:00+00:00,2022-02-20 18:00:00+00:00,90.98,87.37,3.6099999999999994,2022-02-20 18:05:00+00:00,2022-02-20 18:15:00+00:00,0.20775623268698065,True,E40,2022-02-20 18:40:00+00:00,False,False,,,False,False,False,,,False,False,False,0.14404432132963882,0.1966759002770066,0.6703601108033247,360,16
CLOCK_SUPPORT,development,0.0,2022-05-12 16:00:00+00:00,2022-05-13 03:05:00+00:00,2022-05-13 03:20:00+00:00,49.36,41.42,7.939999999999998,2022-05-13 03:40:00+00:00,2022-05-13 03:50:00+00:00,0.15365239294710317,True,E40,2022-05-13 05:10:00+00:00,True,True,2022-05-13 04:00:00+00:00,10.0,True,True,True,2022-05-13 04:05:00+00:00,15.0,True,False,False,0.022670025188916847,0.032745591939546355,0.40176322418136,360,16
CLOCK_SUPPORT,development,0.0,2022-05-30 16:00:00+00:00,2022-05-30 20:25:00+00:00,2022-05-30 20:35:00+00:00,46.71,44.92,1.7899999999999991,2022-05-30 20:55:00+00:00,2022-05-30 21:05:00+00:00,0.15083798882681348,True,E40,2022-05-30 21:10:00+00:00,False,False,,,False,False,False,,,False,False,False,0.14525139664804365,0.31284916201117463,0.4413407821229048,360,16
CLOCK_SUPPORT,development,1.0,2022-08-21 16:00:00+00:00,2022-08-21 16:45:00+00:00,2022-08-21 17:00:00+00:00,36.27,35.55,0.720000000000006,2022-08-21 17:05:00+00:00,2022-08-21 17:15:00+00:00,0.18055555555554775,False,H_FAIL,2022-08-21 17:50:00+00:00,True,True,2022-08-21 17:40:00+00:00,25.0,False,True,True,2022-08-21 17:40:00+00:00,25.0,False,True,True,-0.1250000000000037,-0.06944444444444979,0.3472222222222193,360,16
CLOCK_SUPPORT,development,1.0,2022-09-26 16:00:00+00:00,2022-09-26 18:05:00+00:00,2022-09-26 18:30:00+00:00,33.41,32.1,1.3099999999999952,2022-09-26 18:45:00+00:00,2022-09-26 18:55:00+00:00,0.16030534351145162,False,H_FAIL,2022-09-26 20:40:00+00:00,True,True,2022-09-26 20:15:00+00:00,80.0,False,True,True,2022-09-26 20:30:00+00:00,95.0,False,True,True,-0.03816793893129568,-0.03816793893129568,0.3969465648855,360,16
CLOCK_SUPPORT,development,1.0,2022-10-05 16:00:00+00:00,2022-10-05 16:05:00+00:00,2022-10-05 16:25:00+00:00,33.78,33.15,0.6300000000000026,2022-10-05 16:50:00+00:00,2022-10-05 17:00:00+00:00,0.15873015873016033,True,E40,2022-10-05 17:20:00+00:00,False,False,,,False,False,False,,,False,False,False,0.12698412698412376,0.19047619047618564,0.41269841269840785,360,16
