partition,k,entry_method,setups,valid_plans,fills,fill_rate,wins,losses,wr,tp_rate,net_pf,net_exp,total_net,time_exit_rate,median_nominal_rr
development,2,SIG_LOW,44,43,26,0.5909090909090909,18,8,0.6923076923076923,0.7307692307692307,1.034651040003927,0.027421191647326672,0.7129509828304935,0.15384615384615385,0.1964498460368127
reference_validation,1,NEXT_OPEN,82,82,82,1.0,40,42,0.4878048780487805,0.8536585365853658,0.5001634237473579,-0.3170814879026697,-26.000682008018916,0.036585365853658534,0.09187598920202308
reference_validation,1,F50,82,82,28,0.34146341463414637,17,11,0.6071428571428571,0.6071428571428571,1.7435154363899317,0.6777451802842586,18.97686504795924,0.07142857142857142,1.0
reference_validation,1,F55,82,82,32,0.3902439024390244,22,10,0.6875,0.65625,1.860992468056282,0.7160195907490706,22.91262690397026,0.09375,0.8181818181818182
reference_validation,1,F60,82,82,35,0.4268292682926829,24,11,0.6857142857142857,0.6857142857142857,1.6467013243747182,0.5440294089791843,19.041029314271448,0.08571428571428572,0.6666666666666666
reference_validation,1,F65,82,82,37,0.45121951219512196,27,10,0.7297297297297297,0.7297297297297297,1.57946236532405,0.44864521545244496,16.599872971740464,0.08108108108108109,0.5384615384615357
reference_validation,1,F70,82,82,37,0.45121951219512196,28,9,0.7567567567567568,0.7567567567567568,1.2858616922352812,0.22965561346844346,8.497257698332408,0.08108108108108109,0.42857142857142855
reference_validation,1,F75,82,82,39,0.47560975609756095,31,8,0.7948717948717948,0.7948717948717948,1.3010134893577479,0.22043897455271583,8.597120007555917,0.07692307692307693,0.3333333333333333
reference_validation,1,F80,82,82,41,0.5,34,7,0.8292682926829268,0.8292682926829268,1.0613303259090543,0.041354782689766154,1.6955460902804123,0.07317073170731707,0.25
reference_validation,1,SIG_MID,82,75,37,0.45121951219512196,27,10,0.7297297297297297,0.972972972972973,2.2322951406858524,0.17146222333391892,6.344102263355,0.02702702702702703,0.0986413455224941
reference_validation,1,SIG_LOW,82,82,49,0.5975609756097561,35,14,0.7142857142857143,0.7551020408163265,1.1966030502900211,0.1513864028304239,7.41793373869077,0.061224489795918366,0.2968844708449407
reference_validation,2,NEXT_OPEN,17,17,17,1.0,8,9,0.47058823529411764,1.0,2.740873608943594,0.16625167118408346,2.8262784101294187,0.0,0.06278810999840985
reference_validation,2,F50,17,17,3,0.17647058823529413,3,0,1.0,1.0,inf,2.6642063571326333,7.9926190713979,0.0,1.0000000000000164
reference_validation,2,F55,17,17,5,0.29411764705882354,5,0,1.0,1.0,inf,2.488589951279386,12.44294975639693,0.0,0.8181818181818163
reference_validation,2,F60,17,17,5,0.29411764705882354,5,0,1.0,1.0,inf,2.165836953269529,10.829184766347646,0.0,0.6666666666666757
reference_validation,2,F65,17,17,5,0.29411764705882354,5,0,1.0,1.0,inf,1.8435359783198773,9.217679891599387,0.0,0.5384615384615355
reference_validation,2,F70,17,17,5,0.29411764705882354,5,0,1.0,1.0,inf,1.521686000071743,7.608430000358714,0.0,0.42857142857142855
reference_validation,2,F75,17,17,5,0.29411764705882354,5,0,1.0,1.0,inf,1.2002859954720615,6.001429977360307,0.0,0.33333333333332943
reference_validation,2,F80,17,17,6,0.35294117647058826,6,0,1.0,1.0,inf,0.7790345678636311,4.674207407181787,0.0,0.2500000000000013
reference_validation,2,SIG_MID,17,15,8,0.47058823529411764,4,4,0.5,1.0,0.9889443697437605,-0.0009502180756845169,-0.007601744605476135,0.0,0.06785025962816683
reference_validation,2,SIG_LOW,17,17,9,0.5294117647058824,9,0,1.0,1.0,inf,0.671033995825088,6.039305962425792,0.0,0.19005495241925102
august,1,NEXT_OPEN,4,4,4,1.0,2,2,0.5,1.0,4.099997437243493,0.2869799974085766,1.1479199896343064,0.0,0.060243447095112757
august,1,F50,4,4,1,0.25,1,0,1.0,1.0,inf,1.9751972139387513,1.9751972139387513,0.0,1.0
august,1,F55,4,4,1,0.25,1,0,1.0,1.0,inf,1.7366624935844626,1.7366624935844626,0.0,0.8181818181818102
august,1,F60,4,4,1,0.25,1,0,1.0,1.0,inf,1.4983541849225683,1.4983541849225683,0.0,0.6666666666666533
august,1,F65,4,4,2,0.5,2,0,1.0,1.0,inf,1.1155070269504135,2.231014053900827,0.0,0.5384615384615511
august,1,F70,4,4,2,0.5,2,0,1.0,1.0,inf,0.8984386686926698,1.7968773373853395,0.0,0.42857142857143404
august,1,F75,4,4,2,0.5,2,0,1.0,1.0,inf,0.6815598450459873,1.3631196900919746,0.0,0.3333333333333333
august,1,F80,4,4,3,0.75,3,0,1.0,1.0,inf,1.4348210628811682,4.3044631886435045,0.0,0.24999999999999625
august,1,SIG_MID,4,4,3,0.75,3,0,1.0,1.0,inf,0.5944337477731565,1.7833012433194695,0.0,0.11759425493716702
august,1,SIG_LOW,4,4,2,0.5,2,0,1.0,1.0,inf,0.5993648444169278,1.1987296888338557,0.0,0.3054480290867039
august,2,NEXT_OPEN,2,2,2,1.0,0,2,0.0,1.0,0.0,-0.3229730720837206,-0.6459461441674412,0.0,0.013865755414162337
august,2,F50,2,2,0,0.0,0,0,,,,,,,
august,2,F55,2,2,0,0.0,0,0,,,,,,,
august,2,F60,2,2,0,0.0,0,0,,,,,,,
august,2,F65,2,2,0,0.0,0,0,,,,,,,
august,2,F70,2,2,0,0.0,0,0,,,,,,,
august,2,F75,2,2,0,0.0,0,0,,,,,,,
august,2,F80,2,2,0,0.0,0,0,,,,,,,
august,2,SIG_MID,2,0,0,0.0,0,0,,,,,,,
august,2,SIG_LOW,2,2,1,0.5,1,0,1.0,1.0,inf,0.6423477985587182,0.6423477985587182,0.0,0.05879371515458819
