minute_k,motif,dev_fail_n,dev_target_n,dev_fail_hit,dev_target_hit,dev_gap,dev_ratio,adequate_dev_blocks,same_direction_dev_blocks,development_supported,external_fail_n,external_target_n,external_fail_hit,external_target_hit,external_gap,external_ratio,reference_fail_n,reference_target_n,reference_fail_hit,reference_target_hit,reference_gap,reference_ratio,replicated
3,REJECT_H10_TO_H05_BY_K,233,63,0.11158798283261803,0.06349206349206349,0.048095919340554544,1.757510729613734,6,3,False,,,,,,,,,,,,,False
3,CURRENT_BEARISH,233,63,0.3218884120171674,0.30158730158730157,0.02030111042986582,1.0673142082674498,6,3,False,,,,,,,,,,,,,False
3,TWO_PLUS_NEAR_H10_BY_K,233,63,0.30472103004291845,0.20634920634920634,0.09837182369371211,1.476724991746451,6,6,False,,,,,,,,,,,,,False
3,TWO_PLUS_NEAR_H05_BY_K,233,63,0.1459227467811159,0.06349206349206349,0.0824306832890524,2.2982832618025753,6,5,False,,,,,,,,,,,,,False
3,H_LOSS_THEN_RECLAIM_BY_K,233,63,0.31759656652360513,0.2222222222222222,0.09537434430138292,1.4291845493562232,6,5,False,,,,,,,,,,,,,False
3,LAST2_LOWER_CLOSES,233,63,0.33047210300429186,0.31746031746031744,0.013011785543974419,1.0409871244635194,6,3,False,,,,,,,,,,,,,False
3,LAST2_LOWER_HIGHS,233,63,0.3648068669527897,0.3492063492063492,0.015600517746440501,1.0446742099102615,6,4,False,,,,,,,,,,,,,False
4,ANY_CLOSE_LE_H_BY_K,233,63,0.759656652360515,0.6507936507936508,0.10886300156686424,1.1672772950905475,6,5,False,,,,,,,,,,,,,False
4,CURRENT_CLOSE_LE_H,233,63,0.30042918454935624,0.20634920634920634,0.0940799782001499,1.4559260482007266,6,5,False,,,,,,,,,,,,,False
4,NO_CLOSE_ABOVE_H10_BY_K,233,63,0.7682403433476395,0.6825396825396826,0.08570066080795691,1.125561433276774,6,4,False,,,,,,,,,,,,,False
4,NO_HIGH_ABOVE_H10_BY_K,233,63,0.5793991416309013,0.47619047619047616,0.10320866544042517,1.216738197424893,6,4,False,,,,,,,,,,,,,False
4,REJECT_H10_TO_H05_BY_K,233,63,0.1759656652360515,0.12698412698412698,0.04898153825192453,1.3857296137339057,6,4,False,,,,,,,,,,,,,False
4,CURRENT_BEARISH,233,63,0.4291845493562232,0.3492063492063492,0.079978200149874,1.2290284822473665,6,3,False,,,,,,,,,,,,,False
4,TWO_PLUS_NEAR_H10_BY_K,233,63,0.5107296137339056,0.4603174603174603,0.05041215341644528,1.109516057421933,6,4,False,,,,,,,,,,,,,False
4,TWO_PLUS_NEAR_H05_BY_K,233,63,0.2918454935622318,0.19047619047619047,0.1013693030860413,1.5321888412017168,6,6,False,,,,,,,,,,,,,False
4,H_LOSS_THEN_RECLAIM_BY_K,233,63,0.4592274678111588,0.4444444444444444,0.014783023366714387,1.0332618025751075,6,2,False,,,,,,,,,,,,,False
4,LAST2_LOWER_CLOSES,233,63,0.41201716738197425,0.3492063492063492,0.06281081817562506,1.1798673429574718,6,3,False,,,,,,,,,,,,,False
