component,hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-02-22 18:15:00+00:00,2022-02-23 00:15:00+00:00,9.732983164153303,8.982983164153303
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-02-22 18:30:00+00:00,2022-02-23 00:30:00+00:00,9.087853759918447,8.337853759918447
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-02-22 18:45:00+00:00,2022-02-23 00:45:00+00:00,4.924916157336064,4.174916157336064
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-02-22 20:00:00+00:00,2022-02-23 00:00:00+00:00,0.7124347409777264,-0.03756525902227359
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-02-22 20:15:00+00:00,2022-02-23 00:15:00+00:00,3.413274309358612,2.663274309358612
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-02-22 20:30:00+00:00,2022-02-23 00:30:00+00:00,4.077495362135935,3.3274953621359353
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-02-22 20:45:00+00:00,2022-02-23 00:45:00+00:00,5.789566850352521,5.039566850352521
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-02-25 18:00:00+00:00,2022-02-26 00:00:00+00:00,13.9904575046821,13.2404575046821
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-02-25 18:15:00+00:00,2022-02-26 00:15:00+00:00,19.314452913069953,18.564452913069953
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-02-25 18:30:00+00:00,2022-02-26 00:30:00+00:00,16.763210341038203,16.013210341038203
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-02-25 18:45:00+00:00,2022-02-26 00:45:00+00:00,27.213972369297352,26.463972369297352
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-02-25 20:00:00+00:00,2022-02-26 00:00:00+00:00,16.475802506935707,15.725802506935707
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-02-28 20:45:00+00:00,2022-03-01 00:45:00+00:00,21.24467690350397,20.49467690350397
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-03-01 18:30:00+00:00,2022-03-02 00:30:00+00:00,2.2833465874378582,1.5333465874378582
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-03-01 20:00:00+00:00,2022-03-02 00:00:00+00:00,5.008316078883986,4.258316078883986
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-03-01 20:15:00+00:00,2022-03-02 00:15:00+00:00,3.0189827414256714,2.2689827414256714
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-03-01 20:30:00+00:00,2022-03-02 00:30:00+00:00,-2.810877284260079,-3.560877284260079
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-03-02 18:00:00+00:00,2022-03-03 00:00:00+00:00,0.5196269553935826,-0.2303730446064174
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-03-02 18:15:00+00:00,2022-03-03 00:15:00+00:00,-4.2161566368120935,-4.9661566368120935
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-03-02 18:30:00+00:00,2022-03-03 00:30:00+00:00,0.35277676015249576,-0.39722323984750424
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-03-02 18:45:00+00:00,2022-03-03 00:45:00+00:00,4.592238537302146,3.842238537302146
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-03-02 20:00:00+00:00,2022-03-03 00:00:00+00:00,2.4855944628183586,1.7355944628183586
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-03-02 20:15:00+00:00,2022-03-03 00:15:00+00:00,-0.30669306498829146,-1.0566930649882915
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-03-02 20:30:00+00:00,2022-03-03 00:30:00+00:00,2.8327935912732047,2.0827935912732047
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-03-08 18:00:00+00:00,2022-03-09 00:00:00+00:00,-3.140698670411879,-3.890698670411879
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-03-08 18:15:00+00:00,2022-03-09 00:15:00+00:00,-7.7194285364284925,-8.469428536428492
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-03-08 18:30:00+00:00,2022-03-09 00:30:00+00:00,-3.7902266436185212,-4.540226643618521
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-03-08 18:45:00+00:00,2022-03-09 00:45:00+00:00,-0.9464968004923859,-1.696496800492386
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-03-08 20:00:00+00:00,2022-03-09 00:00:00+00:00,-0.5158717845284728,-1.2658717845284728
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-03-08 20:15:00+00:00,2022-03-09 00:15:00+00:00,-2.0291280557932803,-2.7791280557932803
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-03-08 20:30:00+00:00,2022-03-09 00:30:00+00:00,2.483392071858575,1.733392071858575
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-03-08 20:45:00+00:00,2022-03-09 00:45:00+00:00,5.204251183496869,4.454251183496869
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-03-16 18:45:00+00:00,2022-03-17 00:45:00+00:00,15.247285075479965,14.497285075479965
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-03-16 20:00:00+00:00,2022-03-17 00:00:00+00:00,3.592444605884526,2.842444605884526
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-04-06 18:15:00+00:00,2022-04-07 00:15:00+00:00,-2.061932968433723,-2.811932968433723
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-04-06 18:30:00+00:00,2022-04-07 00:30:00+00:00,1.6455477569990764,0.8955477569990764
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-04-06 18:45:00+00:00,2022-04-07 00:45:00+00:00,-5.458799870900514,-6.208799870900514
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-04-06 20:00:00+00:00,2022-04-07 00:00:00+00:00,-9.030951746035683,-9.780951746035683
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-04-06 20:15:00+00:00,2022-04-07 00:15:00+00:00,-3.7827134664599686,-4.532713466459969
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-04-06 20:30:00+00:00,2022-04-07 00:30:00+00:00,-3.610859925359025,-4.360859925359025
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-04-06 20:45:00+00:00,2022-04-07 00:45:00+00:00,-3.5622941984604948,-4.312294198460495
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-04-26 18:45:00+00:00,2022-04-27 00:45:00+00:00,-7.8171143299114485,-8.567114329911448
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-04-27 18:00:00+00:00,2022-04-28 00:00:00+00:00,2.8069442267844376,2.0569442267844376
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-04-27 20:00:00+00:00,2022-04-28 00:00:00+00:00,6.436631624732147,5.686631624732147
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-05-06 18:00:00+00:00,2022-05-07 00:00:00+00:00,1.4774543814999304,0.7274543814999304
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-05-06 18:15:00+00:00,2022-05-07 00:15:00+00:00,2.858496938124394,2.108496938124394
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-05-10 20:15:00+00:00,2022-05-11 00:15:00+00:00,-0.32387835810718285,-1.073878358107183
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-05-10 20:30:00+00:00,2022-05-11 00:30:00+00:00,5.382243487506634,4.632243487506634
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-05-10 20:45:00+00:00,2022-05-11 00:45:00+00:00,8.068038747141562,7.318038747141562
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-05-16 18:15:00+00:00,2022-05-17 00:15:00+00:00,-1.5343683762743394,-2.2843683762743394
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-05-16 18:30:00+00:00,2022-05-17 00:30:00+00:00,0.2678145838554288,-0.4821854161445712
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-05-17 18:15:00+00:00,2022-05-18 00:15:00+00:00,14.463902682690371,13.713902682690371
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-05-17 18:30:00+00:00,2022-05-18 00:30:00+00:00,21.447468345005948,20.697468345005948
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-05-17 18:45:00+00:00,2022-05-18 00:45:00+00:00,17.430603576015,16.680603576015
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-05-17 20:15:00+00:00,2022-05-18 00:15:00+00:00,13.927821888254616,13.177821888254616
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-05-17 20:30:00+00:00,2022-05-18 00:30:00+00:00,10.970330739299643,10.220330739299643
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-05-17 20:45:00+00:00,2022-05-18 00:45:00+00:00,8.215649271579698,7.465649271579698
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-05-18 18:00:00+00:00,2022-05-19 00:00:00+00:00,-11.4544145946801,-12.2044145946801
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-05-18 18:15:00+00:00,2022-05-19 00:15:00+00:00,-7.363366929601397,-8.113366929601398
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-05-18 18:30:00+00:00,2022-05-19 00:30:00+00:00,-9.218496910242198,-9.968496910242198
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-05-18 20:00:00+00:00,2022-05-19 00:00:00+00:00,-16.64553989424826,-17.39553989424826
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-05-18 20:15:00+00:00,2022-05-19 00:15:00+00:00,-9.867231624031739,-10.617231624031739
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-05-18 20:30:00+00:00,2022-05-19 00:30:00+00:00,-5.67687822840486,-6.42687822840486
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-05-18 20:45:00+00:00,2022-05-19 00:45:00+00:00,-6.642151229602388,-7.392151229602388
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-05-19 20:00:00+00:00,2022-05-20 00:00:00+00:00,6.709455966999716,5.959455966999716
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-05-19 20:30:00+00:00,2022-05-20 00:30:00+00:00,1.4209440662474728,0.6709440662474728
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-05-19 20:45:00+00:00,2022-05-20 00:45:00+00:00,3.0666433967438618,2.3166433967438618
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-05-24 18:45:00+00:00,2022-05-25 00:45:00+00:00,6.74273593171185,5.99273593171185
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-05-27 20:45:00+00:00,2022-05-28 00:45:00+00:00,-3.687726926097507,-4.437726926097508
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-05-31 18:15:00+00:00,2022-06-01 00:15:00+00:00,-7.458813712820392,-8.208813712820392
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-05-31 18:30:00+00:00,2022-06-01 00:30:00+00:00,-5.568559058852306,-6.318559058852306
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-05-31 18:45:00+00:00,2022-06-01 00:45:00+00:00,1.0178587952253264,0.2678587952253264
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-05-31 20:00:00+00:00,2022-06-01 00:00:00+00:00,2.0322470550516925,1.2822470550516925
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-06-02 18:00:00+00:00,2022-06-03 00:00:00+00:00,4.5768794654160425,3.8268794654160425
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-06-02 18:15:00+00:00,2022-06-03 00:15:00+00:00,1.9254082578620786,1.1754082578620786
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-06-02 20:15:00+00:00,2022-06-03 00:15:00+00:00,1.650228345550135,0.900228345550135
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-06-16 20:15:00+00:00,2022-06-17 00:15:00+00:00,-17.356457285754185,-18.106457285754185
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-06-16 20:30:00+00:00,2022-06-17 00:30:00+00:00,-15.530664840413083,-16.28066484041308
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-06-17 18:00:00+00:00,2022-06-18 00:00:00+00:00,2.9547707042358398,2.2047707042358398
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-06-17 18:15:00+00:00,2022-06-18 00:15:00+00:00,4.049143131214361,3.299143131214361
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-06-17 18:30:00+00:00,2022-06-18 00:30:00+00:00,6.321030614889166,5.571030614889166
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-06-17 20:00:00+00:00,2022-06-18 00:00:00+00:00,2.992042833455317,2.242042833455317
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-06-17 20:30:00+00:00,2022-06-18 00:30:00+00:00,-0.7938535659537233,-1.5438535659537234
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-06-30 18:15:00+00:00,2022-07-01 00:15:00+00:00,11.727544445307077,10.977544445307077
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-06-30 18:30:00+00:00,2022-07-01 00:30:00+00:00,31.470265120213114,30.720265120213114
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-06-30 18:45:00+00:00,2022-07-01 00:45:00+00:00,35.42434700760849,34.67434700760849
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-06-30 20:00:00+00:00,2022-07-01 00:00:00+00:00,24.580688141703927,23.830688141703927
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-06-30 20:15:00+00:00,2022-07-01 00:15:00+00:00,15.489364198013634,14.739364198013634
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-06-30 20:30:00+00:00,2022-07-01 00:30:00+00:00,31.651170932856104,30.901170932856104
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-06-30 20:45:00+00:00,2022-07-01 00:45:00+00:00,38.099226486672926,37.349226486672926
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-07-01 20:45:00+00:00,2022-07-02 00:45:00+00:00,-6.086520515891866,-6.836520515891866
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-07-13 20:45:00+00:00,2022-07-14 00:45:00+00:00,15.135476442513005,14.385476442513005
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-07-18 18:00:00+00:00,2022-07-19 00:00:00+00:00,37.99011262886946,37.24011262886946
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-07-18 20:00:00+00:00,2022-07-19 00:00:00+00:00,36.64898350099505,35.89898350099505
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-07-18 20:15:00+00:00,2022-07-19 00:15:00+00:00,48.52448730452098,47.77448730452098
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-07-20 18:00:00+00:00,2022-07-21 00:00:00+00:00,-7.67010149130076,-8.420101491300759
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-07-20 20:00:00+00:00,2022-07-21 00:00:00+00:00,-9.587362991618313,-10.337362991618313
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-07-25 20:15:00+00:00,2022-07-26 00:15:00+00:00,-27.037785132014413,-27.787785132014413
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-07-25 20:30:00+00:00,2022-07-26 00:30:00+00:00,-29.311230538212282,-30.061230538212282
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-07-29 18:00:00+00:00,2022-07-30 00:00:00+00:00,8.09121651528828,7.341216515288281
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-07-29 18:15:00+00:00,2022-07-30 00:15:00+00:00,-2.091591513619867,-2.841591513619867
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-07-29 18:30:00+00:00,2022-07-30 00:30:00+00:00,2.172208508784672,1.422208508784672
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-07-29 18:45:00+00:00,2022-07-30 00:45:00+00:00,0.3802965732666526,-0.3697034267333474
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-07-29 20:00:00+00:00,2022-07-30 00:00:00+00:00,-0.5424314853920933,-1.2924314853920933
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-07-29 20:15:00+00:00,2022-07-30 00:15:00+00:00,2.7147317891597624,1.9647317891597624
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-07-29 20:30:00+00:00,2022-07-30 00:30:00+00:00,2.817614013050018,2.067614013050018
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-07-29 20:45:00+00:00,2022-07-30 00:45:00+00:00,-0.13630141753468433,-0.8863014175346844
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-08-02 20:45:00+00:00,2022-08-03 00:45:00+00:00,-15.515082595888037,-16.26508259588804
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-08-31 18:30:00+00:00,2022-09-01 00:30:00+00:00,3.7079901206470804,2.9579901206470804
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-08-31 18:45:00+00:00,2022-09-01 00:45:00+00:00,-2.912722018104887,-3.662722018104887
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-08-31 20:00:00+00:00,2022-09-01 00:00:00+00:00,-6.868105698336828,-7.618105698336828
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-08-31 20:30:00+00:00,2022-09-01 00:30:00+00:00,-5.016138050218551,-5.766138050218551
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-08-31 20:45:00+00:00,2022-09-01 00:45:00+00:00,-10.290587814718352,-11.040587814718352
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-09-01 18:00:00+00:00,2022-09-02 00:00:00+00:00,9.919205434335163,9.169205434335163
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-09-16 18:00:00+00:00,2022-09-17 00:00:00+00:00,4.501017039815864,3.7510170398158644
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-09-16 20:00:00+00:00,2022-09-17 00:00:00+00:00,2.2984961668371664,1.5484961668371664
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-09-16 20:15:00+00:00,2022-09-17 00:15:00+00:00,2.1707417515303473,1.4207417515303473
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-09-16 20:30:00+00:00,2022-09-17 00:30:00+00:00,6.394836580283332,5.644836580283332
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-09-16 20:45:00+00:00,2022-09-17 00:45:00+00:00,5.081634220059951,4.331634220059951
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-09-20 18:00:00+00:00,2022-09-21 00:00:00+00:00,-4.7201971993497125,-5.4701971993497125
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-09-20 20:00:00+00:00,2022-09-21 00:00:00+00:00,-10.775527120136811,-11.525527120136811
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-09-20 20:15:00+00:00,2022-09-21 00:15:00+00:00,-9.317595964221619,-10.067595964221619
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-09-22 18:00:00+00:00,2022-09-23 00:00:00+00:00,14.012205429632713,13.262205429632713
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-09-22 18:15:00+00:00,2022-09-23 00:15:00+00:00,18.77597486140246,18.02597486140246
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-09-22 18:30:00+00:00,2022-09-23 00:30:00+00:00,15.806356634795751,15.056356634795751
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-09-23 18:00:00+00:00,2022-09-24 00:00:00+00:00,12.168944483051495,11.418944483051495
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-09-23 18:15:00+00:00,2022-09-24 00:15:00+00:00,16.17399044317439,15.42399044317439
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-09-23 18:30:00+00:00,2022-09-24 00:30:00+00:00,9.255751014885,8.505751014885
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-09-23 20:00:00+00:00,2022-09-24 00:00:00+00:00,13.59659310878819,12.84659310878819
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-10-26 20:15:00+00:00,2022-10-27 00:15:00+00:00,2.7515647722831638,2.0015647722831638
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-10-31 18:00:00+00:00,2022-11-01 00:00:00+00:00,3.246129614690209,2.496129614690209
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-10-31 18:15:00+00:00,2022-11-01 00:15:00+00:00,2.822258445999986,2.072258445999986
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-10-31 18:30:00+00:00,2022-11-01 00:30:00+00:00,1.8828478633353263,1.1328478633353263
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-10-31 20:00:00+00:00,2022-11-01 00:00:00+00:00,2.8565579276680073,2.1065579276680073
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-11-17 18:15:00+00:00,2022-11-18 00:15:00+00:00,-1.7428366111326898,-2.49283661113269
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-11-17 18:30:00+00:00,2022-11-18 00:30:00+00:00,0.26881942778686796,-0.48118057221313204
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-11-17 18:45:00+00:00,2022-11-18 00:45:00+00:00,1.0367017190249186,0.2867017190249186
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2023-01-17 20:00:00+00:00,2023-01-18 00:00:00+00:00,-7.371355221927206,-8.121355221927207
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2023-01-17 20:15:00+00:00,2023-01-18 00:15:00+00:00,-8.850307672987514,-9.600307672987514
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2023-02-03 18:45:00+00:00,2023-02-04 00:45:00+00:00,3.444941375559075,2.694941375559075
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2023-02-03 20:15:00+00:00,2023-02-04 00:15:00+00:00,2.8779634550087434,2.1279634550087434
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2023-02-03 20:30:00+00:00,2023-02-04 00:30:00+00:00,2.449766199871893,1.6997661998718931
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2023-02-06 18:00:00+00:00,2023-02-07 00:00:00+00:00,-10.125967521626924,-10.875967521626924
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2023-02-06 18:15:00+00:00,2023-02-07 00:15:00+00:00,-9.204630207922811,-9.954630207922811
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2023-02-13 18:00:00+00:00,2023-02-14 00:00:00+00:00,11.175575423245151,10.425575423245151
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2023-02-13 18:15:00+00:00,2023-02-14 00:15:00+00:00,7.720364741641303,6.970364741641303
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2023-02-13 18:30:00+00:00,2023-02-14 00:30:00+00:00,7.296461789759345,6.546461789759345
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2023-02-13 18:45:00+00:00,2023-02-14 00:45:00+00:00,6.404943362915342,5.654943362915342
