clock,side,level,partition,k1,clean,clean_h2_rate,fills,fill_rate,h2,opposite,no_h2,h2_hit_rate,resolved_h2_wr,median_min_to_h2,median_mae_ru,tail_fraction,screen
RAW_0530,LONG,F90,reference_validation,102,68,0.7941176470588235,44,0.6470588235294118,36,5,3,0.8181818181818182,0.8780487804878049,20.0,0.2194847443507208,-0.0495579310639602,
RAW_0530,LONG,F90,august,4,0,,0,,0,0,0,,,,,,
RAW_0530,LONG,F90,POOLED_MAJOR,425,294,0.8129251700680272,180,0.6122448979591837,150,15,15,0.8333333333333334,0.9090909090909091,20.0,0.20012193362193814,-0.0467485867855456,SCREEN_PASS
RAW_0530,LONG,F85,external,124,84,0.8095238095238095,55,0.6547619047619048,42,6,7,0.7636363636363637,0.875,25.0,0.14847619047619187,0.025853433468164655,
RAW_0530,LONG,F85,development,199,142,0.823943661971831,90,0.6338028169014085,76,8,6,0.8444444444444444,0.9047619047619048,32.5,0.22294515889518435,-0.06571136401186195,
RAW_0530,LONG,F85,reference_validation,102,68,0.7941176470588235,44,0.6470588235294118,34,6,4,0.7727272727272727,0.85,25.0,0.2760476648975083,-0.11392362787703339,
RAW_0530,LONG,F85,august,4,0,,0,,0,0,0,,,,,,
RAW_0530,LONG,F85,POOLED_MAJOR,425,294,0.8129251700680272,189,0.6428571428571429,152,20,17,0.8042328042328042,0.8837209302325582,27.5,0.22200088047546007,-0.08966481883816524,SCREEN_PASS
RAW_0530,LONG,F80,external,124,84,0.8095238095238095,45,0.5357142857142857,30,8,7,0.6666666666666666,0.7894736842105263,40.0,0.23674859027556072,-0.2085769578097177,
RAW_0530,LONG,F80,development,199,142,0.823943661971831,86,0.6056338028169014,69,10,7,0.8023255813953488,0.8734177215189873,35.0,0.227496159754225,-0.15928050052137427,
RAW_0530,LONG,F80,reference_validation,102,68,0.7941176470588235,45,0.6617647058823529,35,6,4,0.7777777777777778,0.8536585365853658,30.0,0.24559491371480235,-0.10485433767906176,
RAW_0530,LONG,F80,august,4,0,,0,,0,0,0,,,,,,
RAW_0530,LONG,F80,POOLED_MAJOR,425,294,0.8129251700680272,176,0.5986394557823129,134,24,18,0.7613636363636364,0.8481012658227848,35.0,0.23668415429270973,-0.1809010580165065,
RAW_0530,LONG,F75,external,124,84,0.8095238095238095,41,0.4880952380952381,26,8,7,0.6341463414634146,0.7647058823529411,42.5,0.2520550760378115,-0.21826656088853816,
RAW_0530,LONG,F75,development,199,142,0.823943661971831,85,0.5985915492957746,65,11,9,0.7647058823529411,0.8552631578947368,35.0,0.21650831353919042,-0.22050470353157817,
RAW_0530,LONG,F75,reference_validation,102,68,0.7941176470588235,41,0.6029411764705882,31,6,4,0.7560975609756098,0.8378378378378378,30.0,0.22827298050139355,-0.1411314984709481,
RAW_0530,LONG,F75,august,4,0,,0,,0,0,0,,,,,,
RAW_0530,LONG,F75,POOLED_MAJOR,425,294,0.8129251700680272,167,0.5680272108843537,122,25,20,0.7305389221556886,0.8299319727891157,35.0,0.22266666666666124,-0.2038846682225177,
LONDON,LONG,F95,external,120,79,0.8481012658227848,36,0.45569620253164556,34,0,2,0.9444444444444444,1.0,15.0,0.11626091167094832,0.6011537008834064,
LONDON,LONG,F95,development,173,121,0.8181818181818182,43,0.35537190082644626,37,5,1,0.8604651162790697,0.8809523809523809,10.0,0.1752400548696803,0.019353018401658886,
LONDON,LONG,F95,reference_validation,85,50,0.74,19,0.38,15,4,0,0.7894736842105263,0.7894736842105263,20.0,0.28157543391188256,-0.13495532867989862,
LONDON,LONG,F95,august,4,3,0.6666666666666666,1,0.3333333333333333,0,1,0,0.0,0.0,,1.3833639705882383,-0.4333639705882384,
LONDON,LONG,F95,POOLED_MAJOR,378,250,0.812,98,0.392,86,9,3,0.8775510204081632,0.9052631578947369,15.0,0.17064908551504843,0.2775672511823914,
LONDON,LONG,F90,external,120,79,0.8481012658227848,56,0.7088607594936709,47,1,8,0.8392857142857143,0.9791666666666666,20.0,0.16562235015843263,0.25456671542962694,
LONDON,LONG,F90,development,173,121,0.8181818181818182,65,0.5371900826446281,55,6,4,0.8461538461538461,0.9016393442622951,20.0,0.2155792276964008,0.07684236896510051,
LONDON,LONG,F90,reference_validation,85,50,0.74,30,0.6,24,4,2,0.8,0.8571428571428571,20.0,0.30339599161150427,-0.0934188280668713,
LONDON,LONG,F90,august,4,3,0.6666666666666666,1,0.3333333333333333,0,1,0,0.0,0.0,,1.3333639705882385,-0.4333639705882384,
LONDON,LONG,F90,POOLED_MAJOR,378,250,0.812,151,0.604,126,11,14,0.8344370860927153,0.9197080291970803,20.0,0.21106422878574516,0.08566666666666455,SCREEN_PASS
LONDON,LONG,F85,external,120,79,0.8481012658227848,56,0.7088607594936709,46,1,9,0.8214285714285714,0.9787234042553191,27.5,0.15562646015402265,0.23766104893284784,
LONDON,LONG,F85,development,173,121,0.8181818181818182,70,0.5785123966942148,58,7,5,0.8285714285714286,0.8923076923076924,25.0,0.21616264337156416,-0.009436223947681958,
LONDON,LONG,F85,reference_validation,85,50,0.74,34,0.68,26,5,3,0.7647058823529411,0.8387096774193549,20.0,0.3034313863636428,-0.1298427119275902,
LONDON,LONG,F85,august,4,3,0.6666666666666666,1,0.3333333333333333,0,1,0,0.0,0.0,,1.2833639705882383,-0.4333639705882384,
LONDON,LONG,F85,POOLED_MAJOR,378,250,0.812,160,0.64,130,13,17,0.8125,0.9090909090909091,25.0,0.21314504338238688,-0.004024973792363346,SCREEN_PASS
LONDON,LONG,F80,external,120,79,0.8481012658227848,45,0.569620253164557,34,1,10,0.7555555555555555,0.9714285714285714,40.0,0.22488805970149217,0.17177765996492833,
LONDON,LONG,F80,development,173,121,0.8181818181818182,69,0.5702479338842975,54,10,5,0.782608695652174,0.84375,30.0,0.1799944888399002,-0.14687705737847695,
LONDON,LONG,F80,reference_validation,85,50,0.74,35,0.7,26,6,3,0.7428571428571429,0.8125,20.0,0.2737258000790306,-0.17408593163893815,
LONDON,LONG,F80,august,4,3,0.6666666666666666,2,0.6666666666666666,1,1,0,0.5,0.5,5.0,0.6479373470327532,-0.31627864587714133,
