character_rule,lookback_min,hold_min,trades,wr,net,exp,pf,dd,ls,H1_trades,H1_exp,H1_pf,H2_trades,H2_exp,H2_pf,min_half_exp,positive_anchors,dev_eligible
DRIVE_UP__EXT_LOW,360,240,138,0.42028985507246375,-157.50517463014518,-1.1413418451459796,0.5856583920617012,244.20200759754425,14,48,-0.21158373556835805,0.9112942795825987,90,-1.637212836920711,0.44531026117138983,-1.637212836920711,0,False
DRIVE_UP__EXT_LOW,360,360,138,0.4492753623188406,-236.68227132362387,-1.7150889226349555,0.5870601991687013,262.069074639296,14,48,-2.53046032887672,0.34691089711038514,90,-1.2802241726393482,0.7024143285367679,-2.53046032887672,0,False
DRIVE_UP__EXT_LOW,360,480,138,0.38405797101449274,-271.7863218449613,-1.9694661003258067,0.65099675125143,371.2659628062355,15,48,-1.6031376658674088,0.6545412831820473,90,-2.1648412653702853,0.6495767158178868,-2.1648412653702853,0,False
DRIVE_UP__EXT_MID,60,120,158,0.5,-90.65512895739683,-0.573766638970866,0.7715351716602197,151.50618376586675,10,61,-1.2838502692621332,0.6082342939817381,97,-0.12721920136501771,0.9373269243492034,-1.2838502692621332,1,False
DRIVE_UP__EXT_MID,60,240,158,0.5253164556962026,-5.300933377393228,-0.03355021124932423,0.9868592923793074,129.71553897508815,7,61,-0.08975131809479085,0.9725537198421859,97,0.0017927528493715823,1.0008527563614882,-0.08975131809479085,2,False
DRIVE_UP__EXT_MID,60,360,158,0.569620253164557,84.50800193432127,0.5348607717362106,1.1745133951421656,143.67896447982542,9,61,-0.662683673370185,0.8192183616204656,97,1.2879557320608508,1.4793189038149375,-0.662683673370185,3,False
DRIVE_UP__EXT_MID,60,480,158,0.5189873417721519,132.5942411093739,0.8392040576542653,1.2052935608089574,153.9078928682414,7,61,-0.8975097575719407,0.8068163856395283,97,1.9313642919717757,1.5168392245424582,-0.8975097575719407,3,False
DRIVE_UP__EXT_MID,120,120,155,0.43870967741935485,-68.10873229721909,-0.43941117611109093,0.7949344352811925,123.59250267180258,15,71,-0.5296342216677259,0.7459632929167628,84,-0.3631512209382207,0.8343085975765132,-0.5296342216677259,1,False
DRIVE_UP__EXT_MID,120,240,155,0.5290322580645161,11.764255992920074,0.07589842576077467,1.0350127854998716,110.52723457960393,11,71,0.5718479005865246,1.3207797540295545,84,-0.3432969636752758,0.8623065075078465,-0.3432969636752758,2,False
DRIVE_UP__EXT_MID,120,360,155,0.5935483870967742,116.24270910113526,0.7499529619428081,1.2863714681324945,74.26201804853036,5,71,1.196772271266654,1.5748887292638778,84,0.37228426001431936,1.1211563003686027,0.37228426001431936,2,True
DRIVE_UP__EXT_MID,120,480,155,0.5032258064516129,4.625644968330235,0.029842870763420872,1.0072656442578332,181.62719563369512,8,71,-0.06494137674883452,0.9812125632822506,84,0.10995812758925587,1.0236091387742996,-0.06494137674883452,2,False
DRIVE_UP__EXT_MID,180,120,166,0.45180722891566266,12.812339453651404,0.07718276779308075,1.0515349054680123,76.68818163567731,13,84,-0.02919070672908157,0.9794398848995759,82,0.1861507173035884,1.1180047093307546,-0.02919070672908157,2,False
DRIVE_UP__EXT_MID,180,240,166,0.5301204819277109,12.29465883308221,0.07406420983784463,1.037755919942678,107.3411732404724,8,84,-0.1297413191034978,0.9386955626875295,82,0.28284060533873195,1.1568549137138795,-0.1297413191034978,1,False
DRIVE_UP__EXT_MID,180,360,166,0.5542168674698795,246.41828524120308,1.4844475014530305,1.6624524453321576,83.02377778831567,6,84,1.1352127053966417,1.5243589072460728,82,1.8422002193644536,1.7945416123870186,1.1352127053966417,4,True
DRIVE_UP__EXT_MID,180,480,166,0.5301204819277109,196.70509859969513,1.1849704734921394,1.3292860067704506,187.29092718474334,9,84,-0.7583288178037803,0.818544966514355,82,3.1756673084782037,2.0571828813038744,-0.7583288178037803,3,False
DRIVE_UP__EXT_MID,240,120,153,0.42483660130718953,-88.038971618713,-0.575418115154987,0.7109562335564311,126.90357937406321,12,77,-0.0776794648525125,0.9443381100450242,76,-1.0797059582245991,0.5837361250485564,-1.0797059582245991,0,False
DRIVE_UP__EXT_MID,240,240,153,0.49019607843137253,-61.412968568887024,-0.40139195143063416,0.8397816253649636,118.96434975928926,12,77,-0.20372114160285826,0.9163452167497356,76,-0.6016636929666701,0.7664550435587392,-0.6016636929666701,1,False
DRIVE_UP__EXT_MID,240,360,153,0.5228758169934641,131.34574364109733,0.8584689126869106,1.298543949893116,80.78005245171464,7,77,0.9960959261592045,1.3947722985148858,76,0.7190310174584024,1.2224409501539768,0.7190310174584024,3,False
DRIVE_UP__EXT_MID,240,480,153,0.5294117647058824,96.12285735318831,0.6282539696286817,1.1589448339197352,177.09477207820288,10,77,-0.022417873134820077,0.9940683581672949,76,1.287487284007493,1.3118748416704935,-0.022417873134820077,3,False
DRIVE_UP__EXT_MID,360,120,144,0.4722222222222222,-31.062411246449535,-0.2157111892114551,0.8878649430761866,82.12054679843872,7,64,-0.115516918503479,0.9204436617954683,80,-0.2958666057778362,0.8714182677208568,-0.2958666057778362,1,False
DRIVE_UP__EXT_MID,360,240,144,0.6180555555555556,67.22584737142012,0.4668461623015286,1.2397104235243328,82.05119195214289,6,64,0.19672197294009594,1.1187517501588486,80,0.6829455137906748,1.3132331305215594,0.19672197294009594,3,False
DRIVE_UP__EXT_MID,360,360,144,0.6319444444444444,71.7963037898954,0.49858544298538476,1.1665114783947628,134.11573602040383,10,64,0.6394309044808704,1.2489926241110076,80,0.38590907378899625,1.115705011750695,0.38590907378899625,3,False
DRIVE_UP__EXT_MID,360,480,144,0.5416666666666666,36.8181735352527,0.2556817606614771,1.0590168353878178,275.1851347020685,11,64,-0.5118143532168667,0.8630376194903824,80,0.869678651764152,1.1808545962486066,-0.5118143532168667,3,False
DRIVE_UP__EXT_HIGH,60,120,154,0.4025974025974026,-68.74140140879544,-0.4463727364207496,0.7491147466205594,81.14240433292939,17,66,-0.8408772795044914,0.5888430224382449,88,-0.15049432910794314,0.9047336725663473,-0.8408772795044914,0,False
DRIVE_UP__EXT_HIGH,60,240,154,0.44805194805194803,-106.03234000058862,-0.6885216883155105,0.7318709206377436,143.4305832658609,8,66,-0.5646119682863276,0.8016091826174164,88,-0.7814539783373973,0.668778711913867,-0.7814539783373973,1,False
DRIVE_UP__EXT_HIGH,60,360,154,0.512987012987013,-70.70753967272654,-0.4591398680047178,0.871541874789928,210.4231844858078,8,66,-0.8557835431142388,0.7845782473620072,88,-0.16165711167257737,0.9506461186502622,-0.8557835431142388,2,False
DRIVE_UP__EXT_HIGH,60,480,154,0.4675324675324675,-130.73493001480335,-0.8489281169792425,0.8342151046637897,367.566156389523,10,66,-0.753935632041709,0.8600534246464937,88,-0.9201724806823924,0.8129986380495444,-0.9201724806823924,0,False
DRIVE_UP__EXT_HIGH,120,120,154,0.44155844155844154,-37.961142817437384,-0.24650092738595705,0.8638763937765763,94.70991813968622,11,63,-0.29039435047105266,0.835198560021537,91,-0.21611317294242927,0.8828418737623416,-0.29039435047105266,1,False
DRIVE_UP__EXT_HIGH,120,240,154,0.4805194805194805,-14.023372362417177,-0.09106085949621544,0.9597403241675213,101.93953290429707,8,63,0.8096876869661319,1.4145009501564996,91,-0.7146560070470712,0.7112931680564742,-0.7146560070470712,2,False
DRIVE_UP__EXT_HIGH,120,360,154,0.5584415584415584,54.87808730267349,0.3563512162511266,1.1157454353017418,99.0808956063312,8,63,0.021031813836192226,1.006718325627757,91,0.588495417923004,1.1933987242406252,0.021031813836192226,2,False
