role,partition,component,outcome,n,entry_to_e20_min_q25,entry_to_e20_min_q50,entry_to_e20_min_q75,break_to_e20_min_q25,break_to_e20_min_q50,break_to_e20_min_q75,e20_bar_close_R_q25,e20_bar_close_R_q50,e20_bar_close_R_q75,e20_bar_close_vs_E20_R_q25,e20_bar_close_vs_E20_R_q50,e20_bar_close_vs_E20_R_q75,running_mae_R_to_e20_q25,running_mae_R_to_e20_q50,running_mae_R_to_e20_q75,closes_gt_H_to_e20_q25,closes_gt_H_to_e20_q50,closes_gt_H_to_e20_q75,trigger_close_R_q25,trigger_close_R_q50,trigger_close_R_q75,trigger_close_vs_E10_R_q25,trigger_close_vs_E10_R_q50,trigger_close_vs_E10_R_q75,trigger_high_R_q25,trigger_high_R_q50,trigger_high_R_q75,trigger_low_R_q25,trigger_low_R_q50,trigger_low_R_q75,trigger_body_R_q25,trigger_body_R_q50,trigger_body_R_q75,trigger_upper_wick_R_q25,trigger_upper_wick_R_q50,trigger_upper_wick_R_q75,trigger_lower_wick_R_q25,trigger_lower_wick_R_q50,trigger_lower_wick_R_q75,post_e20_peak_R_q25,post_e20_peak_R_q50,post_e20_peak_R_q75,giveback_peak_to_trigger_close_R_q25,giveback_peak_to_trigger_close_R_q50,giveback_peak_to_trigger_close_R_q75,running_mfe_R_to_trigger_q25,running_mfe_R_to_trigger_q50,running_mfe_R_to_trigger_q75,trigger_traded_E25_rate,trigger_traded_E30_rate
REF_SUPPORT,external,PARENT,TRIGGERED_E40_RECOVERY,15,2.5,15.0,75.0,0.0,7.5,15.0,0.056723251028808944,0.1318074191002353,0.17744629384322974,-0.14327674897119108,-0.06819258089976471,-0.022553706156770256,0.12342338240310069,0.23237179487179332,0.40257082413539336,1.0,3.0,4.0,0.02479393408187073,0.07355679702048216,0.08860522534555731,-0.07520606591812928,-0.02644320297951784,-0.011394774654442691,0.13106259968102008,0.1701030927835072,0.22452586200681024,-0.009260773237703574,0.02474226804123899,0.059424048949189734,0.030744181444822213,0.06276150627615075,0.11244290567366375,0.03240291016534088,0.054003724394788094,0.0792462845010646,0.010586419753086822,0.02196652719665265,0.0705035135214166,0.21735113750070154,0.24516908212560726,0.282987496674646,0.14936900588170648,0.18979266347687448,0.21656851581681752,0.21735113750070154,0.24516908212560726,0.282987496674646,0.06666666666666667,0.0
REF_SUPPORT,external,PARENT,TRIGGERED_TRUE_STALLER,22,0.0,5.0,10.0,0.0,5.0,10.0,0.09065877835322969,0.15450494778852827,0.19499185780418582,-0.10934122164677032,-0.04549505221147174,-0.005008142195814205,0.12087185501066003,0.16032013813554385,0.1877952417942454,1.0,2.0,3.0,0.019788230210292527,0.029614844505695036,0.05453665626528352,-0.08021176978970748,-0.07038515549430496,-0.045463343734716485,0.15866666087881595,0.18716408161024073,0.21571394192077592,-0.0651686869877387,-0.012644359558717792,0.015096879114809923,0.06408147082950147,0.1218666666666685,0.1539106388056881,0.016512210104393216,0.04481338712791116,0.0649382139885966,0.023981448162807457,0.04278942918565825,0.07511663640113667,0.21057394993057674,0.23077750173431855,0.26842352552854143,0.1786713516681902,0.21935557068300437,0.2558417475066031,0.21057394993057674,0.23077750173431855,0.26842352552854143,0.13636363636363635,0.09090909090909091
REF_SUPPORT,reference_validation,PARENT,TRIGGERED_E40_RECOVERY,18,1.25,17.5,82.5,0.0,5.0,5.0,-0.01903044871795194,0.08302633109706369,0.13961859494551318,-0.21903044871795196,-0.11697366890293631,-0.060381405054486824,0.20833333333332785,0.28746501978191424,0.4168669871794878,1.0,2.0,3.75,-0.09879370896320167,0.0045042875036109264,0.07513665700737573,-0.19879370896320167,-0.09549571249638908,-0.024863342992624264,0.054449152542370746,0.1385917909183343,0.16534671241621718,-0.19796080508474392,-0.043589743589741235,0.0390222293814392,0.05964701417003905,0.08761096792668484,0.1428551128289646,0.01607939339874765,0.037713571329349334,0.05934495192308109,0.021868501039834856,0.03905455777702867,0.0762639029322506,0.2221153846153878,0.24524322996287568,0.2782517044893095,0.1895601455479432,0.27768691588785566,0.3147473560517006,0.2221153846153878,0.24524322996287568,0.2782517044893095,0.16666666666666666,0.0
REF_SUPPORT,reference_validation,PARENT,TRIGGERED_TRUE_STALLER,28,0.0,5.0,15.0,0.0,5.0,5.0,0.06320043103449048,0.1211897915168958,0.18465214492109394,-0.13679956896550954,-0.07881020848310422,-0.015347855078906063,0.13749312809235786,0.1680484693877529,0.2829545454545461,1.0,1.5,2.0,0.025362872421707008,0.05776926877470583,0.07913425205601177,-0.074637127578293,-0.04223073122529417,-0.02086574794398824,0.13733552631579177,0.17360492588178858,0.21859735697557756,-0.005698815073816234,0.01698058533758729,0.03756048188012295,0.05287383177570006,0.08837749883774548,0.1405060405744254,0.01325953280368564,0.03980263157895138,0.07936936177388565,0.013155076395828257,0.024678220330396457,0.05307912638740564,0.23047034209167608,0.25878790226768145,0.2807976002136823,0.16632239940510457,0.2042707309827947,0.24733988131777954,0.23047034209167608,0.25878790226768145,0.2807976002136823,0.10714285714285714,0.03571428571428571
CENTRAL,development,REC_H2,TRIGGERED_TRUE_STALLER,5,5.0,10.0,25.0,5.0,10.0,10.0,0.14102564102564702,0.14551083591331437,0.17567567567568035,-0.05897435897435299,-0.05448916408668564,-0.024324324324319663,0.06837606837606723,0.10216718266253695,0.27205882352940935,2.0,3.0,3.0,0.07352941176470876,0.07478632478632999,0.09339622641509525,-0.026470588235291248,-0.025213675213670017,-0.006603773584904757,0.14705882352941319,0.18918918918919125,0.21153846153846445,0.029411764705883504,0.05128205128205346,0.056603773584907834,0.06623931623931703,0.08108108108108471,0.08978328173374575,0.0009433962264142369,0.013513513513510919,0.07051282051281743,0.02350427350427653,0.029411764705883504,0.030959752321986226,0.2162162162162227,0.22910216718266177,0.2500000000000011,0.13675213675213446,0.17337461300309315,0.17647058823529235,0.2162162162162227,0.22910216718266177,0.2500000000000011,0.2,0.2
CENTRAL,development,REC_H2,TRIGGERED_E40_RECOVERY,1,0.0,0.0,0.0,,,,-0.048140043763672716,-0.048140043763672716,-0.048140043763672716,-0.2481400437636727,-0.2481400437636727,-0.2481400437636727,0.22100656455142,0.22100656455142,0.22100656455142,0.0,0.0,0.0,-0.2800875273522974,-0.2800875273522974,-0.2800875273522974,-0.38008752735229745,-0.38008752735229745,-0.38008752735229745,-0.024070021881836358,-0.024070021881836358,-0.024070021881836358,-0.3960612691466098,-0.3960612691466098,-0.3960612691466098,0.23413566739605943,0.23413566739605943,0.23413566739605943,0.02188183807440164,0.02188183807440164,0.02188183807440164,0.11597374179431236,0.11597374179431236,0.11597374179431236,0.34573304157549456,0.34573304157549456,0.34573304157549456,0.625820568927792,0.625820568927792,0.625820568927792,0.34573304157549456,0.34573304157549456,0.34573304157549456,0.0,0.0
CENTRAL,external,REC_H2,TRIGGERED_TRUE_STALLER,8,5.0,20.0,35.0,3.75,10.0,16.25,0.11900443539935557,0.17321628590888188,0.20552993539334008,-0.08099556460064444,-0.026783714091118127,0.005529935393340055,0.06046159743617977,0.15088811759902,0.20472724825921776,1.75,3.0,4.25,0.04223855822475829,0.058191943771160465,0.08338810363090116,-0.057761441775241715,-0.04180805622883954,-0.016611896369098853,0.15163183237249417,0.18199687523945252,0.23556464293390386,-0.039324947280662714,0.02341796110775662,0.05611219808183933,0.07798417522532093,0.09220171224578144,0.16349481380353872,0.0067024128686319516,0.02320319116247293,0.03388966367531671,0.005229972664598148,0.022952715432069972,0.07760709500216018,0.21382244490777552,0.23452521028346784,0.25666610120255434,0.16851752965952504,0.1971395021376757,0.20909032247067616,0.21382244490777552,0.23452521028346784,0.25666610120255434,0.25,0.125
CENTRAL,external,REC_H2,TRIGGERED_E40_RECOVERY,1,10.0,10.0,10.0,10.0,10.0,10.0,0.20328705252592877,0.20328705252592877,0.20328705252592877,0.0032870525259287575,0.0032870525259287575,0.0032870525259287575,0.38700234192037347,0.38700234192037347,0.38700234192037347,3.0,3.0,3.0,0.08945299431248019,0.08945299431248019,0.08945299431248019,-0.010547005687519817,-0.010547005687519817,-0.010547005687519817,0.22461525593844214,0.22461525593844214,0.22461525593844214,0.047465707594514066,0.047465707594514066,0.047465707594514066,0.1185597189695537,0.1185597189695537,0.1185597189695537,0.016602542656408262,0.016602542656408262,0.016602542656408262,0.041987286717966116,0.041987286717966116,0.041987286717966116,0.22461525593844214,0.22461525593844214,0.22461525593844214,0.13516226162596195,0.13516226162596195,0.13516226162596195,0.22461525593844214,0.22461525593844214,0.22461525593844214,0.0,0.0
CENTRAL,reference_validation,REC_H2,TRIGGERED_TRUE_STALLER,9,20.0,50.0,85.0,0.0,5.0,35.0,0.11450381679389789,0.14953271028037057,0.1904761904761914,-0.08549618320610212,-0.05046728971962944,-0.009523809523808602,0.14545454545455047,0.16883116883116692,0.42990654205607537,1.0,2.0,8.0,0.048484848484847284,0.06542056074766378,0.08679706601467098,-0.05151515151515272,-0.034579439252336225,-0.013202933985329027,0.12977099236641398,0.15420560747663464,0.19480519480520678,-0.013605442176868052,0.03896103896104136,0.06297709923664384,0.036259541984732524,0.08411214953270679,0.11775700934579367,0.012987012987001481,0.014669926650363842,0.023809523809536295,0.012987012987038393,0.020408163265306912,0.04242424242424676,0.21428571428572515,0.21946564885496372,0.24675324675324964,0.13931297709923518,0.15757575757576014,0.2224299065420559,0.21428571428572515,0.21946564885496372,0.24675324675324964,0.0,0.0
CENTRAL,reference_validation,REC_H2,TRIGGERED_E40_RECOVERY,3,5.0,5.0,32.5,2.5,5.0,5.0,0.08768098433172929,0.15606936416185022,0.16197628792034235,-0.11231901566827072,-0.043930635838149795,-0.03802371207965766,0.12696270565869716,0.17363344051447527,0.5203427318179314,1.5,2.0,2.0,0.04978966476466558,0.07707129094412445,0.08598090094651298,-0.05021033523533443,-0.02292870905587556,-0.014019099053487034,0.12044867386577135,0.20231213872832599,0.23619256571452918,-0.052741792589011384,0.013487475915225748,0.028641548176591737,0.03445443237026746,0.06569343065693659,0.07234575193733117,0.03115997249224289,0.04624277456647576,0.07786591283068504,0.05733935276992123,0.06358381502889869,0.10092374031187779,0.20726539412300443,0.21221864951768285,0.24114582110920763,0.1502116647680162,0.17518248175183088,0.18244654634215351,0.20726539412300443,0.21221864951768285,0.24114582110920763,0.3333333333333333,0.0
CLOCK_SUPPORT,external,REC_H2,TRIGGERED_TRUE_STALLER,8,3.75,10.0,23.75,3.75,7.5,11.25,0.131027440037546,0.14874524098179404,0.19240509788238733,-0.06897255996245402,-0.051254759018205975,-0.007594902117612677,0.08395784452951643,0.11685749380901156,0.18079764758705438,1.75,2.5,3.25,0.05011232722608634,0.06367978106149783,0.07652866619350378,-0.04988767277391366,-0.03632021893850219,-0.023471333806496224,0.1416690142113271,0.19781502476153612,0.19942148268889207,-0.01448365379997909,0.03603099082290993,0.059672233669812995,0.06835775278148139,0.0962073778277488,0.11062914538553972,0.009966569726697481,0.012529541045408975,0.0332135518638411,0.00710671652747047,0.025750531006744144,0.061009416333938075,0.20775840721615968,0.2286403517042419,0.27356020942408155,0.15588180421531012,0.16789229615917506,0.19589877835951347,0.20775840721615968,0.2286403517042419,0.27356020942408155,0.0,0.0
CLOCK_SUPPORT,external,REC_H2,TRIGGERED_E40_RECOVERY,2,90.0,140.0,190.0,11.25,12.5,13.75,0.17956940405978894,0.19500506951775362,0.2104407349757183,-0.020430595940211085,-0.00499493048224639,0.010440734975718305,0.26165554837572064,0.38802619131836186,0.5143968342610031,3.25,3.5,3.75,0.06468558302566345,0.07560976787503768,0.0865339527244119,-0.03531441697433655,-0.024390232124962326,-0.013466047275588101,0.23256271377015642,0.24495065550384068,0.25733859723752495,0.0524325435119879,0.06744107486592064,0.0824496062198534,0.11859981965588809,0.12074827153062148,0.12289672340535486,0.04790792110775819,0.048592616098181544,0.0492773110886049,0.004084346504558517,0.008168693009117035,0.012253039513675552,0.28337605303715035,0.28673690850591416,0.290097763974678,0.2035638112502661,0.2111271406308765,0.21869047001148692,0.28337605303715035,0.28673690850591416,0.290097763974678,0.5,0.0
CLOCK_SUPPORT,reference_validation,REC_H2,TRIGGERED_TRUE_STALLER,5,10.0,20.0,25.0,10.0,10.0,15.0,0.06293706293706533,0.1190476190476118,0.16503667481662712,-0.13706293706293468,-0.08095238095238821,-0.03496332518337289,0.08235294117647078,0.11904761904762871,0.16455696202531236,3.0,3.0,4.0,0.0595238095238059,0.08679706601467098,0.09790209790209832,-0.04047619047619411,-0.013202933985329027,-0.0020979020979016855,0.1784841075794615,0.1898734177215281,0.2202797202797237,0.04705882352941068,0.04761904761903795,0.05944055944056005,0.041176470588239575,0.0595238095238059,0.07701711491442668,0.014669926650363842,0.02352941176470116,0.10714285714286077,0.01176470588235058,0.011904761904767946,0.012224938875306677,0.2202797202797237,0.22619047619047256,0.2352941176470534,0.12237762237762538,0.13529411764705257,0.16666666666666666,0.2202797202797237,0.22619047619047256,0.2352941176470534,0.0,0.0
CLOCK_SUPPORT,reference_validation,REC_H2,TRIGGERED_E40_RECOVERY,2,1.25,2.5,3.75,1.25,2.5,3.75,0.11582603443068226,0.12700090607067194,0.13817577771066164,-0.08417396556931775,-0.07299909392932806,-0.06182422228933838,0.03529900332226156,0.04734219269103129,0.059385382059801026,1.25,1.5,1.75,0.029824826336451615,0.04802174569616145,0.06621866505587129,-0.07017517366354839,-0.05197825430383855,-0.03378133494412872,0.2214021443672557,0.2276880096647512,0.2339738749622467,-0.0033411356085775376,0.010759589247961734,0.024860314104501003,0.06563349441256425,0.07282543038356809,0.08001736635457193,0.10212171549381116,0.10684083358502165,0.11155995167623214,0.03316596194502915,0.03726215644819971,0.041358350951370276,0.2214021443672557,0.2276880096647512,0.2339738749622467,0.1677552099063754,0.17966626396858976,0.19157731803080408,0.2214021443672557,0.2276880096647512,0.2339738749622467,0.0,0.0
REF_SUPPORT,external,REC_H2,TRIGGERED_TRUE_STALLER,10,5.0,5.0,18.75,0.0,2.5,5.0,0.10143017964719805,0.13554377475157048,0.19088506995905744,-0.09856982035280196,-0.06445622524842953,-0.009114930040942576,0.05923896871082264,0.12686810708794818,0.19515180265655283,1.0,1.5,2.0,0.013227866875075094,0.04445385101931169,0.0567636754921294,-0.0867721331249249,-0.05554614898068832,-0.043236324507870606,0.13343428335406554,0.16180920051288045,0.2013652717472584,-0.04057815749542193,-0.023856331762371827,0.04269086589991572,0.07727677635715863,0.10195613362056008,0.12387069613667748,0.002686870953423815,0.015094013144220205,0.035123339658439064,0.006216501795070102,0.030197666899017834,0.052659772011159726,0.2108882237482263,0.22663888443660712,0.24615394043156766,0.1884126486296979,0.19695424296551978,0.20078846493825017,0.2108882237482263,0.22663888443660712,0.24615394043156766,0.1,0.0
REF_SUPPORT,external,REC_H2,TRIGGERED_E40_RECOVERY,1,20.0,20.0,20.0,15.0,15.0,15.0,0.11619090098126984,0.11619090098126984,0.11619090098126984,-0.08380909901873017,-0.08380909901873017,-0.08380909901873017,0.18421052631578763,0.18421052631578763,0.18421052631578763,4.0,4.0,4.0,0.031668153434432564,0.031668153434432564,0.031668153434432564,-0.06833184656556744,-0.06833184656556744,-0.06833184656556744,0.11574487065120527,0.11574487065120527,0.11574487065120527,-0.06266726137377461,-0.06266726137377461,-0.06266726137377461,0.08385370205174042,0.08385370205174042,0.08385370205174042,0.00022301516503228655,0.00022301516503228655,0.00022301516503228655,0.09433541480820717,0.09433541480820717,0.09433541480820717,0.2069580731489731,0.2069580731489731,0.2069580731489731,0.17528991971454055,0.17528991971454055,0.17528991971454055,0.2069580731489731,0.2069580731489731,0.2069580731489731,0.0,0.0
REF_SUPPORT,reference_validation,REC_H2,TRIGGERED_TRUE_STALLER,5,25.0,45.0,50.0,5.0,20.0,30.0,0.07670454545454643,0.14953271028037057,0.19480519480520678,-0.12329545454545358,-0.05046728971962944,-0.005194805194793234,0.09345794392523374,0.16883116883116692,0.42990654205607537,2.0,5.0,7.0,0.04971590909091036,0.05194805194807975,0.06542056074766378,-0.05028409090908965,-0.04805194805192026,-0.034579439252336225,0.09517045454545489,0.15420560747663464,0.19480519480520678,-0.002840909090908529,0.03896103896104136,0.06074766355139972,0.028409090909091345,0.08411214953270679,0.11775700934579367,0.012987012987001481,0.01704545454545319,0.033644859813085425,0.012987012987038393,0.020560747663553973,0.052556818181818885,0.21495327102803435,0.24675324675324964,0.27167630057803116,0.1534090909090888,0.1948051948051699,0.2224299065420559,0.21495327102803435,0.24675324675324964,0.27167630057803116,0.0,0.0
REF_SUPPORT,reference_validation,REC_H2,TRIGGERED_E40_RECOVERY,1,60.0,60.0,60.0,0.0,0.0,0.0,0.15606936416185022,0.15606936416185022,0.15606936416185022,-0.043930635838149795,-0.043930635838149795,-0.043930635838149795,0.8670520231213876,0.8670520231213876,0.8670520231213876,1.0,1.0,1.0,0.07707129094412445,0.07707129094412445,0.07707129094412445,-0.02292870905587556,-0.02292870905587556,-0.02292870905587556,0.20231213872832599,0.20231213872832599,0.20231213872832599,0.013487475915225748,0.013487475915225748,0.013487475915225748,0.07899807321772577,0.07899807321772577,0.07899807321772577,0.04624277456647576,0.04624277456647576,0.04624277456647576,0.06358381502889869,0.06358381502889869,0.06358381502889869,0.20231213872832599,0.20231213872832599,0.20231213872832599,0.12524084778420153,0.12524084778420153,0.12524084778420153,0.20231213872832599,0.20231213872832599,0.20231213872832599,0.0,0.0
