partition,transition,date_utc,previous_session_high,previous_session_low,side,sweep_ts,bos_ts,bos_level,bos_level_ts,retest_ts,entry_ts,entry_px,sweep_extreme,stop_px,target_px,risk_pct,exit_reason,exit_ts,exit_px,gross_return,gross_pnl_usd,net_pnl_usd,hold_minutes
external,LONDON_TO_NEWYORK,2020-01-20,8686.0,8526.06,SHORT,2020-01-20 16:10:00+00:00,2020-01-20 16:35:00+00:00,8673.5,2020-01-20 16:00:00+00:00,2020-01-20 16:40:00+00:00,2020-01-20 16:45:00+00:00,8666.0,8696.25,8696.25,8605.5,0.003490653127163628,TIME_EXIT_SESSION_END,2020-01-20 20:00:00+00:00,8678.63,-0.001457419801523141,-0.7287099007615705,-1.1287099007615704,195.0
external,ASIA_TO_LONDON,2020-01-21,8700.0,8621.27,LONG,2020-01-21 10:25:00+00:00,2020-01-21 10:35:00+00:00,8644.4,2020-01-21 09:55:00+00:00,2020-01-21 12:00:00+00:00,2020-01-21 12:05:00+00:00,8645.22,8608.71,8608.71,8718.24,0.004223142962238118,TIME_EXIT_SESSION_END,2020-01-21 13:30:00+00:00,8655.6,0.0012006634880317169,0.6003317440158584,0.2003317440158584,85.0
external,LONDON_TO_NEWYORK,2020-01-22,8749.0,8616.09,LONG,2020-01-22 16:35:00+00:00,2020-01-22 17:50:00+00:00,8665.0,2020-01-22 16:20:00+00:00,2020-01-22 18:40:00+00:00,2020-01-22 18:45:00+00:00,8666.7,8585.85,8585.85,8828.400000000001,0.00932881027380668,TIME_EXIT_SESSION_END,2020-01-22 20:00:00+00:00,8671.66,0.0005723054911326297,0.28615274556631487,-0.11384725443368515,75.0
external,LONDON_TO_NEWYORK,2020-01-23,8625.0,8374.0,LONG,2020-01-23 14:35:00+00:00,2020-01-23 15:15:00+00:00,8382.56,2020-01-23 14:15:00+00:00,2020-01-23 15:25:00+00:00,2020-01-23 15:30:00+00:00,8391.72,8354.05,8354.05,8467.06,0.004488948630316559,SL,2020-01-23 16:10:00+00:00,8354.05,-0.004488948630316569,-2.2444743151582847,-2.6444743151582846,40.0
external,ASIA_TO_LONDON,2020-01-27,8700.0,8611.0,LONG,2020-01-27 09:00:00+00:00,2020-01-27 10:05:00+00:00,8653.91,2020-01-27 08:40:00+00:00,2020-01-27 10:10:00+00:00,2020-01-27 10:15:00+00:00,8658.45,8593.43,8593.43,8788.490000000002,0.0075094272069481756,TIME_EXIT_SESSION_END,2020-01-27 13:30:00+00:00,8747.61,0.010297455087227014,5.148727543613507,4.748727543613507,195.0
external,LONDON_TO_NEWYORK,2020-01-28,9125.42,8952.41,SHORT,2020-01-28 14:40:00+00:00,2020-01-28 14:45:00+00:00,9081.5,2020-01-28 14:00:00+00:00,2020-01-28 14:50:00+00:00,2020-01-28 14:55:00+00:00,9053.0,9164.95,9164.95,8829.099999999999,0.012366066497293795,TIME_EXIT_SESSION_END,2020-01-28 20:00:00+00:00,9018.42,0.003819728266872824,1.909864133436412,1.509864133436412,305.0
external,ASIA_TO_LONDON,2020-01-29,9450.0,9291.5,LONG,2020-01-29 10:00:00+00:00,2020-01-29 10:30:00+00:00,9367.0,2020-01-29 09:40:00+00:00,2020-01-29 10:40:00+00:00,2020-01-29 10:45:00+00:00,9368.73,9266.0,9266.0,9574.189999999999,0.010965200192555402,SL,2020-01-29 11:20:00+00:00,9266.0,-0.010965200192555424,-5.482600096277713,-5.882600096277713,35.0
external,LONDON_TO_NEWYORK,2020-01-30,9415.2,9322.12,SHORT,2020-01-30 14:00:00+00:00,2020-01-30 14:50:00+00:00,9376.94,2020-01-30 13:35:00+00:00,2020-01-30 15:20:00+00:00,2020-01-30 15:25:00+00:00,9372.23,9425.72,9425.72,9265.25,0.005707286312862551,SL,2020-01-30 16:15:00+00:00,9425.72,-0.005707286312862658,-2.853643156431329,-3.253643156431329,50.0
external,LONDON_TO_NEWYORK,2020-02-03,9407.0,9304.0,LONG,2020-02-03 17:45:00+00:00,2020-02-03 18:40:00+00:00,9313.0,2020-02-03 17:30:00+00:00,2020-02-03 18:45:00+00:00,2020-02-03 18:50:00+00:00,9321.69,9276.0,9276.0,9413.070000000002,0.004901471728838923,TIME_EXIT_SESSION_END,2020-02-03 20:00:00+00:00,9332.16,0.0011231868899308495,0.5615934449654247,0.16159344496542472,70.0
external,LONDON_TO_NEWYORK,2020-02-12,10395.0,10235.52,SHORT,2020-02-12 14:10:00+00:00,2020-02-12 15:00:00+00:00,10361.0,2020-02-12 13:45:00+00:00,2020-02-12 16:35:00+00:00,2020-02-12 16:40:00+00:00,10355.99,10410.04,10410.04,10247.889999999998,0.005219201640789639,TIME_EXIT_SESSION_END,2020-02-12 20:00:00+00:00,10328.07,0.0026960242333181617,1.3480121166590808,0.9480121166590808,200.0
external,ASIA_TO_LONDON,2020-02-14,10299.0,10123.37,SHORT,2020-02-14 10:40:00+00:00,2020-02-14 11:05:00+00:00,10247.24,2020-02-14 10:25:00+00:00,2020-02-14 11:15:00+00:00,2020-02-14 11:20:00+00:00,10243.41,10310.0,10310.0,10110.23,0.00650076488200708,TIME_EXIT_SESSION_END,2020-02-14 13:30:00+00:00,10258.75,-0.0014975481797565582,-0.7487740898782791,-1.148774089878279,130.0
external,LONDON_TO_NEWYORK,2020-02-14,10310.0,10125.01,SHORT,2020-02-14 14:35:00+00:00,2020-02-14 14:45:00+00:00,10283.0,2020-02-14 14:20:00+00:00,2020-02-14 15:15:00+00:00,2020-02-14 15:20:00+00:00,10281.03,10339.28,10339.28,10164.53,0.005665774732687289,SL,2020-02-14 18:10:00+00:00,10339.28,-0.0056657747326873675,-2.8328873663436838,-3.2328873663436837,170.0
external,LONDON_TO_NEWYORK,2020-02-17,9844.75,9585.0,LONG,2020-02-17 14:50:00+00:00,2020-02-17 15:00:00+00:00,9568.0,2020-02-17 14:35:00+00:00,2020-02-17 15:10:00+00:00,2020-02-17 15:15:00+00:00,9581.16,9559.19,9559.19,9625.099999999999,0.002293041761122802,SL,2020-02-17 15:25:00+00:00,9559.19,-0.0022930417611227716,-1.1465208805613858,-1.5465208805613857,10.0
external,LONDON_TO_NEWYORK,2020-02-19,10258.5,10026.08,SHORT,2020-02-19 17:30:00+00:00,2020-02-19 17:45:00+00:00,10192.0,2020-02-19 17:15:00+00:00,2020-02-19 18:40:00+00:00,2020-02-19 18:45:00+00:00,10185.14,10286.0,10286.0,9983.419999999998,0.009902662113628344,TIME_EXIT_SESSION_END,2020-02-19 20:00:00+00:00,10150.61,0.003390233222125505,1.6951166110627525,1.2951166110627526,75.0
external,LONDON_TO_NEWYORK,2020-02-20,9642.0,9523.86,LONG,2020-02-20 16:40:00+00:00,2020-02-20 16:45:00+00:00,9563.03,2020-02-20 16:30:00+00:00,2020-02-20 17:10:00+00:00,2020-02-20 17:15:00+00:00,9579.85,9443.0,9443.0,9853.550000000001,0.014285192356874102,SL,2020-02-20 17:25:00+00:00,9443.0,-0.014285192356874088,-7.142596178437044,-7.542596178437044,10.0
external,ASIA_TO_LONDON,2020-02-21,9740.0,9572.06,SHORT,2020-02-21 12:45:00+00:00,2020-02-21 13:00:00+00:00,9737.0,2020-02-21 12:30:00+00:00,2020-02-21 13:05:00+00:00,2020-02-21 13:10:00+00:00,9704.49,9753.45,9753.45,9606.569999999998,0.005045087377080191,TIME_EXIT_SESSION_END,2020-02-21 13:30:00+00:00,9709.95,-0.0005626261658264742,-0.2813130829132371,-0.6813130829132371,20.0
external,ASIA_TO_LONDON,2020-02-26,9384.0,9117.71,LONG,2020-02-26 08:30:00+00:00,2020-02-26 08:45:00+00:00,9188.32,2020-02-26 08:10:00+00:00,2020-02-26 09:00:00+00:00,2020-02-26 09:05:00+00:00,9190.0,9116.0,9116.0,9338.0,0.008052230685527748,SL,2020-02-26 12:05:00+00:00,9116.0,-0.00805223068552774,-4.02611534276387,-4.42611534276387,180.0
external,ASIA_TO_LONDON,2020-02-27,8836.56,8533.9,SHORT,2020-02-27 08:35:00+00:00,2020-02-27 08:50:00+00:00,8823.86,2020-02-27 08:20:00+00:00,2020-02-27 09:15:00+00:00,2020-02-27 09:20:00+00:00,8813.42,8859.54,8859.54,8721.179999999998,0.005232928874375759,SL,2020-02-27 12:05:00+00:00,8859.54,-0.005232928874375764,-2.616464437187882,-3.016464437187882,165.0
external,LONDON_TO_NEWYORK,2020-02-27,8947.0,8742.2,SHORT,2020-02-27 16:45:00+00:00,2020-02-27 18:40:00+00:00,8907.78,2020-02-27 16:35:00+00:00,2020-02-27 19:40:00+00:00,2020-02-27 19:45:00+00:00,8904.99,8978.0,8978.0,8758.97,0.008198773945843871,TIME_EXIT_SESSION_END,2020-02-27 20:00:00+00:00,8920.0,-0.0016855717973855988,-0.8427858986927994,-1.2427858986927993,15.0
external,LONDON_TO_NEWYORK,2020-03-02,8833.81,8622.73,SHORT,2020-03-02 14:50:00+00:00,2020-03-02 14:55:00+00:00,8829.34,2020-03-02 14:15:00+00:00,2020-03-02 15:00:00+00:00,2020-03-02 15:05:00+00:00,8828.0,8849.42,8849.42,8785.16,0.002426370638876311,SL,2020-03-02 15:10:00+00:00,8849.42,-0.0024263706388762962,-1.2131853194381481,-1.613185319438148,5.0
external,LONDON_TO_NEWYORK,2020-03-03,8907.0,8737.07,LONG,2020-03-03 14:55:00+00:00,2020-03-03 15:00:00+00:00,8753.98,2020-03-03 14:40:00+00:00,2020-03-03 15:50:00+00:00,2020-03-03 15:55:00+00:00,8760.84,8722.32,8722.32,8837.880000000001,0.004396838659306692,SL,2020-03-03 16:10:00+00:00,8722.32,-0.004396838659306734,-2.198419329653367,-2.598419329653367,15.0
external,ASIA_TO_LONDON,2020-03-04,8853.88,8731.08,LONG,2020-03-04 11:40:00+00:00,2020-03-04 13:10:00+00:00,8743.45,2020-03-04 11:30:00+00:00,2020-03-04 13:15:00+00:00,2020-03-04 13:20:00+00:00,8746.54,8713.11,8713.11,8813.400000000001,0.0038220827893087196,TIME_EXIT_SESSION_END,2020-03-04 13:30:00+00:00,8739.99,-0.0007488675521979404,-0.3744337760989702,-0.7744337760989702,10.0
external,LONDON_TO_NEWYORK,2020-03-04,8834.61,8703.72,LONG,2020-03-04 16:40:00+00:00,2020-03-04 17:00:00+00:00,8729.89,2020-03-04 16:25:00+00:00,2020-03-04 17:10:00+00:00,2020-03-04 17:15:00+00:00,8731.56,8703.0,8703.0,8788.679999999998,0.0032708931737283477,SL,2020-03-04 18:20:00+00:00,8703.0,-0.0032708931737283065,-1.6354465868641532,-2.035446586864153,65.0
external,LONDON_TO_NEWYORK,2020-03-06,9179.75,9077.7,LONG,2020-03-06 14:15:00+00:00,2020-03-06 14:55:00+00:00,9078.85,2020-03-06 14:05:00+00:00,2020-03-06 15:00:00+00:00,2020-03-06 15:05:00+00:00,9088.37,9060.0,9060.0,9145.110000000002,0.003121571855019195,SL,2020-03-06 15:30:00+00:00,9060.0,-0.0031215718550191562,-1.5607859275095781,-1.960785927509578,25.0
external,LONDON_TO_NEWYORK,2020-03-09,7996.28,7762.06,LONG,2020-03-09 13:50:00+00:00,2020-03-09 16:30:00+00:00,7826.34,2020-03-09 13:40:00+00:00,2020-03-09 16:40:00+00:00,2020-03-09 16:45:00+00:00,7840.26,7635.21,7635.21,8250.36,0.026153469400249502,TIME_EXIT_SESSION_END,2020-03-09 20:00:00+00:00,7847.45,0.0009170614239832897,0.45853071199164486,0.058530711991644835,195.0
external,LONDON_TO_NEWYORK,2020-03-10,8156.31,7878.6,LONG,2020-03-10 17:10:00+00:00,2020-03-10 17:20:00+00:00,7853.58,2020-03-10 16:55:00+00:00,2020-03-10 17:55:00+00:00,2020-03-10 18:00:00+00:00,7873.63,7859.2,7859.2,7902.490000000001,0.0018326997839624532,SL,2020-03-10 18:00:00+00:00,7859.2,-0.0018326997839624992,-0.9163498919812496,-1.3163498919812495,0.0
external,ASIA_TO_LONDON,2020-03-11,7967.99,7817.25,LONG,2020-03-11 09:25:00+00:00,2020-03-11 11:25:00+00:00,7846.68,2020-03-11 09:05:00+00:00,2020-03-11 11:35:00+00:00,2020-03-11 11:40:00+00:00,7849.99,7758.18,7758.18,8033.609999999999,0.011695556300071656,TIME_EXIT_SESSION_END,2020-03-11 13:30:00+00:00,7883.67,0.004290451325415834,2.145225662707917,1.745225662707917,110.0
external,LONDON_TO_NEWYORK,2020-03-11,7930.0,7758.18,LONG,2020-03-11 15:35:00+00:00,2020-03-11 19:40:00+00:00,7828.37,2020-03-11 15:15:00+00:00,2020-03-11 19:45:00+00:00,2020-03-11 19:50:00+00:00,7833.0,7593.29,7593.29,8312.42,0.030602578833141842,TIME_EXIT_SESSION_END,2020-03-11 20:00:00+00:00,7834.37,0.0001749010596194811,0.08745052980974055,-0.31254947019025947,10.0
external,ASIA_TO_LONDON,2020-03-13,5529.97,3621.81,SHORT,2020-03-13 10:40:00+00:00,2020-03-13 11:00:00+00:00,5510.0,2020-03-13 10:25:00+00:00,2020-03-13 11:40:00+00:00,2020-03-13 11:45:00+00:00,5502.45,5614.87,5614.87,5277.61,0.02043089896318914,SL,2020-03-13 12:40:00+00:00,5614.87,-0.02043089896318917,-10.215449481594586,-10.615449481594586,55.0
external,LONDON_TO_NEWYORK,2020-03-13,5727.0,5111.0,LONG,2020-03-13 16:05:00+00:00,2020-03-13 16:30:00+00:00,5299.0,2020-03-13 15:55:00+00:00,2020-03-13 19:45:00+00:00,2020-03-13 19:50:00+00:00,5336.84,5077.39,5077.39,5855.74,0.0486149106962172,TIME_EXIT_SESSION_END,2020-03-13 20:00:00+00:00,5398.09,0.011476828984942511,5.7384144924712555,5.338414492471255,10.0
external,LONDON_TO_NEWYORK,2020-03-16,4949.0,4413.62,SHORT,2020-03-16 14:50:00+00:00,2020-03-16 19:35:00+00:00,4951.68,2020-03-16 14:40:00+00:00,2020-03-16 19:50:00+00:00,2020-03-16 19:55:00+00:00,4938.74,5200.0,5200.0,4416.219999999999,0.05290013242243978,TIME_EXIT_SESSION_END,2020-03-16 20:00:00+00:00,4934.52,0.0008544689536196248,0.4272344768098124,0.02723447680981239,5.0
external,ASIA_TO_LONDON,2020-03-18,5435.0,5091.5,LONG,2020-03-18 10:35:00+00:00,2020-03-18 11:00:00+00:00,5097.0,2020-03-18 10:20:00+00:00,2020-03-18 11:10:00+00:00,2020-03-18 11:15:00+00:00,5104.36,5064.0,5064.0,5185.079999999999,0.007906965809621514,SL,2020-03-18 12:20:00+00:00,5064.0,-0.007906965809621469,-3.9534829048107345,-4.353482904810734,65.0
external,LONDON_TO_NEWYORK,2020-03-18,5249.18,4982.75,SHORT,2020-03-18 15:05:00+00:00,2020-03-18 15:15:00+00:00,5272.41,2020-03-18 14:50:00+00:00,2020-03-18 15:35:00+00:00,2020-03-18 15:40:00+00:00,5253.31,5283.01,5283.01,5193.910000000001,0.005653578410563971,SL,2020-03-18 15:50:00+00:00,5283.01,-0.00565357841056402,-2.82678920528201,-3.2267892052820097,10.0
external,ASIA_TO_LONDON,2020-03-24,6689.51,6369.0,SHORT,2020-03-24 11:05:00+00:00,2020-03-24 12:00:00+00:00,6682.0,2020-03-24 10:45:00+00:00,2020-03-24 12:10:00+00:00,2020-03-24 12:15:00+00:00,6668.07,6756.88,6756.88,6490.449999999999,0.013318696414404828,SL,2020-03-24 13:10:00+00:00,6756.88,-0.013318696414404751,-6.659348207202376,-7.059348207202376,55.0
external,LONDON_TO_NEWYORK,2020-03-24,6840.0,6500.68,LONG,2020-03-24 15:10:00+00:00,2020-03-24 17:10:00+00:00,6654.0,2020-03-24 15:00:00+00:00,2020-03-24 17:15:00+00:00,2020-03-24 17:20:00+00:00,6670.9,6456.78,6456.78,7099.139999999999,0.03209761801256201,TIME_EXIT_SESSION_END,2020-03-24 20:00:00+00:00,6695.2,0.003642686893822411,1.8213434469112055,1.4213434469112056,160.0
external,ASIA_TO_LONDON,2020-03-25,6740.98,6522.34,LONG,2020-03-25 12:30:00+00:00,2020-03-25 12:50:00+00:00,6563.79,2020-03-25 12:20:00+00:00,2020-03-25 12:55:00+00:00,2020-03-25 13:00:00+00:00,6583.8,6503.13,6503.13,6745.14,0.01225280233299919,TIME_EXIT_SESSION_END,2020-03-25 13:30:00+00:00,6598.31,0.0022038944074851408,1.1019472037425704,0.7019472037425704,30.0
external,LONDON_TO_NEWYORK,2020-03-26,6670.0,6565.14,LONG,2020-03-26 15:15:00+00:00,2020-03-26 17:00:00+00:00,6629.9,2020-03-26 14:30:00+00:00,2020-03-26 17:35:00+00:00,2020-03-26 17:40:00+00:00,6629.98,6559.0,6559.0,6771.939999999999,0.010705914648309584,TIME_EXIT_SESSION_END,2020-03-26 20:00:00+00:00,6653.06,0.0034811568059029963,1.7405784029514981,1.3405784029514982,140.0
external,LONDON_TO_NEWYORK,2020-03-27,6699.0,6579.0,LONG,2020-03-27 13:45:00+00:00,2020-03-27 15:05:00+00:00,6628.4,2020-03-27 13:35:00+00:00,2020-03-27 15:20:00+00:00,2020-03-27 15:25:00+00:00,6629.46,6566.0,6566.0,6756.38,0.009572423696651015,TIME_EXIT_SESSION_END,2020-03-27 20:00:00+00:00,6653.15,0.0035734433875458382,1.7867216937729191,1.3867216937729192,275.0
external,ASIA_TO_LONDON,2020-03-30,6330.0,5850.0,SHORT,2020-03-30 12:30:00+00:00,2020-03-30 12:45:00+00:00,6310.0,2020-03-30 12:15:00+00:00,2020-03-30 13:05:00+00:00,2020-03-30 13:10:00+00:00,6309.33,6336.56,6336.56,6254.869999999999,0.004315830682497266,SL,2020-03-30 13:25:00+00:00,6336.56,-0.004315830682497301,-2.1579153412486507,-2.5579153412486506,15.0
external,ASIA_TO_LONDON,2020-03-31,6516.63,6374.0,LONG,2020-03-31 11:15:00+00:00,2020-03-31 12:55:00+00:00,6429.25,2020-03-31 10:55:00+00:00,2020-03-31 13:00:00+00:00,2020-03-31 13:05:00+00:00,6430.22,6320.0,6320.0,6650.660000000001,0.01714093763510428,TIME_EXIT_SESSION_END,2020-03-31 13:30:00+00:00,6446.67,0.002558232844288355,1.2791164221441775,0.8791164221441775,25.0
external,LONDON_TO_NEWYORK,2020-04-01,6337.0,6180.0,LONG,2020-04-01 17:00:00+00:00,2020-04-01 18:10:00+00:00,6208.94,2020-04-01 16:30:00+00:00,2020-04-01 18:25:00+00:00,2020-04-01 18:30:00+00:00,6209.05,6160.01,6160.01,6307.13,0.0078981486700864,SL,2020-04-01 19:25:00+00:00,6160.01,-0.007898148670086425,-3.9490743350432123,-4.349074335043213,55.0
external,ASIA_TO_LONDON,2020-04-03,6950.0,6720.05,SHORT,2020-04-03 10:25:00+00:00,2020-04-03 13:10:00+00:00,6907.14,2020-04-03 10:10:00+00:00,2020-04-03 13:20:00+00:00,2020-04-03 13:25:00+00:00,6882.3,7049.11,7049.11,6548.680000000001,0.02423753686994166,TIME_EXIT_SESSION_END,2020-04-03 13:30:00+00:00,6886.49,-0.0006088081019426372,-0.3044040509713186,-0.7044040509713186,5.0
external,ASIA_TO_LONDON,2020-04-06,7100.0,6760.0,SHORT,2020-04-06 09:55:00+00:00,2020-04-06 10:15:00+00:00,7092.71,2020-04-06 09:30:00+00:00,2020-04-06 10:45:00+00:00,2020-04-06 10:50:00+00:00,7085.94,7126.37,7126.37,7005.079999999999,0.00570566502115461,SL,2020-04-06 12:00:00+00:00,7126.37,-0.00570566502115466,-2.85283251057733,-3.25283251057733,70.0
external,LONDON_TO_NEWYORK,2020-04-07,7457.0,7289.39,LONG,2020-04-07 14:15:00+00:00,2020-04-07 16:40:00+00:00,7360.0,2020-04-07 13:55:00+00:00,2020-04-07 16:45:00+00:00,2020-04-07 16:50:00+00:00,7361.97,7253.05,7253.05,7579.81,0.014794952981335168,TIME_EXIT_SESSION_END,2020-04-07 20:00:00+00:00,7284.29,-0.010551523573174015,-5.275761786587008,-5.6757617865870085,190.0
external,ASIA_TO_LONDON,2020-04-10,7290.0,6860.0,LONG,2020-04-10 09:45:00+00:00,2020-04-10 10:45:00+00:00,6932.0,2020-04-10 09:15:00+00:00,2020-04-10 10:55:00+00:00,2020-04-10 11:00:00+00:00,6934.41,6851.0,6851.0,7101.23,0.012028420586610808,TIME_EXIT_SESSION_END,2020-04-10 13:30:00+00:00,6891.15,-0.006238454316949804,-3.119227158474902,-3.519227158474902,150.0
external,LONDON_TO_NEWYORK,2020-04-10,6966.07,6851.0,LONG,2020-04-10 15:00:00+00:00,2020-04-10 18:30:00+00:00,6910.33,2020-04-10 14:00:00+00:00,2020-04-10 18:50:00+00:00,2020-04-10 18:55:00+00:00,6913.06,6741.0,6741.0,7257.180000000001,0.02488912290649877,TIME_EXIT_SESSION_END,2020-04-10 20:00:00+00:00,6897.62,-0.002233453781682826,-1.116726890841413,-1.5167268908414129,65.0
external,ASIA_TO_LONDON,2020-04-14,6916.55,6801.0,LONG,2020-04-14 09:50:00+00:00,2020-04-14 09:55:00+00:00,6793.9,2020-04-14 09:10:00+00:00,2020-04-14 12:10:00+00:00,2020-04-14 12:15:00+00:00,6811.64,6793.12,6793.12,6848.680000000001,0.0027188753369233308,TP_2R,2020-04-14 13:00:00+00:00,6848.680000000001,0.005437750673846553,2.7188753369232765,2.3188753369232766,45.0
external,LONDON_TO_NEWYORK,2020-04-14,6875.0,6751.0,SHORT,2020-04-14 14:30:00+00:00,2020-04-14 15:55:00+00:00,6902.71,2020-04-14 14:20:00+00:00,2020-04-14 16:00:00+00:00,2020-04-14 16:05:00+00:00,6890.93,6930.0,6930.0,6812.790000000001,0.005669771714412962,SL,2020-04-14 16:20:00+00:00,6930.0,-0.005669771714412963,-2.8348858572064817,-3.2348858572064816,15.0
external,ASIA_TO_LONDON,2020-04-16,6984.7,6465.33,SHORT,2020-04-16 10:35:00+00:00,2020-04-16 10:50:00+00:00,7034.33,2020-04-16 10:15:00+00:00,2020-04-16 11:30:00+00:00,2020-04-16 11:35:00+00:00,7020.26,7033.69,7033.69,6993.4000000000015,0.0019130345599734741,TP_2R,2020-04-16 11:40:00+00:00,6993.4000000000015,0.0038260691199469843,1.9130345599734921,1.5130345599734922,5.0
