partition,target_name,risk_name,n_0,wins_0,wr_0,pf_0,expectancy_0,net_0,max_ls_0,median_win_0,median_loss_0,n_5,wins_5,wr_5,pf_5,expectancy_5,net_5,max_ls_5,median_win_5,median_loss_5,tp,stop,time_exit,median_hold,median_entry_f,median_nominal_rr
POOLED_MAJOR,E10,F55,95,73,0.7684210526315789,1.0385493983661094,0.06453499049803567,6.130824097313388,4,2.0441289275703993,-6.222258119395129,95,70,0.7368421052631579,0.8607313053137235,-0.2505591592855118,-23.80312013212362,4,1.8328051562836016,-6.0468038240233835,70,19,6,30.0,0.9204229271007224,0.4847893036881339
external,E10,F50,39,32,0.8205128205128205,1.5783225482309642,0.8051086387253465,31.399236910288515,1,2.272909528951051,-5.9164859587572565,39,31,0.7948717948717948,1.333757698531782,0.4975838003720104,19.405768214508406,1,2.025199264693534,-5.398877407116048,30,3,6,45.0,0.922369065100342,0.4205585815274073
development,E10,F50,41,31,0.7560975609756098,0.995533637681405,-0.006219186451560685,-0.2549866445139881,4,1.8137779794312308,-5.471059360842318,41,29,0.7073170731707317,0.788871723337308,-0.3226897195049408,-13.230278499702573,4,1.7896072979494808,-5.879062196027035,30,9,2,20.0,0.9191532258064516,0.43145743145743354
reference_validation,E10,F50,15,12,0.8,1.25909873191866,0.3877576276611008,5.816364414916512,1,2.083921558861735,-7.267671691792255,15,12,0.8,1.055308095902189,0.08822179836256841,1.3233269754385262,1,1.8328051562836016,-7.760557577157701,12,3,0,25.0,0.9204229271007224,0.42713434811384177
august,E10,F50,0,0,,,,0.0,0,,,0,0,,,,0.0,0,,,0,0,0,,,
POOLED_MAJOR,E10,F50,95,75,0.7894736842105263,1.2761706106439545,0.38905910190201093,36.96061468069104,4,2.0441289275703993,-5.916344265814044,95,72,0.7578947368421053,1.0518108846321799,0.07893491252888796,7.498816690244356,4,1.8328051562836016,-6.0468038240233835,72,15,8,30.0,0.9204229271007224,0.42713434811384177
external,E15,F55,39,31,0.7948717948717948,1.9377678265352698,1.376654362088705,53.689520121459495,1,2.7282649696738885,-5.293025730903694,39,30,0.7692307692307693,1.6726751089988845,1.0624696298503886,41.436315564165156,1,2.8213103945986644,-4.5538320109844594,29,5,5,40.0,0.922369065100342,0.6113046335852805
development,E15,F55,41,29,0.7073170731707317,0.8401195640344106,-0.3248026079725451,-13.31690692687435,4,2.502866001209814,-5.527950029643003,41,27,0.6585365853658537,0.7013895961269561,-0.6529933250913109,-26.772726328743747,4,2.6010212834534756,-5.935896002590024,28,12,1,35.0,0.9191532258064516,0.6253413435281311
reference_validation,E15,F55,15,10,0.6666666666666666,0.8421966930812674,-0.37561878746959293,-5.634281812043894,1,2.770247950526617,-7.267671691792255,15,10,0.6666666666666666,0.7218953429727683,-0.7076748014122685,-10.615122021184026,1,2.5187885562484973,-7.760557577157701,10,4,1,40.0,0.9204229271007224,0.6197701494779593
august,E15,F55,0,0,,,,0.0,0,,,0,0,,,,0.0,0,,,0,0,0,,,
POOLED_MAJOR,E15,F55,95,70,0.7368421052631579,1.1970970988162555,0.3656666461320132,34.738331382541254,4,2.74897608199044,-5.916202572870832,95,67,0.7052631578947368,1.0213722284288358,0.042615444360393516,4.048467214237384,4,2.519349032230123,-6.022574767244509,67,21,7,40.0,0.9204229271007224,0.6197701494779593
external,E15,F50,39,32,0.8205128205128205,2.079556550754464,1.5028988713368319,58.613055982136444,1,2.6810271453677874,-5.9164859587572565,39,31,0.7948717948717948,1.801571308386853,1.1950253122275605,46.60598717687486,1,2.476826556395762,-5.398877407116048,30,3,6,45.0,0.922369065100342,0.5389384633213598
development,E15,F50,41,29,0.7073170731707317,0.8960427005125791,-0.19801202500894086,-8.118493025366575,4,2.502866001209814,-5.734202950235012,41,27,0.6585365853658537,0.744513858881591,-0.5263294693470624,-21.579508243229558,4,2.6010212834534756,-5.96574096068152,28,11,2,35.0,0.9191532258064516,0.5507455507455539
reference_validation,E15,F50,15,11,0.7333333333333333,1.5297614930906913,0.8219146570996243,12.328719856494365,1,2.770808706746242,-7.058600970479906,15,11,0.7333333333333333,1.3003128899296548,0.5055176385595533,7.5827645783933,1,2.519349032230123,-7.551695822083554,11,3,1,40.0,0.9204229271007224,0.5460622104566579
august,E15,F50,0,0,,,,0.0,0,,,0,0,,,,0.0,0,,,0,0,0,,,
POOLED_MAJOR,E15,F50,95,72,0.7578947368421053,1.403592078278085,0.661297713823834,62.82328281326422,4,2.74897608199044,-5.9164859587572565,95,69,0.7263157894736842,1.1942676210704684,0.34325519486356454,32.60924351203863,4,2.519349032230123,-6.228621537990881,69,17,9,40.0,0.9204229271007224,0.5460622104566579
