partition,anchor_date_utc,clock_min,reference_start,reference_end,execution_start,execution_end,H,L,range,F85,F35,E20,k1_signal_bar_start,k1_signal_ts,leave_bar_start,leave_ts,h2_bar_start,opposite_break_bar_start,touch_bar_start,same_bar_confirmed,entry_executed,entry_bar_start,entry_px,entry_fraction,nominal_rr,exit_bar_start,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,tp_hit,time_exit,case_status,entry_b,zone,touch_elapsed_min,primary_eligible,expanded_eligible,k1_elapsed_min,h_formation_ts,l_formation_ts,range_completion_ts,range_completion_elapsed_min,range_completion_age_min,range_completed_second_half,tie_order,accepted,decision,blocked_by_zone,portfolio,evaluation_stage
development,2022-07-08,480,2022-07-08 08:00:00+00:00,2022-07-08 13:30:00+00:00,2022-07-08 13:30:00+00:00,2022-07-08 20:00:00+00:00,21814.1,21175.2,638.8999999999978,21718.265,21398.815,21941.88,2022-07-08 14:45:00+00:00,2022-07-08 14:50:00+00:00,2022-07-08 14:50:00+00:00,2022-07-08 14:55:00+00:00,2022-07-08 15:00:00+00:00,,2022-07-08 14:55:00+00:00,True,True,2022-07-08 15:00:00+00:00,21755.0,0.9074972609172034,0.5246711680727619,2022-07-08 15:10:00+00:00,2022-07-08 15:10:00+00:00,21941.88,TP_E20,0.0085902091473222,3.8951045736611127,True,False,TRADE_EXECUTED,True,LONDON,85.0,True,True,80.0,2022-07-08 08:10:00+00:00,2022-07-08 12:45:00+00:00,2022-07-08 12:45:00+00:00,285.0,45.0,True,0,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-07-20,210,2022-07-20 03:30:00+00:00,2022-07-20 09:00:00+00:00,2022-07-20 09:00:00+00:00,2022-07-20 15:30:00+00:00,23861.0,23298.5,562.5,23776.625,23495.375,23973.5,2022-07-20 10:25:00+00:00,2022-07-20 10:30:00+00:00,2022-07-20 10:30:00+00:00,2022-07-20 10:35:00+00:00,2022-07-20 12:25:00+00:00,,2022-07-20 11:05:00+00:00,True,True,2022-07-20 11:10:00+00:00,23790.9,0.8753777777777804,0.6178834277979787,2022-07-20 12:25:00+00:00,2022-07-20 12:25:00+00:00,23973.5,TP_E20,0.0076752035442122,3.437601772106125,True,False,TRADE_EXECUTED,True,ALT_0330,125.0,True,True,90.0,2022-07-20 07:10:00+00:00,2022-07-20 08:00:00+00:00,2022-07-20 08:00:00+00:00,270.0,60.0,True,1,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-07-22,480,2022-07-22 08:00:00+00:00,2022-07-22 13:30:00+00:00,2022-07-22 13:30:00+00:00,2022-07-22 20:00:00+00:00,23690.0,23060.0,630.0,23595.5,23280.5,23816.0,2022-07-22 13:50:00+00:00,2022-07-22 13:55:00+00:00,2022-07-22 13:55:00+00:00,2022-07-22 14:00:00+00:00,,2022-07-22 17:15:00+00:00,2022-07-22 14:45:00+00:00,True,True,2022-07-22 14:50:00+00:00,23599.7,0.8566666666666678,0.6776315789473646,2022-07-22 15:40:00+00:00,2022-07-22 15:45:00+00:00,23254.6,CLOSE_INVALIDATION_F35,-0.0146230672423802,-7.711533621190137,False,False,TRADE_EXECUTED,True,LONDON,75.0,True,True,25.0,2022-07-22 12:35:00+00:00,2022-07-22 08:05:00+00:00,2022-07-22 12:35:00+00:00,275.0,55.0,True,0,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-07-25,210,2022-07-25 03:30:00+00:00,2022-07-25 09:00:00+00:00,2022-07-25 09:00:00+00:00,2022-07-25 15:30:00+00:00,22088.8,21734.1,354.7000000000007,22035.595,21858.245,22159.74,2022-07-25 09:05:00+00:00,2022-07-25 09:10:00+00:00,2022-07-25 09:10:00+00:00,2022-07-25 09:15:00+00:00,2022-07-25 11:05:00+00:00,,2022-07-25 09:15:00+00:00,True,True,2022-07-25 09:20:00+00:00,22042.7,0.8700310121229251,0.634517904095829,2022-07-25 12:05:00+00:00,2022-07-25 12:10:00+00:00,21826.1,CLOSE_INVALIDATION_F35,-0.0098263824304646,-5.313191215232315,False,False,TRADE_EXECUTED,True,ALT_0330,15.0,True,True,10.0,2022-07-25 08:55:00+00:00,2022-07-25 04:10:00+00:00,2022-07-25 08:55:00+00:00,325.0,5.0,True,1,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-07-28,480,2022-07-28 08:00:00+00:00,2022-07-28 13:30:00+00:00,2022-07-28 13:30:00+00:00,2022-07-28 20:00:00+00:00,23210.2,22583.1,627.1000000000022,23116.135,22802.585,23335.620000000003,2022-07-28 13:30:00+00:00,2022-07-28 13:35:00+00:00,2022-07-28 13:40:00+00:00,2022-07-28 13:45:00+00:00,2022-07-28 15:10:00+00:00,,2022-07-28 14:55:00+00:00,True,True,2022-07-28 15:00:00+00:00,23121.7,0.858874182745974,0.6703539476364345,2022-07-28 15:20:00+00:00,2022-07-28 15:20:00+00:00,23335.620000000003,TP_E20,0.0092519148678515,4.225957433925798,True,False,TRADE_EXECUTED,True,LONDON,85.0,True,True,5.0,2022-07-28 12:45:00+00:00,2022-07-28 12:30:00+00:00,2022-07-28 12:45:00+00:00,285.0,45.0,True,0,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-08-05,210,2022-08-05 03:30:00+00:00,2022-08-05 09:00:00+00:00,2022-08-05 09:00:00+00:00,2022-08-05 15:30:00+00:00,23430.3,23055.0,375.2999999999993,23374.005,23186.355,23505.36,2022-08-05 11:40:00+00:00,2022-08-05 11:45:00+00:00,2022-08-05 11:50:00+00:00,2022-08-05 11:55:00+00:00,2022-08-05 12:05:00+00:00,,2022-08-05 11:55:00+00:00,True,True,2022-08-05 12:00:00+00:00,23393.1,0.9008792965627476,0.5429877385184773,2022-08-05 12:30:00+00:00,2022-08-05 12:35:00+00:00,23170.0,CLOSE_INVALIDATION_F35,-0.0095370002265624,-5.168500113281227,False,False,TRADE_EXECUTED,True,ALT_0330,175.0,True,True,165.0,2022-08-05 06:05:00+00:00,2022-08-05 05:10:00+00:00,2022-08-05 06:05:00+00:00,155.0,175.0,False,1,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-08-18,210,2022-08-18 03:30:00+00:00,2022-08-18 09:00:00+00:00,2022-08-18 09:00:00+00:00,2022-08-18 15:30:00+00:00,23474.8,23318.9,155.89999999999782,23451.415,23373.465,23505.98,2022-08-18 09:05:00+00:00,2022-08-18 09:10:00+00:00,2022-08-18 09:10:00+00:00,2022-08-18 09:15:00+00:00,2022-08-18 09:35:00+00:00,,2022-08-18 09:25:00+00:00,True,True,2022-08-18 09:30:00+00:00,23455.6,0.8768441308531045,0.61338041030014,2022-08-18 09:50:00+00:00,2022-08-18 09:50:00+00:00,23505.98,TP_E20,0.002147887924419,0.6739439622095004,True,False,TRADE_EXECUTED,True,ALT_0330,25.0,True,True,10.0,2022-08-18 03:40:00+00:00,2022-08-18 07:00:00+00:00,2022-08-18 07:00:00+00:00,210.0,120.0,True,1,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-08-23,330,2022-08-23 05:30:00+00:00,2022-08-23 11:00:00+00:00,2022-08-23 11:00:00+00:00,2022-08-23 17:30:00+00:00,21546.5,20874.8,671.7000000000007,21445.745,21109.895,21680.84,2022-08-23 13:35:00+00:00,2022-08-23 13:40:00+00:00,2022-08-23 13:40:00+00:00,2022-08-23 13:45:00+00:00,2022-08-23 14:00:00+00:00,,2022-08-23 13:45:00+00:00,True,True,2022-08-23 13:50:00+00:00,21467.1,0.881792466875091,0.5983678839881937,2022-08-23 17:30:00+00:00,2022-08-23 17:30:00+00:00,21462.1,TIME_EXIT_EXEC_END,-0.0002329145529671,-0.5164572764835725,False,True,TRADE_EXECUTED,True,RAW_0530,165.0,False,True,160.0,2022-08-23 09:45:00+00:00,2022-08-23 06:10:00+00:00,2022-08-23 09:45:00+00:00,255.0,75.0,True,2,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-09-02,480,2022-09-02 08:00:00+00:00,2022-09-02 13:30:00+00:00,2022-09-02 13:30:00+00:00,2022-09-02 20:00:00+00:00,20396.0,19978.0,418.0,20333.3,20124.3,20479.6,2022-09-02 14:35:00+00:00,2022-09-02 14:40:00+00:00,2022-09-02 14:50:00+00:00,2022-09-02 14:55:00+00:00,,2022-09-02 17:20:00+00:00,2022-09-02 14:55:00+00:00,True,True,2022-09-02 15:00:00+00:00,20354.1,0.8997607655502358,0.5461270670147972,2022-09-02 16:55:00+00:00,2022-09-02 17:00:00+00:00,20120.9,CLOSE_INVALIDATION_F35,-0.0114571511390824,-6.128575569541206,False,False,TRADE_EXECUTED,True,LONDON,85.0,True,True,70.0,2022-09-02 13:20:00+00:00,2022-09-02 11:20:00+00:00,2022-09-02 13:20:00+00:00,320.0,10.0,True,0,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-09-12,480,2022-09-12 08:00:00+00:00,2022-09-12 13:30:00+00:00,2022-09-12 13:30:00+00:00,2022-09-12 20:00:00+00:00,22450.0,21961.1,488.9000000000015,22376.665,22132.215,22547.78,2022-09-12 13:40:00+00:00,2022-09-12 13:45:00+00:00,2022-09-12 13:45:00+00:00,2022-09-12 13:50:00+00:00,2022-09-12 14:15:00+00:00,,2022-09-12 13:55:00+00:00,True,True,2022-09-12 14:00:00+00:00,22383.7,0.8643894456944179,0.6524444797900381,2022-09-12 15:45:00+00:00,2022-09-12 15:50:00+00:00,22127.4,CLOSE_INVALIDATION_F35,-0.0114502964210563,-6.125148210528164,False,False,TRADE_EXECUTED,True,LONDON,25.0,True,True,15.0,2022-09-12 11:45:00+00:00,2022-09-12 10:10:00+00:00,2022-09-12 11:45:00+00:00,225.0,105.0,True,0,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-09-21,210,2022-09-21 03:30:00+00:00,2022-09-21 09:00:00+00:00,2022-09-21 09:00:00+00:00,2022-09-21 15:30:00+00:00,19123.0,18784.2,338.7999999999993,19072.18,18902.78,19190.76,2022-09-21 10:50:00+00:00,2022-09-21 10:55:00+00:00,2022-09-21 11:00:00+00:00,2022-09-21 11:05:00+00:00,2022-09-21 11:10:00+00:00,,2022-09-21 11:05:00+00:00,True,True,2022-09-21 11:10:00+00:00,19090.1,0.9028925619834666,0.5373692077727953,2022-09-21 11:50:00+00:00,2022-09-21 11:50:00+00:00,19190.76,TP_E20,0.0052728901367724,2.2364450683862285,True,False,TRADE_EXECUTED,True,ALT_0330,125.0,True,True,115.0,2022-09-21 05:30:00+00:00,2022-09-21 06:40:00+00:00,2022-09-21 06:40:00+00:00,190.0,140.0,True,1,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-09-28,480,2022-09-28 08:00:00+00:00,2022-09-28 13:30:00+00:00,2022-09-28 13:30:00+00:00,2022-09-28 20:00:00+00:00,19175.0,18558.6,616.4000000000015,19082.54,18774.34,19298.28,2022-09-28 13:30:00+00:00,2022-09-28 13:35:00+00:00,2022-09-28 13:35:00+00:00,2022-09-28 13:40:00+00:00,2022-09-28 13:45:00+00:00,,2022-09-28 13:40:00+00:00,True,True,2022-09-28 13:45:00+00:00,19132.2,0.9305645684620388,0.4640921030570554,2022-09-28 14:30:00+00:00,2022-09-28 14:30:00+00:00,19298.28,TP_E20,0.008680653557876,3.940326778938031,True,False,TRADE_EXECUTED,True,LONDON,10.0,True,True,5.0,2022-09-28 13:20:00+00:00,2022-09-28 09:20:00+00:00,2022-09-28 13:20:00+00:00,320.0,10.0,True,0,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-11-01,210,2022-11-01 03:30:00+00:00,2022-11-01 09:00:00+00:00,2022-11-01 09:00:00+00:00,2022-11-01 15:30:00+00:00,20649.0,20455.8,193.20000000000076,20620.02,20523.42,20687.64,2022-11-01 09:45:00+00:00,2022-11-01 09:50:00+00:00,2022-11-01 09:50:00+00:00,2022-11-01 09:55:00+00:00,,2022-11-01 13:40:00+00:00,2022-11-01 10:10:00+00:00,True,True,2022-11-01 10:15:00+00:00,20631.6,0.9099378881987504,0.5180255130338391,2022-11-01 11:15:00+00:00,2022-11-01 11:20:00+00:00,20517.6,CLOSE_INVALIDATION_F35,-0.0055255045658116,-3.1627522829058448,False,False,TRADE_EXECUTED,True,ALT_0330,70.0,True,True,50.0,2022-11-01 06:20:00+00:00,2022-11-01 04:05:00+00:00,2022-11-01 06:20:00+00:00,170.0,160.0,True,1,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-11-02,480,2022-11-02 08:00:00+00:00,2022-11-02 13:30:00+00:00,2022-11-02 13:30:00+00:00,2022-11-02 20:00:00+00:00,20529.9,20323.0,206.90000000000143,20498.865,20395.415,20571.28,2022-11-02 16:55:00+00:00,2022-11-02 17:00:00+00:00,2022-11-02 17:00:00+00:00,2022-11-02 17:05:00+00:00,2022-11-02 18:00:00+00:00,,2022-11-02 17:10:00+00:00,True,True,2022-11-02 17:15:00+00:00,20510.1,0.9043015949734036,0.5334612198631483,2022-11-02 18:00:00+00:00,2022-11-02 18:00:00+00:00,20571.28,TP_E20,0.0029829206098461,1.0914603049230869,True,False,TRADE_EXECUTED,True,LONDON,220.0,True,True,210.0,2022-11-02 09:00:00+00:00,2022-11-02 10:05:00+00:00,2022-11-02 10:05:00+00:00,125.0,205.0,False,0,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-11-02,330,2022-11-02 05:30:00+00:00,2022-11-02 11:00:00+00:00,2022-11-02 11:00:00+00:00,2022-11-02 17:30:00+00:00,20529.9,20323.0,206.90000000000143,20498.865,20395.415,20571.28,2022-11-02 16:55:00+00:00,2022-11-02 17:00:00+00:00,2022-11-02 17:00:00+00:00,2022-11-02 17:05:00+00:00,,,2022-11-02 17:10:00+00:00,True,True,2022-11-02 17:15:00+00:00,20510.1,0.9043015949734036,0.5334612198631483,2022-11-02 17:30:00+00:00,2022-11-02 17:30:00+00:00,20501.6,TIME_EXIT_EXEC_END,-0.0004144299637739,-0.6072149818869718,False,True,TRADE_EXECUTED,True,RAW_0530,370.0,False,True,360.0,2022-11-02 09:00:00+00:00,2022-11-02 10:05:00+00:00,2022-11-02 10:05:00+00:00,275.0,55.0,True,2,False,SKIP_OPEN_POSITION,LONDON,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-12-07,480,2022-12-07 08:00:00+00:00,2022-12-07 13:30:00+00:00,2022-12-07 13:30:00+00:00,2022-12-07 20:00:00+00:00,16859.9,16655.0,204.90000000000143,16829.165,16726.715,16900.88,2022-12-07 13:35:00+00:00,2022-12-07 13:40:00+00:00,2022-12-07 13:40:00+00:00,2022-12-07 13:45:00+00:00,2022-12-07 13:55:00+00:00,,2022-12-07 13:50:00+00:00,True,True,2022-12-07 13:55:00+00:00,16858.9,0.995119570522206,0.3175852025570159,2022-12-07 20:00:00+00:00,2022-12-07 20:00:00+00:00,16807.4,TIME_EXIT_EXEC_END,-0.003054766325205,-1.927383162602536,False,True,TRADE_EXECUTED,True,LONDON,20.0,True,True,10.0,2022-12-07 13:15:00+00:00,2022-12-07 08:05:00+00:00,2022-12-07 13:15:00+00:00,315.0,15.0,True,0,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-12-09,330,2022-12-09 05:30:00+00:00,2022-12-09 11:00:00+00:00,2022-12-09 11:00:00+00:00,2022-12-09 17:30:00+00:00,17260.6,17184.2,76.39999999999782,17249.14,17210.94,17275.879999999997,2022-12-09 12:40:00+00:00,2022-12-09 12:45:00+00:00,2022-12-09 12:45:00+00:00,2022-12-09 12:50:00+00:00,2022-12-09 13:00:00+00:00,,2022-12-09 12:55:00+00:00,True,True,2022-12-09 13:00:00+00:00,17250.4,0.8664921465968929,0.645717181956263,2022-12-09 13:20:00+00:00,2022-12-09 13:25:00+00:00,17198.9,CLOSE_INVALIDATION_F35,-0.0029854380188285,-1.8927190094142785,False,False,TRADE_EXECUTED,True,RAW_0530,115.0,False,True,105.0,2022-12-09 10:05:00+00:00,2022-12-09 06:30:00+00:00,2022-12-09 10:05:00+00:00,275.0,55.0,True,2,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-12-12,330,2022-12-12 05:30:00+00:00,2022-12-12 11:00:00+00:00,2022-12-12 11:00:00+00:00,2022-12-12 17:30:00+00:00,16998.9,16894.3,104.60000000000218,16983.210000000003,16930.91,17019.820000000003,2022-12-12 12:10:00+00:00,2022-12-12 12:15:00+00:00,2022-12-12 12:15:00+00:00,2022-12-12 12:20:00+00:00,2022-12-12 14:15:00+00:00,,2022-12-12 13:30:00+00:00,True,True,2022-12-12 13:35:00+00:00,16983.5,0.8527724665391861,0.6906255942194951,2022-12-12 14:15:00+00:00,2022-12-12 14:15:00+00:00,17019.820000000003,TP_E20,0.0021385462360528,0.6692731180264037,True,False,TRADE_EXECUTED,True,RAW_0530,150.0,False,True,75.0,2022-12-12 10:45:00+00:00,2022-12-12 07:20:00+00:00,2022-12-12 10:45:00+00:00,315.0,15.0,True,2,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
