partition,date_utc,signal_ts,fill_bar_start,entry_px,H,L,range,b27ak_h2_after_fill,h2_bar_start,session_end,has_h2,first_close_break_bar_start,first_close_break_ts,max_low_extension,max_close_extension,E05_price,E05_low_reach,E05_low_reach_bar_start,E05_minutes_from_h2,E05_close_reach,E05_close_reach_ts,E10_price,E10_low_reach,E10_low_reach_bar_start,E10_minutes_from_h2,E10_close_reach,E10_close_reach_ts,E15_price,E15_low_reach,E15_low_reach_bar_start,E15_minutes_from_h2,E15_close_reach,E15_close_reach_ts,E20_price,E20_low_reach,E20_low_reach_bar_start,E20_minutes_from_h2,E20_close_reach,E20_close_reach_ts,E25_price,E25_low_reach,E25_low_reach_bar_start,E25_minutes_from_h2,E25_close_reach,E25_close_reach_ts,E30_price,E30_low_reach,E30_low_reach_bar_start,E30_minutes_from_h2,E30_close_reach,E30_close_reach_ts,E40_price,E40_low_reach,E40_low_reach_bar_start,E40_minutes_from_h2,E40_close_reach,E40_close_reach_ts,E50_price,E50_low_reach,E50_low_reach_bar_start,E50_minutes_from_h2,E50_close_reach,E50_close_reach_ts
development,2023-06-08,2023-06-08 13:40:00+00:00,2023-06-08 13:55:00+00:00,26344.235,26594.9,26300.0,294.90000000000146,False,,2023-06-08 20:00:00+00:00,False,,,,,26285.255,False,,,False,,26270.51,False,,,False,,26255.765,False,,,False,,26241.02,False,,,False,,26226.275,False,,,False,,26211.53,False,,,False,,26182.04,False,,,False,,26152.55,False,,,False,
development,2023-07-05,2023-07-05 13:35:00+00:00,2023-07-05 13:40:00+00:00,30294.71,30797.4,30206.0,591.4000000000015,False,,2023-07-05 20:00:00+00:00,False,,,,,30176.43,False,,,False,,30146.86,False,,,False,,30117.29,False,,,False,,30087.72,False,,,False,,30058.15,False,,,False,,30028.579999999998,False,,,False,,29969.44,False,,,False,,29910.3,False,,,False,
development,2023-07-17,2023-07-17 17:25:00+00:00,2023-07-17 18:10:00+00:00,29969.91,30309.4,29910.0,399.40000000000146,True,2023-07-17 18:30:00+00:00,2023-07-17 20:00:00+00:00,True,2023-07-17 18:30:00+00:00,2023-07-17 18:35:00+00:00,0.7010515773660465,0.6354531797696503,29890.03,True,2023-07-17 18:30:00+00:00,0.0,True,2023-07-17 18:35:00+00:00,29870.06,True,2023-07-17 18:30:00+00:00,0.0,True,2023-07-17 18:35:00+00:00,29850.09,True,2023-07-17 18:30:00+00:00,0.0,True,2023-07-17 18:35:00+00:00,29830.12,True,2023-07-17 18:30:00+00:00,0.0,True,2023-07-17 18:35:00+00:00,29810.15,True,2023-07-17 18:30:00+00:00,0.0,True,2023-07-17 18:35:00+00:00,29790.18,True,2023-07-17 18:30:00+00:00,0.0,True,2023-07-17 18:50:00+00:00,29750.239999999998,True,2023-07-17 18:30:00+00:00,0.0,True,2023-07-17 18:50:00+00:00,29710.3,True,2023-07-17 18:45:00+00:00,15.0,True,2023-07-17 18:50:00+00:00
development,2023-07-24,2023-07-24 15:10:00+00:00,2023-07-24 15:20:00+00:00,29041.875,29820.9,28904.4,916.5,False,,2023-07-24 20:00:00+00:00,False,,,,,28858.575,False,,,False,,28812.75,False,,,False,,28766.925000000003,False,,,False,,28721.100000000002,False,,,False,,28675.275,False,,,False,,28629.45,False,,,False,,28537.800000000003,False,,,False,,28446.15,False,,,False,
development,2023-07-31,2023-07-31 13:55:00+00:00,2023-07-31 14:15:00+00:00,29339.0,29461.4,29317.4,144.0,True,2023-07-31 14:20:00+00:00,2023-07-31 20:00:00+00:00,True,2023-07-31 14:30:00+00:00,2023-07-31 14:35:00+00:00,1.5097222222222324,1.1868055555555657,29310.2,True,2023-07-31 14:20:00+00:00,0.0,True,2023-07-31 14:35:00+00:00,29303.0,True,2023-07-31 14:30:00+00:00,10.0,True,2023-07-31 14:35:00+00:00,29295.800000000003,True,2023-07-31 14:30:00+00:00,10.0,True,2023-07-31 14:35:00+00:00,29288.600000000002,True,2023-07-31 14:30:00+00:00,10.0,True,2023-07-31 14:35:00+00:00,29281.4,True,2023-07-31 14:35:00+00:00,15.0,True,2023-07-31 15:35:00+00:00,29274.2,True,2023-07-31 14:35:00+00:00,15.0,True,2023-07-31 15:40:00+00:00,29259.800000000003,True,2023-07-31 14:35:00+00:00,15.0,True,2023-07-31 15:45:00+00:00,29245.4,True,2023-07-31 15:30:00+00:00,70.0,True,2023-07-31 15:45:00+00:00
development,2023-08-02,2023-08-02 13:35:00+00:00,2023-08-02 13:50:00+00:00,29395.85,29599.0,29360.0,239.0,True,2023-08-02 14:05:00+00:00,2023-08-02 20:00:00+00:00,True,2023-08-02 14:05:00+00:00,2023-08-02 14:10:00+00:00,1.898326359832639,1.4468619246861893,29348.05,True,2023-08-02 14:05:00+00:00,0.0,True,2023-08-02 14:10:00+00:00,29336.1,True,2023-08-02 14:05:00+00:00,0.0,True,2023-08-02 14:10:00+00:00,29324.15,True,2023-08-02 14:05:00+00:00,0.0,True,2023-08-02 14:10:00+00:00,29312.2,True,2023-08-02 14:05:00+00:00,0.0,True,2023-08-02 14:10:00+00:00,29300.25,True,2023-08-02 14:05:00+00:00,0.0,True,2023-08-02 14:30:00+00:00,29288.3,True,2023-08-02 14:05:00+00:00,0.0,True,2023-08-02 15:00:00+00:00,29264.4,True,2023-08-02 14:05:00+00:00,0.0,True,2023-08-02 15:00:00+00:00,29240.5,True,2023-08-02 14:05:00+00:00,0.0,True,2023-08-02 15:20:00+00:00
development,2023-08-14,2023-08-14 13:35:00+00:00,2023-08-14 13:40:00+00:00,29353.4,29486.0,29330.0,156.0,False,,2023-08-14 20:00:00+00:00,False,,,,,29322.2,False,,,False,,29314.4,False,,,False,,29306.6,False,,,False,,29298.8,False,,,False,,29291.0,False,,,False,,29283.2,False,,,False,,29267.6,False,,,False,,29252.0,False,,,False,
development,2023-08-22,2023-08-22 13:35:00+00:00,2023-08-22 13:45:00+00:00,26007.52,26100.0,25991.2,108.79999999999927,True,2023-08-22 13:50:00+00:00,2023-08-22 20:00:00+00:00,True,2023-08-22 13:55:00+00:00,2023-08-22 14:00:00+00:00,2.735294117647097,2.131433823529439,25985.760000000002,True,2023-08-22 13:55:00+00:00,5.0,True,2023-08-22 14:35:00+00:00,25980.32,True,2023-08-22 13:55:00+00:00,5.0,True,2023-08-22 14:40:00+00:00,25974.88,True,2023-08-22 13:55:00+00:00,5.0,True,2023-08-22 15:10:00+00:00,25969.440000000002,True,2023-08-22 13:55:00+00:00,5.0,True,2023-08-22 15:50:00+00:00,25964.0,True,2023-08-22 14:00:00+00:00,10.0,True,2023-08-22 15:50:00+00:00,25958.56,True,2023-08-22 14:00:00+00:00,10.0,True,2023-08-22 15:50:00+00:00,25947.68,True,2023-08-22 14:00:00+00:00,10.0,True,2023-08-22 15:55:00+00:00,25936.800000000003,True,2023-08-22 14:00:00+00:00,10.0,True,2023-08-22 15:55:00+00:00
development,2023-08-31,2023-08-31 14:20:00+00:00,2023-08-31 14:25:00+00:00,27109.645,27674.3,27010.0,664.2999999999993,True,2023-08-31 15:40:00+00:00,2023-08-31 20:00:00+00:00,True,2023-08-31 15:40:00+00:00,2023-08-31 15:45:00+00:00,1.7061568568417924,1.344272166189976,26976.785,True,2023-08-31 15:40:00+00:00,0.0,True,2023-08-31 15:45:00+00:00,26943.57,True,2023-08-31 15:40:00+00:00,0.0,True,2023-08-31 15:45:00+00:00,26910.355,True,2023-08-31 15:40:00+00:00,0.0,True,2023-08-31 15:45:00+00:00,26877.14,True,2023-08-31 15:40:00+00:00,0.0,True,2023-08-31 16:05:00+00:00,26843.925,True,2023-08-31 15:40:00+00:00,0.0,True,2023-08-31 16:15:00+00:00,26810.71,True,2023-08-31 15:40:00+00:00,0.0,True,2023-08-31 16:20:00+00:00,26744.28,True,2023-08-31 15:40:00+00:00,0.0,True,2023-08-31 16:30:00+00:00,26677.85,True,2023-08-31 16:25:00+00:00,45.0,True,2023-08-31 16:35:00+00:00
development,2023-09-05,2023-09-05 14:40:00+00:00,2023-09-05 14:45:00+00:00,25667.65,25830.0,25639.0,191.0,False,,2023-09-05 20:00:00+00:00,False,,,,,25629.45,False,,,False,,25619.9,False,,,False,,25610.35,False,,,False,,25600.8,False,,,False,,25591.25,False,,,False,,25581.7,False,,,False,,25562.6,False,,,False,,25543.5,False,,,False,
