partition,dev_block,entry_ts,warning_ts,terminal_label,terminal_event_ts,H,L,R,available_5x1m,ohlc_parity,five_open,five_high,five_low,five_close,agg_open,agg_high,agg_low,agg_close
development,0.0,2022-05-01 15:25:00+00:00,2022-05-01 15:25:00+00:00,FAILED_BREAK,2022-05-01 15:30:00+00:00,89.76,87.01,2.75,True,True,89.03,89.9,89.01,89.77,89.03,89.9,89.01,89.77
development,0.0,2022-05-12 15:00:00+00:00,2022-05-12 15:00:00+00:00,FAILED_BREAK,2022-05-12 15:10:00+00:00,47.92,41.42,6.5,True,True,47.75,48.08,46.96,48.04,47.75,48.08,46.96,48.04
development,0.0,2022-05-14 21:40:00+00:00,2022-05-14 21:40:00+00:00,FAILED_BREAK,2022-05-14 21:55:00+00:00,51.24,46.05,5.190000000000005,True,True,50.5,51.64,50.47,51.63,50.5,51.64,50.47,51.63
development,0.0,2022-05-15 15:05:00+00:00,2022-05-15 15:05:00+00:00,FAILED_BREAK,2022-05-15 15:15:00+00:00,54.05,50.75,3.299999999999997,True,True,53.67,54.49,53.67,54.19,53.67,54.49,53.67,54.19
development,0.0,2022-05-19 15:20:00+00:00,2022-05-19 15:25:00+00:00,FAILED_BREAK,2022-05-19 16:35:00+00:00,52.81,48.2,4.609999999999999,True,True,53.29,53.32,52.67,52.82,53.29,53.32,52.67,52.82
development,0.0,2022-05-21 15:00:00+00:00,2022-05-21 15:00:00+00:00,FAILED_BREAK,2022-05-21 15:05:00+00:00,50.7,48.92,1.7800000000000011,True,True,50.65,50.83,50.4,50.78,50.65,50.83,50.4,50.78
development,0.0,2022-05-24 15:45:00+00:00,2022-05-24 15:55:00+00:00,FAILED_BREAK,2022-05-24 16:25:00+00:00,49.88,47.04,2.8400000000000034,True,True,50.29,50.32,49.93,50.02,50.29,50.32,49.93,50.02
development,0.0,2022-05-26 15:00:00+00:00,2022-05-26 15:00:00+00:00,FAILED_BREAK,2022-05-26 15:05:00+00:00,45.43,41.56,3.869999999999997,True,True,45.08,45.56,44.98,45.47,45.08,45.56,44.98,45.47
development,0.0,2022-05-30 01:35:00+00:00,2022-05-30 01:50:00+00:00,UNRESOLVED_TIME,2022-05-30 02:55:00+00:00,45.66,42.28,3.3799999999999955,True,True,45.64,45.87,45.62,45.69,45.64,45.87,45.62,45.69
development,0.0,2022-06-07 18:10:00+00:00,2022-06-07 18:10:00+00:00,FAILED_BREAK,2022-06-07 18:15:00+00:00,39.64,37.06,2.5799999999999983,True,True,39.27,39.82,39.27,39.72,39.27,39.82,39.27,39.72
development,0.0,2022-06-12 15:05:00+00:00,2022-06-12 15:15:00+00:00,FAILED_BREAK,2022-06-12 15:20:00+00:00,34.04,31.36,2.68,True,True,33.66,34.26,33.61,34.12,33.66,34.26,33.61,34.12
development,0.0,2022-06-13 16:10:00+00:00,2022-06-13 16:15:00+00:00,FAILED_BREAK,2022-06-13 16:40:00+00:00,28.5,26.0,2.5,True,True,28.8,28.88,28.5,28.69,28.8,28.88,28.5,28.69
development,0.0,2022-06-18 22:20:00+00:00,2022-06-18 22:20:00+00:00,RECOVER_E40,2022-06-18 22:55:00+00:00,30.66,28.28,2.379999999999999,True,True,30.09,31.5,30.0,30.88,30.09,31.5,30.0,30.88
development,0.0,2022-06-19 15:50:00+00:00,2022-06-19 15:50:00+00:00,FAILED_BREAK,2022-06-19 16:05:00+00:00,33.08,29.3,3.7799999999999976,True,True,32.79,33.42,32.7,33.24,32.79,33.42,32.7,33.24
development,0.0,2022-06-23 15:10:00+00:00,2022-06-23 15:10:00+00:00,FAILED_BREAK,2022-06-23 15:15:00+00:00,37.49,35.7,1.7899999999999991,True,True,36.99,37.78,36.93,37.55,36.99,37.78,36.93,37.55
development,0.0,2022-06-24 20:00:00+00:00,2022-06-24 20:10:00+00:00,FAILED_BREAK,2022-06-24 20:25:00+00:00,41.38,38.04,3.3400000000000034,True,True,41.98,42.0,41.62,41.7,41.98,42.0,41.62,41.7
development,1.0,2022-07-02 18:50:00+00:00,2022-07-02 18:50:00+00:00,FAILED_BREAK,2022-07-02 18:55:00+00:00,33.38,31.83,1.5500000000000045,True,True,33.19,33.49,33.17,33.39,33.19,33.49,33.17,33.39
development,1.0,2022-07-04 15:05:00+00:00,2022-07-04 15:05:00+00:00,FAILED_BREAK,2022-07-04 15:10:00+00:00,34.58,32.85,1.7299999999999969,True,True,34.35,34.94,34.33,34.65,34.35,34.94,34.33,34.65
development,1.0,2022-07-05 19:10:00+00:00,2022-07-05 19:10:00+00:00,FAILED_BREAK,2022-07-05 19:15:00+00:00,35.06,33.13,1.93,True,True,34.97,35.25,34.85,35.2,34.97,35.25,34.85,35.2
development,1.0,2022-07-08 15:00:00+00:00,2022-07-08 15:00:00+00:00,RECOVER_E40,2022-07-08 15:10:00+00:00,37.79,36.42,1.3699999999999974,True,True,37.75,38.09,37.7,37.81,37.75,38.09,37.7,37.81
development,1.0,2022-07-12 15:10:00+00:00,2022-07-12 15:10:00+00:00,FAILED_BREAK,2022-07-12 15:15:00+00:00,34.32,33.11,1.2100000000000009,True,True,34.21,34.47,34.2,34.36,34.21,34.47,34.2,34.36
development,1.0,2022-07-13 23:15:00+00:00,2022-07-13 23:15:00+00:00,UNRESOLVED_TIME,2022-07-14 02:55:00+00:00,34.51,31.7,2.8099999999999987,True,True,34.46,35.03,34.45,34.78,34.46,35.03,34.45,34.78
development,1.0,2022-07-14 15:00:00+00:00,2022-07-14 15:10:00+00:00,RECOVER_E40,2022-07-14 15:15:00+00:00,34.22,33.52,0.6999999999999957,True,True,34.35,34.45,34.24,34.26,34.35,34.45,34.24,34.26
development,1.0,2022-07-15 19:50:00+00:00,2022-07-15 20:15:00+00:00,RECOVER_E40,2022-07-15 20:25:00+00:00,38.56,37.34,1.2199999999999989,True,True,38.73,38.8,38.62,38.65,38.73,38.8,38.62,38.65
development,1.0,2022-07-16 15:00:00+00:00,2022-07-16 15:15:00+00:00,RECOVER_E40,2022-07-16 16:00:00+00:00,37.57,36.48,1.0900000000000034,True,True,37.72,37.73,37.59,37.66,37.72,37.73,37.59,37.66
development,1.0,2022-07-18 02:40:00+00:00,2022-07-18 02:40:00+00:00,UNRESOLVED_TIME,2022-07-18 02:55:00+00:00,40.24,39.01,1.230000000000004,True,True,39.77,40.41,39.74,40.29,39.77,40.41,39.74,40.29
development,1.0,2022-07-18 23:40:00+00:00,2022-07-18 23:40:00+00:00,RECOVER_E40,2022-07-18 23:45:00+00:00,42.72,41.21,1.509999999999998,True,True,42.33,42.76,42.21,42.73,42.33,42.76,42.21,42.73
development,1.0,2022-07-24 21:45:00+00:00,2022-07-24 21:45:00+00:00,RECOVER_E40,2022-07-24 22:40:00+00:00,41.38,40.06,1.3200000000000005,True,True,41.18,41.57,41.18,41.49,41.18,41.57,41.18,41.49
development,1.0,2022-07-27 16:20:00+00:00,2022-07-27 16:20:00+00:00,FAILED_BREAK,2022-07-27 16:25:00+00:00,37.44,36.16,1.2800000000000011,True,True,37.33,37.47,37.32,37.45,37.33,37.47,37.32,37.45
development,1.0,2022-07-28 15:20:00+00:00,2022-07-28 15:20:00+00:00,RECOVER_E40,2022-07-28 15:35:00+00:00,40.98,39.19,1.7899999999999991,True,True,40.63,41.07,40.57,40.99,40.63,41.07,40.57,40.99
development,1.0,2022-07-31 18:10:00+00:00,2022-07-31 18:15:00+00:00,FAILED_BREAK,2022-07-31 18:25:00+00:00,44.76,43.26,1.5,True,True,45.02,45.1,44.75,44.8,45.02,45.1,44.75,44.8
development,1.0,2022-08-02 15:00:00+00:00,2022-08-02 15:00:00+00:00,FAILED_BREAK,2022-08-02 15:05:00+00:00,41.53,39.77,1.759999999999998,True,True,41.46,41.66,41.37,41.57,41.46,41.66,41.37,41.57
development,1.0,2022-08-06 18:40:00+00:00,2022-08-06 18:50:00+00:00,RECOVER_E40,2022-08-06 19:00:00+00:00,40.62,40.15,0.4699999999999988,True,True,40.71,40.72,40.58,40.65,40.71,40.72,40.58,40.65
development,1.0,2022-08-07 16:30:00+00:00,2022-08-07 16:30:00+00:00,FAILED_BREAK,2022-08-07 16:35:00+00:00,40.62,39.66,0.9600000000000009,True,True,40.55,40.69,40.55,40.69,40.55,40.69,40.55,40.69
development,1.0,2022-08-15 15:55:00+00:00,2022-08-15 15:55:00+00:00,FAILED_BREAK,2022-08-15 16:05:00+00:00,44.48,43.25,1.2299999999999969,True,True,44.32,44.56,44.3,44.49,44.32,44.56,44.3,44.49
development,1.0,2022-08-19 16:25:00+00:00,2022-08-19 16:25:00+00:00,FAILED_BREAK,2022-08-19 18:10:00+00:00,37.2,35.5,1.7000000000000028,True,True,37.14,37.39,37.1,37.21,37.14,37.39,37.1,37.21
development,1.0,2022-08-28 16:15:00+00:00,2022-08-28 16:15:00+00:00,FAILED_BREAK,2022-08-28 16:25:00+00:00,32.02,31.17,0.8500000000000014,True,True,31.97,32.06,31.94,32.03,31.97,32.06,31.94,32.03
development,1.0,2022-08-29 23:25:00+00:00,2022-08-29 23:30:00+00:00,FAILED_BREAK,2022-08-30 00:15:00+00:00,32.29,30.32,1.9699999999999989,True,True,32.25,32.4,32.24,32.37,32.25,32.4,32.24,32.37
development,1.0,2022-09-01 22:00:00+00:00,2022-09-01 22:00:00+00:00,FAILED_BREAK,2022-09-01 22:20:00+00:00,31.57,30.37,1.1999999999999993,True,True,31.38,31.78,31.37,31.65,31.38,31.78,31.37,31.65
development,1.0,2022-09-02 15:00:00+00:00,2022-09-02 15:00:00+00:00,FAILED_BREAK,2022-09-02 15:05:00+00:00,32.35,31.24,1.110000000000003,True,True,32.22,32.37,32.21,32.37,32.22,32.37,32.21,32.37
development,1.0,2022-09-04 21:25:00+00:00,2022-09-04 21:30:00+00:00,FAILED_BREAK,2022-09-04 21:40:00+00:00,32.01,31.28,0.7299999999999969,True,True,32.13,32.15,32.04,32.05,32.13,32.15,32.04,32.05
development,1.0,2022-09-05 15:00:00+00:00,2022-09-05 15:10:00+00:00,FAILED_BREAK,2022-09-05 15:20:00+00:00,31.77,31.12,0.6499999999999986,True,True,31.72,31.83,31.71,31.79,31.72,31.83,31.71,31.79
development,1.0,2022-09-06 15:45:00+00:00,2022-09-06 16:00:00+00:00,FAILED_BREAK,2022-09-06 16:05:00+00:00,33.53,32.4,1.1300000000000026,True,True,33.76,33.83,33.61,33.62,33.76,33.83,33.61,33.62
development,1.0,2022-09-11 15:00:00+00:00,2022-09-11 15:15:00+00:00,RECOVER_E40,2022-09-11 15:30:00+00:00,34.84,34.42,0.4200000000000017,True,True,34.85,34.88,34.84,34.87,34.85,34.88,34.84,34.87
development,1.0,2022-09-17 15:40:00+00:00,2022-09-17 15:50:00+00:00,RECOVER_E40,2022-09-17 16:15:00+00:00,33.24,32.5,0.740000000000002,True,True,33.23,33.28,33.23,33.27,33.23,33.28,33.23,33.27
development,1.0,2022-09-19 19:00:00+00:00,2022-09-19 19:00:00+00:00,FAILED_BREAK,2022-09-19 19:05:00+00:00,32.5,30.58,1.9200000000000017,True,True,32.39,32.59,32.37,32.57,32.39,32.59,32.37,32.57
development,1.0,2022-09-22 19:10:00+00:00,2022-09-22 19:10:00+00:00,FAILED_BREAK,2022-09-22 19:15:00+00:00,32.48,31.61,0.8699999999999974,True,True,32.38,32.59,32.34,32.56,32.38,32.59,32.34,32.56
development,1.0,2022-09-26 18:05:00+00:00,2022-09-26 18:15:00+00:00,FAILED_BREAK,2022-09-26 18:25:00+00:00,33.41,32.1,1.3099999999999952,True,True,33.37,33.62,33.33,33.51,33.37,33.62,33.33,33.51
development,1.0,2022-09-28 15:55:00+00:00,2022-09-28 16:00:00+00:00,FAILED_BREAK,2022-09-28 16:05:00+00:00,33.14,31.82,1.3200000000000005,True,True,33.1,33.15,33.01,33.15,33.1,33.15,33.01,33.15
development,1.0,2022-09-29 15:50:00+00:00,2022-09-29 15:50:00+00:00,FAILED_BREAK,2022-09-29 16:00:00+00:00,34.06,32.62,1.4400000000000048,True,True,33.88,34.2,33.87,34.13,33.88,34.2,33.87,34.13
development,1.0,2022-09-30 15:00:00+00:00,2022-09-30 15:05:00+00:00,FAILED_BREAK,2022-09-30 15:10:00+00:00,35.06,33.0,2.0600000000000023,True,True,35.06,35.19,35.01,35.09,35.06,35.19,35.01,35.09
development,1.0,2022-10-05 16:05:00+00:00,2022-10-05 16:10:00+00:00,FAILED_BREAK,2022-10-05 16:20:00+00:00,33.78,33.15,0.6300000000000026,True,True,33.75,33.86,33.72,33.81,33.75,33.86,33.72,33.81
development,1.0,2022-10-11 16:45:00+00:00,2022-10-11 16:50:00+00:00,FAILED_BREAK,2022-10-11 17:00:00+00:00,31.71,31.05,0.6600000000000001,True,True,31.68,31.81,31.63,31.76,31.68,31.81,31.63,31.76
development,1.0,2022-10-17 23:35:00+00:00,2022-10-17 23:35:00+00:00,FAILED_BREAK,2022-10-17 23:50:00+00:00,31.19,30.16,1.0300000000000011,True,True,31.14,31.26,31.13,31.22,31.14,31.26,31.13,31.22
development,1.0,2022-10-25 15:00:00+00:00,2022-10-25 15:00:00+00:00,RECOVER_E40,2022-10-25 15:45:00+00:00,29.08,28.03,1.0499999999999972,True,True,29.02,29.13,29.01,29.09,29.02,29.13,29.01,29.09
development,1.0,2022-10-28 16:15:00+00:00,2022-10-28 16:15:00+00:00,RECOVER_E40,2022-10-28 16:45:00+00:00,31.29,30.06,1.2300000000000004,True,True,31.22,31.4,31.19,31.37,31.22,31.4,31.19,31.37
development,1.0,2022-11-02 18:00:00+00:00,2022-11-02 18:00:00+00:00,RECOVER_E40,2022-11-02 18:05:00+00:00,31.94,31.07,0.870000000000001,True,True,31.35,32.1,31.01,32.0,31.35,32.1,31.01,32.0
development,1.0,2022-11-04 23:00:00+00:00,2022-11-04 23:05:00+00:00,FAILED_BREAK,2022-11-04 23:10:00+00:00,34.01,31.83,2.18,True,True,33.99,34.2,33.99,34.06,33.99,34.2,33.99,34.06
development,1.0,2022-11-08 16:00:00+00:00,2022-11-08 16:00:00+00:00,RECOVER_E40,2022-11-08 16:05:00+00:00,29.12,26.58,2.5400000000000027,True,True,27.7,29.59,27.43,29.31,27.7,29.59,27.43,29.31
development,1.0,2022-11-10 15:00:00+00:00,2022-11-10 15:05:00+00:00,FAILED_BREAK,2022-11-10 15:10:00+00:00,17.265,12.4,4.865,True,True,17.145,17.446,16.696,17.354,17.145,17.446,16.696,17.354
development,1.0,2022-11-22 15:20:00+00:00,2022-11-22 15:20:00+00:00,FAILED_BREAK,2022-11-22 15:25:00+00:00,11.962,10.901,1.061,True,True,11.811,12.08,11.811,12.026,11.811,12.08,11.811,12.026
development,1.0,2022-11-26 01:20:00+00:00,2022-11-26 01:20:00+00:00,FAILED_BREAK,2022-11-26 01:35:00+00:00,14.485,13.973,0.5119999999999987,True,True,14.411,14.595,14.408,14.497,14.411,14.595,14.408,14.497
development,1.0,2022-11-28 16:55:00+00:00,2022-11-28 16:55:00+00:00,RECOVER_E40,2022-11-28 17:00:00+00:00,13.519,13.198,0.3209999999999997,True,True,13.367,13.636,13.344,13.532,13.367,13.636,13.344,13.532
development,1.0,2022-11-30 19:10:00+00:00,2022-11-30 19:20:00+00:00,FAILED_BREAK,2022-11-30 19:25:00+00:00,13.758,13.458,0.2999999999999989,True,True,13.793,13.838,13.75,13.766,13.793,13.838,13.75,13.766
development,1.0,2022-12-06 23:00:00+00:00,2022-12-06 23:00:00+00:00,FAILED_BREAK,2022-12-06 23:05:00+00:00,14.149,13.874,0.2749999999999986,True,True,14.082,14.157,14.076,14.153,14.082,14.157,14.076,14.153
development,1.0,2022-12-12 19:55:00+00:00,2022-12-12 20:10:00+00:00,FAILED_BREAK,2022-12-12 20:35:00+00:00,13.212,13.0,0.2119999999999997,True,True,13.246,13.246,13.221,13.223,13.246,13.246,13.221,13.223
development,1.0,2022-12-14 15:00:00+00:00,2022-12-14 15:00:00+00:00,RECOVER_E40,2022-12-14 15:05:00+00:00,14.245,13.91,0.3349999999999991,True,True,14.224,14.276,14.199,14.257,14.224,14.276,14.199,14.257
development,1.0,2022-12-17 23:45:00+00:00,2022-12-17 23:45:00+00:00,FAILED_BREAK,2022-12-17 23:55:00+00:00,12.499,12.203,0.2960000000000011,True,True,12.475,12.532,12.462,12.523,12.475,12.532,12.462,12.523
development,1.0,2022-12-18 18:00:00+00:00,2022-12-18 18:20:00+00:00,FAILED_BREAK,2022-12-18 18:35:00+00:00,12.44,12.25,0.1899999999999995,True,True,12.502,12.508,12.42,12.45,12.502,12.508,12.42,12.45
development,1.0,2022-12-20 15:30:00+00:00,2022-12-20 15:30:00+00:00,FAILED_BREAK,2022-12-20 15:35:00+00:00,12.435,12.183,0.2520000000000006,True,True,12.377,12.475,12.377,12.441,12.377,12.475,12.377,12.441
development,1.0,2022-12-24 16:25:00+00:00,2022-12-24 16:25:00+00:00,FAILED_BREAK,2022-12-24 16:40:00+00:00,11.386,11.148,0.2379999999999995,True,True,11.377,11.436,11.376,11.392,11.377,11.436,11.376,11.392
development,2.0,2023-01-01 18:05:00+00:00,2023-01-01 18:05:00+00:00,FAILED_BREAK,2023-01-01 18:15:00+00:00,9.975,9.717,0.2579999999999991,True,True,9.95,10.019,9.94,9.983,9.95,10.019,9.94,9.983
development,2.0,2023-01-02 19:45:00+00:00,2023-01-02 19:45:00+00:00,FAILED_BREAK,2023-01-02 19:55:00+00:00,11.244,10.832,0.411999999999999,True,True,11.15,11.5,11.149,11.267,11.15,11.5,11.149,11.267
development,2.0,2023-01-03 15:10:00+00:00,2023-01-03 15:20:00+00:00,RECOVER_E40,2023-01-03 15:45:00+00:00,12.432,11.706,0.7260000000000009,True,True,12.404,12.455,12.343,12.449,12.404,12.455,12.343,12.449
development,2.0,2023-01-10 15:10:00+00:00,2023-01-10 15:15:00+00:00,FAILED_BREAK,2023-01-10 15:20:00+00:00,16.352,15.805,0.5470000000000006,True,True,16.334,16.489,16.303,16.361,16.334,16.489,16.303,16.361
development,2.0,2023-01-12 17:35:00+00:00,2023-01-12 17:35:00+00:00,FAILED_BREAK,2023-01-12 17:40:00+00:00,16.498,15.4,1.0980000000000008,True,True,16.274,16.554,16.218,16.526,16.274,16.554,16.218,16.526
development,2.0,2023-01-16 18:55:00+00:00,2023-01-16 19:00:00+00:00,FAILED_BREAK,2023-01-16 19:05:00+00:00,23.683,22.63,1.0530000000000008,True,True,23.641,23.741,23.553,23.714,23.641,23.741,23.553,23.714
development,2.0,2023-01-18 15:05:00+00:00,2023-01-18 15:10:00+00:00,FAILED_BREAK,2023-01-18 15:15:00+00:00,23.362,22.187,1.1749999999999972,True,True,23.486,23.674,23.377,23.393,23.486,23.674,23.377,23.393
development,2.0,2023-01-19 19:10:00+00:00,2023-01-19 19:15:00+00:00,RECOVER_E40,2023-01-19 20:20:00+00:00,21.44,20.4,1.0400000000000027,True,True,21.434,21.71,21.428,21.525,21.434,21.71,21.428,21.525
development,2.0,2023-01-20 15:00:00+00:00,2023-01-20 15:30:00+00:00,FAILED_BREAK,2023-01-20 15:35:00+00:00,21.468,20.98,0.4879999999999995,True,True,21.428,21.494,21.387,21.47,21.428,21.494,21.387,21.47
development,2.0,2023-01-22 15:00:00+00:00,2023-01-22 15:00:00+00:00,FAILED_BREAK,2023-01-22 15:20:00+00:00,25.292,24.636,0.6560000000000024,True,True,25.225,25.337,25.191,25.302,25.225,25.337,25.191,25.302
development,2.0,2023-01-25 21:40:00+00:00,2023-01-25 21:50:00+00:00,RECOVER_E40,2023-01-25 22:05:00+00:00,24.573,22.96,1.6129999999999995,True,True,24.546,24.7,24.463,24.695,24.546,24.7,24.463,24.695
development,2.0,2023-01-27 15:00:00+00:00,2023-01-27 15:20:00+00:00,FAILED_BREAK,2023-01-27 15:30:00+00:00,23.986,23.31,0.6760000000000019,True,True,24.064,24.124,23.974,24.052,24.064,24.124,23.974,24.052
development,2.0,2023-02-13 23:25:00+00:00,2023-02-13 23:25:00+00:00,FAILED_BREAK,2023-02-13 23:30:00+00:00,20.747,20.03,0.7169999999999987,True,True,20.644,20.789,20.642,20.768,20.644,20.789,20.642,20.768
development,2.0,2023-02-14 15:10:00+00:00,2023-02-14 15:15:00+00:00,FAILED_BREAK,2023-02-14 15:25:00+00:00,22.075,20.769,1.306000000000001,True,True,22.252,22.298,22.13,22.146,22.252,22.298,22.13,22.146
development,2.0,2023-02-15 19:10:00+00:00,2023-02-15 19:10:00+00:00,RECOVER_E40,2023-02-15 20:15:00+00:00,22.745,21.513,1.231999999999999,True,True,22.699,22.887,22.672,22.848,22.699,22.887,22.672,22.848
