role,partition,execution_start,entry_ts,snapshot_min,outcome,loss_class,pnl,close_R,running_mfe_R,running_mae_R,break_confirmed_by_snapshot,closes_above_H
CENTRAL,development,2022-01-11 18:00:00+00:00,2022-01-11 18:35:00+00:00,30,LOSS,L1_NEVER_BREAK_TIME,-9.683960285274797,-0.08489388264669229,0.0474406991260917,0.14107365792759316,False,0
CENTRAL,development,2022-01-12 18:00:00+00:00,2022-01-12 19:50:00+00:00,5,LOSS,L2_BREAK_FAST_FAIL_5M,-0.3943995267206013,-0.019667170953100718,0.055975794251135455,0.19667170953101148,False,0
CENTRAL,development,2022-01-12 18:00:00+00:00,2022-01-12 19:50:00+00:00,10,LOSS,L2_BREAK_FAST_FAIL_5M,-0.3943995267206013,0.07413010590015283,0.16641452344931873,0.19667170953101148,True,1
CENTRAL,development,2022-01-12 18:00:00+00:00,2022-01-12 19:50:00+00:00,15,LOSS,L2_BREAK_FAST_FAIL_5M,-0.3943995267206013,-0.01664145234492972,0.16641452344931873,0.19667170953101148,True,1
CENTRAL,development,2022-01-14 18:00:00+00:00,2022-01-14 19:35:00+00:00,5,LOSS,L4_BREAK_FAIL_30M,-1.0770784247728926,0.1466431095406326,0.2067137809187248,0.11484098939929378,True,1
CENTRAL,development,2022-01-14 18:00:00+00:00,2022-01-14 19:35:00+00:00,10,LOSS,L4_BREAK_FAIL_30M,-1.0770784247728926,0.054770318021201574,0.2067137809187248,0.11484098939929378,True,2
CENTRAL,development,2022-01-14 18:00:00+00:00,2022-01-14 19:35:00+00:00,15,LOSS,L4_BREAK_FAIL_30M,-1.0770784247728926,0.007067137809185842,0.2067137809187248,0.11484098939929378,True,3
CENTRAL,development,2022-01-14 18:00:00+00:00,2022-01-14 19:35:00+00:00,30,LOSS,L4_BREAK_FAIL_30M,-1.0770784247728926,0.022968197879857752,0.2067137809187248,0.11484098939929378,True,5
CENTRAL,development,2022-01-15 18:00:00+00:00,2022-01-15 20:10:00+00:00,5,LOSS,L2_BREAK_FAST_FAIL_5M,-0.4367399045892006,0.0,0.04699738903393676,0.0783289817232403,False,0
CENTRAL,development,2022-01-15 18:00:00+00:00,2022-01-15 20:10:00+00:00,10,LOSS,L2_BREAK_FAST_FAIL_5M,-0.4367399045892006,0.00261096605743887,0.07310704960835514,0.0783289817232403,True,1
CENTRAL,development,2022-01-15 18:00:00+00:00,2022-01-15 20:10:00+00:00,15,LOSS,L2_BREAK_FAST_FAIL_5M,-0.4367399045892006,-0.03394255874674241,0.07310704960835514,0.0783289817232403,True,1
CENTRAL,development,2022-01-18 18:00:00+00:00,2022-01-18 21:10:00+00:00,5,WIN,WIN,5.195182121607855,0.29329608938547935,0.3156424581005588,0.05586592178770657,True,1
CENTRAL,development,2022-01-18 18:00:00+00:00,2022-01-18 21:10:00+00:00,10,WIN,WIN,5.195182121607855,0.5810055865921848,0.5810055865921848,0.05586592178770657,True,2
CENTRAL,development,2022-01-24 18:00:00+00:00,2022-01-24 18:05:00+00:00,5,LOSS,L3_BREAK_FAST_FAIL_10M,-4.714887952074531,-0.06552094522019326,0.015037593984962464,0.23308270676691742,False,0
CENTRAL,development,2022-01-24 18:00:00+00:00,2022-01-24 18:05:00+00:00,10,LOSS,L3_BREAK_FAST_FAIL_10M,-4.714887952074531,0.033297529538131275,0.07089151450053667,0.23308270676691742,True,1
CENTRAL,development,2022-01-24 18:00:00+00:00,2022-01-24 18:05:00+00:00,15,LOSS,L3_BREAK_FAST_FAIL_10M,-4.714887952074531,0.04726100966702445,0.146079484425349,0.23308270676691742,True,2
CENTRAL,development,2022-01-25 18:00:00+00:00,2022-01-25 18:30:00+00:00,5,LOSS,L3_BREAK_FAST_FAIL_10M,-1.4808006535947935,0.04582210242587646,0.11185983827493236,0.04582210242587646,True,1
CENTRAL,development,2022-01-25 18:00:00+00:00,2022-01-25 18:30:00+00:00,10,LOSS,L3_BREAK_FAST_FAIL_10M,-1.4808006535947935,0.009433962264150022,0.11185983827493236,0.04851752021563333,True,2
CENTRAL,development,2022-01-25 18:00:00+00:00,2022-01-25 18:30:00+00:00,15,LOSS,L3_BREAK_FAST_FAIL_10M,-1.4808006535947935,-0.03773584905660392,0.11185983827493236,0.07008086253369217,True,2
CENTRAL,development,2022-01-26 18:00:00+00:00,2022-01-26 19:00:00+00:00,5,WIN,WIN,8.904579778366228,-0.07048458149779598,0.17621145374449307,0.9339207048458155,False,0
CENTRAL,development,2022-01-26 18:00:00+00:00,2022-01-26 19:00:00+00:00,10,WIN,WIN,8.904579778366228,0.3788546255506612,0.5462555066079313,0.9339207048458155,True,1
CENTRAL,development,2022-01-28 18:00:00+00:00,2022-01-28 18:30:00+00:00,5,LOSS,L2_BREAK_FAST_FAIL_5M,-3.721682847896424,0.002202643171804161,0.0881057268722447,0.3127753303964757,True,1
CENTRAL,development,2022-01-28 18:00:00+00:00,2022-01-28 18:30:00+00:00,10,LOSS,L2_BREAK_FAST_FAIL_5M,-3.721682847896424,-0.14977973568282069,0.0881057268722447,0.3127753303964757,True,1
CENTRAL,development,2022-01-28 18:00:00+00:00,2022-01-28 18:30:00+00:00,15,LOSS,L2_BREAK_FAST_FAIL_5M,-3.721682847896424,-0.2973568281938341,0.0881057268722447,0.3392070484581507,True,1
CENTRAL,development,2022-01-31 18:00:00+00:00,2022-01-31 20:00:00+00:00,5,LOSS,L2_BREAK_FAST_FAIL_5M,-4.45479396577908,0.003926701570680776,0.010471204188481452,0.09162303664921502,True,1
CENTRAL,development,2022-01-31 18:00:00+00:00,2022-01-31 20:00:00+00:00,10,LOSS,L2_BREAK_FAST_FAIL_5M,-4.45479396577908,-0.11125654450261704,0.08638743455497523,0.12565445026177927,True,1
CENTRAL,development,2022-01-31 18:00:00+00:00,2022-01-31 20:00:00+00:00,15,LOSS,L2_BREAK_FAST_FAIL_5M,-4.45479396577908,-0.16492146596858517,0.08638743455497523,0.18193717277486918,True,1
CENTRAL,development,2022-02-02 18:00:00+00:00,2022-02-02 18:55:00+00:00,5,LOSS,L5_BREAK_FAIL_LATE,-3.146948827875584,-0.0032840722495888434,0.047619047619048734,0.1954022988505747,False,0
CENTRAL,development,2022-02-02 18:00:00+00:00,2022-02-02 18:55:00+00:00,10,LOSS,L5_BREAK_FAIL_LATE,-3.146948827875584,0.29392446633826097,0.3070607553366187,0.1954022988505747,True,1
CENTRAL,development,2022-02-02 18:00:00+00:00,2022-02-02 18:55:00+00:00,15,LOSS,L5_BREAK_FAIL_LATE,-3.146948827875584,0.16584564860427042,0.30870279146141427,0.1954022988505747,True,2
CENTRAL,development,2022-02-02 18:00:00+00:00,2022-02-02 18:55:00+00:00,30,LOSS,L5_BREAK_FAIL_LATE,-3.146948827875584,0.04926108374384432,0.30870279146141427,0.1954022988505747,True,5
CENTRAL,development,2022-02-03 18:00:00+00:00,2022-02-03 21:15:00+00:00,5,WIN,WIN,6.935483870967762,0.3779069767441855,0.45930232558139517,0.19767441860465326,True,1
CENTRAL,development,2022-02-03 18:00:00+00:00,2022-02-03 21:15:00+00:00,10,WIN,WIN,6.935483870967762,0.04069767441860484,0.45930232558139517,0.19767441860465326,True,2
CENTRAL,development,2022-02-04 18:00:00+00:00,2022-02-04 23:45:00+00:00,5,WIN,WIN,0.0449236298293298,0.08798283261802663,0.13948497854077235,0.0933476394849776,True,1
CENTRAL,development,2022-02-04 18:00:00+00:00,2022-02-04 23:45:00+00:00,10,WIN,WIN,0.0449236298293298,0.12231759656652377,0.16201716738197494,0.0933476394849776,True,2
CENTRAL,development,2022-02-04 18:00:00+00:00,2022-02-04 23:45:00+00:00,15,WIN,WIN,0.0449236298293298,0.13626609442060056,0.16201716738197494,0.0933476394849776,True,3
CENTRAL,development,2022-02-06 18:00:00+00:00,2022-02-07 03:15:00+00:00,5,WIN,WIN,8.331895808176615,0.12836438923395543,0.1904761904761909,0.08488612836438855,True,1
CENTRAL,development,2022-02-06 18:00:00+00:00,2022-02-07 03:15:00+00:00,10,WIN,WIN,8.331895808176615,0.22981366459627325,0.24016563146997869,0.08488612836438855,True,2
CENTRAL,development,2022-02-06 18:00:00+00:00,2022-02-07 03:15:00+00:00,15,WIN,WIN,8.331895808176615,0.2877846790890271,0.3540372670807471,0.08488612836438855,True,3
CENTRAL,development,2022-02-08 18:00:00+00:00,2022-02-08 20:40:00+00:00,5,WIN,WIN,5.442176870748328,-0.17857142857142774,0.032467532467535254,0.272727272727274,False,0
CENTRAL,development,2022-02-08 18:00:00+00:00,2022-02-08 20:40:00+00:00,10,WIN,WIN,5.442176870748328,-0.05519480519480578,0.032467532467535254,0.2857142857142844,False,0
CENTRAL,development,2022-02-08 18:00:00+00:00,2022-02-08 20:40:00+00:00,15,WIN,WIN,5.442176870748328,-0.03571428571428555,0.032467532467535254,0.2857142857142844,False,0
CENTRAL,development,2022-02-08 18:00:00+00:00,2022-02-08 20:40:00+00:00,30,WIN,WIN,5.442176870748328,-0.18506493506493296,0.09740259740259653,0.2857142857142844,False,0
CENTRAL,development,2022-02-09 18:00:00+00:00,2022-02-09 19:45:00+00:00,5,LOSS,L3_BREAK_FAST_FAIL_10M,-0.5211952744961779,0.10144927536231907,0.1231884057970973,0.06521739130435018,True,1
CENTRAL,development,2022-02-09 18:00:00+00:00,2022-02-09 19:45:00+00:00,10,LOSS,L3_BREAK_FAST_FAIL_10M,-0.5211952744961779,0.11231884057971075,0.19565217391304024,0.06521739130435018,True,2
CENTRAL,development,2022-02-09 18:00:00+00:00,2022-02-09 19:45:00+00:00,15,LOSS,L3_BREAK_FAST_FAIL_10M,-0.5211952744961779,-0.043478260869566784,0.19565217391304024,0.13405797101449415,True,2
CENTRAL,development,2022-02-12 18:00:00+00:00,2022-02-12 18:00:00+00:00,5,WIN,WIN,8.778391651319772,-0.009324009324007487,0.055944055944058164,0.06526806526806565,False,0
CENTRAL,development,2022-02-12 18:00:00+00:00,2022-02-12 18:00:00+00:00,10,WIN,WIN,8.778391651319772,0.2587412587412591,0.28205128205128444,0.06526806526806565,True,1
CENTRAL,development,2022-02-12 18:00:00+00:00,2022-02-12 18:00:00+00:00,15,WIN,WIN,8.778391651319772,0.3613053613053646,0.45687645687645956,0.06526806526806565,True,2
CENTRAL,development,2022-02-14 18:00:00+00:00,2022-02-15 01:25:00+00:00,5,WIN,WIN,5.494281045751559,0.10037174721189451,0.20074349442378903,0.21933085501858882,True,1
CENTRAL,development,2022-02-14 18:00:00+00:00,2022-02-15 01:25:00+00:00,10,WIN,WIN,5.494281045751559,0.7323420074349445,0.7323420074349445,0.21933085501858882,True,2
CENTRAL,development,2022-02-15 18:00:00+00:00,2022-02-15 22:40:00+00:00,5,WIN,WIN,4.728682170542675,-0.2377049180327864,0.07377049180327573,0.30327868852459416,False,0
CENTRAL,development,2022-02-15 18:00:00+00:00,2022-02-15 22:40:00+00:00,10,WIN,WIN,4.728682170542675,-0.06967213114754174,0.07377049180327573,0.30327868852459416,False,0
CENTRAL,development,2022-02-15 18:00:00+00:00,2022-02-15 22:40:00+00:00,15,WIN,WIN,4.728682170542675,-0.10245901639344272,0.07377049180327573,0.30327868852459416,False,0
CENTRAL,development,2022-02-15 18:00:00+00:00,2022-02-15 22:40:00+00:00,30,WIN,WIN,4.728682170542675,-0.30737704918032815,0.07377049180327573,0.3893442622950835,False,0
CENTRAL,development,2022-02-16 18:00:00+00:00,2022-02-16 19:00:00+00:00,5,WIN,WIN,4.230270378130285,-0.16509433962264516,0.2169811320754683,0.5047169811320779,False,0
CENTRAL,development,2022-02-16 18:00:00+00:00,2022-02-16 19:00:00+00:00,10,WIN,WIN,4.230270378130285,0.004716981132071171,0.2169811320754683,0.5047169811320779,True,1
CENTRAL,development,2022-02-16 18:00:00+00:00,2022-02-16 19:00:00+00:00,15,WIN,WIN,4.230270378130285,0.004716981132071171,0.2169811320754683,0.5047169811320779,True,2
CENTRAL,development,2022-02-20 18:00:00+00:00,2022-02-20 18:10:00+00:00,5,WIN,WIN,9.02732240437154,0.08232445520581204,0.11380145278450346,0.14769975786924938,True,1
CENTRAL,development,2022-02-20 18:00:00+00:00,2022-02-20 18:10:00+00:00,10,WIN,WIN,9.02732240437154,0.05569007263922619,0.11380145278450346,0.14769975786924938,True,2
CENTRAL,development,2022-02-20 18:00:00+00:00,2022-02-20 18:10:00+00:00,15,WIN,WIN,9.02732240437154,0.0944309927360777,0.11380145278450346,0.14769975786924938,True,3
CENTRAL,development,2022-02-20 18:00:00+00:00,2022-02-20 18:10:00+00:00,30,WIN,WIN,9.02732240437154,0.21307506053268674,0.21549636803874125,0.14769975786924938,True,6
CENTRAL,development,2022-02-22 18:00:00+00:00,2022-02-23 00:15:00+00:00,5,LOSS,L2_BREAK_FAST_FAIL_5M,-0.5136986301369495,0.012853470437020915,0.1850899742930588,0.20308483290488222,True,1
CENTRAL,development,2022-02-22 18:00:00+00:00,2022-02-23 00:15:00+00:00,10,LOSS,L2_BREAK_FAST_FAIL_5M,-0.5136986301369495,-0.025706940874034523,0.1850899742930588,0.20308483290488222,True,1
CENTRAL,development,2022-02-22 18:00:00+00:00,2022-02-23 00:15:00+00:00,15,LOSS,L2_BREAK_FAST_FAIL_5M,-0.5136986301369495,-0.017994858611823435,0.1850899742930588,0.20308483290488222,True,1
CENTRAL,development,2022-02-24 18:00:00+00:00,2022-02-24 18:50:00+00:00,5,WIN,WIN,15.276497695852488,0.06636500754147782,0.1809954751131227,0.09049773755656028,True,1
CENTRAL,development,2022-02-24 18:00:00+00:00,2022-02-24 18:50:00+00:00,10,WIN,WIN,15.276497695852488,0.013574660633484685,0.1809954751131227,0.09049773755656028,True,2
CENTRAL,development,2022-02-24 18:00:00+00:00,2022-02-24 18:50:00+00:00,15,WIN,WIN,15.276497695852488,0.006033182503771686,0.1809954751131227,0.09049773755656028,True,3
CENTRAL,development,2022-02-24 18:00:00+00:00,2022-02-24 18:50:00+00:00,30,WIN,WIN,15.276497695852488,0.06787330316742128,0.1809954751131227,0.09049773755656028,True,6
CENTRAL,development,2022-03-01 18:00:00+00:00,2022-03-02 03:25:00+00:00,5,WIN,WIN,11.74279553028823,-0.0400667779632713,0.01669449081803149,0.1068447412353925,False,0
CENTRAL,development,2022-03-01 18:00:00+00:00,2022-03-02 03:25:00+00:00,10,WIN,WIN,11.74279553028823,0.11519198664440707,0.15025041736227152,0.15191986644407302,True,1
CENTRAL,development,2022-03-01 18:00:00+00:00,2022-03-02 03:25:00+00:00,15,WIN,WIN,11.74279553028823,0.35392320534223815,0.3772954924874803,0.15191986644407302,True,2
CENTRAL,development,2022-03-08 18:00:00+00:00,2022-03-08 18:05:00+00:00,5,LOSS,L4_BREAK_FAIL_30M,-1.185255422543552,0.026058631921823484,0.0651465798045564,0.14983713355049083,True,1
CENTRAL,development,2022-03-08 18:00:00+00:00,2022-03-08 18:05:00+00:00,10,LOSS,L4_BREAK_FAIL_30M,-1.185255422543552,0.02931596091204853,0.10423452768729394,0.14983713355049083,True,2
CENTRAL,development,2022-03-08 18:00:00+00:00,2022-03-08 18:05:00+00:00,15,LOSS,L4_BREAK_FAIL_30M,-1.185255422543552,0.11074918566774866,0.11726384364820801,0.14983713355049083,True,3
CENTRAL,development,2022-03-10 18:00:00+00:00,2022-03-10 22:35:00+00:00,5,LOSS,L2_BREAK_FAST_FAIL_5M,-1.0191846522781822,0.2025862068965506,0.24568965517241007,0.07327586206896602,True,1
CENTRAL,development,2022-03-10 18:00:00+00:00,2022-03-10 22:35:00+00:00,10,LOSS,L2_BREAK_FAST_FAIL_5M,-1.0191846522781822,-0.07758620689655442,0.24568965517241007,0.08189655172414281,True,1
CENTRAL,development,2022-03-10 18:00:00+00:00,2022-03-10 22:35:00+00:00,15,LOSS,L2_BREAK_FAST_FAIL_5M,-1.0191846522781822,-0.07327586206896602,0.24568965517241007,0.10775862068965483,True,1
CENTRAL,development,2022-03-12 18:00:00+00:00,2022-03-13 03:50:00+00:00,5,WIN,WIN,3.763049283806774,-0.032258064516127255,0.1548387096774255,0.0838709677419327,False,0
CENTRAL,development,2022-03-12 18:00:00+00:00,2022-03-13 03:50:00+00:00,10,WIN,WIN,3.763049283806774,0.11612903225806913,0.1548387096774255,0.0838709677419327,True,1
CENTRAL,development,2022-03-12 18:00:00+00:00,2022-03-13 03:50:00+00:00,15,WIN,WIN,3.763049283806774,0.32903225806452,0.3419354838709691,0.0838709677419327,True,2
CENTRAL,development,2022-03-14 18:00:00+00:00,2022-03-14 22:50:00+00:00,5,LOSS,L1_NEVER_BREAK_TIME,-9.82318271119842,-0.2170542635658925,0.015503875968994682,0.2635658914728655,False,0
CENTRAL,development,2022-03-14 18:00:00+00:00,2022-03-14 22:50:00+00:00,10,LOSS,L1_NEVER_BREAK_TIME,-9.82318271119842,-0.259689922480621,0.015503875968994682,0.28294573643411025,False,0
CENTRAL,development,2022-03-14 18:00:00+00:00,2022-03-14 22:50:00+00:00,15,LOSS,L1_NEVER_BREAK_TIME,-9.82318271119842,-0.17829457364340856,0.015503875968994682,0.28294573643411025,False,0
CENTRAL,development,2022-03-14 18:00:00+00:00,2022-03-14 22:50:00+00:00,30,LOSS,L1_NEVER_BREAK_TIME,-9.82318271119842,-0.15116279069767474,0.015503875968994682,0.28294573643411025,False,0
CENTRAL,development,2022-03-15 18:00:00+00:00,2022-03-15 18:00:00+00:00,5,WIN,WIN,7.098020280057904,-0.13605442176870952,0.027210884353740937,0.13945578231292413,False,0
CENTRAL,development,2022-03-15 18:00:00+00:00,2022-03-15 18:00:00+00:00,10,WIN,WIN,7.098020280057904,-0.153061224489797,0.027210884353740937,0.17346938775510393,False,0
CENTRAL,development,2022-03-15 18:00:00+00:00,2022-03-15 18:00:00+00:00,15,WIN,WIN,7.098020280057904,-0.054421768707481874,0.027210884353740937,0.20068027210884484,False,0
CENTRAL,development,2022-03-15 18:00:00+00:00,2022-03-15 18:00:00+00:00,30,WIN,WIN,7.098020280057904,0.07823129251700338,0.18707482993197197,0.20068027210884484,True,2
CENTRAL,development,2022-03-16 18:00:00+00:00,2022-03-16 19:10:00+00:00,5,WIN,WIN,3.883723667176597,0.21212121212120794,0.21212121212120794,0.581818181818176,True,1
CENTRAL,development,2022-03-16 18:00:00+00:00,2022-03-16 19:10:00+00:00,10,WIN,WIN,3.883723667176597,0.5272727272727282,0.6848484848484797,0.581818181818176,True,2
CENTRAL,development,2022-03-17 18:00:00+00:00,2022-03-17 19:45:00+00:00,5,LOSS,L2_BREAK_FAST_FAIL_5M,-1.7078007933010175,-0.08530805687204117,0.018957345971560215,0.19905213270142266,False,0
CENTRAL,development,2022-03-17 18:00:00+00:00,2022-03-17 19:45:00+00:00,10,LOSS,L2_BREAK_FAST_FAIL_5M,-1.7078007933010175,-0.11374407582938822,0.018957345971560215,0.19905213270142266,False,0
CENTRAL,development,2022-03-17 18:00:00+00:00,2022-03-17 19:45:00+00:00,15,LOSS,L2_BREAK_FAST_FAIL_5M,-1.7078007933010175,0.03317535545023374,0.03317535545023374,0.19905213270142266,True,1
CENTRAL,development,2022-03-18 18:00:00+00:00,2022-03-19 00:50:00+00:00,5,LOSS,L1_NEVER_BREAK_TIME,-13.649658758531023,-0.10201149425287459,0.01436781609195319,0.10632183908046096,False,0
CENTRAL,development,2022-03-18 18:00:00+00:00,2022-03-19 00:50:00+00:00,10,LOSS,L1_NEVER_BREAK_TIME,-13.649658758531023,-0.11781609195402391,0.01436781609195319,0.13649425287356348,False,0
CENTRAL,development,2022-03-18 18:00:00+00:00,2022-03-19 00:50:00+00:00,15,LOSS,L1_NEVER_BREAK_TIME,-13.649658758531023,-0.13362068965517324,0.01436781609195319,0.16379310344827575,False,0
CENTRAL,development,2022-03-18 18:00:00+00:00,2022-03-19 00:50:00+00:00,30,LOSS,L1_NEVER_BREAK_TIME,-13.649658758531023,-0.2011494252873569,0.01436781609195319,0.2413793103448283,False,0
CENTRAL,development,2022-03-20 18:00:00+00:00,2022-03-20 20:10:00+00:00,5,LOSS,L2_BREAK_FAST_FAIL_5M,-1.7740325978489735,0.02479338842975299,0.04132231404959027,0.12809917355371986,True,1
CENTRAL,development,2022-03-20 18:00:00+00:00,2022-03-20 20:10:00+00:00,10,LOSS,L2_BREAK_FAST_FAIL_5M,-1.7740325978489735,-0.12809917355371986,0.04132231404959027,0.16942148760330425,True,1
CENTRAL,development,2022-03-20 18:00:00+00:00,2022-03-20 20:10:00+00:00,15,LOSS,L2_BREAK_FAST_FAIL_5M,-1.7740325978489735,-0.23140495867768673,0.04132231404959027,0.3057851239669398,True,1
CENTRAL,development,2022-03-21 18:00:00+00:00,2022-03-22 02:25:00+00:00,5,LOSS,L4_BREAK_FAIL_30M,-0.2219755826858849,-0.04428044280442458,0.0036900369003709,0.1402214022140208,False,0
CENTRAL,development,2022-03-21 18:00:00+00:00,2022-03-22 02:25:00+00:00,10,LOSS,L4_BREAK_FAIL_30M,-0.2219755826858849,0.025830258302585812,0.08487084870848875,0.1402214022140208,True,1
CENTRAL,development,2022-03-21 18:00:00+00:00,2022-03-22 02:25:00+00:00,15,LOSS,L4_BREAK_FAIL_30M,-0.2219755826858849,0.03690036900369327,0.08487084870848875,0.1402214022140208,True,2
CENTRAL,development,2022-03-21 18:00:00+00:00,2022-03-22 02:25:00+00:00,30,LOSS,L4_BREAK_FAIL_30M,-0.2219755826858849,0.10332103321033276,0.12915129151291857,0.1402214022140208,True,5
CENTRAL,development,2022-03-23 18:00:00+00:00,2022-03-24 05:35:00+00:00,5,WIN,WIN,3.217436429683418,0.06531531531531676,0.09009009009009142,0.056306306306306335,True,1
CENTRAL,development,2022-03-23 18:00:00+00:00,2022-03-24 05:35:00+00:00,10,WIN,WIN,3.217436429683418,0.042792792792795506,0.09009009009009142,0.056306306306306335,True,2
CENTRAL,development,2022-03-23 18:00:00+00:00,2022-03-24 05:35:00+00:00,15,WIN,WIN,3.217436429683418,0.04729729729729911,0.12162162162162309,0.056306306306306335,True,3
CENTRAL,development,2022-03-24 18:00:00+00:00,2022-03-24 19:05:00+00:00,5,LOSS,L5_BREAK_FAIL_LATE,-0.2433563710697583,0.0962199312714777,0.16151202749140794,0.12714776632302516,True,1
CENTRAL,development,2022-03-24 18:00:00+00:00,2022-03-24 19:05:00+00:00,10,LOSS,L5_BREAK_FAIL_LATE,-0.2433563710697583,0.07903780068728142,0.16151202749140794,0.12714776632302516,True,2
