zone,filter,partition,raw_n,filtered_n,accepted_n,blocked_open,filter_retention,accepted_retention,zone_wins,zone_wr,zone_pf,zone_expectancy,zone_total_net,portfolio_candidates,portfolio_accepted,portfolio_skipped_open,portfolio_wr,portfolio_pf,portfolio_expectancy,portfolio_total_net
RAW_0530,TOUCH_SECOND_HALF__RR_GE_050,development,46,3,1,2,0.06521739130434782,0.021739130434782608,0,0.0,0.0,-1.049527258672955,-1.049527258672955,63,61,2,0.6885245901639344,1.3874031754039458,0.5283839248824228,32.231419417827794
RAW_0530,TOUCH_SECOND_HALF__RR_GE_050,reference_validation,14,2,2,0,0.14285714285714285,0.14285714285714285,2,1.0,inf,1.1739859628722265,2.347971925744453,25,25,0,0.88,3.2016243329337817,0.9438133599454427,23.595333998636068
RAW_0530,TOUCH_SECOND_HALF__RR_GE_050,august,1,1,0,1,1.0,0.0,0,,,,0.0,2,1,1,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_0530,K1_FIRST_HALF__TOUCH_FIRST_HALF,external,21,18,17,1,0.8571428571428571,0.8095238095238095,13,0.7647058823529411,3.0223654605522166,1.5515421796860036,26.37621705466206,65,63,2,0.7777777777777778,2.854748565554394,1.890301727050957,119.0890088042103
RAW_0530,K1_FIRST_HALF__TOUCH_FIRST_HALF,development,46,41,37,4,0.8913043478260869,0.8043478260869565,25,0.6756756756756757,1.4134097783669737,0.4868724181523816,18.01427947163812,101,96,5,0.6875,1.3940995339475015,0.516122574547007,49.54776715651268
RAW_0530,K1_FIRST_HALF__TOUCH_FIRST_HALF,reference_validation,14,11,11,0,0.7857142857142857,0.7857142857142857,9,0.8181818181818182,1.7332457366704708,0.7458081721093528,8.20388989320288,34,34,0,0.8529411764705882,2.344456223645914,0.8662132931204264,29.451251966094496
RAW_0530,K1_FIRST_HALF__TOUCH_FIRST_HALF,august,1,0,0,0,0.0,0.0,0,,,,0.0,1,1,0,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_0530,K1_SECOND_HALF__TOUCH_SECOND_HALF,external,21,3,0,3,0.14285714285714285,0.0,0,,,,0.0,50,47,3,0.7659574468085106,2.7450548487530337,1.9460548425137687,91.46457759814713
RAW_0530,K1_SECOND_HALF__TOUCH_SECOND_HALF,development,46,4,2,2,0.08695652173913043,0.043478260869565216,2,1.0,inf,1.5194651674043218,3.0389303348086436,64,62,2,0.7096774193548387,1.442121325614056,0.585804467924345,36.319877011309394
RAW_0530,K1_SECOND_HALF__TOUCH_SECOND_HALF,reference_validation,14,2,1,1,0.14285714285714285,0.07142857142857142,1,1.0,inf,1.4152706991056978,1.4152706991056978,25,24,1,0.875,3.114596206269257,0.944276365499888,22.662632771997313
