horizon_bars,horizon_minutes,feature,partition,later_h2_n,failure_n,later_h2_median,failure_median,failure_minus_h2_median_gap,expected_direction_ok,partitions_expected_direction,consistent_3of3
6,30,net_close_progress_r,external,14,10,-0.03262998612716502,-0.13343908423602002,-0.100809098108855,True,3,True
6,30,net_close_progress_r,development,16,15,-0.06923134992724952,-0.13448872284488736,-0.06525737291763783,True,3,True
6,30,net_close_progress_r,reference_validation,7,6,-0.012661584355324888,-0.22086452808162121,-0.20820294372629633,True,3,True
6,30,net_close_progress_r,POOLED_MAJOR,37,31,-0.055173829728986795,-0.1443894389438944,-0.08921560921490759,True,3,True
6,30,wrong_side_close_fraction,external,14,10,0.8333333333333334,1.0,0.16666666666666663,True,3,True
6,30,wrong_side_close_fraction,development,16,15,0.8333333333333334,1.0,0.16666666666666663,True,3,True
6,30,wrong_side_close_fraction,reference_validation,7,6,0.8333333333333334,1.0,0.16666666666666663,True,3,True
6,30,wrong_side_close_fraction,POOLED_MAJOR,37,31,0.8333333333333334,1.0,0.16666666666666663,True,3,True
6,30,lower_low_step_fraction,external,14,10,0.4,0.4,0.0,False,1,False
6,30,lower_low_step_fraction,development,16,15,0.4,0.4,0.0,False,1,False
6,30,lower_low_step_fraction,reference_validation,7,6,0.4,0.30000000000000004,-0.09999999999999998,True,1,False
6,30,lower_low_step_fraction,POOLED_MAJOR,37,31,0.4,0.4,0.0,False,1,False
6,30,higher_high_step_fraction,external,14,10,0.4,0.6,0.19999999999999996,True,2,False
6,30,higher_high_step_fraction,development,16,15,0.5,0.6,0.09999999999999998,True,2,False
6,30,higher_high_step_fraction,reference_validation,7,6,0.6,0.6,0.0,False,2,False
6,30,higher_high_step_fraction,POOLED_MAJOR,37,31,0.4,0.6,0.19999999999999996,True,2,False
6,30,close_path_efficiency,external,14,10,-0.009012906428027585,-0.2408494633239881,-0.23183655689596053,True,3,True
6,30,close_path_efficiency,development,16,15,-0.04682254522601048,-0.21533258173621225,-0.16851003651020177,True,3,True
6,30,close_path_efficiency,reference_validation,7,6,-0.004626835646756822,-0.5433182853642422,-0.5386914497174854,True,3,True
6,30,close_path_efficiency,POOLED_MAJOR,37,31,-0.02589982860406862,-0.25466480591306695,-0.22876497730899834,True,3,True
6,30,adverse_favorable_ratio,external,14,10,2.0513129195292024,4.066163996859265,2.0148510773300625,True,3,True
6,30,adverse_favorable_ratio,development,16,15,3.254758101856349,4.107458912768272,0.852700810911923,True,3,True
6,30,adverse_favorable_ratio,reference_validation,7,6,2.2062170413543902,4.813292147945827,2.6070751065914366,True,3,True
6,30,adverse_favorable_ratio,POOLED_MAJOR,37,31,2.7119755771449148,4.48560460652612,1.7736290293812056,True,3,True
8,40,adverse_wick_r,external,12,10,0.23049155041311734,0.26091048081446366,0.030418930401346328,True,3,True
8,40,adverse_wick_r,development,12,14,0.24910264759092218,0.33054752656572384,0.08144487897480165,True,3,True
8,40,adverse_wick_r,reference_validation,5,5,0.1833333333333371,0.3952750507321892,0.21194171739885212,True,3,True
8,40,adverse_wick_r,POOLED_MAJOR,29,29,0.22302973295058606,0.2901503759398507,0.06712064298926465,True,3,True
8,40,favorable_wick_r,external,12,10,0.09376673161102395,0.05509408126806304,-0.038672650342960906,True,3,True
8,40,favorable_wick_r,development,12,14,0.04890478582678556,0.03759511048598038,-0.011309675340805181,True,3,True
8,40,favorable_wick_r,reference_validation,5,5,0.04824328803446615,0.034968897966770454,-0.013274390067695693,True,3,True
8,40,favorable_wick_r,POOLED_MAJOR,29,29,0.07287988290183435,0.04372937293729373,-0.02915050996454062,True,3,True
8,40,adverse_close_r,external,12,10,0.15667871343341871,0.1918302193109136,0.03515150587749488,True,3,True
8,40,adverse_close_r,development,12,14,0.20032268076118398,0.23145194971556451,0.031129268954380535,True,3,True
