family,feature,b1_gap,b1_effect_IQR,b2_gap,b2_effect_IQR,b3_gap,b3_effect_IQR,b4_gap,b4_effect_IQR,b5_gap,b5_effect_IQR,b6_gap,b6_effect_IQR,dev_win_n,dev_fail_n,dev_win_median,dev_fail_median,dev_gap,dev_effect_IQR,adequate_dev_blocks,same_sign_dev_blocks,external_win_n,external_fail_n,external_win_median,external_fail_median,external_gap,external_effect_IQR,reference_win_n,reference_fail_n,reference_win_median,reference_fail_median,reference_gap,reference_effect_IQR,counts_ok,dev_effect_ok,block_ok,oos_sign_ok,oos_effect_ok,replicated_directional,strong_replicated
APPROACH,approach120_efficiency,-0.11866043803964305,0.44665315696552094,-0.0100824167635402,0.034098648553564474,0.06341808005486527,0.19745113891723146,-0.0017122909769966368,0.005461730244128,-0.023580949577815424,0.07919048919130905,0.009162586640811765,0.025694499741996064,242,359,0.05143257864155415,0.07586206896551453,-0.024429490323960384,0.0781913297696029,6,4,114,167,0.07806987082244374,0.0843065948667736,-0.006236724044329858,0.01738545857720317,148,189,0.08337872841880613,0.07086614173228212,0.01251258668652401,0.038249644183080495,True,False,True,False,False,False,False
PRE_REGIME,pre6_range_R,0.1552127445049456,0.2608445617182809,0.35470191457095446,0.5075270099346634,-0.1423018914912363,0.23056394649120232,-0.12455077266065984,0.20358145810665504,0.1423951029067293,0.1998583736118858,0.1491328047488658,0.23640526470089177,242,359,0.946176340763627,0.8973305954825405,0.04884574528108654,0.0733875805148679,6,4,114,167,1.002141453608639,0.9572327044025188,0.0449087492061202,0.06734460338339629,148,189,0.8913100099532116,0.87179487179487,0.019515138158341605,0.03048769963781878,True,False,True,True,False,False,False
PRE_REGIME,ref_to_pre6_range_ratio,-0.17213904435094618,0.23153476875491716,-0.3496821975349552,0.3973758338699171,0.17873824869466826,0.2080513142990468,0.14033063061844508,0.1945919929472844,-0.1467089272699731,0.21230670530466034,-0.21318535721270915,0.2505827632820694,242,359,1.056885766232167,1.1144164759725472,-0.057530709740380326,0.07100297728176351,6,4,114,167,0.9978747829027493,1.0446780551905355,-0.046803272287786135,0.06377489710394604,148,189,1.1223381825848606,1.1470588235294141,-0.024720640944553507,0.029916103164179284,True,False,True,True,False,False,False
H_PRESSURE,close_upper70_fraction,0.0763888888888889,0.4444444444444445,-0.05555555555555555,0.3018867924528302,-0.0069444444444444475,0.0287769784172662,0.05555555555555555,0.256,0.04166666666666666,0.21621621621621614,0.0,0.0,242,359,0.20833333333333334,0.19444444444444445,0.013888888888888895,0.07017543859649125,6,3,114,167,0.2222222222222222,0.25,-0.02777777777777779,0.14814814814814822,148,189,0.1597222222222222,0.18055555555555555,-0.020833333333333343,0.10000000000000003,True,False,False,False,True,False,False
PRE_REGIME,H_vs_pre6_high_R,-0.12196375027806962,0.15083394340882314,-0.030071709461022125,0.03780565629900742,-0.15368570183334673,0.24223250757998316,0.030198054970726633,0.044878888337071224,-0.04458953986227905,0.07216315940989736,-0.021976411910208465,0.03200253382692462,242,359,0.045112781954884856,0.08781127129751164,-0.04269848934262678,0.061378175232016136,6,5,114,167,0.10493048211650731,0.06461864406779655,0.04031183804871076,0.05495796494224343,148,189,0.10178678678678514,0.06949806949807204,0.032288717288713104,0.046234641406981566,True,False,True,False,False,False,False
LATE_COMPRESSION,late60_range_R,0.06168599012730147,0.29063789159965636,0.029370228029857226,0.12459087718930109,-0.05812451209992109,0.2168277261035168,-0.035618483511515975,0.12150688010306339,-0.026406212457667166,0.13698800121458835,0.12153775226856656,0.3456545551160925,242,359,0.5239751200267997,0.5075757575757587,0.01639936245104101,0.06000356354252825,6,3,114,167,0.47845865915576363,0.4042655231754451,0.07419313598031851,0.303148163765796,148,189,0.6510994044892322,0.568965517241378,0.0821338872478542,0.2887455301071228,True,False,False,True,True,False,False
PRE_REGIME,pre24_return_R,-1.1208530986840526,0.5571772541322141,0.011851344619026039,0.0065308437612630965,-0.07697406544865915,0.04367463789842876,0.11244270330777366,0.06576580389899354,0.11237186910148585,0.07469511729931633,0.06681732911483557,0.04378966549873897,242,359,-0.20127205828956135,-0.10556220095694056,-0.09570985733262079,0.05495960125833757,6,2,114,167,-0.21889517022896215,-0.05113254092845965,-0.1677626293005025,0.08359782967995762,148,189,0.07961658142279317,-0.18367346938775542,0.26329005081054857,0.1441851759974681,True,False,False,False,False,False,False
PRE_REGIME,H_vs_pre12_high_R,-0.29736468048595754,0.31128268836245726,0.09696641978544107,0.09868747895114756,-0.11014098552506141,0.11689714631748203,0.08156440667120732,0.08510660256021725,-0.03969511086193103,0.04484687399108156,-0.16960545446696182,0.20595065323565878,242,359,-0.2149805462055703,-0.16403568977350785,-0.05094485643206245,0.053255996927824824,6,4,114,167,-0.20388639760837246,-0.07754564276303251,-0.12634075484533996,0.12624809136161005,148,189,-0.09677200135915942,-0.11111111111111549,0.01433910975195607,0.014826252788975584,True,False,True,False,False,False,False
PRE_REGIME,pre6_return_R,-0.18104491999229427,0.22207900212423692,-0.01694271481941153,0.02818612751527623,0.03861079610406394,0.0874996373797415,0.1095412763534563,0.15637297515630633,-0.019245347951846604,0.021369835328162796,0.0693484738499208,0.09211470126771511,242,359,0.01967000529182419,-0.009179821551132412,0.028849826842956602,0.04018112444417855,6,3,114,167,-0.05790171588043928,0.013910355486861146,-0.07181207136730043,0.08771299911005384,148,189,0.07206262311018255,-0.03137254901960721,0.10343517212978975,0.1466258517196462,True,False,False,False,False,False,False
PRE_REGIME,L_vs_pre6_low_R,0.036604927553546426,0.05615785366117991,0.10136217948718151,0.16044839903057978,-0.009511742846798973,0.017256328337457303,0.05963409554597354,0.08374564223127295,-0.06678735027542063,0.08894244703178181,0.08942547984763982,0.13786008135331773,242,359,0.06334524756580004,0.03980616130149161,0.02353908626430843,0.03529826224246953,6,4,114,167,0.09899449158240094,0.07691827822832208,0.02207621335407886,0.03407037835195635,148,189,0.05588145896656366,-0.02247191011236145,0.07835336907892511,0.12789527643984563,True,False,True,True,False,False,False
H_PRESSURE,nearH05_after_first_H_fraction,-0.014448051948051946,0.05014648873940232,-0.00047892720306513814,0.0035309369246897737,-0.01436781609195402,0.10204110758129747,-0.006812400635930041,0.05464682881058986,0.0458603896103896,0.176878871118314,0.030434782608695643,0.08494164634585327,242,359,0.09307359307359307,0.0851063829787234,0.00796721009486967,0.035248202958426234,6,2,114,167,0.11729304839105871,0.09375,0.02354304839105871,0.07208997735970667,148,189,0.12771739130434784,0.10810810810810811,0.019609283196239724,0.07000019749380366,True,False,False,True,False,False,False
PRE_REGIME,H_vs_pre24_high_R,-0.22071082238219442,0.12221463137337765,-0.14711632453567447,0.10935745827063503,0.22500755058894573,0.17602392820474483,-0.2293986081335756,0.16973205521347698,-0.04481750229796033,0.03372225850519799,-0.006373059241911894,0.005063949408019922,242,359,-0.6386101104627214,-0.5870020964360607,-0.05160801402666071,0.03418366431430202,6,5,114,167,-0.462373474774896,-0.5045975563673023,0.042224081592406315,0.03287632430306435,148,189,-0.5884353741496628,-0.6776556776556746,0.08922030350601173,0.06251686756138138,True,False,True,False,False,False,False
APPROACH,approach30_efficiency,-0.25796493680471205,0.4355781347307268,0.1496683865227433,0.20944236655019755,0.021483264894267884,0.033804964476841025,0.027824444440209956,0.041025400667504826,-0.22004131438965802,0.4235844217781267,0.04646858267063966,0.06391090327872684,242,359,0.11186954872962804,0.12826086956521845,-0.016391320835590417,0.02406032508746721,6,2,114,167,0.06761345227552817,0.09923130677847838,-0.03161785450295021,0.04062082060554713,148,189,0.1748135398737764,0.16226415094339672,0.012549388930379685,0.017624018359213997,True,False,False,False,False,False,False
LATE_COMPRESSION,late90_to_prior270_range_ratio,-0.03324033262702719,0.08404634033053586,0.013780688917355732,0.032649355247302884,-0.17411402144777854,0.3193501240005406,-0.11205394007897596,0.19571280358935655,0.08582052986301147,0.1803443671699843,0.13977660272799053,0.19411614689389486,242,359,0.7627877237851668,0.774286895411324,-0.011499171626157212,0.02276787300585293,6,3,114,167,0.6982069914199027,0.5703342618384419,0.1278727295814608,0.257045532702635,148,189,1.1077533577533636,0.9382716049382666,0.16948175281509703,0.2534840553460449,True,False,False,False,True,False,False
APPROACH,approach60_efficiency,-0.07348674236719817,0.16583743355805108,-0.014125883495797381,0.029936835565091156,0.04635150970588142,0.11722511130376784,0.004307339036122668,0.00958406701893244,-0.004525495720476835,0.009824083263272106,0.05604425634350731,0.10067107802697904,242,359,0.10018587360594862,0.08984830805134647,0.010337565554602149,0.022536044742439122,6,3,114,167,0.07601539098339105,0.04889741131351572,0.02711797966987533,0.05014627104570837,148,189,0.13009128856008403,0.1125827814569509,0.017508507103133134,0.039280712412763145,True,False,False,True,False,False,False
LATE_COMPRESSION,late60_to_prior300_range_ratio,0.04241830065359309,0.1674359260049504,0.0048760629042300385,0.017135350030487634,-0.07492431861349869,0.19085438335283975,-0.04875347413023534,0.1072600161737653,-0.007930306839579515,0.024749536504735326,0.12135560756038377,0.21440978085964932,242,359,0.5662472420955763,0.5576923076923008,0.008554934403275483,0.022507188884762087,6,3,114,167,0.536521882661342,0.42515723270440614,0.1113646499569359,0.31401693904550115,148,189,0.7815921452285055,0.6513761467889961,0.13021599843950937,0.25179479917685627,True,False,False,True,True,False,False
LATE_COMPRESSION,distance_to_H_R_at_15,0.08617463079185217,0.2672896107595478,0.005094498996937369,0.012295457873191924,-0.008426037081498083,0.017354011673398978,-0.09248625201766036,0.2051017158530577,0.051081700652683304,0.13467166406246006,-0.053412702932911504,0.10431934050916461,242,359,0.35549118496286225,0.3485477178423227,0.006943467120539559,0.01551808857447249,6,3,114,167,0.3355953425207182,0.33902847571189304,-0.003433133191174831,0.007945019836397832,148,189,0.4036086488892172,0.3695652173913017,0.0340434314979155,0.07834472571379972,True,False,False,False,False,False,False
PRE_REGIME,pre12_return_R,-0.38978319420218066,0.3445004175264954,-0.026855908122191074,0.02332267999528954,0.09546363770244236,0.09360555678826653,-0.07266114618499257,0.06707628316319081,0.021430709836742848,0.01810351697291501,0.28756608861423905,0.26943087394628407,242,359,0.01058631921824067,0.0,0.01058631921824067,0.009028968065073688,6,3,114,167,-0.1284217307169158,-0.10352422907489087,-0.024897501642024922,0.019028083836210755,148,189,0.15003105590062266,0.06711409395972774,0.08291696194089491,0.07411892891162718,True,False,False,False,False,False,False
H_PRESSURE,close_upper80_fraction,0.027777777777777776,0.28571428571428564,-0.027777777777777776,0.31999999999999995,0.006944444444444434,0.05970149253731334,-0.0069444444444444475,0.05555555555555558,0.02083333333333333,0.19354838709677413,-0.027777777777777776,0.32,242,359,0.08333333333333333,0.08333333333333333,0.0,0.0,6,0,114,167,0.09722222222222222,0.125,-0.027777777777777776,0.25,148,189,0.0763888888888889,0.08333333333333333,-0.006944444444444434,0.06666666666666655,True,False,False,False,False,False,False
H_PRESSURE,close_upper90_fraction,0.0,0.0,-0.006944444444444444,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,359,0.013888888888888888,0.013888888888888888,0.0,0.0,6,0,114,167,0.027777777777777776,0.027777777777777776,0.0,0.0,148,189,0.013888888888888888,0.013888888888888888,0.0,0.0,True,False,False,False,False,False,False
H_PRESSURE,high_nearH10_fraction,0.013888888888888895,0.22222222222222232,-0.027777777777777783,0.5714285714285714,0.0,0.0,0.0069444444444444475,0.09090909090909094,0.013888888888888881,0.19047619047619035,0.0,0.0,242,359,0.05555555555555555,0.05555555555555555,0.0,0.0,6,0,114,167,0.06944444444444445,0.08333333333333333,-0.013888888888888881,0.19047619047619035,148,189,0.05555555555555555,0.05555555555555555,0.0,0.0,True,False,False,False,False,False,False
H_PRESSURE,high_nearH05_fraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0069444444444444475,0.20000000000000007,0.0,0.0,0.0,0.0,242,359,0.027777777777777776,0.027777777777777776,0.0,0.0,6,0,114,167,0.041666666666666664,0.041666666666666664,0.0,0.0,148,189,0.027777777777777776,0.027777777777777776,0.0,0.0,True,False,False,False,False,False,False
H_PRESSURE,close_nearH10_fraction,0.0,0.0,-0.006944444444444444,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,359,0.013888888888888888,0.013888888888888888,0.0,0.0,6,0,114,167,0.027777777777777776,0.027777777777777776,0.0,0.0,148,189,0.013888888888888888,0.013888888888888888,0.0,0.0,True,False,False,False,False,False,False
H_PRESSURE,close_nearH05_fraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,359,0.0,0.0,0.0,0.0,6,0,114,167,0.013888888888888888,0.013888888888888888,0.0,0.0,148,189,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False
H_PRESSURE,first_to_last_nearH05_span_min,0.0,0.0,-5.0,0.24242424242424243,0.0,0.0,5.0,0.11940298507462686,-2.5,0.04878048780487805,5.0,0.17391304347826086,242,359,5.0,5.0,0.0,0.0,6,0,114,167,10.0,10.0,0.0,0.0,148,189,5.0,10.0,-5.0,0.13333333333333333,True,False,False,False,False,False,False
APPROACH,upstep_fraction_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,359,0.5,0.5,0.0,0.0,6,0,114,167,0.5,0.5,0.0,0.0,148,189,0.5,0.5,0.0,0.0,True,False,False,False,False,False,False
APPROACH,upstep_fraction_60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333337,0.5714285714285716,242,359,0.5,0.5,0.0,0.0,6,0,114,167,0.5,0.5,0.0,0.0,148,189,0.5,0.5,0.0,0.0,True,False,False,False,False,False,False
APPROACH,upstep_fraction_120,-0.04166666666666663,0.3999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666663,0.333333333333333,242,359,0.5,0.5,0.0,0.0,6,0,114,167,0.5416666666666666,0.5416666666666666,0.0,0.0,148,189,0.5,0.5,0.0,0.0,True,False,False,False,False,False,False
APPROACH,upper80_fraction_last30,-0.16666666666666666,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666666,0.34782608695652173,0.0,0.0,242,359,0.0,0.0,0.0,0.0,6,0,114,167,0.0,0.0,0.0,0.0,148,189,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False
APPROACH,upper80_fraction_last60,-0.08333333333333333,0.24999999999999997,0.0,0.0,-0.08333333333333333,0.4,0.0,0.0,0.12499999999999999,0.3428571428571428,-0.08333333333333333,0.25,242,359,0.08333333333333333,0.08333333333333333,0.0,0.0,6,0,114,167,0.08333333333333333,0.08333333333333333,0.0,0.0,148,189,0.08333333333333333,0.08333333333333333,0.0,0.0,True,False,False,False,False,False,False
APPROACH,upper80_fraction_last120,0.0,0.0,0.0,0.0,-0.041666666666666664,0.28571428571428575,0.0,0.0,0.04166666666666667,0.186046511627907,-0.02083333333333333,0.10526315789473681,242,359,0.08333333333333333,0.08333333333333333,0.0,0.0,6,0,114,167,0.125,0.08333333333333333,0.04166666666666667,0.1428571428571429,148,189,0.08333333333333333,0.08333333333333333,0.0,0.0,True,False,False,False,False,False,False
