partition,regime,clock_block,obs_start,obs_end,fraction,entry_label,fill_ts,entry_price,H,L,R4,LOCAL_R,variant,stop_multiple,target_multiple,nominal_rr,stop_price,target_price,exit_ts,exit_price,exit_reason,gross_return,net_pnl_usd,win,hold_minutes
development,SIDEWAYS,12-16,2022-12-27 12:00:00+00:00,2022-12-27 16:00:00+00:00,0.05,F05,2022-12-27 13:45:00+00:00,16804.309999999998,16874.8,16800.6,74.20000000000073,3.709999999999127,S1_5_T2,1.5,2.0,1.3333333333333333,16809.874999999996,16796.89,2022-12-27 13:45:00+00:00,16809.874999999996,STOP_FILL_BAR,-0.00033116504039729637,-0.5655825201986482,False,0.0
development,SIDEWAYS,12-16,2022-12-27 12:00:00+00:00,2022-12-27 16:00:00+00:00,0.05,F05,2022-12-27 13:45:00+00:00,16804.309999999998,16874.8,16800.6,74.20000000000073,3.709999999999127,S2_T2,2.0,2.0,1.0,16811.729999999996,16796.89,2022-12-27 13:50:00+00:00,16811.729999999996,STOP,-0.00044155338719639514,-0.6207766935981975,False,5.0
development,BEAR,16-20,2022-12-28 16:00:00+00:00,2022-12-28 20:00:00+00:00,0.05,F05,2022-12-28 16:10:00+00:00,16571.58,16778.3,16560.7,217.59999999999854,10.880000000001019,S1_T1,1.0,1.0,1.0,16582.460000000003,16560.7,2022-12-28 16:10:00+00:00,16582.460000000003,STOP_FILL_BAR,-0.0006565457246684394,-0.7282728623342197,False,0.0
development,BEAR,16-20,2022-12-28 16:00:00+00:00,2022-12-28 20:00:00+00:00,0.05,F05,2022-12-28 16:10:00+00:00,16571.58,16778.3,16560.7,217.59999999999854,10.880000000001019,S1_T1_5,1.0,1.5,1.5,16582.460000000003,16555.260000000002,2022-12-28 16:10:00+00:00,16582.460000000003,STOP_FILL_BAR,-0.0006565457246684394,-0.7282728623342197,False,0.0
development,BEAR,16-20,2022-12-28 16:00:00+00:00,2022-12-28 20:00:00+00:00,0.05,F05,2022-12-28 16:10:00+00:00,16571.58,16778.3,16560.7,217.59999999999854,10.880000000001019,S1_T2,1.0,2.0,2.0,16582.460000000003,16549.82,2022-12-28 16:10:00+00:00,16582.460000000003,STOP_FILL_BAR,-0.0006565457246684394,-0.7282728623342197,False,0.0
development,BEAR,16-20,2022-12-28 16:00:00+00:00,2022-12-28 20:00:00+00:00,0.05,F05,2022-12-28 16:10:00+00:00,16571.58,16778.3,16560.7,217.59999999999854,10.880000000001019,S1_5_T1_5,1.5,1.5,1.0,16587.9,16555.260000000002,2022-12-28 16:10:00+00:00,16587.9,STOP_FILL_BAR,-0.0009848185870025494,-0.8924092935012746,False,0.0
development,BEAR,16-20,2022-12-28 16:00:00+00:00,2022-12-28 20:00:00+00:00,0.05,F05,2022-12-28 16:10:00+00:00,16571.58,16778.3,16560.7,217.59999999999854,10.880000000001019,S1_5_T2,1.5,2.0,1.3333333333333333,16587.9,16549.82,2022-12-28 16:10:00+00:00,16587.9,STOP_FILL_BAR,-0.0009848185870025494,-0.8924092935012746,False,0.0
development,BEAR,16-20,2022-12-28 16:00:00+00:00,2022-12-28 20:00:00+00:00,0.05,F05,2022-12-28 16:10:00+00:00,16571.58,16778.3,16560.7,217.59999999999854,10.880000000001019,S2_T2,2.0,2.0,1.0,16593.340000000004,16549.82,2022-12-28 16:15:00+00:00,16593.340000000004,STOP,-0.0013130914493368789,-1.0565457246684393,False,5.0
development,BEAR,20-00,2022-12-31 20:00:00+00:00,2023-01-01 00:00:00+00:00,0.05,F05,2022-12-31 20:15:00+00:00,16564.365,16609.3,16562.0,47.29999999999927,2.3650000000016007,S1_T1,1.0,1.0,1.0,16566.730000000003,16562.0,2022-12-31 20:15:00+00:00,16566.730000000003,STOP_FILL_BAR,-0.00014277637567160591,-0.471388187835803,False,0.0
development,BEAR,20-00,2022-12-31 20:00:00+00:00,2023-01-01 00:00:00+00:00,0.05,F05,2022-12-31 20:15:00+00:00,16564.365,16609.3,16562.0,47.29999999999927,2.3650000000016007,S1_T1_5,1.0,1.5,1.5,16566.730000000003,16560.817499999997,2022-12-31 20:15:00+00:00,16566.730000000003,STOP_FILL_BAR,-0.00014277637567160591,-0.471388187835803,False,0.0
development,BEAR,20-00,2022-12-31 20:00:00+00:00,2023-01-01 00:00:00+00:00,0.05,F05,2022-12-31 20:15:00+00:00,16564.365,16609.3,16562.0,47.29999999999927,2.3650000000016007,S1_T2,1.0,2.0,2.0,16566.730000000003,16559.635,2022-12-31 20:15:00+00:00,16566.730000000003,STOP_FILL_BAR,-0.00014277637567160591,-0.471388187835803,False,0.0
development,BEAR,20-00,2022-12-31 20:00:00+00:00,2023-01-01 00:00:00+00:00,0.05,F05,2022-12-31 20:15:00+00:00,16564.365,16609.3,16562.0,47.29999999999927,2.3650000000016007,S1_5_T1_5,1.5,1.5,1.0,16567.912500000006,16560.817499999997,2022-12-31 20:15:00+00:00,16567.912500000006,STOP_FILL_BAR,-0.00021416456350751867,-0.5070822817537594,False,0.0
development,BEAR,20-00,2022-12-31 20:00:00+00:00,2023-01-01 00:00:00+00:00,0.05,F05,2022-12-31 20:15:00+00:00,16564.365,16609.3,16562.0,47.29999999999927,2.3650000000016007,S1_5_T2,1.5,2.0,1.3333333333333333,16567.912500000006,16559.635,2022-12-31 20:15:00+00:00,16567.912500000006,STOP_FILL_BAR,-0.00021416456350751867,-0.5070822817537594,False,0.0
