partition,tolerance,tol_value,side,signal_ts,entry_ts,swing_level_ts,swing_level,prior_touches,touch_bucket,entry_px,stop_px,target_px,risk_pct,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
external,TOL_0.10,0.001,LONG,2021-04-13 08:00:00+00:00,2021-04-13 12:00:00+00:00,2021-03-13 20:00:00+00:00,61950.0,0,0,63069.52,61126.47,66955.62,0.030808067034599214,True,2021-04-16 07:15:00+00:00,61126.47,-0.030808067034599262,-15.804033517299631,SL,4035.0
external,TOL_0.10,0.001,LONG,2021-10-20 12:00:00+00:00,2021-10-20 16:00:00+00:00,2021-04-14 04:00:00+00:00,64986.11,0,0,66918.39,63828.0,73099.17,0.04618147567507227,True,2021-10-21 14:20:00+00:00,63828.0,-0.04618147567507225,-23.490737837536123,SL,1340.0
external,TOL_0.10,0.001,LONG,2021-11-08 20:00:00+00:00,2021-11-09 00:00:00+00:00,2021-10-20 12:00:00+00:00,67150.0,0,0,67606.96,65614.69,71591.50000000001,0.02946841567791251,True,2021-11-10 20:50:00+00:00,65614.69,-0.029468415677912474,-15.134207838956238,SL,2690.0
development,TOL_0.10,0.001,LONG,2022-01-01 20:00:00+00:00,2022-01-02 00:00:00+00:00,2022-01-01 04:00:00+00:00,47566.66,1,1,47704.35,47202.47,48708.10999999999,0.010520633862530302,True,2022-01-02 04:40:00+00:00,47202.47,-0.010520633862530326,-5.6603169312651636,SL,280.0
development,TOL_0.10,0.001,SHORT,2022-01-03 12:00:00+00:00,2022-01-03 16:00:00+00:00,2022-01-02 04:00:00+00:00,46749.99,2,2,46689.99,47575.22,44919.52999999999,0.01895973847927582,True,2022-01-05 19:45:00+00:00,44919.52999999999,0.03791947695855169,18.559738479275847,TP_2R,3105.0
development,TOL_0.10,0.001,SHORT,2022-01-07 00:00:00+00:00,2022-01-07 04:00:00+00:00,2022-01-05 20:00:00+00:00,42270.0,0,0,41789.97,43135.0,39099.91,0.03218547416999818,True,2022-01-12 11:35:00+00:00,43135.0,-0.032185474169998285,-16.492737084999142,SL,7655.0
development,TOL_0.10,0.001,SHORT,2022-01-21 00:00:00+00:00,2022-01-21 04:00:00+00:00,2022-01-08 16:00:00+00:00,40500.0,1,1,38447.92,41095.76,33152.23999999999,0.06886822486105891,True,2022-01-24 11:00:00+00:00,33152.23999999999,0.13773644972211785,68.46822486105891,TP_2R,4740.0
development,TOL_0.10,0.001,SHORT,2022-05-09 12:00:00+00:00,2022-05-09 16:00:00+00:00,2022-01-24 12:00:00+00:00,32853.83,1,1,32340.0,33435.3,30149.399999999994,0.033868274582560386,True,2022-05-09 23:40:00+00:00,30149.399999999994,0.06773654916512073,33.46827458256037,TP_2R,460.0
development,TOL_0.10,0.001,SHORT,2022-05-11 16:00:00+00:00,2022-05-11 20:00:00+00:00,2022-05-10 00:00:00+00:00,29701.4,1,1,29360.5,31129.9,25821.699999999997,0.060264641269733195,True,2022-05-15 20:20:00+00:00,31129.9,-0.06026464126973319,-30.532320634866593,SL,5780.0
development,TOL_0.10,0.001,SHORT,2022-06-12 00:00:00+00:00,2022-06-12 04:00:00+00:00,2022-05-11 20:00:00+00:00,27651.0,1,1,27538.2,28530.3,25554.000000000004,0.03602631980303718,True,2022-06-13 02:15:00+00:00,25554.000000000004,0.07205263960607433,35.62631980303717,TP_2R,1335.0
development,TOL_0.10,0.001,SHORT,2022-06-13 20:00:00+00:00,2022-06-14 00:00:00+00:00,2022-06-13 12:00:00+00:00,22559.7,0,0,22471.4,23780.0,19854.200000000004,0.05823402191229734,True,2022-06-18 06:50:00+00:00,19854.200000000004,0.11646804382459464,57.83402191229732,TP_2R,6170.0
development,TOL_0.10,0.001,SHORT,2022-06-18 16:00:00+00:00,2022-06-18 20:00:00+00:00,2022-06-18 08:00:00+00:00,18690.0,0,0,18059.5,19090.0,15998.5,0.05706138043688917,True,2022-06-18 22:25:00+00:00,19090.0,-0.05706138043688913,-28.930690218444564,SL,145.0
development,TOL_0.10,0.001,SHORT,2022-11-09 12:00:00+00:00,2022-11-09 16:00:00+00:00,2022-06-18 20:00:00+00:00,17593.2,2,2,17096.8,18008.0,15274.399999999998,0.05329652332600257,True,2022-11-10 20:50:00+00:00,18008.0,-0.05329652332600254,-27.04826166300127,SL,1730.0
development,TOL_0.10,0.001,LONG,2024-02-11 00:00:00+00:00,2024-02-11 04:00:00+00:00,2022-01-01 16:00:00+00:00,47943.77,7,4+,48517.6,47539.4,50473.99999999999,0.020161755734001623,True,2024-02-14 08:55:00+00:00,50473.99999999999,0.04032351146800317,19.761755734001586,TP_2R,4615.0
