partition,entry_tf,regime,exit_type,n,win_rate,mean_return,median_return,profit_factor,median_hold_h,median_mfe,median_mae,p90_adverse,max_losing_streak
external,5m,R1H4,X_COMPOSITE,287,0.2682926829268293,0.00019936419906783323,-0.002197469647710726,1.0683539663468005,0.9166666666666666,0.003542533156235761,-0.0033679230982998076,-0.009101865999686275,25
development,5m,R1H4,X_COMPOSITE,343,0.27405247813411077,0.0005596644298928313,-0.0015150585921084314,1.2524884184765206,1.1666666666666667,0.003204278306716324,-0.0025285855599803675,-0.006559562796223139,17
reference_validation,5m,R1H4,X_COMPOSITE,149,0.30201342281879195,0.0003027642450027274,-0.0014886255361201695,1.169995921753847,1.5,0.0029015974093122843,-0.002201613429298366,-0.004780722941502602,11
august,5m,R1H4,X_COMPOSITE,7,0.2857142857142857,0.011640770018522087,-0.0007574384139578116,8.966549395300651,2.3333333333333335,0.003924789787517868,-0.0019577629624597526,-0.003818004422811305,4
external,15m,R4,X_ENTRY_STRUCT50,207,0.2463768115942029,0.0004607509192518347,-0.004073389976603892,1.09432597212756,3.5,0.006666666666666821,-0.006594747982103133,-0.01606254342265103,12
development,15m,R4,X_ENTRY_STRUCT50,241,0.22406639004149378,-0.0002720954731719692,-0.0028594075352638137,0.9341807763772065,3.0,0.004792691276465755,-0.004604816104646248,-0.012384850945511339,10
reference_validation,15m,R4,X_ENTRY_STRUCT50,121,0.2809917355371901,0.0002515915526769873,-0.0022764411523564787,1.0742462173727956,3.75,0.0037513785047087467,-0.004302453453816302,-0.009344349778260264,8
august,15m,R4,X_ENTRY_STRUCT50,6,0.0,-0.001470955232322065,-0.0014636675055478277,0.0,4.0,0.00204192821705651,-0.0017355619200202788,-0.0027384416258610655,6
external,15m,R4,X_1H_WEAK,147,0.25170068027210885,0.001368943724957892,-0.005281488487647978,1.190020247156273,7.5,0.010186847606004967,-0.009858310109469914,-0.02224617052972435,13
development,15m,R4,X_1H_WEAK,171,0.25146198830409355,0.00018215471184017257,-0.004535009778959709,1.0278123444438991,7.0,0.008936681108733024,-0.0077107072229023466,-0.021260148170758053,10
reference_validation,15m,R4,X_1H_WEAK,89,0.3595505617977528,0.0014045603475717683,-0.003269755696940213,1.293347332354295,7.5,0.007127231483309515,-0.0054851240713681415,-0.014843042430387943,6
august,15m,R4,X_1H_WEAK,4,0.0,-0.0026424985382472455,-0.0032709086934177845,0.0,7.25,0.0030852157702530025,-0.003679349629065465,-0.004719759261495693,4
external,15m,R4,X_4H_WEAK,76,0.3684210526315789,0.014377853622680839,-0.010694735302785308,1.997890644402197,40.125,0.02389050890496147,-0.019871199724830868,-0.05484847149835825,7
development,15m,R4,X_4H_WEAK,91,0.2857142857142857,0.003101793212251375,-0.0110772970438211,1.2178107710181216,47.0,0.016521133706594027,-0.02238378989380252,-0.03998819690342292,11
reference_validation,15m,R4,X_4H_WEAK,47,0.44680851063829785,0.0022256520324542934,-0.003431276980921827,1.2914740917567338,47.5,0.021093522487076743,-0.010050889927927464,-0.024384252918318004,6
august,15m,R4,X_4H_WEAK,2,0.5,0.06134723077312215,0.06134723077312215,18.599231564332115,83.875,0.07320482218752733,-0.00902853435399048,-0.009332294520037332,1
external,15m,R4,X_COMPOSITE,208,0.24519230769230768,0.0003895190780452583,-0.004131799816028625,1.0790067618247903,3.5,0.006591025142646534,-0.006595803039957215,-0.016060594531611617,12
