partition,entry_tf,higher_tf,higher_state,exit_type,n,wr,pf,mean_ret,median_ret,median_mfe,median_mae,median_bars,max_losing_streak
development,5m,1h,STRONG_BEAR,FIRST_SOFT_FAILURE,304,0.2532894736842105,0.9898324192729743,-1.2266463778655276e-05,-0.0009617012052680618,0.0014963115245838488,-0.001433553436115509,6.0,20
development,5m,1h,STRONG_BULL,FIRST_HARD_FAILURE,768,0.23307291666666666,1.0450183322232451,9.99953768299466e-05,-0.0015839839071691841,0.0026229357455674895,-0.0024498641660258835,11.5,25
development,5m,1h,STRONG_BULL,FIRST_SOFT_FAILURE,919,0.24374319912948858,0.946307503102589,-8.679543714958233e-05,-0.001142586629106379,0.0018308099154340507,-0.0016944613261091757,6.0,18
external,1h,4h,NEUTRAL,FIRST_HARD_FAILURE,95,0.28421052631578947,1.254712006730253,0.0026753700680665258,-0.0084545579395513,0.014772235884040974,-0.012320161465478985,17.0,9
external,1h,4h,NEUTRAL,FIRST_SOFT_FAILURE,101,0.33663366336633666,1.5926713206022807,0.004444494111794777,-0.004971257358589387,0.011404537068182563,-0.008803549612684147,10.0,9
external,1h,4h,STRONG_BULL,FIRST_HARD_FAILURE,53,0.18867924528301888,1.5719015253957718,0.006754741904243445,-0.01173904305739315,0.014252286747500564,-0.01602613301878908,16.0,18
external,1h,4h,STRONG_BULL,FIRST_SOFT_FAILURE,64,0.21875,1.0072219703050829,7.05437320944885e-05,-0.0066751368951696866,0.009089271197498916,-0.011923497208240208,7.5,13
external,5m,1h,NEUTRAL,FIRST_HARD_FAILURE,1014,0.2465483234714004,1.0051841005890245,1.4281430856027769e-05,-0.001978840454776365,0.0035578460485991004,-0.00302792144310704,12.0,15
external,5m,1h,NEUTRAL,FIRST_SOFT_FAILURE,1180,0.2627118644067797,0.9439271681539848,-0.00010792481632159611,-0.0012766869561300354,0.0023666409060075777,-0.00215411878015237,7.0,17
external,5m,1h,STRONG_BEAR,FIRST_HARD_FAILURE,194,0.22164948453608246,0.9075858852296476,-0.00027072778468174207,-0.002243834947790291,0.0034310442459932755,-0.0032322981401666784,11.0,15
external,5m,1h,STRONG_BEAR,FIRST_SOFT_FAILURE,213,0.2535211267605634,0.6561112359437871,-0.0006580769513538279,-0.0011264127647450106,0.002738188691864485,-0.002060798906601935,7.0,14
external,5m,1h,STRONG_BULL,FIRST_HARD_FAILURE,588,0.2534013605442177,1.3129321410143182,0.0008578726613988509,-0.0019140513921913627,0.0038439228750147825,-0.003174475516572073,13.0,13
external,5m,1h,STRONG_BULL,FIRST_SOFT_FAILURE,739,0.2598105548037889,1.1302400489179045,0.0002531855195428515,-0.0014279088510580351,0.002869525859987343,-0.0022208245460613174,7.0,15
reference_validation,1h,4h,NEUTRAL,FIRST_HARD_FAILURE,62,0.27419354838709675,0.681923671978242,-0.001977611539107577,-0.004799446463273793,0.010471322037665876,-0.006220874297472534,15.5,11
reference_validation,1h,4h,NEUTRAL,FIRST_SOFT_FAILURE,68,0.2647058823529412,0.9358078360614634,-0.00027368230703896183,-0.002774257123730417,0.0057377906077107355,-0.005362850376154915,7.0,8
reference_validation,1h,4h,STRONG_BULL,FIRST_HARD_FAILURE,39,0.3333333333333333,1.0394073160691428,0.00032466870148567956,-0.00921981079169798,0.011861506142903044,-0.01180765250428828,15.0,6
reference_validation,1h,4h,STRONG_BULL,FIRST_SOFT_FAILURE,45,0.26666666666666666,1.1456368897252767,0.0007873260817167438,-0.00445524003820974,0.008895658350480673,-0.006650932398548748,8.0,8
reference_validation,5m,1h,NEUTRAL,FIRST_HARD_FAILURE,688,0.26453488372093026,1.0999697912823532,0.00016530191458257598,-0.0011509447433477038,0.0020459728074401218,-0.0017969296277792202,14.0,23
reference_validation,5m,1h,NEUTRAL,FIRST_SOFT_FAILURE,797,0.2986198243412798,1.1647912064564006,0.000183608848829213,-0.0007066708797118793,0.0015496545138535822,-0.0011546493673145752,8.0,15
reference_validation,5m,1h,STRONG_BEAR,FIRST_HARD_FAILURE,165,0.21818181818181817,0.863342015567472,-0.00024144607983248479,-0.0013160866006153293,0.0017895036662456398,-0.0018724502154134903,11.0,25
reference_validation,5m,1h,STRONG_BEAR,FIRST_SOFT_FAILURE,178,0.25280898876404495,0.7793923921809329,-0.00026680617187340333,-0.0007658631283874451,0.001389200040100791,-0.00135116719044176,6.0,11
reference_validation,5m,1h,STRONG_BULL,FIRST_HARD_FAILURE,375,0.272,0.9774321001293276,-3.782523630964156e-05,-0.001331404419053217,0.002268058388288585,-0.001940252540806875,15.0,16
reference_validation,5m,1h,STRONG_BULL,FIRST_SOFT_FAILURE,454,0.2973568281938326,0.9844744133818908,-1.7953285587424798e-05,-0.0008254988665452601,0.0019633119794442155,-0.0013789001057297745,8.0,19
