motif,lead_feature,current_feature,lag_min,partition,side,lead_bucket,current_bucket,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,15,validation_2025,LEFT,HIGH,HIGH,4289,0.4415947773373747,0.4406621590114246,0.0009326183259500964,0.11564467241781301,0.002098391233387736,0.00020426227275827102,0.010888328243261025,-0.011051330522029779
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,15,validation_2025,RIGHT,LOW,HIGH,4719,0.4094087730451367,0.4651409196863742,-0.055732146641237545,0.12417885145157873,0.0012714558169103624,5.824790307551453e-05,0.01024192868582996,-0.011339967600092593
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,15,validation_2026,LEFT,HIGH,HIGH,2743,0.38315712723295664,0.3740430185927816,0.009114108640175034,0.24134159679183376,0.0014582573824279985,0.00035855145213337103,0.008542952064546805,-0.008319662526365179
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,15,validation_2026,RIGHT,LOW,HIGH,3021,0.3531943065210195,0.3809996689837802,-0.027805362462760663,0.2654750082754055,0.00033101621979476995,0.0007889546351085297,0.008092332183603057,-0.008333333333333304
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,30,development,LEFT,HIGH,HIGH,8838,0.43765557818510975,0.45994568906992533,-0.022290110884815584,0.10047522063815342,0.001923512106811496,-7.412920495275532e-05,0.011894101245035538,-0.012060473287379914
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,30,development,RIGHT,LOW,HIGH,8240,0.4451456310679612,0.45546116504854367,-0.010315533980582492,0.0970873786407767,0.0023058252427184465,0.0009777898063837442,0.012202037916542618,-0.01223213136429152
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,30,validation_2025,LEFT,HIGH,HIGH,4006,0.4345981028457314,0.4488267598602097,-0.014228657014478285,0.11532700948577135,0.0012481278082875687,0.00025634185792644537,0.011051204894934719,-0.01105379524304606
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,30,validation_2025,RIGHT,LOW,HIGH,4263,0.4177809054656345,0.4642270701384002,-0.04644616467276569,0.11588083509265776,0.00211118930330753,0.0003214548126377892,0.01056758138742131,-0.01167008358303101
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,30,validation_2026,LEFT,HIGH,HIGH,2417,0.38311956971452216,0.39304923458833263,-0.009929664873810473,0.2230037236243277,0.0008274720728175424,0.00020958502165702164,0.008784970942019354,-0.009083303454045732
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,30,validation_2026,RIGHT,LOW,HIGH,2677,0.3619723571161748,0.37243182667164737,-0.010459469555472556,0.26447515875980576,0.0011206574523720584,0.0008158508158508937,0.008226972166692326,-0.008117776554760647
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,60,development,LEFT,HIGH,HIGH,8583,0.4421530933240126,0.458464406384714,-0.016311313060701382,0.09775136898520331,0.0016311313060701387,0.0001191682059225041,0.012018348623853203,-0.01210318033449842
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,60,development,RIGHT,LOW,HIGH,7998,0.4428607151787947,0.45861465366341586,-0.015753938484621144,0.09614903725931483,0.0023755938984746186,0.0007178616026033424,0.012174206578200009,-0.01227166743687197
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,60,validation_2025,LEFT,HIGH,HIGH,3879,0.4439288476411446,0.44160866202629545,0.002320185614849146,0.11265790152101057,0.0018045888115493685,0.00040587160928073907,0.01100446292107371,-0.010977818017202323
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,60,validation_2025,RIGHT,LOW,HIGH,4109,0.40958870771477246,0.46897055244585056,-0.059381844731078104,0.1202238987588221,0.0012168410805548796,8.881389049242294e-05,0.010358484817710956,-0.01167008358303101
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,60,validation_2026,LEFT,HIGH,HIGH,2308,0.3821490467937608,0.38951473136915077,-0.007365684575389941,0.22746967071057192,0.0008665511265164644,0.00037574882775148755,0.008721489478667799,-0.00869646324295087
C1_OI_to_VolumeHigh,oi_chg_15m,quotevol_z_24h,60,validation_2026,RIGHT,LOW,HIGH,2488,0.36897106109324757,0.3762057877813505,-0.007234726688102933,0.2532154340836013,0.001607717041800643,0.0007331970817562317,0.008289147298488841,-0.008462541218273278
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,15,development,LEFT,HIGH,HIGH,8982,0.4674905366288132,0.4313070585615676,0.03618347806724559,0.09997773324426631,0.001224671565352928,0.00048341896413828245,0.012326831057560272,-0.011670189151259336
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,15,development,RIGHT,LOW,HIGH,6866,0.4541217593941159,0.389163996504515,0.06495776288960092,0.1565685988930964,0.00014564520827264782,0.000840901361170876,0.010779427660001506,-0.009407605958096421
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,15,validation_2025,LEFT,HIGH,HIGH,3994,0.5100150225338007,0.37230846269404105,0.13770655983975966,0.1156735102653981,0.00200300450676014,0.0019679128954442904,0.01241743355027014,-0.009540220098197438
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,15,validation_2025,RIGHT,LOW,HIGH,3132,0.45242656449553004,0.35887611749680715,0.09355044699872289,0.1883780332056194,0.00031928480204342275,0.0009245504522721326,0.010234039838986075,-0.008252672320299637
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,15,validation_2026,LEFT,HIGH,HIGH,2501,0.44582167133146744,0.32506997201119553,0.12075169932027191,0.22870851659336267,0.00039984006397441024,0.0011984880612150306,0.00973378679488679,-0.007544861337683506
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,15,validation_2026,RIGHT,LOW,HIGH,1502,0.3488681757656458,0.30492676431424764,0.04394141145139818,0.34620505992010653,0.0,0.0003541159422910667,0.007564032559333134,-0.006762898533581918
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,30,development,LEFT,HIGH,HIGH,8713,0.46241248708825894,0.4364742339033628,0.02593825318489612,0.09985079765867096,0.0012624813497073338,0.00027821054974408455,0.012139931924179281,-0.011625093988034907
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,30,development,RIGHT,LOW,HIGH,7093,0.45833920766953334,0.38629634851261807,0.07204285915691527,0.15508247568024813,0.00028196813760045117,0.0007151370679381319,0.010879886057920451,-0.00947779223192724
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,30,validation_2025,LEFT,HIGH,HIGH,3962,0.506057546693589,0.37279151943462896,0.13326602725896008,0.11938414941948511,0.0017667844522968198,0.0017327665628024125,0.01232719847913144,-0.009584826854667328
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,30,validation_2025,RIGHT,LOW,HIGH,3101,0.46178652047726537,0.3511770396646243,0.11060948081264105,0.18703643985811028,0.0,0.0009604610212903264,0.010384662652083154,-0.008275925840307008
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,30,validation_2026,LEFT,HIGH,HIGH,2350,0.44638297872340427,0.31829787234042556,0.1280851063829787,0.2353191489361702,0.0,0.0011013862979861733,0.009769349710998299,-0.0072476664505966015
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,30,validation_2026,RIGHT,LOW,HIGH,1572,0.36959287531806617,0.30216284987277353,0.06743002544529264,0.3282442748091603,0.0,0.00023188337100776835,0.007846611434317863,-0.0066372804320799506
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,60,development,LEFT,HIGH,HIGH,8400,0.4711904761904762,0.42773809523809525,0.043452380952380965,0.1,0.0010714285714285715,0.000546427601024968,0.012296343776366125,-0.01144410265796797
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,60,development,RIGHT,LOW,HIGH,7294,0.44474910885659447,0.40293391828900466,0.04181519056758981,0.15176857691253084,0.0005483959418700301,0.0004155208415539402,0.01062045386000432,-0.009808289733239883
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,60,validation_2025,LEFT,HIGH,HIGH,3859,0.5141228297486395,0.3666753044830267,0.14744752526561283,0.11764705882352941,0.0015548069448043534,0.001648481042467953,0.012244374639399869,-0.00945429266597142
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,60,validation_2025,RIGHT,LOW,HIGH,3183,0.4640276468740182,0.34872761545711595,0.11530003141690226,0.18693056864593152,0.00031416902293433867,0.0010341855788564835,0.010577749140893378,-0.008364798141155982
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,60,validation_2026,LEFT,HIGH,HIGH,2290,0.44759825327510916,0.3179039301310044,0.12969432314410478,0.23449781659388647,0.0,0.0012664898577843253,0.009838775914806863,-0.007349189091210906
D1_Volume_to_OIHigh,quotevol_z_24h,oi_chg_15m,60,validation_2026,RIGHT,LOW,HIGH,1595,0.33981191222570534,0.31159874608150473,0.028213166144200608,0.34733542319749217,0.0012539184952978057,0.000135281385281516,0.007345857418111779,-0.0068975225225226255
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,15,development,LEFT,HIGH,LOW,8375,0.407044776119403,0.48441791044776117,-0.07737313432835818,0.10626865671641791,0.0022686567164179106,0.00018652008382424867,0.011155945881794471,-0.012573805111408043
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,15,development,RIGHT,LOW,LOW,7296,0.39747807017543857,0.44311951754385964,-0.04564144736842107,0.15926535087719298,0.00013706140350877192,0.0002641514180665716,0.009855820964767559,-0.010502785771252077
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,15,validation_2025,LEFT,HIGH,LOW,4222,0.3498342018000947,0.5326859308384652,-0.18285172903837044,0.11534817621980105,0.0021316911416390336,-0.0009013326923977827,0.009269618397312107,-0.012813195138960176
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,15,validation_2025,RIGHT,LOW,LOW,3520,0.3372159090909091,0.4625,-0.12528409090909093,0.2002840909090909,0.0,-0.0007656008762843003,0.007865909836494822,-0.010244348797284364
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,15,validation_2026,LEFT,HIGH,LOW,2527,0.3078749505342303,0.4408389394538979,-0.1329639889196676,0.25009893153937474,0.001187178472497032,-0.0003405704555130562,0.007441746980602737,-0.009613102302397314
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,15,validation_2026,RIGHT,LOW,LOW,1916,0.23173277661795408,0.40187891440501045,-0.17014613778705637,0.3663883089770355,0.0,-0.0015536635736546622,0.0051830456733591435,-0.008549915047034895
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,30,development,LEFT,HIGH,LOW,8312,0.4043551491819057,0.4870067372473532,-0.08265158806544753,0.1064725697786333,0.002165543792107796,0.0002893126584138095,0.011125628391088882,-0.012525714255597176
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,30,development,RIGHT,LOW,LOW,7278,0.3911788953009068,0.45039846111569115,-0.059219565814784325,0.15828524319868095,0.0001374003847210772,0.00033629721614025776,0.009737061541265746,-0.010613823730016514
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,30,validation_2025,LEFT,HIGH,LOW,4086,0.35119921683798333,0.5335291238374938,-0.18232990699951052,0.11331375428291728,0.0019579050416054823,-0.0011749167947014416,0.00912616072535577,-0.012945403851346182
