partition,regime,clock_block,obs_start,obs_end,H,L,range,k1_start,k1_complete,low_visits_before_terminal,low_break,break_side,break_ts,genuine_l2,l2_ts,low_break_after_l2,clean_leave,leave_complete,eligible_start,first_return_type,first_return_ts
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,39045.0,37805.0,1240.0,2022-01-21 20:05:00+00:00,2022-01-21 20:10:00+00:00,1,True,LOW,2022-01-21 20:15:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,04-08,2022-01-22 04:00:00+00:00,2022-01-22 08:00:00+00:00,36817.74,35947.2,870.5400000000009,2022-01-22 05:35:00+00:00,2022-01-22 05:40:00+00:00,1,True,LOW,2022-01-22 05:45:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,08-12,2022-01-22 08:00:00+00:00,2022-01-22 12:00:00+00:00,36411.75,35101.0,1310.75,2022-01-22 09:40:00+00:00,2022-01-22 09:45:00+00:00,1,True,LOW,2022-01-22 09:50:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,16-20,2022-01-23 16:00:00+00:00,2022-01-23 20:00:00+00:00,36055.0,35021.12,1033.8799999999974,2022-01-23 18:25:00+00:00,2022-01-23 18:30:00+00:00,1,True,LOW,2022-01-23 18:50:00+00:00,False,,False,True,2022-01-23 18:40:00+00:00,2022-01-23 18:40:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-01-23 18:45:00+00:00
development,BEAR,12-16,2022-01-24 12:00:00+00:00,2022-01-24 16:00:00+00:00,35580.0,33005.33,2574.6699999999983,2022-01-24 12:55:00+00:00,2022-01-24 13:00:00+00:00,1,False,NONE,,False,,False,True,2022-01-24 13:10:00+00:00,2022-01-24 13:10:00+00:00,BLOCK_END,
development,BULL,20-00,2022-01-25 20:00:00+00:00,2022-01-26 00:00:00+00:00,37561.03,36480.52,1080.510000000002,2022-01-25 21:35:00+00:00,2022-01-25 21:40:00+00:00,3,False,NONE,,True,2022-01-25 21:50:00+00:00,False,True,2022-01-25 21:45:00+00:00,2022-01-25 21:45:00+00:00,GENUINE_L2,2022-01-25 21:50:00+00:00
development,BULL,16-20,2022-01-26 16:00:00+00:00,2022-01-26 20:00:00+00:00,38485.39,37566.0,919.3899999999994,2022-01-26 18:05:00+00:00,2022-01-26 18:10:00+00:00,1,False,HIGH,2022-01-26 19:05:00+00:00,False,,False,True,2022-01-26 18:15:00+00:00,2022-01-26 18:15:00+00:00,OPPOSITE_HIGH_BREAK,2022-01-26 19:00:00+00:00
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,37939.0,37575.06,363.9400000000023,2022-01-29 09:05:00+00:00,2022-01-29 09:10:00+00:00,1,True,LOW,2022-01-29 09:20:00+00:00,False,,False,True,2022-01-29 09:15:00+00:00,2022-01-29 09:15:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-01-29 09:15:00+00:00
development,BULL,00-04,2022-01-30 00:00:00+00:00,2022-01-30 04:00:00+00:00,38750.94,37807.9,943.0400000000009,2022-01-30 00:40:00+00:00,2022-01-30 00:45:00+00:00,2,False,NONE,,True,2022-01-30 00:55:00+00:00,False,True,2022-01-30 00:55:00+00:00,2022-01-30 00:55:00+00:00,GENUINE_L2,2022-01-30 00:55:00+00:00
development,BEAR,12-16,2022-02-03 12:00:00+00:00,2022-02-03 16:00:00+00:00,37084.63,36250.0,834.6299999999974,2022-02-03 12:25:00+00:00,2022-02-03 12:30:00+00:00,1,False,NONE,,False,,False,True,2022-02-03 12:40:00+00:00,2022-02-03 12:40:00+00:00,BLOCK_END,
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,41752.46,41352.85,399.6100000000006,2022-02-05 08:00:00+00:00,2022-02-05 08:05:00+00:00,1,True,LOW,2022-02-05 08:40:00+00:00,False,,False,True,2022-02-05 08:10:00+00:00,2022-02-05 08:10:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-02-05 08:35:00+00:00
development,BULL,16-20,2022-02-05 16:00:00+00:00,2022-02-05 20:00:00+00:00,41875.43,41300.0,575.4300000000003,2022-02-05 16:50:00+00:00,2022-02-05 16:55:00+00:00,1,True,LOW,2022-02-05 17:00:00+00:00,False,,False,False,,,BLOCK_END,
development,BULL,00-04,2022-02-06 00:00:00+00:00,2022-02-06 04:00:00+00:00,41765.0,41316.72,448.27999999999884,2022-02-06 00:30:00+00:00,2022-02-06 00:35:00+00:00,1,False,NONE,,False,,False,True,2022-02-06 00:40:00+00:00,2022-02-06 00:40:00+00:00,BLOCK_END,
development,BULL,04-08,2022-02-06 04:00:00+00:00,2022-02-06 08:00:00+00:00,41633.08,41313.01,320.0699999999997,2022-02-06 04:15:00+00:00,2022-02-06 04:20:00+00:00,1,False,HIGH,2022-02-06 07:50:00+00:00,False,,False,True,2022-02-06 04:25:00+00:00,2022-02-06 04:25:00+00:00,OPPOSITE_HIGH_BREAK,2022-02-06 07:45:00+00:00
development,BULL,08-12,2022-02-07 08:00:00+00:00,2022-02-07 12:00:00+00:00,43092.0,42540.65,551.3499999999985,2022-02-07 08:15:00+00:00,2022-02-07 08:20:00+00:00,2,True,LOW,2022-02-07 08:40:00+00:00,True,2022-02-07 08:30:00+00:00,True,True,2022-02-07 08:30:00+00:00,2022-02-07 08:30:00+00:00,GENUINE_L2,2022-02-07 08:30:00+00:00
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,45600.0,44063.38,1536.6200000000026,2022-02-08 08:15:00+00:00,2022-02-08 08:20:00+00:00,1,True,LOW,2022-02-08 08:35:00+00:00,False,,False,True,2022-02-08 08:25:00+00:00,2022-02-08 08:25:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-02-08 08:30:00+00:00
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,43978.64,42822.0,1156.6399999999994,2022-02-08 17:25:00+00:00,2022-02-08 17:30:00+00:00,1,True,LOW,2022-02-08 17:35:00+00:00,False,,False,False,,,BLOCK_END,
development,BULL,16-20,2022-02-09 16:00:00+00:00,2022-02-09 20:00:00+00:00,44436.44,43600.0,836.4400000000023,2022-02-09 16:00:00+00:00,2022-02-09 16:05:00+00:00,1,False,HIGH,2022-02-09 19:30:00+00:00,False,,False,True,2022-02-09 16:10:00+00:00,2022-02-09 16:10:00+00:00,OPPOSITE_HIGH_BREAK,2022-02-09 19:25:00+00:00
development,BULL,04-08,2022-02-10 04:00:00+00:00,2022-02-10 08:00:00+00:00,44386.48,43550.0,836.4800000000032,2022-02-10 04:50:00+00:00,2022-02-10 04:55:00+00:00,1,False,NONE,,False,,False,True,2022-02-10 05:00:00+00:00,2022-02-10 05:00:00+00:00,BLOCK_END,
development,BULL,20-00,2022-02-10 20:00:00+00:00,2022-02-11 00:00:00+00:00,45847.5,44311.39,1536.1100000000006,2022-02-10 20:00:00+00:00,2022-02-10 20:05:00+00:00,2,True,LOW,2022-02-10 20:25:00+00:00,True,2022-02-10 20:15:00+00:00,True,True,2022-02-10 20:10:00+00:00,2022-02-10 20:10:00+00:00,GENUINE_L2,2022-02-10 20:15:00+00:00
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,43746.52,42046.11,1700.4099999999962,2022-02-11 22:50:00+00:00,2022-02-11 22:55:00+00:00,1,True,LOW,2022-02-11 23:10:00+00:00,False,,False,True,2022-02-11 23:05:00+00:00,2022-02-11 23:05:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-02-11 23:05:00+00:00
development,BEAR,12-16,2022-02-12 12:00:00+00:00,2022-02-12 16:00:00+00:00,42440.73,41838.68,602.0500000000029,2022-02-12 14:40:00+00:00,2022-02-12 14:45:00+00:00,2,False,NONE,,True,2022-02-12 15:15:00+00:00,False,True,2022-02-12 14:50:00+00:00,2022-02-12 14:50:00+00:00,GENUINE_L2,2022-02-12 15:15:00+00:00
development,BEAR,20-00,2022-02-12 20:00:00+00:00,2022-02-13 00:00:00+00:00,42980.0,41981.72,998.2799999999988,2022-02-12 21:30:00+00:00,2022-02-12 21:35:00+00:00,1,True,LOW,2022-02-12 21:45:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,42755.97,42158.01,597.9599999999991,2022-02-13 17:00:00+00:00,2022-02-13 17:05:00+00:00,1,True,LOW,2022-02-13 17:15:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,00-04,2022-02-14 00:00:00+00:00,2022-02-14 04:00:00+00:00,42477.0,41922.53,554.4700000000012,2022-02-14 00:30:00+00:00,2022-02-14 00:35:00+00:00,2,True,LOW,2022-02-14 01:30:00+00:00,True,2022-02-14 01:20:00+00:00,True,True,2022-02-14 00:40:00+00:00,2022-02-14 00:40:00+00:00,GENUINE_L2,2022-02-14 01:20:00+00:00
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,44777.0,43939.2,837.8000000000029,2022-02-16 01:35:00+00:00,2022-02-16 01:40:00+00:00,1,True,LOW,2022-02-16 02:35:00+00:00,False,,False,True,2022-02-16 01:50:00+00:00,2022-02-16 01:50:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-02-16 02:30:00+00:00
development,BEAR,16-20,2022-02-17 16:00:00+00:00,2022-02-17 20:00:00+00:00,43347.8,41664.0,1683.800000000003,2022-02-17 16:05:00+00:00,2022-02-17 16:10:00+00:00,2,True,LOW,2022-02-17 18:15:00+00:00,True,2022-02-17 17:45:00+00:00,True,True,2022-02-17 16:15:00+00:00,2022-02-17 16:15:00+00:00,GENUINE_L2,2022-02-17 17:45:00+00:00
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,40938.0,40073.1,864.9000000000015,2022-02-18 12:00:00+00:00,2022-02-18 12:05:00+00:00,1,True,LOW,2022-02-18 14:40:00+00:00,False,,False,True,2022-02-18 12:10:00+00:00,2022-02-18 12:10:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-02-18 14:35:00+00:00
development,BEAR,12-16,2022-02-19 12:00:00+00:00,2022-02-19 16:00:00+00:00,40278.8,39620.3,658.5,2022-02-19 13:05:00+00:00,2022-02-19 13:10:00+00:00,1,False,NONE,,False,,False,True,2022-02-19 13:15:00+00:00,2022-02-19 13:15:00+00:00,BLOCK_END,
development,BEAR,20-00,2022-02-19 20:00:00+00:00,2022-02-20 00:00:00+00:00,40341.5,39811.2,530.3000000000029,2022-02-19 21:15:00+00:00,2022-02-19 21:20:00+00:00,1,False,NONE,,False,,False,True,2022-02-19 21:30:00+00:00,2022-02-19 21:30:00+00:00,BLOCK_END,
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,40119.0,39777.0,342.0,2022-02-20 03:25:00+00:00,2022-02-20 03:30:00+00:00,1,True,LOW,2022-02-20 03:35:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,20-00,2022-02-20 20:00:00+00:00,2022-02-21 00:00:00+00:00,38479.9,38162.0,317.90000000000146,2022-02-20 21:10:00+00:00,2022-02-20 21:15:00+00:00,1,True,LOW,2022-02-20 21:20:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,08-12,2022-02-21 08:00:00+00:00,2022-02-21 12:00:00+00:00,39510.0,38883.6,626.4000000000015,2022-02-21 09:05:00+00:00,2022-02-21 09:10:00+00:00,3,True,LOW,2022-02-21 10:20:00+00:00,True,2022-02-21 09:55:00+00:00,True,True,2022-02-21 09:15:00+00:00,2022-02-21 09:15:00+00:00,GENUINE_L2,2022-02-21 09:55:00+00:00
development,BEAR,12-16,2022-02-21 12:00:00+00:00,2022-02-21 16:00:00+00:00,39335.0,37314.5,2020.5,2022-02-21 13:05:00+00:00,2022-02-21 13:10:00+00:00,2,False,NONE,,True,2022-02-21 13:30:00+00:00,False,True,2022-02-21 13:20:00+00:00,2022-02-21 13:20:00+00:00,GENUINE_L2,2022-02-21 13:30:00+00:00
development,BEAR,04-08,2022-02-24 04:00:00+00:00,2022-02-24 08:00:00+00:00,37400.0,34673.1,2726.9000000000015,2022-02-24 04:00:00+00:00,2022-02-24 04:05:00+00:00,2,True,LOW,2022-02-24 05:30:00+00:00,True,2022-02-24 04:10:00+00:00,True,True,2022-02-24 04:10:00+00:00,2022-02-24 04:10:00+00:00,GENUINE_L2,2022-02-24 04:10:00+00:00
development,BULL,04-08,2022-02-26 04:00:00+00:00,2022-02-26 08:00:00+00:00,40441.1,39053.4,1387.699999999997,2022-02-26 05:45:00+00:00,2022-02-26 05:50:00+00:00,1,True,LOW,2022-02-26 06:00:00+00:00,False,,False,True,2022-02-26 05:55:00+00:00,2022-02-26 05:55:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-02-26 05:55:00+00:00
development,BULL,16-20,2022-02-27 16:00:00+00:00,2022-02-27 20:00:00+00:00,39868.6,38500.0,1368.5999999999985,2022-02-27 19:25:00+00:00,2022-02-27 19:30:00+00:00,1,True,LOW,2022-02-27 19:35:00+00:00,False,,False,False,,,BLOCK_END,
development,SIDEWAYS,20-00,2022-02-27 20:00:00+00:00,2022-02-28 00:00:00+00:00,39447.7,37460.3,1987.3999999999942,2022-02-27 20:20:00+00:00,2022-02-27 20:25:00+00:00,1,True,LOW,2022-02-27 21:10:00+00:00,False,,False,True,2022-02-27 20:35:00+00:00,2022-02-27 20:35:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-02-27 21:05:00+00:00
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,44935.0,43324.8,1610.199999999997,2022-03-01 16:45:00+00:00,2022-03-01 16:50:00+00:00,1,True,LOW,2022-03-01 17:05:00+00:00,False,,False,False,,,BLOCK_END,
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,44345.0,43661.8,683.1999999999971,2022-03-03 00:10:00+00:00,2022-03-03 00:15:00+00:00,1,True,LOW,2022-03-03 02:10:00+00:00,False,,False,True,2022-03-03 00:20:00+00:00,2022-03-03 00:20:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-03-03 02:05:00+00:00
development,BULL,04-08,2022-03-03 04:00:00+00:00,2022-03-03 08:00:00+00:00,44048.7,43165.1,883.5999999999985,2022-03-03 06:05:00+00:00,2022-03-03 06:10:00+00:00,1,True,LOW,2022-03-03 06:15:00+00:00,False,,False,False,,,BLOCK_END,
development,SIDEWAYS,16-20,2022-03-03 16:00:00+00:00,2022-03-03 20:00:00+00:00,44080.0,42333.0,1747.0,2022-03-03 16:05:00+00:00,2022-03-03 16:10:00+00:00,3,True,LOW,2022-03-03 17:25:00+00:00,True,2022-03-03 16:55:00+00:00,True,True,2022-03-03 16:15:00+00:00,2022-03-03 16:15:00+00:00,GENUINE_L2,2022-03-03 16:55:00+00:00
development,SIDEWAYS,20-00,2022-03-03 20:00:00+00:00,2022-03-04 00:00:00+00:00,42761.4,42051.0,710.4000000000015,2022-03-03 20:00:00+00:00,2022-03-03 20:05:00+00:00,3,True,LOW,2022-03-03 20:50:00+00:00,True,2022-03-03 20:15:00+00:00,True,True,2022-03-03 20:10:00+00:00,2022-03-03 20:10:00+00:00,GENUINE_L2,2022-03-03 20:15:00+00:00
development,BEAR,16-20,2022-03-04 16:00:00+00:00,2022-03-04 20:00:00+00:00,41825.8,40540.0,1285.800000000003,2022-03-04 16:05:00+00:00,2022-03-04 16:10:00+00:00,2,True,LOW,2022-03-04 19:05:00+00:00,True,2022-03-04 16:30:00+00:00,True,True,2022-03-04 16:25:00+00:00,2022-03-04 16:25:00+00:00,GENUINE_L2,2022-03-04 16:30:00+00:00
development,BEAR,20-00,2022-03-04 20:00:00+00:00,2022-03-05 00:00:00+00:00,40954.6,39650.0,1304.5999999999985,2022-03-04 20:00:00+00:00,2022-03-04 20:05:00+00:00,1,True,LOW,2022-03-04 20:15:00+00:00,False,,False,True,2022-03-04 20:10:00+00:00,2022-03-04 20:10:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-03-04 20:10:00+00:00
development,BEAR,08-12,2022-03-06 08:00:00+00:00,2022-03-06 12:00:00+00:00,39645.9,38766.0,879.9000000000015,2022-03-06 09:25:00+00:00,2022-03-06 09:30:00+00:00,1,True,LOW,2022-03-06 09:55:00+00:00,False,,False,True,2022-03-06 09:40:00+00:00,2022-03-06 09:40:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-03-06 09:50:00+00:00
development,BEAR,20-00,2022-03-06 20:00:00+00:00,2022-03-07 00:00:00+00:00,39340.0,38474.6,865.4000000000015,2022-03-06 23:10:00+00:00,2022-03-06 23:15:00+00:00,1,True,LOW,2022-03-06 23:20:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,00-04,2022-03-07 00:00:00+00:00,2022-03-07 04:00:00+00:00,39250.0,38111.0,1139.0,2022-03-07 00:20:00+00:00,2022-03-07 00:25:00+00:00,1,True,LOW,2022-03-07 02:25:00+00:00,False,,False,True,2022-03-07 00:30:00+00:00,2022-03-07 00:30:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-03-07 02:20:00+00:00
development,BEAR,20-00,2022-03-07 20:00:00+00:00,2022-03-08 00:00:00+00:00,39550.0,37150.8,2399.199999999997,2022-03-07 20:00:00+00:00,2022-03-07 20:05:00+00:00,1,False,NONE,,False,,False,True,2022-03-07 20:10:00+00:00,2022-03-07 20:10:00+00:00,BLOCK_END,
development,BEAR,16-20,2022-03-08 16:00:00+00:00,2022-03-08 20:00:00+00:00,39200.0,38259.0,941.0,2022-03-08 16:25:00+00:00,2022-03-08 16:30:00+00:00,1,True,LOW,2022-03-08 16:35:00+00:00,False,,False,False,,,BLOCK_END,
development,BULL,20-00,2022-03-09 20:00:00+00:00,2022-03-10 00:00:00+00:00,42552.0,41760.0,792.0,2022-03-09 20:50:00+00:00,2022-03-09 20:55:00+00:00,1,True,LOW,2022-03-09 21:15:00+00:00,False,,False,True,2022-03-09 21:05:00+00:00,2022-03-09 21:05:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-03-09 21:10:00+00:00
development,BEAR,00-04,2022-03-11 00:00:00+00:00,2022-03-11 04:00:00+00:00,39662.5,39000.0,662.5,2022-03-11 01:05:00+00:00,2022-03-11 01:10:00+00:00,1,True,LOW,2022-03-11 01:15:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,00-04,2022-03-13 00:00:00+00:00,2022-03-13 04:00:00+00:00,39195.4,38700.0,495.40000000000146,2022-03-13 00:00:00+00:00,2022-03-13 00:05:00+00:00,1,False,NONE,,False,,False,True,2022-03-13 00:10:00+00:00,2022-03-13 00:10:00+00:00,BLOCK_END,
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,39300.0,39051.6,248.40000000000146,2022-03-13 08:05:00+00:00,2022-03-13 08:10:00+00:00,1,True,LOW,2022-03-13 08:15:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,12-16,2022-03-13 12:00:00+00:00,2022-03-13 16:00:00+00:00,39120.0,38511.8,608.1999999999971,2022-03-13 12:15:00+00:00,2022-03-13 12:20:00+00:00,1,True,LOW,2022-03-13 12:25:00+00:00,False,,False,False,,,BLOCK_END,
development,SIDEWAYS,16-20,2022-03-14 16:00:00+00:00,2022-03-14 20:00:00+00:00,39160.5,38602.9,557.5999999999985,2022-03-14 17:30:00+00:00,2022-03-14 17:35:00+00:00,1,True,LOW,2022-03-14 18:25:00+00:00,False,,False,True,2022-03-14 17:45:00+00:00,2022-03-14 17:45:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-03-14 18:20:00+00:00
development,BULL,00-04,2022-03-16 00:00:00+00:00,2022-03-16 04:00:00+00:00,39901.8,39209.8,692.0,2022-03-16 00:05:00+00:00,2022-03-16 00:10:00+00:00,3,True,LOW,2022-03-16 00:55:00+00:00,True,2022-03-16 00:20:00+00:00,True,True,2022-03-16 00:15:00+00:00,2022-03-16 00:15:00+00:00,GENUINE_L2,2022-03-16 00:20:00+00:00
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,41188.0,40232.3,955.6999999999971,2022-03-16 16:20:00+00:00,2022-03-16 16:25:00+00:00,1,True,LOW,2022-03-16 16:30:00+00:00,False,,False,False,,,BLOCK_END,
development,BULL,08-12,2022-03-17 08:00:00+00:00,2022-03-17 12:00:00+00:00,41498.4,40540.1,958.3000000000029,2022-03-17 10:35:00+00:00,2022-03-17 10:40:00+00:00,1,False,NONE,,False,,False,True,2022-03-17 10:45:00+00:00,2022-03-17 10:45:00+00:00,BLOCK_END,
development,BULL,16-20,2022-03-17 16:00:00+00:00,2022-03-17 20:00:00+00:00,41250.0,40700.0,550.0,2022-03-17 16:00:00+00:00,2022-03-17 16:05:00+00:00,3,True,LOW,2022-03-17 17:10:00+00:00,True,2022-03-17 16:15:00+00:00,True,True,2022-03-17 16:10:00+00:00,2022-03-17 16:10:00+00:00,GENUINE_L2,2022-03-17 16:15:00+00:00
