clock_min,clock,partition,windows,k1,executed,wr,pf,exp,net,tp_rate,time_rate,dev_eligible
1410,23:30,development,782,168,51,0.6274509803921569,1.1048243340024544,0.14856683079112296,7.576908370347271,0.5098039215686274,0.39215686274509803,False
480,08:00,development,782,173,54,0.7407407407407407,1.0730780510290252,0.14813544003341195,7.999313761804245,0.7037037037037037,0.07407407407407407,False
1260,21:00,development,782,150,43,0.5813953488372093,1.0569223786582342,0.0926596942147334,3.984366851233536,0.4883720930232558,0.3953488372093023,False
360,06:00,development,782,187,59,0.6779661016949152,1.039337616062058,0.06897194861997898,4.0693449685787595,0.6440677966101694,0.13559322033898305,False
120,02:00,development,782,209,79,0.6329113924050633,1.0293910446490826,0.041230004642751596,3.257170366777376,0.569620253164557,0.20253164556962025,False
510,08:30,development,782,181,61,0.7213114754098361,1.0075125737852415,0.016531282835655057,1.0084082529749585,0.6885245901639344,0.09836065573770492,False
150,02:30,development,782,206,87,0.6436781609195402,1.0036430967998866,0.0048326991914772865,0.4204448296585239,0.6436781609195402,0.13793103448275862,False
90,01:30,development,782,173,63,0.5873015873015873,0.9613081773927176,-0.06281810277313808,-3.957540474707699,0.5238095238095238,0.31746031746031744,False
1200,20:00,development,782,145,44,0.5454545454545454,0.954994476428781,-0.06315941417907557,-2.7790142238793254,0.5227272727272727,0.3409090909090909,False
390,06:30,development,782,194,58,0.7068965517241379,0.9522730962543987,-0.09077543422356489,-5.264975184966763,0.7068965517241379,0.10344827586206896,False
420,07:00,development,782,164,53,0.7169811320754716,0.9123247811015801,-0.1644943771328579,-8.718201988041468,0.7169811320754716,0.07547169811320754,False
570,09:30,development,782,145,49,0.6530612244897959,0.9117782361461987,-0.17847813469392812,-8.745428600002478,0.6122448979591837,0.22448979591836735,False
1050,17:30,development,781,153,47,0.5957446808510638,0.8615887739979816,-0.23479651732453155,-11.035436314252983,0.48936170212765956,0.3617021276595745,False
810,13:30,development,781,138,39,0.48717948717948717,0.8511156027195068,-0.25457838464460775,-9.928557001139701,0.46153846153846156,0.4358974358974359,False
1170,19:30,development,782,139,39,0.5384615384615384,0.8368542573812758,-0.25653769184932695,-10.00496998212375,0.46153846153846156,0.38461538461538464,False
0,00:00,development,782,166,51,0.6470588235294118,0.8245845318924937,-0.32374414262328455,-16.510951273787512,0.45098039215686275,0.43137254901960786,False
60,01:00,development,782,183,67,0.6119402985074627,0.8080694829378507,-0.345264828590766,-23.13274351558132,0.582089552238806,0.2835820895522388,False
1230,20:30,development,782,147,38,0.5526315789473685,0.8031389680939516,-0.27619330906329337,-10.495345744405148,0.4473684210526316,0.42105263157894735,False
780,13:00,development,781,126,33,0.5757575757575758,0.7846481640404566,-0.36882588708988007,-12.171254273966042,0.5151515151515151,0.3939393939393939,False
1320,22:00,development,782,162,47,0.48936170212765956,0.7772661592569711,-0.3313180390660298,-15.571947836103401,0.3617021276595745,0.5531914893617021,False
30,00:30,development,782,176,58,0.6206896551724138,0.7760998165508289,-0.4128690013493064,-23.94640207825977,0.5172413793103449,0.3620689655172414,False
930,15:30,development,781,136,37,0.4864864864864865,0.7645901035191789,-0.44957462687896876,-16.634261194521844,0.43243243243243246,0.4864864864864865,False
750,12:30,development,781,126,30,0.5333333333333333,0.707683369926281,-0.5573116655277097,-16.71934996583129,0.4666666666666667,0.43333333333333335,False
630,10:30,development,782,137,44,0.5909090909090909,0.7025262508445675,-0.7749547369516393,-34.09800842587213,0.5454545454545454,0.3181818181818182,False
450,07:30,development,782,164,56,0.6785714285714286,0.701654160382651,-0.7404199620924994,-41.46351787717997,0.6785714285714286,0.10714285714285714,False
840,14:00,development,781,140,35,0.45714285714285713,0.5956631783118146,-0.7464151394622623,-26.124529881179182,0.34285714285714286,0.5428571428571428,False
1110,18:30,development,782,127,45,0.5333333333333333,0.5813499049037361,-1.033191978842919,-46.49363904793135,0.4444444444444444,0.35555555555555557,False
990,16:30,development,781,146,42,0.5238095238095238,0.5724124292747,-0.7263324514827699,-30.505962962276335,0.40476190476190477,0.47619047619047616,False
1020,17:00,development,781,156,49,0.4489795918367347,0.4914368290706978,-1.0876304811340491,-53.29389357556841,0.40816326530612246,0.40816326530612246,False
1140,19:00,development,782,118,38,0.47368421052631576,0.4450729381662277,-1.7594564421282628,-66.85934480087398,0.4473684210526316,0.34210526315789475,False
900,15:00,development,781,146,44,0.4090909090909091,0.3832253530186217,-2.194547277092883,-96.56008019208684,0.38636363636363635,0.36363636363636365,False
540,09:00,development,782,165,52,0.4807692307692308,0.3791692349974277,-2.0928037697587603,-108.82579602745554,0.4230769230769231,0.2692307692307692,False
870,14:30,development,781,133,43,0.37209302325581395,0.31209795308456095,-2.0295030907059837,-87.2686329003573,0.3023255813953488,0.4883720930232558,False
1080,18:00,development,781,145,45,0.37777777777777777,0.3112454153476445,-1.7274783992068705,-77.73652796430918,0.35555555555555557,0.4666666666666667,False
