tf,tolerance,transition,partition,direction,n,hi_mean,hi_median,hi_p75,hi_max,hi_ge1,hi_ge2,hi_ge3,hi_ge4,lo_mean,lo_median,lo_p75,lo_max,lo_ge1,lo_ge2,lo_ge3,lo_ge4,hi_raw_mean,hi_raw_median,hi_raw_p75,hi_raw_max,hi_raw_ge1,hi_raw_ge2,hi_raw_ge3,hi_raw_ge4,lo_raw_mean,lo_raw_median,lo_raw_p75,lo_raw_max,lo_raw_ge1,lo_raw_ge2,lo_raw_ge3,lo_raw_ge4,hi_rej_mean,hi_rej_median,hi_rej_p75,hi_rej_max,hi_rej_ge1,hi_rej_ge2,hi_rej_ge3,hi_rej_ge4,lo_rej_mean,lo_rej_median,lo_rej_p75,lo_rej_max,lo_rej_ge1,lo_rej_ge2,lo_rej_ge3,lo_rej_ge4,both_zone_bar_rate,partial_breakout_rate
15m,TOL_0.10,ASIA_TO_LONDON,august,BEAR,3,0.3333333333333333,0.0,0.5,1,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.5,2,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.0,2,0.3333333333333333,0.3333333333333333,0.0,0.0,1.3333333333333333,1.0,2.0,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,1,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
15m,TOL_0.10,ASIA_TO_LONDON,august,NO_BREAK,6,0.3333333333333333,0.0,0.75,1,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,2,0.5,0.16666666666666666,0.0,0.0,1.6666666666666667,0.0,2.25,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.0,0.5,1.75,3,0.5,0.3333333333333333,0.16666666666666666,0.0,0.5,0.0,0.75,2,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.5,1.0,1,0.5,0.0,0.0,0.0,0.0,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,225,0.7511111111111111,0.0,1.0,5,0.49777777777777776,0.16,0.057777777777777775,0.02666666666666667,0.057777777777777775,0.0,0.0,2,0.05333333333333334,0.0044444444444444444,0.0,0.0,1.3377777777777777,0.0,2.0,12,0.49777777777777776,0.28888888888888886,0.19111111111111112,0.14666666666666667,0.1288888888888889,0.0,0.0,8,0.05333333333333334,0.02666666666666667,0.022222222222222223,0.008888888888888889,0.9733333333333334,0.0,1.0,9,0.4311111111111111,0.24444444444444444,0.12,0.09333333333333334,0.09777777777777778,0.0,0.0,4,0.05333333333333334,0.017777777777777778,0.017777777777777778,0.008888888888888889,0.008888888888888889,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BEAR,165,0.07878787878787878,0.0,0.0,3,0.06060606060606061,0.012121212121212121,0.006060606060606061,0.0,0.6909090909090909,1.0,1.0,4,0.5333333333333333,0.12121212121212122,0.030303030303030304,0.006060606060606061,0.10909090909090909,0.0,0.0,4,0.06060606060606061,0.024242424242424242,0.01818181818181818,0.006060606060606061,1.1757575757575758,1.0,2.0,12,0.5333333333333333,0.26666666666666666,0.15151515151515152,0.11515151515151516,0.09090909090909091,0.0,0.0,3,0.06060606060606061,0.01818181818181818,0.012121212121212121,0.0,0.896969696969697,0.0,1.0,10,0.46060606060606063,0.20606060606060606,0.10909090909090909,0.06060606060606061,0.006060606060606061,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,133,0.45112781954887216,0.0,1.0,5,0.2932330827067669,0.08270676691729323,0.045112781954887216,0.022556390977443608,0.38345864661654133,0.0,0.0,5,0.24060150375939848,0.09022556390977443,0.03007518796992481,0.015037593984962405,0.8045112781954887,0.0,1.0,11,0.2932330827067669,0.14285714285714285,0.08270676691729323,0.06766917293233082,0.6842105263157895,0.0,0.0,9,0.24060150375939848,0.17293233082706766,0.12030075187969924,0.05263157894736842,0.6090225563909775,0.0,1.0,8,0.2932330827067669,0.12030075187969924,0.07518796992481203,0.05263157894736842,0.6240601503759399,0.0,0.0,8,0.24060150375939848,0.16541353383458646,0.09022556390977443,0.05263157894736842,0.015037593984962405,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,322,0.7298136645962733,1.0,1.0,6,0.5559006211180124,0.12422360248447205,0.037267080745341616,0.006211180124223602,0.2670807453416149,0.0,0.0,3,0.20186335403726707,0.052795031055900624,0.012422360248447204,0.0,1.31055900621118,1.0,2.0,15,0.5559006211180124,0.2919254658385093,0.17080745341614906,0.09627329192546584,0.4503105590062112,0.0,0.0,7,0.20186335403726707,0.10869565217391304,0.06832298136645963,0.040372670807453416,0.9596273291925466,0.0,1.0,9,0.48757763975155277,0.2236024844720497,0.11180124223602485,0.052795031055900624,0.3695652173913043,0.0,0.0,6,0.20186335403726707,0.08695652173913043,0.046583850931677016,0.021739130434782608,0.027950310559006212,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,358,0.20949720670391062,0.0,0.0,3,0.18156424581005587,0.025139664804469275,0.002793296089385475,0.0,0.6983240223463687,1.0,1.0,4,0.553072625698324,0.12011173184357542,0.0223463687150838,0.002793296089385475,0.34916201117318435,0.0,0.0,10,0.18156424581005587,0.0893854748603352,0.036312849162011177,0.0111731843575419,1.2737430167597765,1.0,2.0,10,0.553072625698324,0.30726256983240224,0.15921787709497207,0.10335195530726257,0.29608938547486036,0.0,0.0,8,0.1787709497206704,0.0670391061452514,0.0223463687150838,0.0111731843575419,0.9189944134078212,0.0,1.0,8,0.46368715083798884,0.23184357541899442,0.11731843575418995,0.05865921787709497,0.025139664804469275,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,102,0.6470588235294118,0.0,1.0,4,0.45098039215686275,0.14705882352941177,0.0392156862745098,0.00980392156862745,0.6764705882352942,0.0,1.0,4,0.35294117647058826,0.20588235294117646,0.06862745098039216,0.049019607843137254,1.2352941176470589,0.0,2.0,10,0.45098039215686275,0.29411764705882354,0.18627450980392157,0.11764705882352941,1.2843137254901962,0.0,1.75,14,0.35294117647058826,0.2549019607843137,0.19607843137254902,0.11764705882352941,1.0686274509803921,0.0,2.0,7,0.4411764705882353,0.2647058823529412,0.17647058823529413,0.09803921568627451,1.0490196078431373,0.0,1.0,9,0.35294117647058826,0.24509803921568626,0.18627450980392157,0.10784313725490197,0.0196078431372549,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,185,0.8216216216216217,1.0,1.0,3,0.5945945945945946,0.1945945945945946,0.032432432432432434,0.0,0.2648648648648649,0.0,0.0,2,0.22162162162162163,0.043243243243243246,0.0,0.0,1.481081081081081,1.0,2.0,13,0.5945945945945946,0.32972972972972975,0.1945945945945946,0.13513513513513514,0.4486486486486487,0.0,0.0,5,0.22162162162162163,0.12432432432432433,0.07567567567567568,0.021621621621621623,1.0648648648648649,1.0,1.0,7,0.5297297297297298,0.23783783783783785,0.14594594594594595,0.08108108108108109,0.4,0.0,0.0,4,0.22162162162162163,0.11351351351351352,0.05405405405405406,0.010810810810810811,0.03783783783783784,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,197,0.233502538071066,0.0,0.0,2,0.2131979695431472,0.02030456852791878,0.0,0.0,0.766497461928934,1.0,1.0,5,0.5532994923857868,0.14720812182741116,0.04060913705583756,0.02030456852791878,0.3147208121827411,0.0,0.0,4,0.2131979695431472,0.06598984771573604,0.025380710659898477,0.01015228426395939,1.2791878172588833,1.0,2.0,13,0.5532994923857868,0.3147208121827411,0.15736040609137056,0.09137055837563451,0.27411167512690354,0.0,0.0,3,0.2131979695431472,0.05583756345177665,0.005076142131979695,0.0,0.8883248730964467,0.0,1.0,8,0.4720812182741117,0.2131979695431472,0.08629441624365482,0.050761421319796954,0.03553299492385787,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,29,0.8275862068965517,0.0,1.0,4,0.4482758620689655,0.20689655172413793,0.13793103448275862,0.034482758620689655,1.2758620689655173,1.0,2.0,4,0.6896551724137931,0.3793103448275862,0.1724137931034483,0.034482758620689655,1.7241379310344827,0.0,2.0,12,0.4482758620689655,0.27586206896551724,0.20689655172413793,0.1724137931034483,2.8620689655172415,2.0,4.0,14,0.6896551724137931,0.5517241379310345,0.3793103448275862,0.3103448275862069,1.206896551724138,0.0,1.0,7,0.4482758620689655,0.2413793103448276,0.1724137931034483,0.13793103448275862,2.2413793103448274,1.0,3.0,11,0.6896551724137931,0.4827586206896552,0.3448275862068966,0.1724137931034483,0.034482758620689655,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,august,BULL,9,1.0,1.0,1.0,2,0.8888888888888888,0.1111111111111111,0.0,0.0,0.4444444444444444,0.0,1.0,2,0.3333333333333333,0.1111111111111111,0.0,0.0,2.2222222222222223,2.0,4.0,4,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.1111111111111112,0.0,2.0,6,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,1.5555555555555556,1.0,3.0,4,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.8888888888888888,0.0,2.0,4,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,august,BEAR,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,1,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,2.0,2,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,2,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
15m,TOL_0.10,LONDON_TO_NEWYORK,august,NO_BREAK,2,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.5,0.5,0.75,1,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.5,0.5,0.75,1,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.5,0.5,0.75,1,0.5,0.0,0.0,0.0,0.0,0.0
