partition,dev_block,ref_min,hour,execution_start,family,target_R,H,L,R,h1_ts,h1_break_ts,entry_ts,entry_price,entry_F,exit_ts,exit_price,exit_reason,return,pnl,return_5bps,pnl_5bps,won,won_5bps,h1_break_confirmed,invalidation_close_ts,candidate,role,candidate_scope,fill_delay_min,prefill_bar_count,immediate_fill,prefill_last_close_location_R,prefill_last_close_distance_H_R,prefill_min_low_location_R,prefill_max_close_location_R,prefill_close_range_R,prefill_realized_close_path_R,prefill_signed_efficiency,prefill_upstep_fraction,prefill_upper80_close_fraction,prefill_upper90_close_fraction,prefill_nearH10_high_fraction,prefill_nearH05_high_fraction,prefill_nearH05_episode_count,prefill_last30_range_R,prefill_last30_efficiency,prefill_last30_upstep_fraction,prefill_last60_range_R,prefill_last60_efficiency,prefill_last60_upstep_fraction,stress_outcome,raw_outcome,btc_ref6_return_pct,btc_ref6_range_pct,btc_ref6_close_location,btc_last60_return_pct,btc_last120_return_pct,btc_prefill_return_pct,btc_prefill_close_vs_refH_pct,eth_ref6_return_pct,eth_ref6_range_pct,eth_ref6_close_location,eth_last60_return_pct,eth_last120_return_pct,eth_prefill_return_pct,eth_prefill_close_vs_refH_pct,market_ref6_mean_return_pct,market_ref6_breadth,market_last60_mean_return_pct,market_last120_mean_return_pct,market_last60_breadth,market_last120_breadth,market_prefill_mean_return_pct,market_prefill_breadth
reference_validation,,360,15,2025-05-19 15:00:00+00:00,E0_RESTING_H,0.4,164.03,160.05,3.9799999999999898,2025-05-19 15:05:00+00:00,2025-05-19 15:05:00+00:00,2025-05-19 15:05:00+00:00,164.03,1.0,2025-05-19 15:20:00+00:00,163.81,FAILED_BREAK,-0.0013412180698653,-0.6706090349326566,-0.0018412180698653,-0.9206090349326566,False,False,True,2025-05-19 15:15:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,5.0,1.0,0.0,0.977386934673366,0.022613065326634,0.8341708542713572,0.977386934673366,0.0,0.0829145728643178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,FAIL,FAIL,0.010531110238929386,0.021405651529303963,0.9799292146409199,0.010038764120039012,0.018048863830514295,0.00089953498452644,0.0004687455066572088,0.017600419315118687,0.028819857495002515,0.8968794326241137,0.008209997898042776,0.01916483003712144,0.001782334449336398,-0.0011860607295699488,0.014065764777024037,2.0,0.009124381009040894,0.018606846933817867,2.0,2.0,0.001340934716931419,2.0
reference_validation,,360,15,2025-05-20 15:00:00+00:00,E0_RESTING_H,0.4,168.07,164.4,3.669999999999988,2025-05-20 17:50:00+00:00,,2025-05-20 17:50:00+00:00,168.07,1.0,2025-05-21 02:55:00+00:00,168.71,TIME,0.0038079371690367,1.9039685845183565,0.0033079371690367,1.6539685845183565,True,True,False,,A20_Z1_R360_H15,CANDIDATE,A17,170.0,34.0,0.0,0.9209809264305197,0.0790190735694803,0.1880108991825613,0.9209809264305197,0.6376021798365152,2.5585831062670423,0.2417465388711402,0.5,0.0588235294117647,0.0294117647058823,0.0294117647058823,0.0294117647058823,1.0,0.3242506811989105,0.647058823529429,0.5,0.7656675749318832,0.6529968454258738,0.5,WIN,WIN,-0.006776824932022585,0.01202746838302581,0.2817349781138082,0.0007059691270216994,-0.0023816208390868843,0.016822182997476842,0.008113184090225545,-0.02593393753749973,0.030729517032330195,0.061453250692336266,-0.0027722548211370768,-0.006334083651782452,0.011241418996134067,-0.017106304872716915,-0.016355381234761157,0.0,-0.0010331428470576887,-0.004357852245434668,1.0,0.0,0.014031800996805455,2.0
reference_validation,,360,15,2025-05-21 15:00:00+00:00,E0_RESTING_H,0.4,172.74,167.28,5.460000000000008,2025-05-21 15:00:00+00:00,2025-05-21 15:05:00+00:00,2025-05-21 15:00:00+00:00,172.74,1.0,2025-05-21 15:15:00+00:00,172.03,FAILED_BREAK,-0.004110223457219,-2.0551117286095044,-0.004610223457219,-2.3051117286095044,False,False,True,2025-05-21 15:10:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,FAIL,FAIL,0.024669996247873582,0.027074303135648726,0.9915596081488783,0.016368135676062323,0.022956726481395684,,,0.016689002759164406,0.025886467080726068,0.9904148569716957,0.013325895137148214,0.016312442374524228,,,0.020679499503518994,2.0,0.014847015406605268,0.019634584427959956,2.0,2.0,,
reference_validation,,360,15,2025-05-22 15:00:00+00:00,E0_RESTING_H,0.4,180.82,176.92,3.9000000000000057,2025-05-23 00:10:00+00:00,2025-05-23 00:10:00+00:00,2025-05-23 00:10:00+00:00,180.82,1.0,2025-05-23 00:30:00+00:00,180.42,FAILED_BREAK,-0.0022121446742616,-1.1060723371308367,-0.0027121446742616,-1.3560723371308367,False,False,True,2025-05-23 00:25:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,550.0,110.0,0.0,0.7205128205128201,0.2794871794871799,0.0794871794871799,0.7743589743589758,0.6820512820512802,7.171794871794853,0.0361101179835535,0.509090909090909,0.0,0.0,0.0,0.0,0.0,0.184615384615384,0.22641509433961,0.5,0.4051282051282077,0.4760147601476071,0.5,FAIL,FAIL,0.0043307065212467855,0.012124208182758004,0.4569196428571472,-0.00016505683637446644,-0.0064505258025513434,0.0060368453243315745,-0.00054399211345868,0.0009838971339302116,0.027769649221534413,0.6337476357741133,0.008455819760512906,0.003304827004727784,-0.003215156631026117,-0.013251083521193308,0.0026573018275884985,2.0,0.00414538146206922,-0.0015728493989117798,1.0,1.0,0.0014108443466527287,1.0
reference_validation,,360,15,2025-05-25 15:00:00+00:00,E0_RESTING_H,0.4,172.58,170.22,2.3600000000000136,2025-05-25 19:55:00+00:00,,2025-05-25 19:55:00+00:00,172.58,1.0,2025-05-25 22:10:00+00:00,173.52400000000003,TARGET,0.0054699269903812,2.7349634951906454,0.0049699269903812,2.4849634951906454,True,True,False,,A20_Z1_R360_H15,CANDIDATE,A17,295.0,59.0,0.0,0.8474576271186391,0.1525423728813608,-0.4957627118643986,0.8474576271186391,1.2881355932203282,5.322033898305115,0.0971337579617822,0.4576271186440678,0.0169491525423728,0.0,0.0,0.0,0.0,0.1567796610169381,0.3199999999999749,0.5,0.3389830508474484,0.5483870967741699,0.5,WIN,WIN,0.002331287541341487,0.009741424536574084,0.6331547732925176,-0.0014868615590459822,-0.001503584504519595,0.003292183370793289,-0.00028134122698186825,0.011588982794196845,0.021495375600253837,0.6323119777158819,-0.0028816723251989806,-0.004165888212682933,0.006646202483644004,-0.0012475296931867552,0.006960135167769166,2.0,-0.0021842669421224814,-0.002834736358601264,0.0,0.0,0.004969192927218646,2.0
reference_validation,,360,15,2025-05-26 15:00:00+00:00,E0_RESTING_H,0.4,178.69,175.81,2.8799999999999955,2025-05-26 15:30:00+00:00,,2025-05-26 15:30:00+00:00,178.69,1.0,2025-05-26 16:30:00+00:00,175.71,REFERENCE_INVALIDATION,-0.0166769265207901,-8.338463260395057,-0.0171769265207901,-8.588463260395057,False,False,False,2025-05-26 16:25:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,30.0,6.0,0.0,0.5625000000000024,0.4374999999999975,0.128472222222224,0.5625000000000024,0.3923611111111101,0.5173611111111052,0.5167785234899465,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.4687499999999988,0.5167785234899465,0.8333333333333334,,,,FAIL,FAIL,-3.557744937054963e-05,0.005795681473798127,0.31984889028806973,0.0006115979045011599,-0.0015075386039190564,0.002006092170766749,-0.0019282459867584478,-0.006855718292302915,0.014096328835895849,0.33166388425153187,-0.00021567358782825785,-0.006824768612297083,0.0022278004392846107,-0.007126149159549455,-0.003445647870836732,0.0,0.00019796215833645103,-0.00416615360810807,1.0,0.0,0.00211694630502568,2.0
reference_validation,,360,15,2025-05-28 15:00:00+00:00,E0_RESTING_H,0.4,175.05,169.81,5.240000000000009,2025-05-29 02:50:00+00:00,,2025-05-29 02:50:00+00:00,175.05,1.0,2025-05-29 02:55:00+00:00,174.95,TIME,-0.0005712653527565,-0.2856326763782668,-0.0010712653527565,-0.5356326763782668,False,False,False,,A20_Z1_R360_H15,CANDIDATE,A17,710.0,142.0,0.0,0.9408396946564882,0.0591603053435117,-0.1927480916030513,0.9408396946564882,1.112595419847329,6.181297709923683,0.1447977770916942,0.5070422535211268,0.0211267605633802,0.0070422535211267,0.0070422535211267,0.0070422535211267,1.0,0.4408396946564882,0.8955823293172527,0.8333333333333334,0.4980916030534368,0.470129870129861,0.5833333333333334,FAIL,FAIL,-0.013892112938905243,0.015063856235543257,0.03755404570722848,-0.0049587358371430135,-0.012470482298567509,0.007504014857298014,-0.006894179797127475,-0.00550717067687112,0.031638921239524144,0.2581498857211597,-0.010957738738297973,-0.014578090483923556,0.05331004087597924,0.029154410534262043,-0.009699641807888182,0.0,-0.007958237287720493,-0.013524286391245532,0.0,0.0,0.030407027866638625,2.0
reference_validation,,360,15,2025-05-31 15:00:00+00:00,E0_RESTING_H,0.4,155.95,152.51,3.4399999999999977,2025-05-31 15:15:00+00:00,2025-05-31 15:25:00+00:00,2025-05-31 15:15:00+00:00,155.95,1.0,2025-05-31 15:45:00+00:00,155.65,FAILED_BREAK,-0.0019236934915035,-0.961846745751782,-0.0024236934915035,-1.211846745751782,False,False,True,2025-05-31 15:40:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,15.0,3.0,0.0,0.8575581395348892,0.1424418604651107,0.8052325581395384,0.9127906976744236,0.0552325581395342,0.0726744186046512,-0.5199999999999818,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,0.0,,,,,,,FAIL,FAIL,0.008710490325806175,0.012323802160875374,0.9808229813664618,0.004345528103708363,0.005088277919412576,0.0002554701224342093,1.9131817264428364e-05,0.006998189030358537,0.015965086948138127,0.8602415578013298,0.0037603934193115585,0.0019201198596379143,-0.001558331168984517,-0.0037772298220540845,0.007854339678082356,2.0,0.0040529607615099605,0.003504198889525245,2.0,2.0,-0.0006514305232751538,1.0
reference_validation,,360,15,2025-06-01 15:00:00+00:00,E0_RESTING_H,0.4,153.85,150.48,3.3700000000000045,2025-06-01 15:20:00+00:00,2025-06-01 15:25:00+00:00,2025-06-01 15:20:00+00:00,153.85,1.0,2025-06-01 16:10:00+00:00,155.198,TARGET,0.0087617809554763,4.380890477738153,0.0082617809554763,4.130890477738153,True,True,True,,A20_Z1_R360_H15,CANDIDATE,A17,20.0,4.0,0.0,0.9317507418397656,0.0682492581602342,0.7121661721068256,0.9317507418397656,0.1988130563798264,0.3264094955489677,0.3999999999999896,0.5,0.5,0.25,0.25,0.25,1.0,,,,,,,WIN,WIN,0.0020020566843681475,0.009823857310648438,0.8251387401421548,0.0032211975331979392,0.006105828588365059,0.0009947250876363167,-0.0007228027560077788,0.0014053635380026908,0.021186423784292332,0.8131351147911204,0.006189876362935998,0.010161177295024526,0.0011083601452828162,-0.0028393973329521316,0.0017037101111854192,2.0,0.004705536948066968,0.008133502941694792,2.0,2.0,0.0010515426164595665,2.0
reference_validation,,360,15,2025-06-02 15:00:00+00:00,E0_RESTING_H,0.4,154.81,151.52,3.289999999999992,2025-06-02 18:20:00+00:00,,2025-06-02 18:20:00+00:00,154.81,1.0,2025-06-02 22:00:00+00:00,156.126,TARGET,0.0085007428460694,4.250371423034749,0.0080007428460694,4.000371423034749,True,True,False,,A20_Z1_R360_H15,CANDIDATE,A17,200.0,40.0,0.0,0.6930091185410354,0.3069908814589645,0.1215805471124553,0.6930091185410354,0.53495440729484,3.0638297872340625,0.0853174603174613,0.55,0.0,0.0,0.0,0.0,0.0,0.2036474164133705,0.6538461538461475,0.8333333333333334,0.3586626139817658,0.3402061855670236,0.6666666666666666,WIN,WIN,-0.011021928937288483,0.016286435365160282,0.31192876938498837,0.003520478623187495,-0.00025346595491371193,0.002294256388193139,-0.00881320841623412,0.014863835078009036,0.026581197932310112,0.8566755872732703,0.010624021471706602,0.013376265538895371,0.007998861822033243,0.0041732283464566144,0.0019209530703602762,1.0,0.0070722500474470484,0.00656139979199083,2.0,1.0,0.005146559105113191,2.0
reference_validation,,360,15,2025-06-03 15:00:00+00:00,E0_RESTING_H,0.4,163.22,158.63,4.590000000000003,2025-06-03 15:00:00+00:00,,2025-06-03 15:00:00+00:00,163.22,1.0,2025-06-03 20:20:00+00:00,158.47,REFERENCE_INVALIDATION,-0.0291018257566474,-14.550912878323718,-0.0296018257566474,-14.800912878323718,False,False,False,2025-06-03 20:15:00+00:00,A20_Z1_R360_H15,CANDIDATE,A17,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,FAIL,FAIL,0.013852817974105092,0.015931249418987405,0.8992691264882744,0.010673775557462184,0.011743413864847785,,,0.015716368659350888,0.02214448692183317,0.8665984305697684,0.00824985717006288,0.014774095115424934,,,0.01478459331672799,2.0,0.009461816363762532,0.01325875449013636,2.0,2.0,,
