hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net
2,1140,150,300,RV_HIGH__RANGE_MID,2023-01-27 19:00:00+00:00,2023-01-28 00:00:00+00:00,-2.0639770530648245,-2.8139770530648245
2,1170,150,300,RV_HIGH__RANGE_MID,2023-01-27 19:30:00+00:00,2023-01-28 00:30:00+00:00,-0.3959593440169551,-1.145959344016955
2,1185,150,300,RV_HIGH__RANGE_MID,2023-01-27 19:45:00+00:00,2023-01-28 00:45:00+00:00,-0.32364070902209585,-1.0736407090220959
2,1140,150,300,RV_HIGH__RANGE_MID,2023-02-01 19:00:00+00:00,2023-02-02 00:00:00+00:00,19.241351828307913,18.491351828307913
2,1140,150,300,RV_HIGH__RANGE_MID,2023-02-03 19:00:00+00:00,2023-02-04 00:00:00+00:00,1.952064300454987,1.202064300454987
2,1155,150,300,RV_HIGH__RANGE_MID,2023-02-08 19:15:00+00:00,2023-02-09 00:15:00+00:00,0.1062254164036047,-0.6437745835963953
2,1170,150,300,RV_HIGH__RANGE_MID,2023-02-08 19:30:00+00:00,2023-02-09 00:30:00+00:00,1.8467893809611067,1.0967893809611067
2,1185,150,300,RV_HIGH__RANGE_MID,2023-02-08 19:45:00+00:00,2023-02-09 00:45:00+00:00,1.1792452830189013,0.4292452830189013
2,1140,150,300,RV_HIGH__RANGE_MID,2023-02-09 19:00:00+00:00,2023-02-10 00:00:00+00:00,-23.846661282467004,-24.596661282467004
2,1155,150,300,RV_HIGH__RANGE_MID,2023-02-09 19:15:00+00:00,2023-02-10 00:15:00+00:00,-19.827879763489513,-20.577879763489513
2,1140,150,300,RV_HIGH__RANGE_MID,2023-02-16 19:00:00+00:00,2023-02-17 00:00:00+00:00,-22.72528726929639,-23.47528726929639
2,1155,150,300,RV_HIGH__RANGE_MID,2023-02-16 19:15:00+00:00,2023-02-17 00:15:00+00:00,-20.638670166229215,-21.388670166229215
2,1185,150,300,RV_HIGH__RANGE_MID,2023-02-17 19:45:00+00:00,2023-02-18 00:45:00+00:00,-3.0314057153589054,-3.7814057153589054
2,1185,150,300,RV_HIGH__RANGE_MID,2023-02-22 19:45:00+00:00,2023-02-23 00:45:00+00:00,7.4705419780682805,6.7205419780682805
2,1170,150,300,RV_HIGH__RANGE_MID,2023-02-27 19:30:00+00:00,2023-02-28 00:30:00+00:00,1.9081737546088693,1.1581737546088693
2,1185,150,300,RV_HIGH__RANGE_MID,2023-02-27 19:45:00+00:00,2023-02-28 00:45:00+00:00,2.614749902871914,1.864749902871914
2,1155,150,300,RV_HIGH__RANGE_MID,2023-03-10 19:15:00+00:00,2023-03-11 00:15:00+00:00,4.770364288798063,4.020364288798063
2,1170,150,300,RV_HIGH__RANGE_MID,2023-03-10 19:30:00+00:00,2023-03-11 00:30:00+00:00,7.98613326527573,7.23613326527573
2,1185,150,300,RV_HIGH__RANGE_MID,2023-03-10 19:45:00+00:00,2023-03-11 00:45:00+00:00,4.719047148084875,3.969047148084875
2,1140,150,300,RV_HIGH__RANGE_MID,2023-03-17 19:00:00+00:00,2023-03-18 00:00:00+00:00,16.366522366522375,15.616522366522375
2,1155,150,300,RV_HIGH__RANGE_MID,2023-04-20 19:15:00+00:00,2023-04-21 00:15:00+00:00,4.4044745516364365,3.6544745516364365
2,1170,150,300,RV_HIGH__RANGE_MID,2023-06-06 19:30:00+00:00,2023-06-07 00:30:00+00:00,1.0714038847031102,0.3214038847031102
2,1185,150,300,RV_HIGH__RANGE_MID,2023-06-06 19:45:00+00:00,2023-06-07 00:45:00+00:00,3.0238396646915837,2.2738396646915837
2,1170,150,300,RV_HIGH__RANGE_MID,2023-06-12 19:30:00+00:00,2023-06-13 00:30:00+00:00,4.178571015465064,3.4285710154650637
2,1170,150,300,RV_HIGH__RANGE_MID,2023-06-21 19:30:00+00:00,2023-06-22 00:30:00+00:00,9.783788697972629,9.033788697972629
2,1185,150,300,RV_HIGH__RANGE_MID,2023-06-21 19:45:00+00:00,2023-06-22 00:45:00+00:00,10.835748380497801,10.085748380497801
2,1170,150,300,RV_HIGH__RANGE_MID,2023-06-28 19:30:00+00:00,2023-06-29 00:30:00+00:00,0.8547895524507907,0.10478955245079069
2,1155,150,300,RV_HIGH__RANGE_MID,2023-08-08 19:15:00+00:00,2023-08-09 00:15:00+00:00,-1.122448979591854,-1.872448979591854
2,1170,150,300,RV_HIGH__RANGE_MID,2023-08-08 19:30:00+00:00,2023-08-09 00:30:00+00:00,-0.9777691820047759,-1.727769182004776
2,1185,150,300,RV_HIGH__RANGE_MID,2023-08-08 19:45:00+00:00,2023-08-09 00:45:00+00:00,-1.1858536532897574,-1.9358536532897574
2,1140,150,300,RV_HIGH__RANGE_MID,2023-08-17 19:00:00+00:00,2023-08-18 00:00:00+00:00,-15.506110214433928,-16.256110214433928
2,1170,150,300,RV_HIGH__RANGE_MID,2023-08-28 19:30:00+00:00,2023-08-29 00:30:00+00:00,2.8397849920558844,2.0897849920558844
2,1185,150,300,RV_HIGH__RANGE_MID,2023-08-28 19:45:00+00:00,2023-08-29 00:45:00+00:00,2.8426192227945037,2.0926192227945037
2,1155,150,300,RV_HIGH__RANGE_MID,2023-09-12 19:15:00+00:00,2023-09-13 00:15:00+00:00,-0.5360165506864175,-1.2860165506864174
2,1170,150,300,RV_HIGH__RANGE_MID,2023-10-04 19:30:00+00:00,2023-10-05 00:30:00+00:00,-1.1461908862663204,-1.8961908862663204
2,1185,150,300,RV_HIGH__RANGE_MID,2023-10-04 19:45:00+00:00,2023-10-05 00:45:00+00:00,2.436765924265315,1.6867659242653148
2,1140,150,300,RV_HIGH__RANGE_MID,2023-10-05 19:00:00+00:00,2023-10-06 00:00:00+00:00,-1.679377980663977,-2.4293779806639773
2,1155,150,300,RV_HIGH__RANGE_MID,2023-10-06 19:15:00+00:00,2023-10-07 00:15:00+00:00,-0.7373512401459118,-1.487351240145912
2,1140,150,300,RV_HIGH__RANGE_MID,2023-10-11 19:00:00+00:00,2023-10-12 00:00:00+00:00,2.7576421036410887,2.0076421036410887
2,1155,150,300,RV_HIGH__RANGE_MID,2023-10-11 19:15:00+00:00,2023-10-12 00:15:00+00:00,1.1964561801933635,0.4464561801933635
2,1170,150,300,RV_HIGH__RANGE_MID,2023-10-11 19:30:00+00:00,2023-10-12 00:30:00+00:00,1.2214043906442171,0.47140439064421713
2,1185,150,300,RV_HIGH__RANGE_MID,2023-10-11 19:45:00+00:00,2023-10-12 00:45:00+00:00,-0.7197973050788897,-1.4697973050788897
2,1155,150,300,RV_HIGH__RANGE_MID,2023-10-12 19:15:00+00:00,2023-10-13 00:15:00+00:00,3.5655459108972543,2.8155459108972543
2,1170,150,300,RV_HIGH__RANGE_MID,2023-10-12 19:30:00+00:00,2023-10-13 00:30:00+00:00,4.496967161681654,3.7469671616816536
2,1140,150,300,RV_HIGH__RANGE_MID,2023-10-25 19:00:00+00:00,2023-10-26 00:00:00+00:00,-1.0834478213762808,-1.8334478213762808
2,1155,150,300,RV_HIGH__RANGE_MID,2023-10-25 19:15:00+00:00,2023-10-26 00:15:00+00:00,-0.46399042949857017,-1.2139904294985702
2,1170,150,300,RV_HIGH__RANGE_MID,2023-10-25 19:30:00+00:00,2023-10-26 00:30:00+00:00,1.1657813810455893,0.41578138104558926
2,1140,150,300,RV_HIGH__RANGE_MID,2023-11-06 19:00:00+00:00,2023-11-07 00:00:00+00:00,2.088382678304604,1.3383826783046038
2,1155,150,300,RV_HIGH__RANGE_MID,2023-11-24 19:15:00+00:00,2023-11-25 00:15:00+00:00,-0.991550267287433,-1.741550267287433
2,1140,150,300,RV_HIGH__RANGE_MID,2023-11-28 19:00:00+00:00,2023-11-29 00:00:00+00:00,-2.139027034384904,-2.889027034384904
2,1155,150,300,RV_HIGH__RANGE_MID,2023-11-28 19:15:00+00:00,2023-11-29 00:15:00+00:00,-4.617872282569106,-5.367872282569106
2,1170,150,300,RV_HIGH__RANGE_MID,2023-11-28 19:30:00+00:00,2023-11-29 00:30:00+00:00,-3.639356520979053,-4.389356520979053
2,1185,150,300,RV_HIGH__RANGE_MID,2023-11-28 19:45:00+00:00,2023-11-29 00:45:00+00:00,-4.365100489259037,-5.115100489259037
2,1140,150,300,RV_HIGH__RANGE_MID,2023-12-07 19:00:00+00:00,2023-12-08 00:00:00+00:00,3.8778747365226383,3.1278747365226383
2,1155,150,300,RV_HIGH__RANGE_MID,2023-12-07 19:15:00+00:00,2023-12-08 00:15:00+00:00,4.014553290095341,3.264553290095341
2,1170,150,300,RV_HIGH__RANGE_MID,2023-12-07 19:30:00+00:00,2023-12-08 00:30:00+00:00,7.27970829629059,6.52970829629059
2,1140,150,300,RV_HIGH__RANGE_MID,2023-12-12 19:00:00+00:00,2023-12-13 00:00:00+00:00,2.7890790337882256,2.0390790337882256
2,1155,150,300,RV_HIGH__RANGE_MID,2023-12-12 19:15:00+00:00,2023-12-13 00:15:00+00:00,3.764723082686847,3.014723082686847
2,1170,150,300,RV_HIGH__RANGE_MID,2023-12-12 19:30:00+00:00,2023-12-13 00:30:00+00:00,6.422861343379592,5.672861343379592
2,1185,150,300,RV_HIGH__RANGE_MID,2023-12-12 19:45:00+00:00,2023-12-13 00:45:00+00:00,5.2746819845446415,4.5246819845446415
2,1155,150,300,RV_HIGH__RANGE_MID,2023-12-21 19:15:00+00:00,2023-12-22 00:15:00+00:00,0.3760761822894614,-0.3739238177105386
2,1185,150,300,RV_HIGH__RANGE_MID,2023-12-21 19:45:00+00:00,2023-12-22 00:45:00+00:00,4.841422609196274,4.091422609196274
2,1155,150,300,RV_HIGH__RANGE_MID,2023-12-27 19:15:00+00:00,2023-12-28 00:15:00+00:00,10.76986146934733,10.01986146934733
2,1170,150,300,RV_HIGH__RANGE_MID,2023-12-27 19:30:00+00:00,2023-12-28 00:30:00+00:00,10.097380506888976,9.347380506888976
2,1185,150,300,RV_HIGH__RANGE_MID,2023-12-27 19:45:00+00:00,2023-12-28 00:45:00+00:00,17.650767415409724,16.900767415409724
2,1140,150,300,RV_HIGH__RANGE_MID,2023-12-28 19:00:00+00:00,2023-12-29 00:00:00+00:00,-3.5614374410130156,-4.311437441013016
2,1155,150,300,RV_HIGH__RANGE_MID,2023-12-28 19:15:00+00:00,2023-12-29 00:15:00+00:00,-2.992977042601407,-3.742977042601407
2,1185,150,300,RV_HIGH__RANGE_MID,2023-12-28 19:45:00+00:00,2023-12-29 00:45:00+00:00,-1.7696763116486198,-2.51967631164862
2,1140,150,300,RV_HIGH__RANGE_MID,2024-01-10 19:00:00+00:00,2024-01-11 00:00:00+00:00,30.821088242660103,30.071088242660103
2,1155,150,300,RV_HIGH__RANGE_MID,2024-01-11 19:15:00+00:00,2024-01-12 00:15:00+00:00,2.5229155226505346,1.7729155226505346
2,1170,150,300,RV_HIGH__RANGE_MID,2024-01-11 19:30:00+00:00,2024-01-12 00:30:00+00:00,-0.030679434424685674,-0.7806794344246857
2,1185,150,300,RV_HIGH__RANGE_MID,2024-01-11 19:45:00+00:00,2024-01-12 00:45:00+00:00,-0.1724005823307862,-0.9224005823307861
2,1185,150,300,RV_HIGH__RANGE_MID,2024-01-18 19:45:00+00:00,2024-01-19 00:45:00+00:00,1.213257372871731,0.4632573728717311
2,1140,150,300,RV_HIGH__RANGE_MID,2024-01-22 19:00:00+00:00,2024-01-23 00:00:00+00:00,-11.28075176855666,-12.03075176855666
2,1155,150,300,RV_HIGH__RANGE_MID,2024-01-22 19:15:00+00:00,2024-01-23 00:15:00+00:00,-6.601669534187202,-7.351669534187202
2,1140,150,300,RV_HIGH__RANGE_MID,2024-01-24 19:00:00+00:00,2024-01-25 00:00:00+00:00,4.0943482203684445,3.3443482203684445
