role,partition,dev_block,execution_start,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,signal_ts,confirm_ts,reentry_ts,reentry_price,reentry_R,exit_ts,exit_price,exit_reason,floor_close_ts,recovery_pnl,recovery_pnl_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps,ref_width_pct,parent_mfe_R,parent_mae_R,parent_hold_min,exit_to_signal_min,signal_to_confirm_min,confirm_to_e20_min,confirm_close_R,confirm_body_R,running_mfe_R_to_confirm,running_mae_R_to_confirm,preconfirm_30m_return_R,preexit_60m_return_R,preexit_60m_range_R,preentry_30m_return_R,preentry_30m_range_R,preentry_60m_return_R,preentry_60m_range_R,last_completed_close_R_before_e20,lane,scope
CENTRAL,development,5,2024-11-28 15:00:00+00:00,238.9,234.03,4.8700000000000045,2024-11-29 02:05:00+00:00,2024-11-29 02:20:00+00:00,-0.6278777731268392,-0.8778777731268392,2024-11-29 02:25:00+00:00,2024-11-29 02:35:00+00:00,2024-11-29 02:40:00+00:00,239.874,0.2,2024-11-29 02:45:00+00:00,240.848,TARGET,,2.0302325387495657,1.7802325387495657,1.4023547656227264,0.9023547656227264,True,True,0.02038509836751781,0.11909650924024302,0.13141683778234378,15.0,5.0,10.0,5.0,0.31416837782340856,0.10061601642710649,0.3264887063655035,0.07392197125256947,0.35318275154004053,0.3305954825461979,0.585215605749485,0.225872689938397,0.45790554414784723,0.6427104722792593,0.7556468172484606,0.31416837782340856,G_MAE145,DEVELOPMENT_FROZEN
CENTRAL,development,5,2024-12-30 15:00:00+00:00,194.77,187.14,7.630000000000024,2024-12-30 19:00:00+00:00,2024-12-30 19:20:00+00:00,-0.3080556553884395,-0.5580556553884395,2024-12-30 19:35:00+00:00,2024-12-30 19:45:00+00:00,2024-12-30 20:00:00+00:00,196.29600000000002,0.2,2024-12-30 20:30:00+00:00,195.46,E10_FLOOR,2024-12-30 20:25:00+00:00,-2.129437176508986,-2.3794371765089863,-2.4374928318974254,-2.937492831897426,False,False,0.03917441084355919,0.07994757536041722,0.07339449541284411,20.0,15.0,10.0,15.0,0.13368283093053454,0.03800786369593593,0.17431192660550196,0.061598951507208045,0.1480996068152021,0.16775884665792884,0.2948885976408903,0.11402359108781152,0.2437745740498007,0.1795543905635649,0.260812581913496,0.17562254259501955,G_MAE145,DEVELOPMENT_FROZEN
CENTRAL,external,,2020-09-21 15:00:00+00:00,2.7324,2.4576,0.2748000000000004,2020-09-21 18:10:00+00:00,2020-09-21 18:40:00+00:00,-0.27448397013613013,-0.5244839701361301,2020-09-21 18:50:00+00:00,2020-09-21 19:00:00+00:00,2020-09-21 19:05:00+00:00,2.78736,0.2,2020-09-21 20:10:00+00:00,2.8423200000000004,TARGET,,9.85879111417265,9.608791114172648,9.58430714403652,9.084307144036519,True,True,0.10057092665788331,0.09425036390101892,0.02729257641921497,30.0,10.0,10.0,5.0,0.24999999999999878,0.09679767103347779,0.25254730713245926,0.02729257641921497,0.2416302765647733,0.05494905385735033,0.19359534206695883,0.25982532751091714,0.2798398835516743,0.2583697234352243,0.2922125181950515,0.24999999999999878,G_MAE145,OOS
CENTRAL,external,,2021-02-01 15:00:00+00:00,4.409,4.1463,0.2626999999999997,2021-02-01 18:05:00+00:00,2021-02-01 22:55:00+00:00,-0.06804264005438876,-0.31804264005438876,2021-02-01 23:05:00+00:00,2021-02-01 23:15:00+00:00,2021-02-01 23:20:00+00:00,4.461539999999999,0.2,2021-02-01 23:25:00+00:00,4.51408,TARGET,,5.8881014178960855,5.6381014178960855,5.820058777841696,5.320058777841696,True,True,0.05958267180766608,0.3486867148839005,0.14312904453749317,290.0,10.0,10.0,5.0,0.2683669585078039,0.16292348686714797,0.2752188808526849,0.01370384468975869,0.2615150361629229,-0.11191473163304112,0.13170917396269594,0.2721735820327352,0.28892272554244364,0.19109250095165703,0.28892272554244364,0.2683669585078039,G_MAE145,OOS
CENTRAL,external,,2021-02-10 15:00:00+00:00,8.4551,7.2879,1.1672000000000002,2021-02-10 20:05:00+00:00,2021-02-10 20:35:00+00:00,-0.4612600678879919,-0.7112600678879919,2021-02-10 20:45:00+00:00,2021-02-10 20:55:00+00:00,2021-02-10 21:00:00+00:00,8.68854,0.2,2021-02-10 22:20:00+00:00,8.92198,TARGET,,13.43378749479196,13.183787494791959,12.97252742690397,12.472527426903968,True,True,0.13804685929202495,0.1936257710760802,0.10083961617546199,30.0,10.0,10.0,5.0,0.29249485949280335,0.06922549691569566,0.3599211788896501,0.026130911583276187,0.2560829335161066,0.21444482522275468,0.4096127484578489,0.29952021932830747,0.3860520904729263,0.394362577107608,0.4708704592186427,0.29249485949280335,G_MAE145,OOS
CENTRAL,external,,2021-05-20 15:00:00+00:00,45.001,39.334,5.6669999999999945,2021-05-20 15:10:00+00:00,2021-05-20 15:20:00+00:00,-0.9666451856624736,-1.2166451856624736,2021-05-20 15:40:00+00:00,2021-05-20 15:50:00+00:00,2021-05-20 15:55:00+00:00,46.1344,0.2,2021-05-20 16:05:00+00:00,44.427,E10_FLOOR,2021-05-20 16:00:00+00:00,-18.504629950752584,-18.754629950752584,-19.47127513641506,-19.97127513641506,False,False,0.12593053487700262,0.04764425622022294,0.13058055408505304,10.0,20.0,10.0,5.0,0.13675666137286155,0.02311628727721905,0.2203988000705847,0.12528674783836272,0.16463737427210176,0.18281277571907575,0.3553908593612149,0.13128639491794736,0.34568554790894745,0.38344803246867903,0.5094406211399335,0.13675666137286155,G_MAE145,OOS
CENTRAL,external,,2021-06-20 15:00:00+00:00,35.123,31.241,3.881999999999998,2021-06-20 19:35:00+00:00,2021-06-20 19:50:00+00:00,-0.15659254619476703,-0.40659254619476703,2021-06-20 20:10:00+00:00,2021-06-20 20:20:00+00:00,2021-06-20 20:30:00+00:00,35.8994,0.2,2021-06-20 20:40:00+00:00,35.496,E10_FLOOR,2021-06-20 20:35:00+00:00,-5.618478303258511,-5.868478303258512,-5.775070849453279,-6.275070849453279,False,False,0.11052586624149413,0.08088614116434834,0.12879958784131898,15.0,20.0,10.0,10.0,0.16950025759917609,0.02344152498712033,0.2053065430190635,0.056671818650180054,0.20607934054610963,0.1970633693972182,0.3570324574961351,0.19319938176197846,0.2542503863987641,0.26764554353426123,0.3657908294693463,0.16306027820711053,G_MAE145,OOS
CENTRAL,external,,2021-06-22 15:00:00+00:00,25.162,20.098,5.064,2021-06-22 15:25:00+00:00,2021-06-22 15:40:00+00:00,-4.51077020904539,-4.76077020904539,2021-06-22 15:50:00+00:00,2021-06-22 16:00:00+00:00,2021-06-22 16:05:00+00:00,26.174799999999998,0.2,2021-06-22 16:15:00+00:00,27.1876,TARGET,,19.34685269801495,19.09685269801495,14.83608248896956,14.33608248896956,True,True,0.20125586201414833,0.24960505529225896,0.07089257503949412,15.0,10.0,10.0,5.0,0.24960505529225896,0.16034755134281153,0.32247235387045864,0.08827014218009463,0.02586887835702936,0.32563191153238497,0.7105055292259082,0.294431279620853,0.4107424960505533,0.3033175355450233,0.5631911532385466,0.24960505529225896,G_MAE145,OOS
CENTRAL,external,,2021-07-22 15:00:00+00:00,27.558,26.299,1.2590000000000003,2021-07-22 15:40:00+00:00,2021-07-22 15:50:00+00:00,-0.07257420712680762,-0.3225742071268076,2021-07-22 15:55:00+00:00,2021-07-22 16:05:00+00:00,2021-07-22 16:10:00+00:00,27.8098,0.2,2021-07-22 17:35:00+00:00,28.0616,TARGET,,4.527181065667518,4.277181065667518,4.454606858540711,3.9546068585407106,True,True,0.04568546338631252,0.09928514694201744,0.12787926926131957,10.0,5.0,10.0,5.0,0.2589356632247819,-0.042096902303416055,0.39714058776806976,0.04606830818109596,0.3343923749007143,0.4567116759332797,0.5607625099285142,0.19618745035742638,0.5250198570293894,0.49086576648133595,0.6783161239078626,0.2589356632247819,G_MAE145,OOS
CENTRAL,external,,2021-07-25 15:00:00+00:00,28.444,26.526,1.9179999999999993,2021-07-26 00:20:00+00:00,2021-07-26 00:30:00+00:00,-0.33398959358738045,-0.5839895935873805,2021-07-26 00:35:00+00:00,2021-07-26 00:45:00+00:00,2021-07-26 00:50:00+00:00,28.8276,0.2,2021-07-26 00:55:00+00:00,29.211199999999998,TARGET,,6.653346098877466,6.403346098877466,6.319356505290086,5.819356505290086,True,True,0.06743074110532975,0.09906152241918736,0.06517205422314915,10.0,5.0,10.0,5.0,0.29197080291970934,0.13138686131386995,0.31074035453597515,0.011991657977059278,0.33263816475495406,0.35766423357664245,0.42231491136600574,0.2825860271115755,0.3759124087591243,0.49530761209593493,0.540145985401459,0.29197080291970934,G_MAE145,OOS
