partition,mode,depth,depth_name,opportunities,n,exec_rate,wr,pf,exp,net,max_ls,median_actual_f,median_mae_r,median_mfe_r,tp_rate
external,BLIND_NEXT_OPEN,0.775,F77.5,120,45,0.375,0.7555555555555555,1.6897649182098007,1.24872856941705,56.19278562376725,2,0.7735547109421842,0.17329675354366542,0.3427230046948343,0.6666666666666666
external,BLIND_NEXT_OPEN,0.8,F80,120,45,0.375,0.7555555555555555,1.5999701298502125,1.1103305051558745,49.96487273201435,2,0.7868283582089548,0.17329675354366542,0.3427230046948343,0.6666666666666666
external,SAME_BAR_REJECTION_NEXT_OPEN,0.65,F65,120,15,0.125,0.8,1.2618874011604062,0.7306911183197747,10.96036677479662,1,0.6839866863905336,0.2990654205607466,0.4070796460176952,0.6666666666666666
external,SAME_BAR_REJECTION_NEXT_OPEN,0.675,F67.5,120,13,0.10833333333333334,0.8461538461538461,5.666880779117166,4.472552938071919,58.14318819493495,1,0.7192812044681896,0.2531434911242575,0.4070796460176952,0.8461538461538461
external,SAME_BAR_REJECTION_NEXT_OPEN,0.7,F70,120,17,0.14166666666666666,0.7647058823529411,3.8949339251029578,2.8637266351199657,48.68335279703942,1,0.7419446704637908,0.17329675354366542,0.36811023622047034,0.7058823529411765
external,SAME_BAR_REJECTION_NEXT_OPEN,0.725,F72.5,120,19,0.15833333333333333,0.8421052631578947,2.0210248859140623,1.8757009299820624,35.63831766965919,2,0.7994505494505517,0.09848484848484884,0.35798567214495924,0.7894736842105263
external,SAME_BAR_REJECTION_NEXT_OPEN,0.75,F75,120,23,0.19166666666666668,0.7391304347826086,1.3379078931289614,0.6421734488708912,14.769989324030497,2,0.7977941176470557,0.19779850746268737,0.34109221128021455,0.6956521739130435
external,SAME_BAR_REJECTION_NEXT_OPEN,0.775,F77.5,120,21,0.175,0.7619047619047619,1.6225823475220869,1.1609940511942007,24.380875075078215,2,0.8057296329453882,0.17329675354366542,0.3141592920353949,0.6666666666666666
external,SAME_BAR_REJECTION_NEXT_OPEN,0.8,F80,120,17,0.14166666666666666,0.8823529411764706,2.5791830897979278,1.562082953725284,26.55541021332983,2,0.8113905325443818,0.14592658907788658,0.3141592920353949,0.7058823529411765
external,EARLY_RECLAIM_NEXT_OPEN,0.65,F65,120,28,0.23333333333333334,0.6785714285714286,0.9874010649438821,-0.035561714520777755,-0.9957280065817771,3,0.6783093762232811,0.27043513989857876,0.33617042707494127,0.5714285714285714
external,EARLY_RECLAIM_NEXT_OPEN,0.675,F67.5,120,31,0.25833333333333336,0.6774193548387096,1.145823710224968,0.39753483227541997,12.323579800538019,2,0.7172472750587725,0.2628872605733421,0.3288445890968262,0.6129032258064516
external,EARLY_RECLAIM_NEXT_OPEN,0.7,F70,120,37,0.30833333333333335,0.7027027027027027,1.2538708487002204,0.6128642977535314,22.67597901688066,2,0.7330887045309509,0.17329675354366542,0.3607248209018094,0.6486486486486487
external,EARLY_RECLAIM_NEXT_OPEN,0.725,F72.5,120,38,0.31666666666666665,0.7105263157894737,1.250355999276911,0.586651425372222,22.292754164144437,2,0.7702427124234051,0.1960236004530559,0.35660331854138866,0.6842105263157895
external,EARLY_RECLAIM_NEXT_OPEN,0.75,F75,120,40,0.3333333333333333,0.725,1.2116646147944852,0.5004729391637559,20.018917566550236,2,0.7849046967782152,0.21720760490907276,0.3419076079875244,0.7
external,EARLY_RECLAIM_NEXT_OPEN,0.775,F77.5,120,42,0.35,0.7619047619047619,1.3157321524133898,0.6295106056257829,26.43944543628288,2,0.8071415774858677,0.15417332999433447,0.29406342182890655,0.6904761904761905
external,EARLY_RECLAIM_NEXT_OPEN,0.8,F80,120,41,0.3416666666666667,0.7804878048780488,1.2899814126633247,0.5700144787139263,23.370593627270978,2,0.8307174887892379,0.14592658907788658,0.29646017699114613,0.7073170731707317
external,NEXT_BAR_CONFIRM_NEXT_OPEN,0.65,F65,120,14,0.11666666666666667,0.8571428571428571,1.953158261405353,1.7567188124337687,24.59406337407276,1,0.7000470395195317,0.2109232589713082,0.35660331854138866,0.7857142857142857
external,NEXT_BAR_CONFIRM_NEXT_OPEN,0.675,F67.5,120,15,0.125,0.8,1.498287253619557,1.4340845872964547,21.511268809446822,1,0.7248982912937336,0.2628872605733421,0.388649308380798,0.8
external,NEXT_BAR_CONFIRM_NEXT_OPEN,0.7,F70,120,18,0.15,0.8333333333333334,2.9937955041643014,2.4270119924448945,43.6862158640081,1,0.7703042611943647,0.12851695912368072,0.34946166462715134,0.8333333333333334
external,NEXT_BAR_CONFIRM_NEXT_OPEN,0.725,F72.5,120,19,0.15833333333333333,0.8421052631578947,2.1157646239821615,1.9806885839968034,37.63308309593926,2,0.7847030105777054,0.10379918588873621,0.35334690185436435,0.8421052631578947
external,NEXT_BAR_CONFIRM_NEXT_OPEN,0.75,F75,120,24,0.2,0.8333333333333334,2.124792566791683,1.772882563365469,42.549181520771256,2,0.802413018343791,0.12257772092908432,0.3460069512371619,0.8333333333333334
external,NEXT_BAR_CONFIRM_NEXT_OPEN,0.775,F77.5,120,19,0.15833333333333333,0.8421052631578947,1.2690623669183265,0.5019919203792025,9.537846487204847,1,0.8285575522098119,0.1199641897940889,0.3322000971345306,0.7368421052631579
external,NEXT_BAR_CONFIRM_NEXT_OPEN,0.8,F80,120,15,0.125,0.8,0.756120485120842,-0.763217592767177,-11.448263891507656,2,0.8307174887892379,0.1451748841129344,0.3322000971345306,0.8
development,BLIND_LIMIT,0.65,F65,173,52,0.30057803468208094,0.5961538461538461,1.142491059157954,0.35991938270797613,18.71580790081476,3,0.65,0.4041213547666555,0.4556659735327814,0.5384615384615384
development,BLIND_LIMIT,0.675,F67.5,173,57,0.32947976878612717,0.631578947368421,1.1703168179752252,0.40770478192743953,23.239172569864053,3,0.675,0.3919465648854981,0.43165998998498534,0.5789473684210527
