family,variant,parameter,scope,year,horizon_min,events,resolved,win_rate,mean_close_r,median_close_r,mean_mfe,mean_mae,median_mfe_mae_ratio
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,ALL,ALL,120,2834,2575,0.5184466019417475,0.038842777479506485,0.007962460392281526,1.5914414524460765,1.4850307361277248,1.017535787321052
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,ALL,ALL,240,2834,2781,0.5127651923768428,-0.014152730340119615,-0.07557979827249041,2.249901250462525,2.153558364036047,1.027440713172926
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,ALL,ALL,480,2834,2826,0.5120311394196745,-0.029570338710330466,-0.06056782334386867,3.284174699926663,3.2323553450125098,1.0032432432432357
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,ALL,ALL,60,2952,2110,0.524170616113744,0.02296451978784166,-0.012739635840564228,1.0857049586427383,0.9890173659609619,1.0450233565593985
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,ALL,ALL,120,2952,2692,0.5219167904903418,0.07266114198362221,-0.009504570371494598,1.594817304951029,1.4432814605958932,1.0242465168148733
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,ALL,ALL,240,2952,2914,0.5185312285518188,0.06782434067931391,0.048653229301724374,2.266838180393717,2.077414408780276,1.0545555362069032
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,ALL,ALL,480,2952,2946,0.5173116089613035,0.06470666374169089,-0.013915060153637764,3.3163392772947167,3.128186612955932,1.0750436300174506
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,ALL,ALL,60,2674,1872,0.5186965811965812,0.05117309291680611,0.004655457182920749,1.0636909688860399,0.9728494518885789,1.0637308769661478
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,ALL,ALL,120,2674,2411,0.5209456656988801,0.08798245245520825,0.01840903881788024,1.5628321740504152,1.3825351024848698,1.0920900470279817
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,ALL,ALL,240,2674,2627,0.5199847735059002,0.09385253151474315,-0.037904711766255685,2.2778085161213104,2.0195380793374023,1.0769230769230662
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,ALL,ALL,480,2674,2669,0.5192956163357063,0.13848860611679778,0.0,3.2740545539539445,2.9908684394347778,1.0765027322404401
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,ALL,ALL,60,2772,1989,0.4751131221719457,-0.04413011741665823,0.05370793145232387,1.0026213843134455,1.154566298524204,0.9562020460358043
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,ALL,ALL,120,2772,2500,0.478,-0.03221227037016697,0.03860918481158955,1.461074525804003,1.6364158976822845,0.9356129014378616
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,ALL,ALL,240,2772,2737,0.47972232371209356,-0.07187414811181664,0.002814734910215432,2.0780618857675686,2.352257050878834,0.8774475760557149
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,ALL,ALL,480,2772,2766,0.4790310918293565,-0.10683968216187134,0.0,3.0473923471114834,3.3630659833984478,0.9231450719822862
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,ALL,ALL,60,2220,1646,0.47448359659781286,-0.034567971175637875,0.07803727269989569,1.0351973579446483,1.206761218141399,0.9604139040455626
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,ALL,ALL,120,2220,2024,0.47677865612648224,-0.026759391677446145,0.06637467330005048,1.4774587433226147,1.7041663796503677,0.9336717428088062
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,ALL,ALL,240,2220,2185,0.480091533180778,-0.07672467361428083,0.030001005041412357,2.111324806270481,2.414401090920381,0.8997607655502323
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,ALL,ALL,480,2220,2216,0.4796931407942238,-0.10160509437865588,0.05536554522342946,3.1043389829709636,3.4453193450544006,0.9193023255813959
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,ALL,ALL,60,3206,2267,0.478606087340097,-0.02456965716059422,0.04157747136688533,0.9910062789094641,1.1156317072742925,0.9566559312936095
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,ALL,ALL,120,3206,2884,0.481622746185853,-0.015328452112978614,0.05657426531745552,1.4514353429506925,1.5852921555529145,0.9716602440590743
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,ALL,ALL,240,3206,3159,0.48306426084203863,-0.024628157352382826,0.0016184939719070897,2.0819843217868272,2.244468438316254,0.9407940704635505
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,ALL,ALL,480,3206,3202,0.4825109306683323,-0.034692120528578736,0.02205056606065728,3.0807708528221815,3.2715904794612625,0.9562020460358069
