partition,date_utc,signal_ts,window_status,entry_name,entry_fraction,planned_entry_px,H,L,range,eligible_start,h2_bar_start,opposite_break_bar_start,session_end,filled,fill_bar_start,entry_px,h2_after_fill,minutes_fill_to_h2,terminal
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,F15,0.15,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46896.733,True,35.0,H2_ARRIVAL
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,F20,0.2,46936.644,47575.22,46777.0,798.2200000000012,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46936.644,True,35.0,H2_ARRIVAL
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,F25,0.25,46976.555,47575.22,46777.0,798.2200000000012,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46976.555,True,35.0,H2_ARRIVAL
development,2022-01-07,2022-01-07 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F05,0.05,41669.862,42960.0,41601.96,1358.0400000000009,,,,2022-01-07 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-07,2022-01-07 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F10,0.1,41737.763999999996,42960.0,41601.96,1358.0400000000009,,,,2022-01-07 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-07,2022-01-07 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F15,0.15,41805.666,42960.0,41601.96,1358.0400000000009,,,,2022-01-07 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-07,2022-01-07 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F20,0.2,41873.568,42960.0,41601.96,1358.0400000000009,,,,2022-01-07 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-07,2022-01-07 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F25,0.25,41941.47,42960.0,41601.96,1358.0400000000009,,,,2022-01-07 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-10,2022-01-10 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F05,0.05,40794.778000000006,42098.52,40726.16,1372.3599999999933,,,,2022-01-10 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-10,2022-01-10 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F10,0.1,40863.396,42098.52,40726.16,1372.3599999999933,,,,2022-01-10 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-10,2022-01-10 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F15,0.15,40932.014,42098.52,40726.16,1372.3599999999933,,,,2022-01-10 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-10,2022-01-10 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F20,0.2,41000.632000000005,42098.52,40726.16,1372.3599999999933,,,,2022-01-10 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-10,2022-01-10 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F25,0.25,41069.25,42098.52,40726.16,1372.3599999999933,,,,2022-01-10 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,F05,0.05,42443.3815,42887.63,42420.0,467.6299999999974,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,,2022-01-17 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,F10,0.1,42466.763,42887.63,42420.0,467.6299999999974,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,,2022-01-17 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,F15,0.15,42490.1445,42887.63,42420.0,467.6299999999974,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,,2022-01-17 20:00:00+00:00,True,2022-01-17 15:30:00+00:00,42490.1445,True,25.0,H2_ARRIVAL
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,F20,0.2,42513.526,42887.63,42420.0,467.6299999999974,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,,2022-01-17 20:00:00+00:00,True,2022-01-17 15:30:00+00:00,42513.526,True,25.0,H2_ARRIVAL
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,F25,0.25,42536.9075,42887.63,42420.0,467.6299999999974,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,,2022-01-17 20:00:00+00:00,True,2022-01-17 15:20:00+00:00,42536.9075,True,35.0,H2_ARRIVAL
development,2022-01-18,2022-01-18 14:30:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F05,0.05,41412.4205,42040.0,41379.39,660.6100000000006,,,,2022-01-18 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-18,2022-01-18 14:30:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F10,0.1,41445.451,42040.0,41379.39,660.6100000000006,,,,2022-01-18 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-18,2022-01-18 14:30:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F15,0.15,41478.4815,42040.0,41379.39,660.6100000000006,,,,2022-01-18 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-18,2022-01-18 14:30:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F20,0.2,41511.512,42040.0,41379.39,660.6100000000006,,,,2022-01-18 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-01-18,2022-01-18 14:30:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F25,0.25,41544.542499999996,42040.0,41379.39,660.6100000000006,,,,2022-01-18 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-02-08,2022-02-08 15:10:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F05,0.05,43212.710999999996,44910.0,43123.38,1786.6200000000026,,,,2022-02-08 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-02-08,2022-02-08 15:10:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F10,0.1,43302.042,44910.0,43123.38,1786.6200000000026,,,,2022-02-08 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-02-08,2022-02-08 15:10:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F15,0.15,43391.373,44910.0,43123.38,1786.6200000000026,,,,2022-02-08 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-02-08,2022-02-08 15:10:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F20,0.2,43480.704,44910.0,43123.38,1786.6200000000026,,,,2022-02-08 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-02-08,2022-02-08 15:10:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F25,0.25,43570.034999999996,44910.0,43123.38,1786.6200000000026,,,,2022-02-08 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-02-23,2022-02-23 17:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F05,0.05,38112.66,39250.0,38052.8,1197.199999999997,,,,2022-02-23 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-02-23,2022-02-23 17:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F10,0.1,38172.520000000004,39250.0,38052.8,1197.199999999997,,,,2022-02-23 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-02-23,2022-02-23 17:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F15,0.15,38232.380000000005,39250.0,38052.8,1197.199999999997,,,,2022-02-23 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-02-23,2022-02-23 17:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F20,0.2,38292.240000000005,39250.0,38052.8,1197.199999999997,,,,2022-02-23 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-02-23,2022-02-23 17:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F25,0.25,38352.100000000006,39250.0,38052.8,1197.199999999997,,,,2022-02-23 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-03-02,2022-03-02 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F05,0.05,43542.225,44344.5,43500.0,844.5,,,,2022-03-02 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-03-02,2022-03-02 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F10,0.1,43584.45,44344.5,43500.0,844.5,,,,2022-03-02 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-03-02,2022-03-02 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F15,0.15,43626.675,44344.5,43500.0,844.5,,,,2022-03-02 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-03-02,2022-03-02 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F20,0.2,43668.9,44344.5,43500.0,844.5,,,,2022-03-02 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-03-02,2022-03-02 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F25,0.25,43711.125,44344.5,43500.0,844.5,,,,2022-03-02 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-03-14,2022-03-14 13:35:00+00:00,H2_ARRIVAL,F05,0.05,38662.87,39287.4,38630.0,657.4000000000015,2022-03-14 13:45:00+00:00,2022-03-14 17:30:00+00:00,,2022-03-14 20:00:00+00:00,True,2022-03-14 17:05:00+00:00,38662.87,True,25.0,H2_ARRIVAL
development,2022-03-14,2022-03-14 13:35:00+00:00,H2_ARRIVAL,F10,0.1,38695.74,39287.4,38630.0,657.4000000000015,2022-03-14 13:45:00+00:00,2022-03-14 17:30:00+00:00,,2022-03-14 20:00:00+00:00,True,2022-03-14 17:00:00+00:00,38695.74,True,30.0,H2_ARRIVAL
development,2022-03-14,2022-03-14 13:35:00+00:00,H2_ARRIVAL,F15,0.15,38728.61,39287.4,38630.0,657.4000000000015,2022-03-14 13:45:00+00:00,2022-03-14 17:30:00+00:00,,2022-03-14 20:00:00+00:00,True,2022-03-14 14:50:00+00:00,38728.61,True,160.0,H2_ARRIVAL
development,2022-03-14,2022-03-14 13:35:00+00:00,H2_ARRIVAL,F20,0.2,38761.48,39287.4,38630.0,657.4000000000015,2022-03-14 13:45:00+00:00,2022-03-14 17:30:00+00:00,,2022-03-14 20:00:00+00:00,True,2022-03-14 13:45:00+00:00,38761.48,True,225.0,H2_ARRIVAL
development,2022-03-14,2022-03-14 13:35:00+00:00,H2_ARRIVAL,F25,0.25,38794.35,39287.4,38630.0,657.4000000000015,2022-03-14 13:45:00+00:00,2022-03-14 17:30:00+00:00,,2022-03-14 20:00:00+00:00,True,2022-03-14 13:45:00+00:00,38794.35,True,225.0,H2_ARRIVAL
development,2022-03-24,2022-03-24 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F05,0.05,42745.285,43206.7,42721.0,485.6999999999971,2022-03-24 13:40:00+00:00,,2022-03-24 14:45:00+00:00,2022-03-24 20:00:00+00:00,False,,,False,,OPPOSITE_BREAK_BEFORE_H2
development,2022-03-24,2022-03-24 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F10,0.1,42769.57,43206.7,42721.0,485.6999999999971,2022-03-24 13:40:00+00:00,,2022-03-24 14:45:00+00:00,2022-03-24 20:00:00+00:00,False,,,False,,OPPOSITE_BREAK_BEFORE_H2
development,2022-03-24,2022-03-24 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F15,0.15,42793.854999999996,43206.7,42721.0,485.6999999999971,2022-03-24 13:40:00+00:00,,2022-03-24 14:45:00+00:00,2022-03-24 20:00:00+00:00,True,2022-03-24 13:50:00+00:00,42793.854999999996,False,,OPPOSITE_BREAK_BEFORE_H2
development,2022-03-24,2022-03-24 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F20,0.2,42818.14,43206.7,42721.0,485.6999999999971,2022-03-24 13:40:00+00:00,,2022-03-24 14:45:00+00:00,2022-03-24 20:00:00+00:00,True,2022-03-24 13:50:00+00:00,42818.14,False,,OPPOSITE_BREAK_BEFORE_H2
development,2022-03-24,2022-03-24 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,F25,0.25,42842.425,43206.7,42721.0,485.6999999999971,2022-03-24 13:40:00+00:00,,2022-03-24 14:45:00+00:00,2022-03-24 20:00:00+00:00,True,2022-03-24 13:40:00+00:00,42842.425,False,,OPPOSITE_BREAK_BEFORE_H2
development,2022-03-29,2022-03-29 15:50:00+00:00,H2_ARRIVAL,F05,0.05,47359.0,48100.0,47320.0,780.0,2022-03-29 16:00:00+00:00,2022-03-29 16:00:00+00:00,,2022-03-29 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-03-29,2022-03-29 15:50:00+00:00,H2_ARRIVAL,F10,0.1,47398.0,48100.0,47320.0,780.0,2022-03-29 16:00:00+00:00,2022-03-29 16:00:00+00:00,,2022-03-29 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-03-29,2022-03-29 15:50:00+00:00,H2_ARRIVAL,F15,0.15,47437.0,48100.0,47320.0,780.0,2022-03-29 16:00:00+00:00,2022-03-29 16:00:00+00:00,,2022-03-29 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-03-29,2022-03-29 15:50:00+00:00,H2_ARRIVAL,F20,0.2,47476.0,48100.0,47320.0,780.0,2022-03-29 16:00:00+00:00,2022-03-29 16:00:00+00:00,,2022-03-29 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-03-29,2022-03-29 15:50:00+00:00,H2_ARRIVAL,F25,0.25,47515.0,48100.0,47320.0,780.0,2022-03-29 16:00:00+00:00,2022-03-29 16:00:00+00:00,,2022-03-29 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-03-31,2022-03-31 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F05,0.05,47078.47,47619.4,47050.0,569.4000000000015,,,,2022-03-31 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-03-31,2022-03-31 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F10,0.1,47106.94,47619.4,47050.0,569.4000000000015,,,,2022-03-31 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-03-31,2022-03-31 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F15,0.15,47135.41,47619.4,47050.0,569.4000000000015,,,,2022-03-31 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-03-31,2022-03-31 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F20,0.2,47163.88,47619.4,47050.0,569.4000000000015,,,,2022-03-31 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-03-31,2022-03-31 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F25,0.25,47192.35,47619.4,47050.0,569.4000000000015,,,,2022-03-31 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-08,2022-04-08 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F05,0.05,42907.14,43968.1,42851.3,1116.7999999999956,,,,2022-04-08 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-08,2022-04-08 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F10,0.1,42962.98,43968.1,42851.3,1116.7999999999956,,,,2022-04-08 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-08,2022-04-08 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F15,0.15,43018.82,43968.1,42851.3,1116.7999999999956,,,,2022-04-08 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-08,2022-04-08 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F20,0.2,43074.66,43968.1,42851.3,1116.7999999999956,,,,2022-04-08 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-08,2022-04-08 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F25,0.25,43130.5,43968.1,42851.3,1116.7999999999956,,,,2022-04-08 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-12,2022-04-12 14:20:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F05,0.05,40051.72,40700.0,40017.6,682.4000000000015,,,,2022-04-12 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-12,2022-04-12 14:20:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F10,0.1,40085.84,40700.0,40017.6,682.4000000000015,,,,2022-04-12 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-12,2022-04-12 14:20:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F15,0.15,40119.96,40700.0,40017.6,682.4000000000015,,,,2022-04-12 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-12,2022-04-12 14:20:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F20,0.2,40154.08,40700.0,40017.6,682.4000000000015,,,,2022-04-12 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-12,2022-04-12 14:20:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F25,0.25,40188.2,40700.0,40017.6,682.4000000000015,,,,2022-04-12 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-15,2022-04-15 14:00:00+00:00,H2_ARRIVAL,F05,0.05,40025.32,40400.0,40005.6,394.40000000000146,2022-04-15 14:10:00+00:00,2022-04-15 14:25:00+00:00,,2022-04-15 20:00:00+00:00,True,2022-04-15 14:20:00+00:00,40025.32,True,5.0,H2_ARRIVAL
development,2022-04-15,2022-04-15 14:00:00+00:00,H2_ARRIVAL,F10,0.1,40045.04,40400.0,40005.6,394.40000000000146,2022-04-15 14:10:00+00:00,2022-04-15 14:25:00+00:00,,2022-04-15 20:00:00+00:00,True,2022-04-15 14:20:00+00:00,40045.04,True,5.0,H2_ARRIVAL
development,2022-04-15,2022-04-15 14:00:00+00:00,H2_ARRIVAL,F15,0.15,40064.76,40400.0,40005.6,394.40000000000146,2022-04-15 14:10:00+00:00,2022-04-15 14:25:00+00:00,,2022-04-15 20:00:00+00:00,True,2022-04-15 14:10:00+00:00,40064.76,True,15.0,H2_ARRIVAL
development,2022-04-15,2022-04-15 14:00:00+00:00,H2_ARRIVAL,F20,0.2,40084.479999999996,40400.0,40005.6,394.40000000000146,2022-04-15 14:10:00+00:00,2022-04-15 14:25:00+00:00,,2022-04-15 20:00:00+00:00,True,2022-04-15 14:10:00+00:00,40084.479999999996,True,15.0,H2_ARRIVAL
development,2022-04-15,2022-04-15 14:00:00+00:00,H2_ARRIVAL,F25,0.25,40104.2,40400.0,40005.6,394.40000000000146,2022-04-15 14:10:00+00:00,2022-04-15 14:25:00+00:00,,2022-04-15 20:00:00+00:00,True,2022-04-15 14:10:00+00:00,40104.2,True,15.0,H2_ARRIVAL
development,2022-04-26,2022-04-26 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F05,0.05,40108.445,40799.0,40072.1,726.9000000000015,,,,2022-04-26 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-26,2022-04-26 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F10,0.1,40144.79,40799.0,40072.1,726.9000000000015,,,,2022-04-26 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-26,2022-04-26 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F15,0.15,40181.135,40799.0,40072.1,726.9000000000015,,,,2022-04-26 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-26,2022-04-26 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F20,0.2,40217.479999999996,40799.0,40072.1,726.9000000000015,,,,2022-04-26 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-04-26,2022-04-26 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,F25,0.25,40253.825,40799.0,40072.1,726.9000000000015,,,,2022-04-26 20:00:00+00:00,False,,,False,,NO_CLEAN_WINDOW
development,2022-05-02,2022-05-02 13:40:00+00:00,H2_ARRIVAL,F05,0.05,38444.1,39073.0,38411.0,662.0,2022-05-02 13:45:00+00:00,2022-05-02 17:00:00+00:00,,2022-05-02 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-05-02,2022-05-02 13:40:00+00:00,H2_ARRIVAL,F10,0.1,38477.2,39073.0,38411.0,662.0,2022-05-02 13:45:00+00:00,2022-05-02 17:00:00+00:00,,2022-05-02 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-05-02,2022-05-02 13:40:00+00:00,H2_ARRIVAL,F15,0.15,38510.3,39073.0,38411.0,662.0,2022-05-02 13:45:00+00:00,2022-05-02 17:00:00+00:00,,2022-05-02 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-05-02,2022-05-02 13:40:00+00:00,H2_ARRIVAL,F20,0.2,38543.4,39073.0,38411.0,662.0,2022-05-02 13:45:00+00:00,2022-05-02 17:00:00+00:00,,2022-05-02 20:00:00+00:00,True,2022-05-02 16:50:00+00:00,38543.4,True,10.0,H2_ARRIVAL
development,2022-05-02,2022-05-02 13:40:00+00:00,H2_ARRIVAL,F25,0.25,38576.5,39073.0,38411.0,662.0,2022-05-02 13:45:00+00:00,2022-05-02 17:00:00+00:00,,2022-05-02 20:00:00+00:00,True,2022-05-02 16:00:00+00:00,38576.5,True,60.0,H2_ARRIVAL
development,2022-05-03,2022-05-03 13:35:00+00:00,H2_ARRIVAL,F05,0.05,38270.485,38659.7,38250.0,409.6999999999971,2022-05-03 13:40:00+00:00,2022-05-03 13:45:00+00:00,,2022-05-03 20:00:00+00:00,False,,,False,,H2_ARRIVAL
development,2022-05-03,2022-05-03 13:35:00+00:00,H2_ARRIVAL,F10,0.1,38290.97,38659.7,38250.0,409.6999999999971,2022-05-03 13:40:00+00:00,2022-05-03 13:45:00+00:00,,2022-05-03 20:00:00+00:00,True,2022-05-03 13:40:00+00:00,38290.97,True,5.0,H2_ARRIVAL
development,2022-05-03,2022-05-03 13:35:00+00:00,H2_ARRIVAL,F15,0.15,38311.455,38659.7,38250.0,409.6999999999971,2022-05-03 13:40:00+00:00,2022-05-03 13:45:00+00:00,,2022-05-03 20:00:00+00:00,True,2022-05-03 13:40:00+00:00,38311.455,True,5.0,H2_ARRIVAL
