partition,date_utc,signal_ts,window_status,H,L,range,F15,F65,E20_DOWN,eligible_start,h2_bar_start,opposite_break_bar_start,session_end,blind_filled,blind_touch_bar_start,blind_entry_px,h2_after_fill,minutes_fill_to_h2,max_pre_h2_frac,adverse_excursion_r,rule,entry_executed,confirmation_kind,confirmation_bar_start,entry_start,entry_px,entry_fraction,entry_on_h2_bar_open,entry_status,fixed_exit_reason,fixed_exit_px,fixed_net_pnl_usd,fixed_hold_minutes,fixed_h2_seen,fixed_breakdown_accepted,fixed_e20_reached,confirmed,minutes_touch_to_confirmation,minutes_touch_to_entry,actual_entry_fraction,nominal_rr
reference_validation,2025-05-26,2025-05-26 14:00:00+00:00,H2_ARRIVAL,110138.8,109500.0,638.8000000000029,109595.82,109915.22,109372.24,2025-05-26 14:15:00+00:00,2025-05-26 14:20:00+00:00,,2025-05-26 20:00:00+00:00,True,2025-05-26 14:15:00+00:00,109595.82,True,5.0,0.2700375704445824,0.12003757044458238,BLIND_F15,True,,,2025-05-26 14:15:00+00:00,109595.82,0.15,False,EXECUTED,CLOSE_INVALIDATION_F65,110098.8,-2.69470430532841,80.0,True,True,False,True,0.0,0.0,0.15,0.7000000000000183
reference_validation,2025-05-26,2025-05-26 14:00:00+00:00,H2_ARRIVAL,110138.8,109500.0,638.8000000000029,109595.82,109915.22,109372.24,2025-05-26 14:15:00+00:00,2025-05-26 14:20:00+00:00,,2025-05-26 20:00:00+00:00,True,2025-05-26 14:15:00+00:00,109595.82,True,5.0,0.2700375704445824,0.12003757044458238,EARLY_REJECT,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
reference_validation,2025-05-26,2025-05-26 14:00:00+00:00,H2_ARRIVAL,110138.8,109500.0,638.8000000000029,109595.82,109915.22,109372.24,2025-05-26 14:15:00+00:00,2025-05-26 14:20:00+00:00,,2025-05-26 20:00:00+00:00,True,2025-05-26 14:15:00+00:00,109595.82,True,5.0,0.2700375704445824,0.12003757044458238,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
reference_validation,2025-06-12,2025-06-12 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,107798.0,106688.0,1110.0,106854.5,107409.5,106466.0,2025-06-12 13:40:00+00:00,,2025-06-12 17:00:00+00:00,2025-06-12 20:00:00+00:00,True,2025-06-12 13:55:00+00:00,106854.5,False,,0.9928828828828882,0.8428828828828882,BLIND_F15,True,,,2025-06-12 13:55:00+00:00,106854.5,0.15,False,EXECUTED,CLOSE_INVALIDATION_F65,107421.8,-3.0545442634611226,20.0,False,False,False,True,0.0,0.0,0.15,0.7
reference_validation,2025-06-12,2025-06-12 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,107798.0,106688.0,1110.0,106854.5,107409.5,106466.0,2025-06-12 13:40:00+00:00,,2025-06-12 17:00:00+00:00,2025-06-12 20:00:00+00:00,True,2025-06-12 13:55:00+00:00,106854.5,False,,0.9928828828828882,0.8428828828828882,EARLY_REJECT,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
reference_validation,2025-06-12,2025-06-12 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,107798.0,106688.0,1110.0,106854.5,107409.5,106466.0,2025-06-12 13:40:00+00:00,,2025-06-12 17:00:00+00:00,2025-06-12 20:00:00+00:00,True,2025-06-12 13:55:00+00:00,106854.5,False,,0.9928828828828882,0.8428828828828882,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
reference_validation,2025-06-16,2025-06-16 13:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,107199.9,106521.0,678.8999999999942,106622.83499999999,106962.285,106385.22,2025-06-16 13:45:00+00:00,,2025-06-16 14:25:00+00:00,2025-06-16 20:00:00+00:00,True,2025-06-16 13:45:00+00:00,106622.83499999999,False,,1.2589482987185217,1.1089482987185217,BLIND_F15,True,,,2025-06-16 13:45:00+00:00,106622.83499999999,0.15,False,EXECUTED,CLOSE_INVALIDATION_F65,107109.0,-2.679835271684516,15.0,False,False,False,True,0.0,0.0,0.15,0.6999999999999486
reference_validation,2025-06-16,2025-06-16 13:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,107199.9,106521.0,678.8999999999942,106622.83499999999,106962.285,106385.22,2025-06-16 13:45:00+00:00,,2025-06-16 14:25:00+00:00,2025-06-16 20:00:00+00:00,True,2025-06-16 13:45:00+00:00,106622.83499999999,False,,1.2589482987185217,1.1089482987185217,EARLY_REJECT,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
reference_validation,2025-06-16,2025-06-16 13:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,107199.9,106521.0,678.8999999999942,106622.83499999999,106962.285,106385.22,2025-06-16 13:45:00+00:00,,2025-06-16 14:25:00+00:00,2025-06-16 20:00:00+00:00,True,2025-06-16 13:45:00+00:00,106622.83499999999,False,,1.2589482987185217,1.1089482987185217,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
reference_validation,2025-06-18,2025-06-18 13:35:00+00:00,H2_ARRIVAL,105276.8,103855.0,1421.800000000003,104068.27,104779.17,103570.64,2025-06-18 13:40:00+00:00,2025-06-18 17:30:00+00:00,,2025-06-18 20:00:00+00:00,True,2025-06-18 13:40:00+00:00,104068.27,True,230.0,1.0163173442115607,0.8663173442115607,BLIND_F15,True,,,2025-06-18 13:40:00+00:00,104068.27,0.15,False,EXECUTED,CLOSE_INVALIDATION_F65,104864.6,-4.225998068383352,30.0,False,False,False,True,0.0,0.0,0.15,0.7000000000000123
