hour_wib,component_rank,character_rule,component_size,component_cells,dev_component_wr_min,dev_component_wr_mean,dev_component_exp_floor,dev_component_exp_mean,test_viable_cells,test_stable_cells,test_viable_fraction,test_positive_net_cells,test_positive_exp_cells,test_median_wr,test_median_exp,test_median_pf,test_max_dd,verdict
5,2,EFF_HIGH__RV_HIGH,2,LB120/H120;LB180/H120,0.5765765765765766,0.5771771771771772,3.527939062103468,3.7662526664109945,2,0,1.0,2,2,0.5346165105386417,1.169120666737413,1.6120160241771888,124.975613925221,PARTIAL_PLATEAU_PERSISTENCE
5,3,DRIVE_UP__RANGE_HIGH,2,LB360/H120;LB360/H240,0.5803571428571429,0.5892857142857143,1.269237810845562,1.626766818491908,1,1,0.5,1,1,0.5158227848101266,1.0180607965311765,1.289021423339712,175.48747777794355,PLATEAU_DEGRADATION_FAIL
6,1,EFF_LOW__RANGE_LOW,3,LB180/H360;LB240/H240;LB240/H360,0.5527950310559007,0.5787423279062076,1.2791359050225208,1.647442614177408,0,0,0.0,0,0,0.4,-1.755785095508891,0.4824198079339276,294.42558264820946,PLATEAU_DEGRADATION_FAIL
6,2,EFF_LOW__RV_LOW,3,LB180/H240;LB180/H360;LB180/H480,0.5578231292517006,0.5623582766439909,0.7323564912738503,1.2898754228998004,0,0,0.0,0,0,0.36607142857142855,-2.5708044261028395,0.3096724364328861,375.8411804894808,PLATEAU_DEGRADATION_FAIL
6,3,DRIVE_DOWN__STR_B80_100,3,LB180/H120;LB240/H120;LB360/H120,0.5730337078651685,0.5946266146908202,1.5194560078304868,2.1668376414007597,3,3,1.0,3,3,0.6263736263736264,3.9199930462864025,3.1844993139239195,78.34756082755834,STABLE_PLATEAU_FROZEN
7,1,DRIVE_DOWN__EXT_LOW,4,LB180/H240;LB240/H240;LB240/H360;LB240/H480,0.5694444444444444,0.6175820707070707,1.4538119531209384,3.547646156697151,2,0,0.5,4,4,0.534146942800789,1.1881619800137744,1.4149100710078981,123.54313047899495,PARTIAL_PLATEAU_PERSISTENCE
7,2,EFF_MID__RANGE_LOW,4,LB120/H240;LB180/H240;LB180/H360;LB240/H240,0.5514018691588785,0.5904603573996098,1.0795704314650914,2.011673527217359,0,0,0.0,0,0,0.3487305312566674,-1.6396708199435397,0.472435027489709,302.06596661938863,PLATEAU_DEGRADATION_FAIL
7,3,EFF_MID__RV_LOW,4,LB120/H240;LB180/H240;LB180/H360;LB180/H480,0.5625,0.6064268867924528,1.7281477398238851,2.7403939210418926,0,0,0.0,0,0,0.3,-2.5216322604028836,0.357290591809692,396.12016305387124,PLATEAU_DEGRADATION_FAIL
8,1,DRIVE_DOWN__STR_B40_60,5,LB180/H120;LB180/H240;LB180/H360;LB180/H480;LB240/H360,0.5517241379310345,0.5921630094043888,0.8242144594439718,2.9882787870163154,0,0,0.0,3,3,0.47,0.04745804273563738,1.0128474157468266,166.47715859473843,PLATEAU_DEGRADATION_FAIL
8,2,DRIVE_DOWN__STR_B20_40,4,LB240/H120;LB240/H240;LB360/H240;LB360/H360,0.55,0.5853365384615384,1.0452037691522065,1.3095141268895285,0,0,0.0,0,0,0.4105263157894737,-0.5341748083942653,0.7980833268399099,145.27866090640947,PLATEAU_DEGRADATION_FAIL
8,3,DRIVE_UP__STR_B0_20,4,LB120/H120;LB120/H240;LB120/H360;LB120/H480,0.573170731707317,0.5975609756097561,0.7721864032719521,1.4132254095956238,0,0,0.0,2,2,0.4294871794871795,0.039921739537155956,1.0039593932422202,106.84115706348567,PLATEAU_DEGRADATION_FAIL
9,1,DRIVE_UP__STR_B20_40,2,LB360/H360;LB360/H480,0.5842696629213483,0.5898876404494382,2.3787588756819456,2.9325051804153803,0,0,0.0,1,1,0.4593023255813954,-0.019767973152948065,0.9942678326678989,120.8721579166463,PLATEAU_DEGRADATION_FAIL
9,2,EFF_LOW__RANGE_MID,2,LB120/H120;LB120/H240,0.5846153846153846,0.5923076923076923,1.5961618204215835,1.992337200352192,1,1,0.5,2,2,0.5410958904109588,0.5907473367230649,1.3128143612985277,61.51643198909417,PLATEAU_DEGRADATION_FAIL
9,3,DRIVE_UP__STR_B60_80,2,LB180/H360;LB180/H480,0.5540540540540541,0.5540540540540541,3.183968044986331,3.832085695843805,0,0,0.0,2,2,0.47752808988764045,2.7311966200283444,2.0812735917163385,103.23531037349727,PLATEAU_DEGRADATION_FAIL
10,1,RV_MID__RANGE_LOW,2,LB240/H360;LB360/H360,0.5970149253731343,0.6025615167406212,3.254614428494286,3.410730790693451,2,1,1.0,2,2,0.5630378657487092,3.636930768358257,2.631608335316235,74.58770278282596,STABLE_PLATEAU_FROZEN
10,2,DRIVE_DOWN__STR_B0_20,2,LB240/H120;LB240/H240,0.5584415584415584,0.5649350649350648,1.0111533497376315,1.3599012556318475,0,0,0.0,0,0,0.3220338983050848,-1.9014674199017665,0.3160228917507195,134.88083430708977,PLATEAU_DEGRADATION_FAIL
11,1,DRIVE_UP__STR_B80_100,3,LB60/H480;LB120/H360;LB120/H480,0.5529411764705883,0.5719948849104859,2.389888238541205,5.213381639894888,0,0,0.0,3,3,0.5045045045045045,1.1471523645658095,1.3001966175294366,185.94727951521105,PLATEAU_DEGRADATION_FAIL
11,2,DRIVE_UP__EXT_HIGH,2,LB60/H480;LB120/H480,0.5548780487804879,0.5801601128256181,2.183338168756741,2.36792712009845,0,0,0.0,2,2,0.5067409766454353,1.0915446419330221,1.2732771063967445,202.2992750992121,PLATEAU_DEGRADATION_FAIL
11,3,DRIVE_UP__STR_B60_80,2,LB360/H240;LB360/H360,0.569620253164557,0.5822784810126582,1.7297150861673778,2.370399483287565,0,0,0.0,0,0,0.3977272727272727,-0.1678088660636699,0.9421829348199973,145.5825501481931,PLATEAU_DEGRADATION_FAIL
12,1,EFF_HIGH__RV_MID,2,LB180/H360;LB180/H480,0.5617977528089888,0.5674157303370786,1.3503009186786992,1.9564047173960672,1,0,0.5,1,1,0.5471698113207547,0.366466410496557,1.1412276061837712,149.66429565301692,PLATEAU_DEGRADATION_FAIL
13,1,EFF_LOW__RV_HIGH,3,LB120/H360;LB180/H240;LB180/H360,0.5606060606060606,0.5733421168203776,3.676809818129965,5.452893992837818,1,0,0.3333333333333333,1,1,0.49514563106796117,-0.5360743974136734,0.8752721987656612,253.13493011315018,PLATEAU_DEGRADATION_FAIL
13,2,EFF_HIGH__RV_MID,3,LB240/H120;LB240/H240;LB240/H360,0.5569620253164557,0.5949367088607594,0.8021516727154783,2.684876563010542,0,0,0.0,2,2,0.47126436781609193,0.1400731979707057,1.0506742676894787,131.29231299588324,PLATEAU_DEGRADATION_FAIL
13,3,EFF_LOW__RV_HIGH,2,LB360/H240;LB360/H360,0.625,0.625,4.815197976794236,5.588643487731888,1,0,0.5,2,2,0.5473684210526316,1.050380231310094,1.3549517187434748,99.33895425314816,PLATEAU_DEGRADATION_FAIL
14,1,RV_HIGH__RANGE_MID,4,LB120/H120;LB120/H240;LB180/H240;LB180/H360,0.5645161290322581,0.6330645161290323,3.912772022664409,5.827746047749471,4,0,1.0,4,4,0.5711369667279036,1.8162833000949496,1.6899281946741689,93.13157949570297,PARTIAL_PLATEAU_PERSISTENCE
14,2,DRIVE_UP__STR_B80_100,3,LB120/H360;LB180/H360;LB240/H360,0.5612244897959183,0.5741964802115178,2.3053957468927258,3.3339377318843044,3,3,1.0,3,3,0.5855855855855856,3.963191427490939,2.2470798465444686,125.62318778742656,STABLE_PLATEAU_FROZEN
14,3,EFF_LOW__RV_HIGH,2,LB120/H240;LB180/H240,0.5641025641025641,0.5796703296703296,3.067035177484839,3.558780873714456,2,1,1.0,2,2,0.5883838383838385,1.905963520475276,1.81887898155125,120.1363736560394,STABLE_PLATEAU_FROZEN
15,1,RV_HIGH__RANGE_MID,3,LB180/H120;LB180/H240;LB180/H360,0.6,0.6166666666666667,2.961544918793304,3.354676579742655,3,2,1.0,3,3,0.631578947368421,2.536540049764559,2.111144552253325,71.6246972064174,STABLE_PLATEAU_FROZEN
15,2,RV_LOW__RANGE_MID,3,LB180/H120;LB180/H240;LB240/H120,0.5679012345679012,0.5994363929146539,1.3144292323110582,1.6487954417487989,0,0,0.0,1,1,0.43333333333333335,-0.2428838687206774,0.8466188426352209,90.41797269472949,PLATEAU_DEGRADATION_FAIL
15,3,DRIVE_DOWN__EFF_MID,3,LB120/H240;LB180/H120;LB180/H240,0.5586206896551724,0.5611161524500907,0.7450787452948642,1.8771129373265825,1,0,0.3333333333333333,2,2,0.539568345323741,0.15329848500672222,1.0807410510422213,111.63802419897013,PLATEAU_DEGRADATION_FAIL
16,1,EFF_LOW__RV_LOW,3,LB60/H240;LB120/H240;LB180/H240,0.552,0.592526743474147,1.398700173721911,1.4977127443547165,0,0,0.0,0,0,0.375,-0.7337054609749766,0.7070123346585164,90.19005138625707,PLATEAU_DEGRADATION_FAIL
16,2,EFF_LOW__RANGE_LOW,3,LB60/H240;LB120/H240;LB180/H240,0.55,0.5766726958287719,0.9949616506791896,1.2777333129586492,0,0,0.0,0,0,0.4016393442622951,-1.1710850860551387,0.6136498509718825,204.61197160235977,PLATEAU_DEGRADATION_FAIL
16,3,DRIVE_DOWN__STR_B20_40,2,LB120/H240;LB180/H240,0.5569620253164557,0.5584810126582278,0.9136988029119106,1.173782344962238,0,0,0.0,1,1,0.41623376623376623,0.025348777524843324,1.073055621715166,139.1013788518029,PLATEAU_DEGRADATION_FAIL
17,1,EFF_LOW__RANGE_HIGH,3,LB60/H120;LB120/H120;LB120/H240,0.5588235294117647,0.5693590869183495,7.309118550632627,7.950777211578527,2,0,0.6666666666666666,2,2,0.5205479452054794,1.2235190061934853,1.567452558763311,157.83436372749105,PARTIAL_PLATEAU_PERSISTENCE
17,2,EFF_LOW__EXT_MID,2,LB360/H120;LB360/H240,0.5625,0.578125,5.435508473322587,6.538672897687087,0,0,0.0,0,0,0.2948717948717949,-2.126061633099523,0.3330155676691456,200.0108754923823,PLATEAU_DEGRADATION_FAIL
18,1,EFF_LOW__RV_HIGH,3,LB240/H120;LB240/H240;LB360/H120,0.56,0.5700546448087432,1.6333813670163326,3.342300675987924,1,0,0.3333333333333333,3,3,0.5411764705882353,0.5216217939490675,1.1560458250972547,120.29645548565276,PLATEAU_DEGRADATION_FAIL
19,1,EFF_LOW__RV_HIGH,2,LB360/H120;LB360/H240,0.5522388059701493,0.5597014925373134,2.6691119125702625,3.972044284607757,0,0,0.0,0,0,0.45999999999999996,-1.4386494349806571,0.6832041056826502,248.678690100273,PLATEAU_DEGRADATION_FAIL
20,1,DRIVE_DOWN__STR_B80_100,4,LB60/H120;LB120/H120;LB180/H120;LB240/H120,0.56,0.5871832991569833,3.871416708426072,4.906931165589546,0,0,0.0,0,0,0.4630325814536341,-0.3238741394380136,0.911901216728668,165.1111821760391,PLATEAU_DEGRADATION_FAIL
23,1,RV_MID__RANGE_LOW,2,LB360/H240;LB360/H360,0.6,0.60625,1.3485616473614637,1.480479283139565,0,0,0.0,0,0,0.3695652173913043,-4.327932304261041,0.2856952052200171,219.11833343677623,PLATEAU_DEGRADATION_FAIL
