date_wib,decision_t_utc,label,label_reason,first_hit_min
2024-11-26,2024-11-25 23:00:00+00:00,SELL_COMPATIBLE,down_first,20.0
2024-12-03,2024-12-02 23:00:00+00:00,BUY_COMPATIBLE,up_first,60.0
2024-12-10,2024-12-09 23:00:00+00:00,BUY_COMPATIBLE,up_first,15.0
2024-12-17,2024-12-16 23:00:00+00:00,BUY_COMPATIBLE,up_first,160.0
2024-12-24,2024-12-23 23:00:00+00:00,SELL_COMPATIBLE,down_first,45.0
2024-12-31,2024-12-30 23:00:00+00:00,SELL_COMPATIBLE,down_first,135.0
2025-01-07,2025-01-06 23:00:00+00:00,BUY_COMPATIBLE,up_first,100.0
2025-01-14,2025-01-13 23:00:00+00:00,BUY_COMPATIBLE,up_first,85.0
2025-01-21,2025-01-20 23:00:00+00:00,SELL_COMPATIBLE,down_first,10.0
2025-01-28,2025-01-27 23:00:00+00:00,BUY_COMPATIBLE,up_first,60.0
2025-02-04,2025-02-03 23:00:00+00:00,SELL_COMPATIBLE,down_first,110.0
2025-02-11,2025-02-10 23:00:00+00:00,BUY_COMPATIBLE,up_first,100.0
2025-02-18,2025-02-17 23:00:00+00:00,NEUTRAL,no_50bp_hit_6h,
2025-02-25,2025-02-24 23:00:00+00:00,SELL_COMPATIBLE,down_first,35.0
2025-03-04,2025-03-03 23:00:00+00:00,SELL_COMPATIBLE,down_first,5.0
2025-03-11,2025-03-10 23:00:00+00:00,SELL_COMPATIBLE,down_first,20.0
2025-03-18,2025-03-17 23:00:00+00:00,SELL_COMPATIBLE,down_first,135.0
2025-03-25,2025-03-24 23:00:00+00:00,SELL_COMPATIBLE,down_first,155.0
2025-04-01,2025-03-31 23:00:00+00:00,BUY_COMPATIBLE,up_first,20.0
2025-04-08,2025-04-07 23:00:00+00:00,SELL_COMPATIBLE,down_first,40.0
2025-04-15,2025-04-14 23:00:00+00:00,BUY_COMPATIBLE,up_first,120.0
2025-04-22,2025-04-21 23:00:00+00:00,BUY_COMPATIBLE,up_first,60.0
2025-04-29,2025-04-28 23:00:00+00:00,BUY_COMPATIBLE,up_first,135.0
2025-05-06,2025-05-05 23:00:00+00:00,SELL_COMPATIBLE,down_first,85.0
2025-05-13,2025-05-12 23:00:00+00:00,SELL_COMPATIBLE,down_first,105.0
2025-05-20,2025-05-19 23:00:00+00:00,BUY_COMPATIBLE,up_first,80.0
2025-05-27,2025-05-26 23:00:00+00:00,SELL_COMPATIBLE,down_first,140.0
2025-06-03,2025-06-02 23:00:00+00:00,BUY_COMPATIBLE,up_first,80.0
2025-06-10,2025-06-09 23:00:00+00:00,SELL_COMPATIBLE,down_first,190.0
2025-06-17,2025-06-16 23:00:00+00:00,SELL_COMPATIBLE,down_first,40.0
2025-06-24,2025-06-23 23:00:00+00:00,SELL_COMPATIBLE,down_first,105.0
2025-07-01,2025-06-30 23:00:00+00:00,NEUTRAL,no_50bp_hit_6h,
2025-07-08,2025-07-07 23:00:00+00:00,SELL_COMPATIBLE,down_first,200.0
2025-07-15,2025-07-14 23:00:00+00:00,SELL_COMPATIBLE,down_first,105.0
2025-07-22,2025-07-21 23:00:00+00:00,SELL_COMPATIBLE,down_first,140.0
2025-07-29,2025-07-28 23:00:00+00:00,BUY_COMPATIBLE,up_first,80.0
2025-08-05,2025-08-04 23:00:00+00:00,SELL_COMPATIBLE,down_first,160.0
2025-08-12,2025-08-11 23:00:00+00:00,NEUTRAL,no_50bp_hit_6h,
2025-08-19,2025-08-18 23:00:00+00:00,SELL_COMPATIBLE,down_first,95.0
2025-08-26,2025-08-25 23:00:00+00:00,SELL_COMPATIBLE,down_first,65.0
2025-09-02,2025-09-01 23:00:00+00:00,BUY_COMPATIBLE,up_first,45.0
2025-09-09,2025-09-08 23:00:00+00:00,SELL_COMPATIBLE,down_first,85.0
2025-09-16,2025-09-15 23:00:00+00:00,NEUTRAL,no_50bp_hit_6h,
2025-09-23,2025-09-22 23:00:00+00:00,SELL_COMPATIBLE,down_first,210.0
2025-09-30,2025-09-29 23:00:00+00:00,BUY_COMPATIBLE,up_first,115.0
2025-10-07,2025-10-06 23:00:00+00:00,SELL_COMPATIBLE,down_first,205.0
2025-10-14,2025-10-13 23:00:00+00:00,SELL_COMPATIBLE,down_first,110.0
2025-10-21,2025-10-20 23:00:00+00:00,SELL_COMPATIBLE,down_first,75.0
2025-10-28,2025-10-27 23:00:00+00:00,SELL_COMPATIBLE,down_first,235.0
2025-11-04,2025-11-03 23:00:00+00:00,SELL_COMPATIBLE,down_first,90.0
2025-11-11,2025-11-10 23:00:00+00:00,SELL_COMPATIBLE,down_first,110.0
2025-11-18,2025-11-17 23:00:00+00:00,SELL_COMPATIBLE,down_first,100.0
2025-11-25,2025-11-24 23:00:00+00:00,SELL_COMPATIBLE,down_first,65.0
2025-12-02,2025-12-01 23:00:00+00:00,BUY_COMPATIBLE,up_first,130.0
2025-12-09,2025-12-08 23:00:00+00:00,SELL_COMPATIBLE,down_first,110.0
2025-12-16,2025-12-15 23:00:00+00:00,SELL_COMPATIBLE,down_first,125.0
2025-12-23,2025-12-22 23:00:00+00:00,SELL_COMPATIBLE,down_first,230.0
2025-12-30,2025-12-29 23:00:00+00:00,SELL_COMPATIBLE,down_first,255.0
2026-01-06,2026-01-05 23:00:00+00:00,SELL_COMPATIBLE,down_first,80.0
2026-01-13,2026-01-12 23:00:00+00:00,NEUTRAL,no_50bp_hit_6h,
2026-01-20,2026-01-19 23:00:00+00:00,SELL_COMPATIBLE,down_first,355.0
2026-01-27,2026-01-26 23:00:00+00:00,BUY_COMPATIBLE,up_first,35.0
2026-02-03,2026-02-02 23:00:00+00:00,BUY_COMPATIBLE,up_first,125.0
2026-02-10,2026-02-09 23:00:00+00:00,SELL_COMPATIBLE,down_first,70.0
2026-02-17,2026-02-16 23:00:00+00:00,BUY_COMPATIBLE,up_first,55.0
2026-02-24,2026-02-23 23:00:00+00:00,SELL_COMPATIBLE,down_first,135.0
2026-03-03,2026-03-02 23:00:00+00:00,SELL_COMPATIBLE,down_first,25.0
2026-03-10,2026-03-09 23:00:00+00:00,BUY_COMPATIBLE,up_first,90.0
2026-03-17,2026-03-16 23:00:00+00:00,SELL_COMPATIBLE,down_first,5.0
2026-03-24,2026-03-23 23:00:00+00:00,SELL_COMPATIBLE,down_first,25.0
2026-03-31,2026-03-30 23:00:00+00:00,SELL_COMPATIBLE,down_first,5.0
2026-04-07,2026-04-06 23:00:00+00:00,SELL_COMPATIBLE,down_first,10.0
2026-04-14,2026-04-13 23:00:00+00:00,SELL_COMPATIBLE,down_first,75.0
2026-04-21,2026-04-20 23:00:00+00:00,SELL_COMPATIBLE,down_first,230.0
2026-04-28,2026-04-27 23:00:00+00:00,BUY_COMPATIBLE,up_first,55.0
2026-05-05,2026-05-04 23:00:00+00:00,BUY_COMPATIBLE,up_first,185.0
2026-05-12,2026-05-11 23:00:00+00:00,SELL_COMPATIBLE,down_first,130.0
2026-05-19,2026-05-18 23:00:00+00:00,SELL_COMPATIBLE,down_first,150.0
2026-05-26,2026-05-25 23:00:00+00:00,SELL_COMPATIBLE,down_first,115.0
2026-06-02,2026-06-01 23:00:00+00:00,SELL_COMPATIBLE,down_first,155.0
2026-06-09,2026-06-08 23:00:00+00:00,SELL_COMPATIBLE,down_first,20.0
2026-06-16,2026-06-15 23:00:00+00:00,SELL_COMPATIBLE,down_first,210.0
2026-06-23,2026-06-22 23:00:00+00:00,SELL_COMPATIBLE,down_first,360.0
2026-06-30,2026-06-29 23:00:00+00:00,SELL_COMPATIBLE,down_first,90.0
2026-07-07,2026-07-06 23:00:00+00:00,SELL_COMPATIBLE,down_first,125.0
2026-07-14,2026-07-13 23:00:00+00:00,BUY_COMPATIBLE,up_first,30.0
2026-07-21,2026-07-20 23:00:00+00:00,BUY_COMPATIBLE,up_first,105.0
2026-07-28,2026-07-27 23:00:00+00:00,SELL_COMPATIBLE,down_first,125.0
2026-08-04,2026-08-03 23:00:00+00:00,BUY_COMPATIBLE,up_first,165.0
2026-08-11,2026-08-10 23:00:00+00:00,NEUTRAL,no_50bp_hit_6h,
2026-08-18,2026-08-17 23:00:00+00:00,NEUTRAL,no_50bp_hit_6h,
