partition,seed_ts,anchor_4h_ts,on_1d,stage_index,ret72,eventually_d1,positive72,good_d1_72h,m15_fast_gap,m15_slow_gap,m15_price_pos,m15_bull,h1_fast_gap,h1_slow_gap,h1_price_pos,h1_bull,h4_fast_gap,h4_slow_gap,h4_price_pos,h4_bull,d1_fast_gap,d1_slow_gap,d1_price_pos,d1_bull,score
reference_validation,2025-10-26 00:25:00+00:00,2025-10-26 20:00:00+00:00,,3,0.0097359123687224,0,1,0,3.983774523202941e-05,0.01100678149029346,-6.647508549358873e-05,0.0,0.010832625734423585,0.014012997341172685,0.01088785808080063,1.0,0.014439154524881764,0.00024050029980654726,0.024941226618568912,1.0,-0.04407391997550201,-0.000687383633864291,-0.026530907057480364,0.0,0.2926764913866328
reference_validation,2025-10-26 07:05:00+00:00,2025-10-26 20:00:00+00:00,,3,0.014544802867383577,0,1,0,3.983774523202941e-05,0.01100678149029346,-6.647508549358873e-05,0.0,0.010832625734423585,0.014012997341172685,0.01088785808080063,1.0,0.014439154524881764,0.00024050029980654726,0.024941226618568912,1.0,-0.04407391997550201,-0.000687383633864291,-0.026530907057480364,0.0,0.2926764913866328
reference_validation,2025-10-26 09:20:00+00:00,2025-10-26 20:00:00+00:00,,3,0.011008497944853701,0,1,0,3.983774523202941e-05,0.01100678149029346,-6.647508549358873e-05,0.0,0.010832625734423585,0.014012997341172685,0.01088785808080063,1.0,0.014439154524881764,0.00024050029980654726,0.024941226618568912,1.0,-0.04407391997550201,-0.000687383633864291,-0.026530907057480364,0.0,0.2926764913866328
reference_validation,2025-10-26 22:20:00+00:00,2025-10-29 08:00:00+00:00,,3,-0.02605707648942257,0,0,0,0.003526653530221641,-0.0082360554534839,0.006059805183421303,0.0,-0.008120774750740271,0.0032599905135206673,-0.0023519648600718967,0.0,0.0023278415239785465,0.022366991629703483,0.0012681665975108358,1.0,-0.01872771574298151,-0.006724821363452823,-0.008185760434622541,0.0,0.03658533780548831
reference_validation,2025-10-27 00:00:00+00:00,2025-10-29 08:00:00+00:00,,3,-0.039409456417977884,0,0,0,0.003526653530221641,-0.0082360554534839,0.006059805183421303,0.0,-0.008120774750740271,0.0032599905135206673,-0.0023519648600718967,0.0,0.0023278415239785465,0.022366991629703483,0.0012681665975108358,1.0,-0.01872771574298151,-0.006724821363452823,-0.008185760434622541,0.0,0.03658533780548831
reference_validation,2025-10-27 04:15:00+00:00,2025-10-29 08:00:00+00:00,,3,-0.04527204558202691,0,0,0,0.003526653530221641,-0.0082360554534839,0.006059805183421303,0.0,-0.008120774750740271,0.0032599905135206673,-0.0023519648600718967,0.0,0.0023278415239785465,0.022366991629703483,0.0012681665975108358,1.0,-0.01872771574298151,-0.006724821363452823,-0.008185760434622541,0.0,0.03658533780548831
reference_validation,2025-10-27 17:05:00+00:00,2025-10-29 08:00:00+00:00,,3,-0.06737032945340438,0,0,0,0.003526653530221641,-0.0082360554534839,0.006059805183421303,0.0,-0.008120774750740271,0.0032599905135206673,-0.0023519648600718967,0.0,0.0023278415239785465,0.022366991629703483,0.0012681665975108358,1.0,-0.01872771574298151,-0.006724821363452823,-0.008185760434622541,0.0,0.03658533780548831
reference_validation,2025-10-28 08:00:00+00:00,2025-10-29 08:00:00+00:00,,3,-0.041433012526198465,0,0,0,0.003526653530221641,-0.0082360554534839,0.006059805183421303,0.0,-0.008120774750740271,0.0032599905135206673,-0.0023519648600718967,0.0,0.0023278415239785465,0.022366991629703483,0.0012681665975108358,1.0,-0.01872771574298151,-0.006724821363452823,-0.008185760434622541,0.0,0.03658533780548831
reference_validation,2025-10-28 09:40:00+00:00,2025-10-29 08:00:00+00:00,,3,-0.038511811023622,0,0,0,0.003526653530221641,-0.0082360554534839,0.006059805183421303,0.0,-0.008120774750740271,0.0032599905135206673,-0.0023519648600718967,0.0,0.0023278415239785465,0.022366991629703483,0.0012681665975108358,1.0,-0.01872771574298151,-0.006724821363452823,-0.008185760434622541,0.0,0.03658533780548831
reference_validation,2025-10-28 13:05:00+00:00,2025-10-29 08:00:00+00:00,,3,-0.04202977756747284,0,0,0,0.003526653530221641,-0.0082360554534839,0.006059805183421303,0.0,-0.008120774750740271,0.0032599905135206673,-0.0023519648600718967,0.0,0.0023278415239785465,0.022366991629703483,0.0012681665975108358,1.0,-0.01872771574298151,-0.006724821363452823,-0.008185760434622541,0.0,0.03658533780548831
