tf,transition,partition,setup_status,exit_reason,n
1h,ASIA_TO_LONDON,development,SIGNAL,TP_RANGE_EDGE,51
1h,ASIA_TO_LONDON,external,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,78
1h,ASIA_TO_LONDON,external,NO_RETEST,NO_RETEST,72
1h,ASIA_TO_LONDON,external,SIGNAL,NO_FILL_MIDPOINT,37
1h,ASIA_TO_LONDON,external,SIGNAL,RANGE_BROKE_BEFORE_FILL,232
1h,ASIA_TO_LONDON,external,SIGNAL,SL_FILL_5M_CONSERVATIVE,1
1h,ASIA_TO_LONDON,external,SIGNAL,SL_RANGE_EDGE,35
1h,ASIA_TO_LONDON,external,SIGNAL,TIME_EXIT_SESSION_END,37
1h,ASIA_TO_LONDON,external,SIGNAL,TP_RANGE_EDGE,31
1h,ASIA_TO_LONDON,reference_validation,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,31
1h,ASIA_TO_LONDON,reference_validation,NO_RETEST,NO_RETEST,45
1h,ASIA_TO_LONDON,reference_validation,SIGNAL,NO_FILL_MIDPOINT,35
1h,ASIA_TO_LONDON,reference_validation,SIGNAL,RANGE_BROKE_BEFORE_FILL,198
1h,ASIA_TO_LONDON,reference_validation,SIGNAL,SL_RANGE_EDGE,33
1h,ASIA_TO_LONDON,reference_validation,SIGNAL,TIME_EXIT_SESSION_END,49
1h,ASIA_TO_LONDON,reference_validation,SIGNAL,TP_RANGE_EDGE,20
1h,LONDON_TO_NEWYORK,august,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,3
1h,LONDON_TO_NEWYORK,august,SIGNAL,RANGE_BROKE_BEFORE_FILL,6
1h,LONDON_TO_NEWYORK,august,SIGNAL,SL_RANGE_EDGE,1
1h,LONDON_TO_NEWYORK,august,SIGNAL,TIME_EXIT_SESSION_END,2
1h,LONDON_TO_NEWYORK,august,SIGNAL,TP_RANGE_EDGE,2
1h,LONDON_TO_NEWYORK,development,AMBIGUOUS_BOTH_ZONES,AMBIGUOUS_BOTH_ZONES,10
1h,LONDON_TO_NEWYORK,development,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,132
1h,LONDON_TO_NEWYORK,development,NO_RETEST,NO_RETEST,20
1h,LONDON_TO_NEWYORK,development,SIGNAL,NO_FILL_MIDPOINT,10
1h,LONDON_TO_NEWYORK,development,SIGNAL,RANGE_BROKE_BEFORE_FILL,338
