partition,signal_ts,entry_start,horizon_bars,horizon_minutes,horizon_end,outcome,eventual_e20,adverse_wick_r,favorable_wick_r,adverse_close_r,favorable_close_r,net_close_progress_r,wrong_side_close_fraction,lower_low_step_fraction,higher_high_step_fraction,close_path_efficiency,adverse_favorable_ratio
development,2023-01-24 14:35:00+00:00,2023-01-24 14:45:00+00:00,1,5,2023-01-24 14:55:00+00:00,LATER_H2,False,0.45416666666666955,0.0,0.4333333333333385,0.0,-0.4333333333333385,1.0,,,0.0,454166666666.66956
development,2023-01-25 14:40:00+00:00,2023-01-25 14:45:00+00:00,1,5,2023-01-25 14:55:00+00:00,LATER_H2,True,0.22443241355222207,0.1304400977995027,0.0,0.10249738037023262,0.10249738037023262,0.0,,,0.0,1.7205783906816248
development,2023-01-27 14:25:00+00:00,2023-01-27 14:35:00+00:00,1,5,2023-01-27 14:45:00+00:00,PRE_H2_FAILURE,False,0.26652173913043165,0.0,0.16304347826086957,0.0,-0.16304347826086957,1.0,,,0.0,266521739130.43164
development,2023-02-08 13:35:00+00:00,2023-02-08 14:00:00+00:00,1,5,2023-02-08 14:10:00+00:00,LATER_H2,True,0.0,0.14887766554432508,0.0,0.07536475869809335,0.07536475869809335,0.0,,,0.0,0.0
development,2023-02-13 16:40:00+00:00,2023-02-13 16:55:00+00:00,1,5,2023-02-13 17:05:00+00:00,LATER_H2,False,0.1314765985497678,0.0,0.0877499450670214,0.0,-0.0877499450670214,1.0,,,0.0,131476598549.76779
development,2023-02-21 15:20:00+00:00,2023-02-21 15:35:00+00:00,1,5,2023-02-21 15:45:00+00:00,LATER_H2,True,0.016361136571951016,0.027635197066914113,0.0,0.019729605866179167,0.019729605866179167,0.0,,,0.0,0.5920398009949123
development,2023-03-02 14:15:00+00:00,2023-03-02 14:45:00+00:00,1,5,2023-03-02 14:55:00+00:00,PRE_H2_FAILURE,False,0.3048780487804878,0.0,0.18861788617885292,0.0,-0.18861788617885292,1.0,,,0.0,304878048780.4878
development,2023-03-08 14:10:00+00:00,2023-03-08 14:20:00+00:00,1,5,2023-03-08 14:30:00+00:00,LATER_H2,True,0.12645895153313355,0.06493570722057847,0.05623145400592945,0.0,-0.05623145400592945,1.0,,,0.0,1.947448591012774
development,2023-03-23 13:50:00+00:00,2023-03-23 14:00:00+00:00,1,5,2023-03-23 14:10:00+00:00,PRE_H2_FAILURE,False,0.04337491933749367,0.12139169713916431,0.0,0.09342869434286412,0.09342869434286412,0.0,,,0.0,0.35731372375302034
development,2023-04-17 13:35:00+00:00,2023-04-17 13:45:00+00:00,1,5,2023-04-17 13:55:00+00:00,LATER_H2,False,0.06625912988250177,0.04488726579866699,0.0,0.0298031120990798,0.0298031120990798,0.0,,,0.0,1.4761230986911538
development,2023-04-20 16:05:00+00:00,2023-04-20 17:00:00+00:00,1,5,2023-04-20 17:10:00+00:00,LATER_H2,True,0.05343750000000114,0.0796875,0.0,0.0703125,0.0703125,0.0,,,0.0,0.6705882352941319
development,2023-05-03 14:55:00+00:00,2023-05-03 15:05:00+00:00,1,5,2023-05-03 15:15:00+00:00,PRE_H2_FAILURE,False,0.08729603729603051,0.0036130536130603973,0.05341880341879777,0.0,-0.05341880341879777,1.0,,,0.0,24.1612903225334
development,2023-05-18 14:50:00+00:00,2023-05-18 15:05:00+00:00,1,5,2023-05-18 15:15:00+00:00,LATER_H2,True,0.03339326577312879,0.11600196142530374,0.0,0.04408303367113605,0.04408303367113605,0.0,,,0.0,0.2878681132873039
development,2023-06-07 14:55:00+00:00,2023-06-07 15:40:00+00:00,1,5,2023-06-07 15:50:00+00:00,LATER_H2,False,0.03000627746390295,0.14843063402385692,0.0,0.02162586315129074,0.02162586315129074,0.0,,,0.0,0.20215690420806331
development,2023-06-08 13:40:00+00:00,2023-06-08 13:55:00+00:00,1,5,2023-06-08 14:05:00+00:00,PRE_H2_FAILURE,False,0.17383858935232,0.0238555442522883,0.0,0.01639538826720618,0.01639538826720618,0.0,,,0.0,7.287135749822385
development,2023-07-05 13:35:00+00:00,2023-07-05 13:40:00+00:00,1,5,2023-07-05 13:50:00+00:00,PRE_H2_FAILURE,False,0.12527899898545816,0.0,0.05662833953331336,0.0,-0.05662833953331336,1.0,,,0.0,125278998985.45816
development,2023-07-17 17:25:00+00:00,2023-07-17 18:10:00+00:00,1,5,2023-07-17 18:20:00+00:00,LATER_H2,True,0.17674011016524757,0.0,0.15345518277416284,0.0,-0.15345518277416284,1.0,,,0.0,176740110165.2476
development,2023-07-24 15:10:00+00:00,2023-07-24 15:20:00+00:00,1,5,2023-07-24 15:30:00+00:00,PRE_H2_FAILURE,False,0.0886252045826498,0.0,0.05927441352973347,0.0,-0.05927441352973347,1.0,,,0.0,88625204582.64981
development,2023-08-02 13:35:00+00:00,2023-08-02 13:50:00+00:00,1,5,2023-08-02 14:00:00+00:00,LATER_H2,True,0.07510460251046329,0.12489539748953365,0.028242677824267783,0.0,-0.028242677824267783,1.0,,,0.0,0.6013400335008912
development,2023-08-14 13:35:00+00:00,2023-08-14 13:40:00+00:00,1,5,2023-08-14 13:50:00+00:00,PRE_H2_FAILURE,False,0.13397435897434498,0.015384615384624713,0.030769230769226105,0.0,-0.030769230769226105,1.0,,,0.0,8.708333333327143
development,2023-08-31 14:20:00+00:00,2023-08-31 14:25:00+00:00,1,5,2023-08-31 14:35:00+00:00,LATER_H2,True,0.03726479000451761,0.014368508204127505,0.014233027246723045,0.0,-0.014233027246723045,1.0,,,0.0,2.5935044525925735
development,2023-09-05 14:40:00+00:00,2023-09-05 14:45:00+00:00,1,5,2023-09-05 14:55:00+00:00,PRE_H2_FAILURE,False,0.16937172774868348,0.0,0.16308900523559067,0.0,-0.16308900523559067,1.0,,,0.0,169371727748.68347
development,2023-09-18 17:35:00+00:00,2023-09-18 17:40:00+00:00,1,5,2023-09-18 17:50:00+00:00,LATER_H2,False,0.07378866684916502,0.035573501231866485,0.04682452778538078,0.0,-0.04682452778538078,1.0,,,0.0,2.0742593305116017
development,2023-10-09 16:05:00+00:00,2023-10-09 16:10:00+00:00,1,5,2023-10-09 16:20:00+00:00,LATER_H2,True,0.15759546789760975,0.0,0.12780109106168702,0.0,-0.12780109106168702,1.0,,,0.0,157595467897.60977
development,2023-11-13 14:50:00+00:00,2023-11-13 14:55:00+00:00,1,5,2023-11-13 15:05:00+00:00,PRE_H2_FAILURE,False,0.4246471898984867,0.0,0.19538252042584942,0.0,-0.19538252042584942,1.0,,,0.0,424647189898.4867
development,2023-11-23 14:35:00+00:00,2023-11-23 14:40:00+00:00,1,5,2023-11-23 14:50:00+00:00,LATER_H2,True,0.10126409957215092,0.016394399066511745,0.05089459354336523,0.0,-0.05089459354336523,1.0,,,0.0,6.176749703439847
development,2023-11-27 13:55:00+00:00,2023-11-27 14:10:00+00:00,1,5,2023-11-27 14:20:00+00:00,LATER_H2,False,0.0,0.10459088961873814,0.0,0.07831643581322424,0.07831643581322424,0.0,,,0.0,0.0
development,2024-01-22 15:25:00+00:00,2024-01-22 15:30:00+00:00,1,5,2024-01-22 15:40:00+00:00,LATER_H2,True,0.1761111111111111,0.05366666666666182,0.06277777777777778,0.0,-0.06277777777777778,1.0,,,0.0,3.2815734989650998
development,2024-01-25 13:50:00+00:00,2024-01-25 14:05:00+00:00,1,5,2024-01-25 14:15:00+00:00,LATER_H2,True,0.18512889572913171,0.0,0.17070026933436458,0.0,-0.17070026933436458,1.0,,,0.0,185128895729.1317
development,2024-01-30 14:15:00+00:00,2024-01-30 16:15:00+00:00,1,5,2024-01-30 16:25:00+00:00,PRE_H2_FAILURE,False,0.09739273927392932,0.04372937293729373,0.08128712871286745,0.0,-0.08128712871286745,1.0,,,0.0,2.2271698113207985
development,2024-02-19 14:10:00+00:00,2024-02-19 14:15:00+00:00,1,5,2024-02-19 14:25:00+00:00,LATER_H2,True,0.03529971455755579,0.094814462416747,0.0,0.0053758325404425055,0.0053758325404425055,0.0,,,0.0,0.37230306071240066
development,2024-03-21 14:00:00+00:00,2024-03-21 14:50:00+00:00,1,5,2024-03-21 15:00:00+00:00,LATER_H2,True,0.19523036988968362,0.0,0.054134606470755756,0.0,-0.054134606470755756,1.0,,,0.0,195230369889.68362
development,2024-05-16 14:25:00+00:00,2024-05-16 14:30:00+00:00,1,5,2024-05-16 14:40:00+00:00,LATER_H2,True,0.17116994263143437,0.0,0.16740806921847473,0.0,-0.16740806921847473,1.0,,,0.0,171169942631.4344
development,2024-05-20 14:40:00+00:00,2024-05-20 14:45:00+00:00,1,5,2024-05-20 14:55:00+00:00,PRE_H2_FAILURE,False,0.06321514907333735,0.07038678485090791,0.06144238517327083,0.0,-0.06144238517327083,1.0,,,0.0,0.89811104751039
development,2024-05-28 14:05:00+00:00,2024-05-28 14:40:00+00:00,1,5,2024-05-28 14:50:00+00:00,LATER_H2,True,0.14208371246587026,0.0894904458598755,0.12168638155898967,0.0,-0.12168638155898967,1.0,,,0.0,1.5876970005082498
development,2024-05-29 14:35:00+00:00,2024-05-29 14:45:00+00:00,1,5,2024-05-29 14:55:00+00:00,LATER_H2,True,0.12561044063990182,0.017387033398820258,0.04828795958462421,0.0,-0.04828795958462421,1.0,,,0.0,7.224374495560854
development,2024-06-13 14:30:00+00:00,2024-06-13 14:35:00+00:00,1,5,2024-06-13 14:45:00+00:00,LATER_H2,True,0.22194740137758576,0.0,0.10046963055729391,0.0,-0.10046963055729391,1.0,,,0.0,221947401377.58575
development,2024-07-01 13:55:00+00:00,2024-07-01 14:00:00+00:00,1,5,2024-07-01 14:10:00+00:00,PRE_H2_FAILURE,False,0.2886329043863318,0.0,0.1685277431852757,0.0,-0.1685277431852757,1.0,,,0.0,288632904386.33185
development,2024-07-09 13:55:00+00:00,2024-07-09 14:00:00+00:00,1,5,2024-07-09 14:10:00+00:00,PRE_H2_FAILURE,False,0.11180686742971196,0.01487387487498835,0.07280253361484533,0.0,-0.07280253361484533,1.0,,,0.0,7.516996638026346
development,2024-07-17 13:35:00+00:00,2024-07-17 13:40:00+00:00,1,5,2024-07-17 13:50:00+00:00,PRE_H2_FAILURE,False,0.23766473379019043,0.1372430152872988,0.22986294148655925,0.0,-0.22986294148655925,1.0,,,0.0,1.7317073170730986
development,2024-08-08 13:50:00+00:00,2024-08-08 14:00:00+00:00,1,5,2024-08-08 14:10:00+00:00,PRE_H2_FAILURE,False,0.20584398894814793,0.0,0.17789307974041166,0.0,-0.17789307974041166,1.0,,,0.0,205843988948.14792
development,2024-08-26 15:20:00+00:00,2024-08-26 17:45:00+00:00,1,5,2024-08-26 17:55:00+00:00,PRE_H2_FAILURE,False,0.09079350005275774,0.06294713516935635,0.0,0.04806900918012074,0.04806900918012074,0.0,,,0.0,1.4423770010895975
development,2024-10-09 13:40:00+00:00,2024-10-09 13:50:00+00:00,1,5,2024-10-09 14:00:00+00:00,LATER_H2,True,0.10460413897854845,0.07405543952913916,0.0,0.0674102904879392,0.0674102904879392,0.0,,,0.0,1.4125112165108284
development,2024-10-10 13:50:00+00:00,2024-10-10 14:20:00+00:00,1,5,2024-10-10 14:30:00+00:00,LATER_H2,True,0.06032998565279144,0.09433285509325681,0.031205164992826398,0.0,-0.031205164992826398,1.0,,,0.0,0.6395437262356751
development,2024-11-18 14:00:00+00:00,2024-11-18 14:10:00+00:00,1,5,2024-11-18 14:20:00+00:00,PRE_H2_FAILURE,False,0.16654270506538738,0.0,0.14831858719024296,0.0,-0.14831858719024296,1.0,,,0.0,166542705065.3874
external,2020-01-02 13:55:00+00:00,2020-01-02 15:35:00+00:00,1,5,2020-01-02 15:45:00+00:00,LATER_H2,True,0.1765934065934034,0.01564102564102724,0.1765934065934034,0.0,-0.1765934065934034,1.0,,,0.0,11.29039812646234
external,2020-01-22 16:40:00+00:00,2020-01-22 18:40:00+00:00,1,5,2020-01-22 18:50:00+00:00,PRE_H2_FAILURE,False,0.3207696937777441,0.0,0.30670002257167245,0.0,-0.30670002257167245,1.0,,,0.0,320769693777.74414
external,2020-03-03 14:10:00+00:00,2020-03-03 14:15:00+00:00,1,5,2020-03-03 14:25:00+00:00,LATER_H2,False,0.07079679868181449,0.0915641734831952,0.0,0.06890778555875364,0.06890778555875364,0.0,,,0.0,0.7731932260034853
external,2020-04-01 13:40:00+00:00,2020-04-01 13:50:00+00:00,1,5,2020-04-01 14:00:00+00:00,LATER_H2,True,0.0,0.07216560509554094,0.0,0.022611464968154023,0.022611464968154023,0.0,,,0.0,0.0
external,2020-04-08 14:00:00+00:00,2020-04-08 14:05:00+00:00,1,5,2020-04-08 14:15:00+00:00,PRE_H2_FAILURE,False,0.18375939849624442,0.0,0.14729323308270786,0.0,-0.14729323308270786,1.0,,,0.0,183759398496.24442
external,2020-04-17 13:35:00+00:00,2020-04-17 13:45:00+00:00,1,5,2020-04-17 13:55:00+00:00,LATER_H2,False,0.052817674503707064,0.07287988290183435,0.0,0.003627298508826559,0.003627298508826559,0.0,,,0.0,0.7247222745246434
external,2020-04-27 13:35:00+00:00,2020-04-27 14:25:00+00:00,1,5,2020-04-27 14:35:00+00:00,LATER_H2,True,0.1227272727272748,0.029090909090903304,0.09056818181818471,0.0,-0.09056818181818471,1.0,,,0.0,4.21875000000091
external,2020-05-11 16:40:00+00:00,2020-05-11 17:05:00+00:00,1,5,2020-05-11 17:15:00+00:00,LATER_H2,True,0.062416364398328025,0.06791788898683727,0.021635428257633284,0.0,-0.021635428257633284,1.0,,,0.0,0.9189974148110601
external,2020-05-15 15:10:00+00:00,2020-05-15 15:15:00+00:00,1,5,2020-05-15 15:25:00+00:00,LATER_H2,True,0.15262499999999665,0.07916666666666666,0.0,0.024291666666666364,0.024291666666666364,0.0,,,0.0,1.9278947368420631
external,2020-05-29 15:20:00+00:00,2020-05-29 15:30:00+00:00,1,5,2020-05-29 15:40:00+00:00,PRE_H2_FAILURE,False,0.04481662200535936,0.02757469103707682,0.026458824941006546,0.0,-0.026458824941006546,1.0,,,0.0,1.6252810211037036
external,2020-06-03 14:15:00+00:00,2020-06-03 19:30:00+00:00,1,5,2020-06-03 19:40:00+00:00,PRE_H2_FAILURE,False,0.40378662945579175,0.0,0.35279081567931664,0.0,-0.35279081567931664,1.0,,,0.0,403786629455.79175
external,2020-06-17 13:35:00+00:00,2020-06-17 13:40:00+00:00,1,5,2020-06-17 13:50:00+00:00,LATER_H2,True,0.013277310924369137,0.09932773109243453,0.0,0.043949579831929105,0.043949579831929105,0.0,,,0.0,0.1336717428087958
external,2020-06-18 16:20:00+00:00,2020-06-18 16:40:00+00:00,1,5,2020-06-18 16:50:00+00:00,LATER_H2,True,0.04430122116690093,0.0713025780189926,0.010741745816372578,0.0,-0.010741745816372578,1.0,,,0.0,0.6213130352047099
external,2020-06-19 18:35:00+00:00,2020-06-19 18:40:00+00:00,1,5,2020-06-19 18:50:00+00:00,PRE_H2_FAILURE,False,0.23224360376120684,0.0,0.13247321233326023,0.0,-0.13247321233326023,1.0,,,0.0,232243603761.20685
external,2020-08-27 14:10:00+00:00,2020-08-27 14:25:00+00:00,1,5,2020-08-27 14:35:00+00:00,LATER_H2,True,0.056465134002289655,0.0803950209577013,0.05592531436555628,0.0,-0.05592531436555628,1.0,,,0.0,0.7023461568844914
external,2020-09-03 15:40:00+00:00,2020-09-03 16:10:00+00:00,1,5,2020-09-03 16:20:00+00:00,LATER_H2,False,0.0,0.046747948634740306,0.0,0.03265495340966978,0.03265495340966978,0.0,,,0.0,0.0
external,2020-11-10 15:00:00+00:00,2020-11-10 15:10:00+00:00,1,5,2020-11-10 15:20:00+00:00,LATER_H2,True,0.042921895667323344,0.11193179985159817,0.0,0.10606026389650666,0.10606026389650666,0.0,,,0.0,0.38346471444424385
external,2020-11-26 17:30:00+00:00,2020-11-26 17:35:00+00:00,1,5,2020-11-26 17:45:00+00:00,LATER_H2,False,0.029904212979965192,0.06530568651111861,0.0,0.035595221142099155,0.035595221142099155,0.0,,,0.0,0.45791131795044915
external,2020-12-02 15:05:00+00:00,2020-12-02 15:10:00+00:00,1,5,2020-12-02 15:20:00+00:00,LATER_H2,False,0.19884955752212133,0.0,0.1575044247787639,0.0,-0.1575044247787639,1.0,,,0.0,198849557522.12134
external,2020-12-07 14:20:00+00:00,2020-12-07 17:40:00+00:00,1,5,2020-12-07 17:50:00+00:00,LATER_H2,True,0.10724014699436675,0.01810963891979736,0.05393783082162261,0.0,-0.05393783082162261,1.0,,,0.0,5.921716466534979
external,2021-01-01 18:45:00+00:00,2021-01-01 19:00:00+00:00,1,5,2021-01-01 19:10:00+00:00,PRE_H2_FAILURE,False,0.07850714044168913,0.042047967120153885,0.040801966547874984,0.0,-0.040801966547874984,1.0,,,0.0,1.8670852794702675
external,2021-02-17 13:35:00+00:00,2021-02-17 14:40:00+00:00,1,5,2021-02-17 14:50:00+00:00,PRE_H2_FAILURE,False,0.14286428283324007,0.0,0.09902232432526958,0.0,-0.09902232432526958,1.0,,,0.0,142864282833.24008
external,2021-03-18 14:15:00+00:00,2021-03-18 14:25:00+00:00,1,5,2021-03-18 14:35:00+00:00,PRE_H2_FAILURE,False,0.09923616979782418,0.12492593865213256,0.0,0.05574010271078713,0.05574010271078713,0.0,,,0.0,0.7943600093664789
external,2021-05-06 15:55:00+00:00,2021-05-06 16:05:00+00:00,1,5,2021-05-06 16:15:00+00:00,LATER_H2,True,0.09416339983520051,0.05994781392793809,0.08996853854028605,0.0,-0.08996853854028605,1.0,,,0.0,1.5707561905158411
external,2021-05-12 13:35:00+00:00,2021-05-12 14:55:00+00:00,1,5,2021-05-12 15:05:00+00:00,LATER_H2,True,0.06673819742489479,0.0698426323319023,0.0,0.0698426323319023,0.0698426323319023,0.0,,,0.0,0.955551003687049
external,2021-06-07 14:55:00+00:00,2021-06-07 15:00:00+00:00,1,5,2021-06-07 15:10:00+00:00,LATER_H2,True,0.014045671172030833,0.09253155797627226,0.014023348996060572,0.0,-0.014023348996060572,1.0,,,0.0,0.15179330683735537
external,2021-06-18 13:45:00+00:00,2021-06-18 13:50:00+00:00,1,5,2021-06-18 14:00:00+00:00,LATER_H2,True,0.021743316183204218,0.05695790326483812,0.0,0.002235304020283533,0.002235304020283533,0.0,,,0.0,0.3817436200575003
external,2021-07-07 16:15:00+00:00,2021-07-07 16:20:00+00:00,1,5,2021-07-07 16:30:00+00:00,PRE_H2_FAILURE,False,0.0801856813508668,0.0,0.036522524767892556,0.0,-0.036522524767892556,1.0,,,0.0,80185681350.8668
external,2021-07-12 13:35:00+00:00,2021-07-12 13:50:00+00:00,1,5,2021-07-12 14:00:00+00:00,LATER_H2,True,0.08875675675675387,0.004720720720718885,0.05349549549549314,0.0,-0.05349549549549314,1.0,,,0.0,18.801526717563952
external,2021-07-28 14:55:00+00:00,2021-07-28 15:10:00+00:00,1,5,2021-07-28 15:20:00+00:00,LATER_H2,True,0.0313471502590683,0.026943005181346208,0.006819948186527743,0.0,-0.006819948186527743,1.0,,,0.0,1.163461538461614
external,2021-07-29 18:35:00+00:00,2021-07-29 19:10:00+00:00,1,5,2021-07-29 19:20:00+00:00,PRE_H2_FAILURE,False,0.05164426877470494,0.055715415019765374,0.0,0.0407667984189721,0.0407667984189721,0.0,,,0.0,0.9269296254256354
external,2021-08-03 18:10:00+00:00,2021-08-03 18:15:00+00:00,1,5,2021-08-03 18:25:00+00:00,PRE_H2_FAILURE,False,0.07460928940194857,0.026138385617994826,0.05566760454740714,0.0,-0.05566760454740714,1.0,,,0.0,2.8543954662060007
external,2021-08-17 14:30:00+00:00,2021-08-17 14:45:00+00:00,1,5,2021-08-17 14:55:00+00:00,LATER_H2,True,0.03347705868424721,0.07804057408666051,0.0,0.011504265931360261,0.011504265931360261,0.0,,,0.0,0.4289699182257739
external,2021-10-07 14:40:00+00:00,2021-10-07 14:50:00+00:00,1,5,2021-10-07 15:00:00+00:00,LATER_H2,False,0.0923613324489383,0.06784609818497894,0.0015759731925192495,0.0,-0.0015759731925192495,1.0,,,0.0,1.3613359488576604
external,2021-12-20 14:25:00+00:00,2021-12-20 14:30:00+00:00,1,5,2021-12-20 14:40:00+00:00,PRE_H2_FAILURE,False,0.2658149973948955,0.11202557011742693,0.24029497815718842,0.0,-0.24029497815718842,1.0,,,0.0,2.37280646834704
external,2021-12-22 13:35:00+00:00,2021-12-22 13:45:00+00:00,1,5,2021-12-22 13:55:00+00:00,PRE_H2_FAILURE,False,0.006267388804393699,0.14721779129724982,0.0,0.08561969061839246,0.08561969061839246,0.0,,,0.0,0.042572224112091946
reference_validation,2025-01-24 14:10:00+00:00,2025-01-24 14:15:00+00:00,1,5,2025-01-24 14:25:00+00:00,LATER_H2,True,0.27884658962157144,0.0,0.1202243371855879,0.0,-0.1202243371855879,1.0,,,0.0,278846589621.5715
reference_validation,2025-02-27 13:55:00+00:00,2025-02-27 14:05:00+00:00,1,5,2025-02-27 14:15:00+00:00,LATER_H2,True,0.145584792961503,0.04361530389862277,0.022088142707244626,0.0,-0.022088142707244626,1.0,,,0.0,3.337929120014686
reference_validation,2025-03-04 13:35:00+00:00,2025-03-04 13:55:00+00:00,1,5,2025-03-04 14:05:00+00:00,LATER_H2,True,0.10598279107286748,0.08546652325894213,0.0,0.008295240656091912,0.008295240656091912,0.0,,,0.0,1.2400503382098065
reference_validation,2025-03-17 13:35:00+00:00,2025-03-17 13:45:00+00:00,1,5,2025-03-17 13:55:00+00:00,LATER_H2,True,0.14524603836529956,0.1045454545454594,0.11755629691409265,0.0,-0.11755629691409265,1.0,,,0.0,1.3893099321897575
reference_validation,2025-04-14 13:50:00+00:00,2025-04-14 13:55:00+00:00,1,5,2025-04-14 14:05:00+00:00,PRE_H2_FAILURE,False,0.2064908234841978,0.12741904487363917,0.12817814932257562,0.0,-0.12817814932257562,1.0,,,0.0,1.6205648354135265
reference_validation,2025-04-29 14:05:00+00:00,2025-04-29 14:20:00+00:00,1,5,2025-04-29 14:30:00+00:00,PRE_H2_FAILURE,False,0.08485580240098743,0.05423623568372178,0.05532634193459545,0.0,-0.05532634193459545,1.0,,,0.0,1.5645592163848434
reference_validation,2025-05-09 14:45:00+00:00,2025-05-09 16:00:00+00:00,1,5,2025-05-09 16:10:00+00:00,LATER_H2,False,0.028684807256241486,0.09765144152898689,0.0,0.08449951409134328,0.08449951409134328,0.0,,,0.0,0.2937468900315893
reference_validation,2025-06-12 13:35:00+00:00,2025-06-12 13:55:00+00:00,1,5,2025-06-12 14:05:00+00:00,PRE_H2_FAILURE,False,0.31243243243243507,0.0,0.25189189189189715,0.0,-0.25189189189189715,1.0,,,0.0,312432432432.43506
reference_validation,2025-06-16 13:40:00+00:00,2025-06-16 13:45:00+00:00,1,5,2025-06-16 13:55:00+00:00,PRE_H2_FAILURE,False,0.14960229783471593,0.13777434084549167,0.13428339961701927,0.0,-0.13428339961701927,1.0,,,0.0,1.0858502164963273
reference_validation,2025-06-18 13:35:00+00:00,2025-06-18 13:40:00+00:00,1,5,2025-06-18 13:50:00+00:00,PRE_H2_FAILURE,False,0.07914615276410086,0.10287663525109282,0.0,0.06981994654663376,0.06981994654663376,0.0,,,0.0,0.7693306898201662
reference_validation,2025-07-07 13:45:00+00:00,2025-07-07 14:10:00+00:00,1,5,2025-07-07 14:20:00+00:00,LATER_H2,True,0.09692508386135329,0.09986954901229343,0.00011181513232379392,0.0,-0.00011181513232379392,1.0,,,0.0,0.9705168874791085
