role,partition,feature,recovery_n,staller_n,recovery_value,staller_value,gap,material
CLOCK_SUPPORT,reference_validation,trigger_upper_wick_R,16,33,0.028139971765540783,0.04651162790697827,-0.018371656141437487,False
CLOCK_SUPPORT,reference_validation,trigger_lower_wick_R,16,33,0.027060979754332713,0.02127659574469179,0.0057843840096409235,False
CLOCK_SUPPORT,reference_validation,post_e20_peak_R,16,33,0.23216161589298095,0.232000000000005,0.00016161589297594703,False
CLOCK_SUPPORT,reference_validation,giveback_peak_to_trigger_close_R,16,33,0.18894572025051856,0.17436305732484056,0.014582662925678003,False
CLOCK_SUPPORT,reference_validation,running_mfe_R_to_trigger,16,33,0.23216161589298095,0.232000000000005,0.00016161589297594703,False
CLOCK_SUPPORT,reference_validation,trigger_traded_E25,16,33,0.0625,0.12121212121212122,-0.058712121212121215,False
CLOCK_SUPPORT,reference_validation,trigger_traded_E30,16,33,0.0625,0.030303030303030304,0.032196969696969696,False
REF_SUPPORT,external,entry_to_e20_min,16,32,17.5,5.0,12.5,True
REF_SUPPORT,external,break_to_e20_min,16,32,15.0,5.0,10.0,True
REF_SUPPORT,external,e20_bar_close_R,16,32,0.12399916004075257,0.13878539301074594,-0.014786232969993374,False
REF_SUPPORT,external,e20_bar_close_vs_E20_R,16,32,-0.07600083995924745,-0.061214606989254086,-0.01478623296999336,False
REF_SUPPORT,external,running_mae_R_to_e20,16,32,0.2082911605937905,0.151566880072468,0.0567242805213225,True
REF_SUPPORT,external,closes_gt_H_to_e20,16,32,3.0,2.0,1.0,True
REF_SUPPORT,external,trigger_close_R,16,32,0.06687393991151383,0.03234934056548515,0.03452459934602868,True
REF_SUPPORT,external,trigger_close_vs_E10_R,16,32,-0.03312606008848617,-0.06765065943451486,0.03452459934602869,True
REF_SUPPORT,external,trigger_high_R,16,32,0.16989763952513953,0.18484897985853516,-0.014951340333395624,False
REF_SUPPORT,external,trigger_low_R,16,32,0.013172416071899675,-0.012658015260245958,0.02583043133214563,False
REF_SUPPORT,external,trigger_body_R,16,32,0.06900961911745615,0.11334914273910285,-0.0443395236216467,True
REF_SUPPORT,external,trigger_upper_wick_R,16,32,0.05375083339080945,0.029726065632598966,0.024024767758210486,False
REF_SUPPORT,external,trigger_lower_wick_R,16,32,0.03296128557634753,0.040897011484623866,-0.007935725908276334,False
REF_SUPPORT,external,post_e20_peak_R,16,32,0.24483946521947142,0.23077750173431855,0.014061963485152873,False
REF_SUPPORT,external,giveback_peak_to_trigger_close_R,16,32,0.18254129159570753,0.1999420524923041,-0.017400760896596562,False
REF_SUPPORT,external,running_mfe_R_to_trigger,16,32,0.24483946521947142,0.23077750173431855,0.014061963485152873,False
REF_SUPPORT,external,trigger_traded_E25,16,32,0.0625,0.125,-0.0625,False
REF_SUPPORT,external,trigger_traded_E30,16,32,0.0,0.0625,-0.0625,False
REF_SUPPORT,reference_validation,entry_to_e20_min,19,33,25.0,5.0,20.0,True
REF_SUPPORT,reference_validation,break_to_e20_min,19,33,2.5,5.0,-2.5,False
REF_SUPPORT,reference_validation,e20_bar_close_R,19,33,0.09128630705394157,0.13084112149533042,-0.03955481444138885,True
REF_SUPPORT,reference_validation,e20_bar_close_vs_E20_R,19,33,-0.10871369294605844,-0.06915887850466959,-0.03955481444138885,True
REF_SUPPORT,reference_validation,running_mae_R_to_e20,19,33,0.29069767441860483,0.16874999999999812,0.12194767441860671,True
REF_SUPPORT,reference_validation,closes_gt_H_to_e20,19,33,2.0,2.0,0.0,False
REF_SUPPORT,reference_validation,trigger_close_R,19,33,0.04639175257732139,0.05625000000000233,-0.00985824742268094,False
REF_SUPPORT,reference_validation,trigger_close_vs_E10_R,19,33,-0.05360824742267861,-0.04374999999999767,-0.00985824742268094,False
REF_SUPPORT,reference_validation,trigger_high_R,19,33,0.14977973568282207,0.17337807606264113,-0.02359834037981906,False
REF_SUPPORT,reference_validation,trigger_low_R,19,33,-0.02884615384615496,0.02016806722689156,-0.049014221073046524,True
REF_SUPPORT,reference_validation,trigger_body_R,19,33,0.07986111111110769,0.08786610878660282,-0.008004997675495132,False
REF_SUPPORT,reference_validation,trigger_upper_wick_R,19,33,0.04347826086956306,0.03546099290779913,0.008017267961763927,False
REF_SUPPORT,reference_validation,trigger_lower_wick_R,19,33,0.039647577092512834,0.023715415019763732,0.0159321620727491,False
REF_SUPPORT,reference_validation,post_e20_peak_R,19,33,0.24377593360996122,0.2552301255230197,-0.011454191913058492,False
REF_SUPPORT,reference_validation,giveback_peak_to_trigger_close_R,19,33,0.2749999999999979,0.20293398533007623,0.07206601466992169,True
REF_SUPPORT,reference_validation,running_mfe_R_to_trigger,19,33,0.24377593360996122,0.2552301255230197,-0.011454191913058492,False
REF_SUPPORT,reference_validation,trigger_traded_E25,19,33,0.15789473684210525,0.09090909090909091,0.06698564593301434,False
REF_SUPPORT,reference_validation,trigger_traded_E30,19,33,0.0,0.030303030303030304,-0.030303030303030304,False
