variant,partition,outcome,n,wins,losses,wr,pf,expectancy_usd,total_net_pnl_usd,tp_n,sl_n,regime_exit_n,time24_n,median_wide_r_pct,median_hold_minutes
S2_T2_0,reference_validation,RESUME,2,1,1,0.5,0.7819335766207278,-0.29089033106520734,-0.5817806621304147,1,1,0,0,0.0035109682754651097,312.5
S2_T2_0,POOLED_OOS,ALL,14,6,8,0.42857142857142855,1.124043720367695,0.21703916049003585,3.038548246860502,4,7,3,0,0.006162394379306078,112.5
S2_T2_0,POOLED_OOS,TRANSITION,11,5,6,0.45454545454545453,1.400884953342257,0.662036297065709,7.282399267722798,3,5,3,0,0.006738272813660736,100.0
S2_T2_0,POOLED_OOS,RESUME,3,1,2,0.3333333333333333,0.3295628678182057,-1.4146170069540993,-4.243851020862298,1,2,0,0,0.004535811475373787,275.0
S2_T2_0,POOLED_MAJOR,ALL,34,13,21,0.38235294117647056,0.7500108270789732,-0.5334997171104356,-18.138990381754812,9,17,8,0,0.006162394379306078,132.5
S2_T2_0,POOLED_MAJOR,TRANSITION,22,10,12,0.45454545454545453,1.1273885769036174,0.2247910073685082,4.945402162107181,6,11,5,0,0.006269460427404583,122.5
S2_T2_0,POOLED_MAJOR,RESUME,12,3,9,0.25,0.31576883166113756,-1.9236993786551662,-23.084392543861995,3,6,3,0,0.005939747960263008,287.5
S3_T1_0,external,ALL,6,4,2,0.6666666666666666,2.783343121248903,1.9652667563094177,11.791600537856507,4,2,0,0,0.009243591568959117,132.5
S3_T1_0,external,TRANSITION,5,4,1,0.8,13.953060353908263,3.416941215190861,17.084706075954305,4,1,0,0,0.008700972061722644,40.0
S3_T1_0,external,RESUME,1,0,1,0.0,0.0,-5.293105538097798,-5.293105538097798,0,1,0,0,0.00978621107619559,275.0
S3_T1_0,development,ALL,20,10,10,0.5,1.1612576293326393,0.28213415762731203,5.64268315254624,9,4,7,0,0.008950612179826838,257.5
S3_T1_0,development,TRANSITION,11,7,4,0.6363636363636364,2.8358017338006425,1.7581826944774641,19.340009639252106,6,1,4,0,0.007480940563124043,260.0
S3_T1_0,development,RESUME,9,3,6,0.3333333333333333,0.43993828577862737,-1.5219251651895402,-13.697326486705862,3,3,3,0,0.009868191555060243,215.0
S3_T1_0,reference_validation,ALL,8,4,4,0.5,0.48738010395452325,-1.2066111682338077,-9.652889345870461,2,3,3,0,0.009723038336222196,200.0
S3_T1_0,reference_validation,TRANSITION,6,3,3,0.5,0.5132211900650759,-1.2192707576679114,-7.315624546007468,1,2,3,0,0.014125371804556128,200.0
S3_T1_0,reference_validation,RESUME,2,1,1,0.5,0.38523100363376794,-1.1686323999314958,-2.3372647998629916,1,1,0,0,0.005266452413197665,315.0
S3_T1_0,POOLED_OOS,ALL,14,8,6,0.5714285714285714,1.0840603213288247,0.15276508514186043,2.138711191986046,6,5,3,0,0.009243591568959117,192.5
S3_T1_0,POOLED_OOS,TRANSITION,11,7,4,0.6363636363636364,1.5975845929009318,0.8880983209042579,9.769081529946837,5,3,3,0,0.010107409220491104,160.0
S3_T1_0,POOLED_OOS,RESUME,3,1,2,0.3333333333333333,0.16103348879417143,-2.543456779320263,-7.630370337960789,1,2,0,0,0.00680371721306068,275.0
S3_T1_0,POOLED_MAJOR,ALL,34,18,16,0.5294117647058824,1.1287579019017473,0.22886453954506733,7.7813943445322895,15,9,10,0,0.009243591568959117,232.5
S3_T1_0,POOLED_MAJOR,TRANSITION,22,14,8,0.6363636363636364,2.082825792914296,1.3231405076908611,29.109091169198944,11,4,7,0,0.009404190641106874,232.5
S3_T1_0,POOLED_MAJOR,RESUME,12,4,8,0.3333333333333333,0.36433487244843743,-1.7773080687222207,-21.32769682466665,4,5,3,0,0.008909621940394512,245.0
S3_T1_5,external,ALL,6,4,2,0.6666666666666666,2.583423442104675,1.7449527322314011,10.469716393388406,2,2,2,0,0.009243591568959117,297.5
S3_T1_5,external,TRANSITION,5,4,1,0.8,12.950851417562058,3.152564386297241,15.762821931486204,2,1,2,0,0.008700972061722644,320.0
S3_T1_5,external,RESUME,1,0,1,0.0,0.0,-5.293105538097798,-5.293105538097798,0,1,0,0,0.00978621107619559,275.0
S3_T1_5,development,ALL,20,7,13,0.35,0.6712651819239955,-0.7263663735192797,-14.527327470385593,4,6,10,0,0.008950612179826838,347.5
S3_T1_5,development,TRANSITION,11,6,5,0.5454545454545454,2.0378091982714133,1.182957051898355,13.012527570881906,3,2,6,0,0.007480940563124043,345.0
S3_T1_5,development,RESUME,9,1,8,0.1111111111111111,0.12994958531520598,-3.0599838934741665,-27.5398550412675,1,4,4,0,0.009868191555060243,350.0
S3_T1_5,reference_validation,ALL,8,4,4,0.5,0.5777094423546013,-0.9939928337260966,-7.951942669808773,2,3,3,0,0.009723038336222196,200.0
S3_T1_5,reference_validation,TRANSITION,6,3,3,0.5,0.5643668467717982,-1.0911624622132166,-6.546974773279299,1,2,3,0,0.014125371804556128,200.0
S3_T1_5,reference_validation,RESUME,2,1,1,0.5,0.6304523545099248,-0.7024839482647367,-1.4049678965294734,1,1,0,0,0.005266452413197665,317.5
S3_T1_5,POOLED_OOS,ALL,14,8,6,0.5714285714285714,1.098959068915162,0.1798409802556881,2.517773723579633,4,5,5,0,0.009243591568959117,257.5
S3_T1_5,POOLED_OOS,TRANSITION,11,7,4,0.6363636363636364,1.5637426871085038,0.8378042871097189,9.215847158206907,3,3,5,0,0.010107409220491104,240.0
S3_T1_5,POOLED_OOS,RESUME,3,1,2,0.3333333333333333,0.2635404243365363,-2.232691144875757,-6.698073434627272,1,2,0,0,0.00680371721306068,275.0
S3_T1_5,POOLED_MAJOR,ALL,34,15,19,0.4411764705882353,0.8275337041206039,-0.3532221690237046,-12.009553746805958,8,11,15,0,0.009243591568959117,317.5
S3_T1_5,POOLED_MAJOR,TRANSITION,22,13,9,0.5909090909090909,1.7695187935268588,1.0103806695040372,22.228374729088817,6,5,11,0,0.009404190641106874,317.5
S3_T1_5,POOLED_MAJOR,RESUME,12,2,10,0.16666666666666666,0.15976699585338514,-2.853160706324564,-34.23792847589477,2,6,4,0,0.008909621940394512,312.5
S3_T2_0,external,ALL,6,4,2,0.6666666666666666,3.127112551405248,2.3441050319456647,14.064630191673988,2,2,2,0,0.009243591568959117,297.5
S3_T2_0,external,TRANSITION,5,4,1,0.8,15.676396427776101,3.871547145954357,19.357735729771786,2,1,2,0,0.008700972061722644,320.0
S3_T2_0,external,RESUME,1,0,1,0.0,0.0,-5.293105538097798,-5.293105538097798,0,1,0,0,0.00978621107619559,275.0
S3_T2_0,development,ALL,20,7,13,0.35,0.7229133871617438,-0.6122454545460757,-12.244909090921514,3,6,11,0,0.008950612179826838,347.5
S3_T2_0,development,TRANSITION,11,6,5,0.5454545454545454,2.099856661256724,1.2536824646361977,13.790507110998176,2,2,7,0,0.007480940563124043,345.0
S3_T2_0,development,RESUME,9,1,8,0.1111111111111111,0.1774784351977154,-2.892824022435521,-26.03541620191969,1,4,4,0,0.009868191555060243,350.0
S3_T2_0,reference_validation,ALL,8,4,4,0.5,0.6680387807546854,-0.7813744992183718,-6.250995993746974,2,3,3,0,0.009723038336222196,200.0
S3_T2_0,reference_validation,TRANSITION,6,3,3,0.5,0.6155125034785128,-0.9630541667585399,-5.77832500055124,1,2,3,0,0.014125371804556128,200.0
S3_T2_0,reference_validation,RESUME,2,1,1,0.5,0.87567370538614,-0.23633549659786657,-0.47267099319573314,1,1,0,0,0.005266452413197665,320.0
S3_T2_0,POOLED_OOS,ALL,14,8,6,0.5714285714285714,1.3071086006772645,0.5581167284233581,7.813634197927014,4,5,5,0,0.009243591568959117,257.5
S3_T2_0,POOLED_OOS,TRANSITION,11,7,4,0.6363636363636364,1.8306662819406285,1.2344918844745951,13.579410729220546,3,3,5,0,0.010107409220491104,240.0
S3_T2_0,POOLED_OOS,RESUME,3,1,2,0.3333333333333333,0.36604735987892556,-1.921925510431177,-5.765776531293531,1,2,0,0,0.00680371721306068,275.0
S3_T2_0,POOLED_MAJOR,ALL,34,15,19,0.4411764705882353,0.9363635333226777,-0.13033161449983824,-4.4312748929945,7,11,16,0,0.009243591568959117,317.5
S3_T2_0,POOLED_MAJOR,TRANSITION,22,13,9,0.5909090909090909,1.9475126459773215,1.2440871745553965,27.369917840218722,5,5,12,0,0.009404190641106874,317.5
S3_T2_0,POOLED_MAJOR,RESUME,12,2,10,0.16666666666666666,0.21956692781557272,-2.6500993944344353,-31.801192733213224,2,6,4,0,0.008909621940394512,312.5
