gap,gap_label,partition,exec_min,execution_utc,execution_start,entry_bar_start,entry_px,exit_ts,exit_reason,pnl_0,pnl_5,armed,scheduled_updates,activations,ratchet_updates,buffer_f20_exit,gap_exit,touch_exit,early_floor_violation
0.05,G05,external,540,09:00,2020-05-13 09:00:00+00:00,2020-05-13 11:20:00+00:00,190.085,2020-05-13 13:00:00+00:00,LIVE_FLOOR_TOUCH,9.46137780466645,8.951771230149076,True,2,2,1,0,0,1,0
0.05,G05,external,540,09:00,2020-06-08 09:00:00+00:00,2020-06-08 09:30:00+00:00,244.2925,2020-06-08 14:05:00+00:00,CLOSE_INVALIDATION_F20,-4.641841235404276,-5.137351638967047,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-06-12 09:00:00+00:00,2020-06-12 12:15:00+00:00,236.44,2020-06-12 14:10:00+00:00,LIVE_FLOOR_GAP_OPEN,3.93513787853157,3.4310547822012487,True,1,1,0,0,1,0,0
0.05,G05,external,540,09:00,2020-06-22 09:00:00+00:00,2020-06-22 09:10:00+00:00,235.32999999999998,2020-06-22 12:00:00+00:00,LIVE_FLOOR_TOUCH,1.7416733948073087,1.239782666776557,True,1,1,0,0,0,1,0
0.05,G05,external,540,09:00,2020-06-30 09:00:00+00:00,2020-06-30 09:55:00+00:00,227.11,2020-06-30 12:35:00+00:00,CLOSE_INVALIDATION_F20,-5.397578266038527,-5.892333310250287,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-07-01 09:00:00+00:00,2020-07-01 13:55:00+00:00,228.03,2020-07-01 15:00:00+00:00,TIME_EXIT_EXEC_END,0.7621277902030824,0.26121611824887514,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-07-20 09:00:00+00:00,2020-07-20 09:15:00+00:00,239.1025,2020-07-20 10:30:00+00:00,CLOSE_INVALIDATION_F20,-1.952681381415899,-2.4508796009247042,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-07-23 09:00:00+00:00,2020-07-23 09:35:00+00:00,263.6625,2020-07-23 14:35:00+00:00,LIVE_FLOOR_GAP_OPEN,-0.00650452756838471,-0.5066479513289753,True,1,1,0,0,1,0,0
0.05,G05,external,540,09:00,2020-08-05 09:00:00+00:00,2020-08-05 10:05:00+00:00,392.7675,2020-08-05 11:20:00+00:00,LIVE_FLOOR_GAP_OPEN,4.7843647959670665,4.279432897120583,True,2,2,1,0,1,0,0
0.05,G05,external,540,09:00,2020-09-16 09:00:00+00:00,2020-09-16 12:15:00+00:00,364.44,2020-09-16 13:30:00+00:00,LIVE_FLOOR_TOUCH,4.366216661178823,3.861702701497505,True,1,1,0,0,0,1,0
0.05,G05,external,540,09:00,2020-09-18 09:00:00+00:00,2020-09-18 10:30:00+00:00,387.09,2020-09-18 15:00:00+00:00,TIME_EXIT_EXEC_END,-2.8154589371980228,-3.312794810324193,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-09-29 09:00:00+00:00,2020-09-29 09:25:00+00:00,354.5175,2020-09-29 10:35:00+00:00,LIVE_FLOOR_GAP_OPEN,2.621712609391658,2.118942281946157,True,1,1,0,0,1,0,0
0.05,G05,external,540,09:00,2020-10-05 09:00:00+00:00,2020-10-05 11:15:00+00:00,351.28999999999996,2020-10-05 13:10:00+00:00,LIVE_FLOOR_GAP_OPEN,1.0233254575992672,0.5221527185112599,True,1,1,0,0,1,0,0
0.05,G05,external,540,09:00,2020-10-07 09:00:00+00:00,2020-10-07 13:25:00+00:00,340.5875,2020-10-07 15:00:00+00:00,TIME_EXIT_EXEC_END,0.3230153778398085,-0.17745740114853936,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2020-11-16 09:00:00+00:00,2020-11-16 11:30:00+00:00,454.625,2020-11-16 14:20:00+00:00,LIVE_FLOOR_GAP_OPEN,5.280505911465516,4.77507811945006,True,2,2,1,0,1,0,0
0.05,G05,external,540,09:00,2020-11-20 09:00:00+00:00,2020-11-20 09:10:00+00:00,497.75,2020-11-20 10:55:00+00:00,LIVE_FLOOR_GAP_OPEN,7.425213460572633,6.917642032825921,True,1,1,0,0,1,0,0
0.05,G05,external,540,09:00,2020-12-16 09:00:00+00:00,2020-12-16 09:25:00+00:00,586.635,2020-12-16 10:40:00+00:00,LIVE_FLOOR_TOUCH,4.3687233117696955,3.864206846690488,True,3,3,2,0,0,1,0
0.05,G05,external,540,09:00,2020-12-17 09:00:00+00:00,2020-12-17 10:05:00+00:00,652.125,2020-12-17 10:30:00+00:00,LIVE_FLOOR_TOUCH,6.438412880966093,5.931827760645447,True,2,1,1,0,0,1,0
0.05,G05,external,540,09:00,2020-12-24 09:00:00+00:00,2020-12-24 10:10:00+00:00,581.6,2020-12-24 13:55:00+00:00,LIVE_FLOOR_TOUCH,8.227922971114255,7.719549235011236,True,2,2,1,0,0,1,0
0.05,G05,external,540,09:00,2021-01-29 09:00:00+00:00,2021-01-29 09:10:00+00:00,1366.4075,2021-01-29 11:45:00+00:00,LIVE_FLOOR_TOUCH,21.32174113505676,20.800280124427097,True,2,2,1,0,0,1,0
0.05,G05,external,540,09:00,2021-02-01 09:00:00+00:00,2021-02-01 09:25:00+00:00,1330.6100000000001,2021-02-01 15:00:00+00:00,TIME_EXIT_EXEC_END,-6.1943349290927046,-6.6882936148206955,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2021-02-02 09:00:00+00:00,2021-02-02 09:25:00+00:00,1439.0325,2021-02-02 15:00:00+00:00,TIME_EXIT_EXEC_END,-2.1138250873416915,-2.611862243676199,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2021-02-05 09:00:00+00:00,2021-02-05 09:20:00+00:00,1667.1499999999999,2021-02-05 14:05:00+00:00,LIVE_FLOOR_TOUCH,13.824874786311957,13.310906895471165,True,3,2,2,0,0,1,0
0.05,G05,external,540,09:00,2021-02-09 09:00:00+00:00,2021-02-09 09:30:00+00:00,1797.9750000000001,2021-02-09 10:50:00+00:00,CLOSE_INVALIDATION_F20,-14.992805795408781,-15.477970407307406,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2021-02-11 09:00:00+00:00,2021-02-11 09:10:00+00:00,1747.4575,2021-02-11 10:10:00+00:00,LIVE_FLOOR_TOUCH,4.50956146286825,4.004904230021822,True,1,1,0,0,0,1,0
0.05,G05,external,540,09:00,2021-03-26 09:00:00+00:00,2021-03-26 13:20:00+00:00,1632.3625,2021-03-26 13:50:00+00:00,LIVE_FLOOR_GAP_OPEN,3.3024557964300265,2.7990050659989056,True,1,1,0,0,1,0,0
0.05,G05,external,540,09:00,2021-04-02 09:00:00+00:00,2021-04-02 12:10:00+00:00,2005.0175000000002,2021-04-02 14:20:00+00:00,LIVE_FLOOR_TOUCH,5.482118235875699,4.9764889322917005,True,2,2,1,0,0,1,0
0.05,G05,external,540,09:00,2021-04-13 09:00:00+00:00,2021-04-13 09:20:00+00:00,2211.995,2021-04-13 14:45:00+00:00,LIVE_FLOOR_TOUCH,7.666247889348844,7.158435547630471,True,1,1,0,0,0,1,0
0.05,G05,external,540,09:00,2021-05-07 09:00:00+00:00,2021-05-07 11:10:00+00:00,3448.75,2021-05-07 13:10:00+00:00,LIVE_FLOOR_GAP_OPEN,7.0505255527365085,6.543328625647393,True,1,1,0,0,1,0,0
0.05,G05,external,540,09:00,2021-05-10 09:00:00+00:00,2021-05-10 09:10:00+00:00,4139.25,2021-05-10 10:50:00+00:00,CLOSE_INVALIDATION_F20,-11.062559642447278,-11.551652536357915,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2021-06-02 09:00:00+00:00,2021-06-02 09:15:00+00:00,2690.3625,2021-06-02 13:40:00+00:00,LIVE_FLOOR_TOUCH,8.72172616143736,8.212858868922156,True,1,1,0,0,0,1,0
0.05,G05,external,540,09:00,2021-06-24 09:00:00+00:00,2021-06-24 09:20:00+00:00,1939.1625,2021-06-24 12:15:00+00:00,LIVE_FLOOR_TOUCH,9.540244822184807,9.030559420063765,True,2,2,1,0,0,1,0
0.05,G05,external,540,09:00,2021-09-14 09:00:00+00:00,2021-09-14 09:10:00+00:00,3338.2175,2021-09-14 15:00:00+00:00,TIME_EXIT_EXEC_END,0.39870469794129926,-0.10184373254133983,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2021-10-05 09:00:00+00:00,2021-10-05 09:10:00+00:00,3407.0,2021-10-05 10:20:00+00:00,LIVE_FLOOR_GAP_OPEN,6.767596125623787,6.260681986567773,True,3,3,2,0,1,0,0
0.05,G05,external,540,09:00,2021-10-19 09:00:00+00:00,2021-10-19 13:50:00+00:00,3828.8175,2021-10-19 14:30:00+00:00,CLOSE_INVALIDATION_F20,-8.73122759180871,-9.222650652686449,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2021-10-20 09:00:00+00:00,2021-10-20 10:05:00+00:00,3864.6425,2021-10-20 12:55:00+00:00,LIVE_FLOOR_TOUCH,8.265161137155653,7.756750181496308,True,5,4,4,0,0,1,0
0.05,G05,external,540,09:00,2021-11-03 09:00:00+00:00,2021-11-03 09:50:00+00:00,4599.6849999999995,2021-11-03 12:30:00+00:00,CLOSE_INVALIDATION_F20,-6.483568766121928,-6.977238362557525,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2021-11-19 09:00:00+00:00,2021-11-19 10:15:00+00:00,4129.37,2021-11-19 14:15:00+00:00,LIVE_FLOOR_TOUCH,8.448807445203554,7.940212935013635,True,1,1,0,0,0,1,0
0.05,G05,external,540,09:00,2021-12-02 09:00:00+00:00,2021-12-02 09:25:00+00:00,4573.0650000000005,2021-12-02 11:25:00+00:00,CLOSE_INVALIDATION_F20,-7.376174622490616,-7.868952059149659,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2021-12-07 09:00:00+00:00,2021-12-07 09:15:00+00:00,4395.115,2021-12-07 12:35:00+00:00,CLOSE_INVALIDATION_F20,-6.899829924814293,-7.393083468117778,False,0,0,0,0,0,0,0
0.05,G05,external,540,09:00,2021-12-24 09:00:00+00:00,2021-12-24 13:45:00+00:00,4103.6449999999995,2021-12-24 15:00:00+00:00,TIME_EXIT_EXEC_END,-3.5953300053975674,-4.091886397196198,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2020-01-02 10:00:00+00:00,2020-01-02 10:20:00+00:00,129.905,2020-01-02 13:35:00+00:00,CLOSE_INVALIDATION_F20,-3.613887071321364,-4.110424915328081,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2020-01-16 10:00:00+00:00,2020-01-16 11:20:00+00:00,162.055,2020-01-16 11:55:00+00:00,LIVE_FLOOR_TOUCH,4.656925118015476,4.15212059515897,True,2,2,1,0,0,1,0
0.05,G05,external,600,10:00,2020-03-19 10:00:00+00:00,2020-03-19 10:40:00+00:00,122.46,2020-03-19 12:35:00+00:00,LIVE_FLOOR_TOUCH,18.642952800914614,18.124169239894197,True,2,2,1,0,0,1,0
0.05,G05,external,600,10:00,2020-03-20 10:00:00+00:00,2020-03-20 11:00:00+00:00,148.5025,2020-03-20 13:25:00+00:00,CLOSE_INVALIDATION_F20,-38.18555916567061,-38.647542614780356,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2020-03-31 10:00:00+00:00,2020-03-31 15:25:00+00:00,132.5275,2020-03-31 16:00:00+00:00,TIME_EXIT_EXEC_END,0.2508083228008443,-0.2495922852178586,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2020-04-02 10:00:00+00:00,2020-04-02 10:40:00+00:00,137.28,2020-04-02 12:10:00+00:00,LIVE_FLOOR_GAP_OPEN,-0.14504662004659574,-0.6450515709510604,True,1,1,0,0,1,0,0
0.05,G05,external,600,10:00,2020-04-28 10:00:00+00:00,2020-04-28 10:20:00+00:00,195.31,2020-04-28 11:10:00+00:00,LIVE_FLOOR_TOUCH,2.6873995187138404,2.1845635371858356,True,1,1,0,0,0,1,0
0.05,G05,external,600,10:00,2020-05-06 10:00:00+00:00,2020-05-06 10:40:00+00:00,208.7,2020-05-06 12:00:00+00:00,LIVE_FLOOR_TOUCH,3.4811691423095152,2.977539787844497,True,2,1,1,0,0,1,0
0.05,G05,external,600,10:00,2020-05-11 10:00:00+00:00,2020-05-11 10:55:00+00:00,187.39249999999998,2020-05-11 12:35:00+00:00,LIVE_FLOOR_GAP_OPEN,9.465656309617554,8.956045458733476,True,3,3,2,0,1,0,0
0.05,G05,external,600,10:00,2020-05-12 10:00:00+00:00,2020-05-12 12:10:00+00:00,189.885,2020-05-12 14:25:00+00:00,LIVE_FLOOR_GAP_OPEN,2.5886510256208477,2.0859137432363677,True,1,1,0,0,1,0,0
0.05,G05,external,600,10:00,2020-05-13 10:00:00+00:00,2020-05-13 11:20:00+00:00,189.98,2020-05-13 13:00:00+00:00,LIVE_FLOOR_TOUCH,9.864238340877973,9.354229107154067,True,2,2,1,0,0,1,0
0.05,G05,external,600,10:00,2020-06-12 10:00:00+00:00,2020-06-12 12:15:00+00:00,236.44,2020-06-12 14:10:00+00:00,LIVE_FLOOR_GAP_OPEN,3.93513787853157,3.4310547822012487,True,1,1,0,0,1,0,0
0.05,G05,external,600,10:00,2020-06-30 10:00:00+00:00,2020-06-30 12:05:00+00:00,227.2225,2020-06-30 12:35:00+00:00,CLOSE_INVALIDATION_F20,-5.642658627556685,-6.1371687138859095,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2020-07-01 10:00:00+00:00,2020-07-01 13:55:00+00:00,228.03,2020-07-01 16:00:00+00:00,TIME_EXIT_EXEC_END,2.6039907029777436,2.1012380885819364,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2020-08-27 10:00:00+00:00,2020-08-27 10:10:00+00:00,386.155,2020-08-27 12:25:00+00:00,CLOSE_INVALIDATION_F20,-5.741119498646907,-6.235531173310871,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2020-09-09 10:00:00+00:00,2020-09-09 10:10:00+00:00,344.1625,2020-09-09 13:30:00+00:00,LIVE_FLOOR_TOUCH,8.196956379617104,7.688613594630089,True,1,1,0,0,0,1,0
0.05,G05,external,600,10:00,2020-09-10 10:00:00+00:00,2020-09-10 13:10:00+00:00,370.60249999999996,2020-09-10 14:10:00+00:00,LIVE_FLOOR_GAP_OPEN,4.089311324127665,3.585074131400035,True,1,1,0,0,1,0,0
0.05,G05,external,600,10:00,2020-10-05 10:00:00+00:00,2020-10-05 11:15:00+00:00,351.28999999999996,2020-10-05 13:10:00+00:00,LIVE_FLOOR_GAP_OPEN,1.0233254575992672,0.5221527185112599,True,1,1,0,0,1,0,0
0.05,G05,external,600,10:00,2020-10-07 10:00:00+00:00,2020-10-07 13:10:00+00:00,340.78749999999997,2020-10-07 16:00:00+00:00,TIME_EXIT_EXEC_END,-0.8364890144150646,-1.3358028684735008,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2020-10-21 10:00:00+00:00,2020-10-21 13:05:00+00:00,381.12,2020-10-21 13:55:00+00:00,LIVE_FLOOR_TOUCH,4.333417296389541,3.828936119681559,True,2,2,1,0,0,1,0
0.05,G05,external,600,10:00,2020-11-16 10:00:00+00:00,2020-11-16 11:15:00+00:00,454.885,2020-11-16 14:20:00+00:00,LIVE_FLOOR_GAP_OPEN,4.991472569990285,4.486333666871856,True,3,3,2,0,1,0,0
0.05,G05,external,600,10:00,2020-11-23 10:00:00+00:00,2020-11-23 10:10:00+00:00,589.4300000000001,2020-11-23 13:10:00+00:00,LIVE_FLOOR_GAP_OPEN,6.700079738051934,6.193233081642058,True,1,1,0,0,1,0,0
0.05,G05,external,600,10:00,2020-12-24 10:00:00+00:00,2020-12-24 10:10:00+00:00,581.6,2020-12-24 13:55:00+00:00,LIVE_FLOOR_TOUCH,8.227922971114255,7.719549235011236,True,2,2,1,0,0,1,0
0.05,G05,external,600,10:00,2021-01-01 10:00:00+00:00,2021-01-01 12:45:00+00:00,739.6375,2021-01-01 16:00:00+00:00,TIME_EXIT_EXEC_END,-2.7846140846022767,-3.2819807871662827,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2021-02-01 10:00:00+00:00,2021-02-01 10:15:00+00:00,1332.0725,2021-02-01 16:00:00+00:00,CLOSE_INVALIDATION_F20,-11.541473155552696,-12.030087375287202,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2021-03-19 10:00:00+00:00,2021-03-19 11:25:00+00:00,1811.2675,2021-03-19 16:00:00+00:00,TIME_EXIT_EXEC_END,2.9464134922092104,2.44331862615006,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2021-03-23 10:00:00+00:00,2021-03-23 11:45:00+00:00,1686.645,2021-03-23 12:20:00+00:00,LIVE_FLOOR_GAP_OPEN,4.827833954388749,4.322858608107505,True,1,1,0,0,1,0,0
0.05,G05,external,600,10:00,2021-03-25 10:00:00+00:00,2021-03-25 10:10:00+00:00,1602.0325,2021-03-25 12:10:00+00:00,CLOSE_INVALIDATION_F20,-7.728971166315313,-8.22139598274073,False,0,0,0,0,0,0,0
0.05,G05,external,600,10:00,2021-03-26 10:00:00+00:00,2021-03-26 13:20:00+00:00,1632.3625,2021-03-26 13:50:00+00:00,LIVE_FLOOR_GAP_OPEN,3.3024557964300265,2.7990050659989056,True,1,1,0,0,1,0,0
0.05,G05,external,600,10:00,2021-04-02 10:00:00+00:00,2021-04-02 12:10:00+00:00,2005.0175000000002,2021-04-02 14:20:00+00:00,LIVE_FLOOR_TOUCH,5.482118235875699,4.9764889322917005,True,2,2,1,0,0,1,0
0.05,G05,external,600,10:00,2021-04-22 10:00:00+00:00,2021-04-22 10:10:00+00:00,2479.6749999999997,2021-04-22 11:15:00+00:00,LIVE_FLOOR_TOUCH,7.510512466351438,7.002855782227324,True,1,1,0,0,0,1,0
0.05,G05,external,600,10:00,2021-05-07 10:00:00+00:00,2021-05-07 10:35:00+00:00,3460.13,2021-05-07 13:10:00+00:00,LIVE_FLOOR_GAP_OPEN,5.381574680720047,4.876045870444612,True,2,2,1,0,1,0,0
